bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
PrefectHQ__prefect-1525,5f8007ac4c9c6cc515d62768e75aa793cf04107f,93,1,773,0.3821421265602112,0.53612220287323
PrefectHQ__prefect-1525,dc18e97fcfedda802d07970715b01027b9cc9992,466,6,773,0.22965514659881592,0.41466689109802246
PrefectHQ__prefect-2560,7932a54ce4907edeeaa5b855fab2c1b8d6b9fd3b,873,11,1358,0.21454477310180664,0.5412535667419434
PrefectHQ__prefect-2867,47f1db5b4a11c7952ff995f68ca836df650cffe1,592,9,1483,0.2488650679588318,0.37316811084747314
PrefectHQ__prefect-2867,04adc57028611e7ac8ec02120639e190ed97c358,1232,444,1483,0.15938183665275574,0.1431715488433838
PrefectHQ__prefect-2867,4383a13326ecc8ab356bff5cef822e457c638083,350,20,1483,0.29104888439178467,0.3477124571800232
PrefectHQ__prefect-2867,0816e6de2e2719b4b2b576fb21fecda947147ad8,615,143,1483,0.24547597765922546,0.24949681758880615
PrefectHQ__prefect-2867,c4713b22b80d0f7960f7882818532c5b152db99d,377,26,1483,0.28644952178001404,0.33392441272735596
PrefectHQ__prefect-1239,110bf9775ceeee29380630cb77bf3c1422448645,450,71,686,0.266595721244812,0.2981121242046356
PrefectHQ__prefect-134,45a64b879d0a4d6936128f56ee9f4b2693b231c2,55,9,108,0.18243643641471863,0.5380163788795471
PrefectHQ__prefect-1579,2cdd48a1f4b46bbbfbf7b24b2de599fdd80dfb37,734,15,845,0.23888161778450012,0.532210111618042
PrefectHQ__prefect-2031,bb2692f0a5b976db136fa87772f2a20abb76b785,172,7,762,0.41719290614128113,0.4777058959007263
PrefectHQ__prefect-578,6324e8280460e370a3cc972b903288f5744be300,146,20,251,0.1828909069299698,0.3473583459854126
PrefectHQ__prefect-2727,b115326ee64043ca3e9a743f3aa3ad1f8f81599d,182,8,1370,0.35388439893722534,0.4282931983470917
PrefectHQ__prefect-2898,7133d90f25f0c8616db8ac9f7ed23e71ad80f34b,412,38,1478,0.3760486841201782,0.44756069779396057
PrefectHQ__prefect-2898,f8d2846ff4081a1590ca9ee108b79e202117a040,396,4,1478,0.37883487343788147,0.555860161781311
PrefectHQ__prefect-2898,942a74fc0e935a68c72582b79cab3835a2dcec19,932,785,1478,0.2917969226837158,0.059565212577581406
PrefectHQ__prefect-2898,871d4e8f71d4ed64e4a1b347d5bbad395e238561,355,7,1478,0.3866669535636902,0.545301079750061
PrefectHQ__prefect-2898,bbcba68c7ad9abe6e312944061c21efd6ea9380b,891,25,1478,0.3040500581264496,0.47860491275787354
PrefectHQ__prefect-2898,befe1a82db6dcc7a034a2a916e5123ebf82a5443,1162,39,1478,0.24937866628170013,0.4462466835975647
PrefectHQ__prefect-2898,ad85ec4b93967e1a3b3e5cf0ebf15259bd1afcdb,996,2,1478,0.27976202964782715,0.6189064383506775
PrefectHQ__prefect-2898,493c327378c5d2157174314d7ebc661ba64257ed,409,27,1478,0.3764345645904541,0.47494783997535706
PrefectHQ__prefect-2898,f572ffc09bed1901a1d18237c89f6217ec5f1a1e,470,134,1478,0.36439478397369385,0.321694940328598
PrefectHQ__prefect-746,cc936393d42bfed98dfe595635664d2e4fc464d8,252,162,298,0.14926418662071228,0.0585721954703331
PrefectHQ__prefect-746,e0f12c400aa658126496b04fa54ac4ca7b15aecf,144,74,298,0.23602604866027832,0.21933910250663757
PrefectHQ__prefect-746,ea900763cf93d948753aeace014bc5509a31ccdf,263,169,298,0.1443740427494049,0.04499765485525131
PrefectHQ__prefect-746,29664b85ddc06e9ea2bd2aaaa488b66307efb06f,117,5,298,0.2644937038421631,0.5084115266799927
PrefectHQ__prefect-746,6084f00c0ac8545c6a79803907d7afb200271b70,264,233,298,0.1436643898487091,-0.05489741265773773
PrefectHQ__prefect-746,60feddaf49e1aac6825f50a0d2571a17c11e2bbb,208,60,298,0.18737587332725525,0.2610427439212799
PrefectHQ__prefect-746,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,188,11,298,0.20110677182674408,0.4419059157371521
PrefectHQ__prefect-158,07450a943cdaf82a572fbf08df51182ff374d4f1,106,8,124,0.2155669927597046,0.5510728359222412
PrefectHQ__prefect-158,682fb497b5386ea42d1e00acde4b9a2949489b16,40,5,124,0.37851211428642273,0.5764594078063965
PrefectHQ__prefect-158,8cbc80eb56cfaf9beb898088ef1edc1075015f78,75,36,124,0.30684006214141846,0.3483193516731262
PrefectHQ__prefect-158,5b49bc6cd8dfb8332e8ae401c3bb866c136e8f8d,56,33,124,0.3474847674369812,0.37123197317123413
PrefectHQ__prefect-158,62c6d4c28e7ba25ebcab26d73f0b3e99fa0a1120,74,15,124,0.3083548843860626,0.4883054792881012
PrefectHQ__prefect-312,c26165341c2b86efd5ea8fb91c1a07e465ae0387,19,2,189,0.43733128905296326,0.5021828413009644
PrefectHQ__prefect-312,a275962f7b88f81f7ccb6e421ef28457c23014d4,22,1,189,0.42517614364624023,0.5238155126571655
PrefectHQ__prefect-907,7ee889cd9e7cef7944bbc9ee9e7fad21bb7a921b,225,5,462,0.3482271134853363,0.5630759000778198
PrefectHQ__prefect-907,17c63a13fc06f1d639b3d169fac29877bdd90632,436,31,462,0.20624865591526031,0.485243022441864
PrefectHQ__prefect-907,5752a4024daec6eae4142dbdf720876d83336ebc,80,32,462,0.41166776418685913,0.48471516370773315
PrefectHQ__prefect-907,6fdf88bfdeb6e571e11ba037d9a41d724da496af,364,45,462,0.28514787554740906,0.44959571957588196
PrefectHQ__prefect-907,b191fc4ce77b269be5657ba55b50f4d4f4a57c8a,359,3,462,0.2873828113079071,0.5700606107711792
PrefectHQ__prefect-907,140d1e4def1b3d4061e61505a2a0c0c5924b6244,155,17,462,0.3711917996406555,0.5104432106018066
PrefectHQ__prefect-907,6a5877155aa312dbba9190db53d1556873c290df,271,28,462,0.32883620262145996,0.4921131432056427
PrefectHQ__prefect-2151,f89c945fd84df66c38be8eccc6b7a44a3bc9dc13,605,22,783,0.3034668564796448,0.3809158504009247
PrefectHQ__prefect-2151,1bb334ca3ac973832147fb5ac3e6fc8b388d7ad9,311,3,783,0.3904150724411011,0.4509929418563843
PrefectHQ__prefect-2386,8b9f53eb694c06da85e808d2a1787234b62b4d5f,805,300,1217,0.17752183973789215,0.23534145951271057
PrefectHQ__prefect-2386,1d3f3fea431c29f47c323c7fbb3ceeed6b538d29,760,280,1217,0.18603664636611938,0.24514518678188324
PrefectHQ__prefect-2386,8f975f04ebd550cd65b2c1eb0b11cae3af28df8f,190,359,1217,0.33910518884658813,0.20873339474201202
PrefectHQ__prefect-2310,bfd245c9d7e5306933fb4dd889f0707905cbdefc,114,7,1206,0.3517748713493347,0.48692500591278076
PrefectHQ__prefect-2641,4e37c4faca3c45ec4b54131f1984b61f54c69279,1007,24,1364,0.2049322873353958,0.3088756203651428
PrefectHQ__prefect-2641,c0b1eb5e0799867d2174f3ae5f66911b51e46bf8,1107,2,1364,0.17523926496505737,0.38778895139694214
PrefectHQ__prefect-2641,9da427f25a095cf36986edb67ac9e33984d43494,452,4,1364,0.2940542697906494,0.3642091751098633
PrefectHQ__prefect-2641,fae731fca9665419552bdd584ab011b3ae941f65,922,1,1364,0.2195391058921814,0.3925388753414154
PrefectHQ__prefect-1037,c7d058e3dbf19b6eb3898cb0d04715de059d2cc2,1,1,588,0.5952087044715881,0.4804932177066803
PrefectHQ__prefect-2433,543288b6af8c3c30aad76093ba60495a658ff687,90,7,1242,0.5014714598655701,0.4984380006790161
PrefectHQ__prefect-2433,793eff90cce67f3a03ec834b3e723912798d63a2,133,209,1242,0.47643184661865234,0.17992329597473145
PrefectHQ__prefect-1420,19ce7ad51d7e98058db68f5a827627c17e078a02,89,192,644,0.3919696807861328,0.3038910925388336
PrefectHQ__prefect-973,b1f5fb5c83c931e95bb422354873b2589a5765dd,162,16,534,0.4005596339702606,0.4419310688972473
PrefectHQ__prefect-3127,d54a74a3510888bb3fc257da02af308ca9fcaaf5,94,11,1031,0.45303642749786377,0.5238777995109558
PrefectHQ__prefect-2666,37311ff8f9a39defb69f6c42e95b548d99ea64de,849,478,1367,0.2145339548587799,0.10277014970779419
PrefectHQ__prefect-2666,be2b9cff5c8482263372ebf3f78f683aa1813483,760,24,1367,0.23180484771728516,0.428925484418869
PrefectHQ__prefect-2666,d697dbb09d20e07456b7d80ea894c6ec79cd101e,54,9,1367,0.4903169572353363,0.48010575771331787
PrefectHQ__prefect-2666,1c7d915b9846a524595691f9d05df1c2e01d0484,91,86,1367,0.4556068181991577,0.3148126006126404
PrefectHQ__prefect-2666,88bbb8372bbb8424b1eed755be43f9540aab4cb6,635,3,1367,0.2577517330646515,0.534929096698761
PrefectHQ__prefect-2666,d9fb098d8761b9ae5ef9c18e78027027d37b477b,354,164,1367,0.31929638981819153,0.24003629386425018
PrefectHQ__prefect-2666,2b869140d8f3bb1cde71cadb050df666876a209d,105,5,1367,0.44408702850341797,0.5298092365264893
PrefectHQ__prefect-2666,dcf6b650af33c5996206cfddefb850d71d857dc5,857,56,1367,0.21194946765899658,0.35307759046554565
PrefectHQ__prefect-2666,86292f276ef0640183b2fcbadeb87fcce911fc3f,475,14,1367,0.2874577045440674,0.4684467911720276
PrefectHQ__prefect-2666,9489296bcbfcb036522e01f3ff52dc9fda265e13,1043,147,1367,0.16997939348220825,0.2566109299659729
PrefectHQ__prefect-2666,27a0a60f8a0e83fa51c134e29c3c77a982678d0b,204,11,1367,0.3865121304988861,0.47823309898376465
PrefectHQ__prefect-2666,d2835f19b5dad1db0c85fe32ee90d713be24853f,38,68,1367,0.5118528008460999,0.3373758792877197
PrefectHQ__prefect-2666,3bee24fc807f5355e3ac12b6d400e9dcc3578842,106,6,1367,0.44373786449432373,0.4939524829387665
PrefectHQ__prefect-2666,c79c350b74d2e01a0ab2addfe5729ff4fc746ab6,277,18,1367,0.34650713205337524,0.4566967487335205
PrefectHQ__prefect-3085,a90ec2014879cad378a81947c51d5107535bad35,166,25,1485,0.3760102391242981,0.5065281391143799
PrefectHQ__prefect-714,93e878e96a0fa862dd65458628dbd85cd046056c,28,2,297,0.3906579911708832,0.5210753083229065
PrefectHQ__prefect-1610,21c5f6b3cae416b069ce455fec43d1fea1f5a577,752,102,920,0.17074701189994812,0.2525579035282135
PrefectHQ__prefect-1610,06751fe1053f9dc862bc39950a5ad2e7f1b9d8ab,517,162,920,0.24585744738578796,0.22787222266197205
PrefectHQ__prefect-1610,ceff73351d76d9982fb455d724bf86de9dc7dc73,499,63,920,0.25578004121780396,0.27731192111968994
PrefectHQ__prefect-1610,da1acbd66bcdf6d01d344eace2fb637c7eb980ce,828,179,920,0.1360315978527069,0.22282825410366058
PrefectHQ__prefect-1610,c5d941ff8ba60757ed9c13e2d21171bb5041acbd,808,50,920,0.14561153948307037,0.28628551959991455
PrefectHQ__prefect-1610,773bb79e864a99838a3126eb198e89adfa906d98,296,208,920,0.32696211338043213,0.20809528231620789
PrefectHQ__prefect-2502,501811e9d8994e79540535523f7f86df5d6927c2,269,6,1265,0.31911957263946533,0.6383025646209717
PrefectHQ__prefect-2267,c7a6d2b65c01e6e848b071720c477907c22b6ba6,289,9,1204,0.29382771253585815,0.3700280487537384
PrefectHQ__prefect-1061,1ec398d4134595025ce71f4288f661e22a76b8c9,513,558,595,0.18700915575027466,-0.00597239937633276
PrefectHQ__prefect-1061,931c9223e4885eb31b28e0278c3ffac2840d71d2,394,566,595,0.26438942551612854,-0.01785477250814438
PrefectHQ__prefect-1991,2debaebc7ccc39420f378ba685b14495d6e2c56c,125,7,705,0.3820817470550537,0.5868396759033203
PrefectHQ__prefect-170,97b03ecf3b448b5686ca29f79a34bc730b8f8065,42,125,136,0.2987786829471588,-0.036381155252456665
PrefectHQ__prefect-170,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,91,45,136,0.21447046101093292,0.106160968542099
7086,8e688120af4ee38a344560e916912a002c46b442,1017,13,1289,0.2519108057022095,0.3716607689857483
