bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
numpy__numpy-14882,1c3b11844b45ea5660db5b77a3b02ff5a2712589,64,5,1301,0.6394898891448975,0.36184102296829224
numpy__numpy-18634,bfd08e4691aa426c1a65e791d73e4f7abb08a168,743,155,1581,0.3343447744846344,0.22517803311347961
numpy__numpy-18634,83f06fde8581ac56880e358156fd5d7c48b0a011,43,254,1581,0.5275682806968689,0.20518746972084045
numpy__numpy-13948,739ae7711d2215831e3f4bbdfa98e45f79377688,185,1,1146,0.39376455545425415,0.3853510618209839
numpy__numpy-3495,eda3ef97cd73719365072e71521c2341c18707f5,2,17,1026,0.5906985402107239,0.36096155643463135
numpy__numpy-3866,44cc2b1632e2c935cd9c187647c5a58710de80e1,33,4,966,0.4050058424472809,0.46002960205078125
numpy__numpy-3866,8f0027616961d19cf968e7eba698893538609844,337,17,966,0.2801106572151184,0.41367244720458984
numpy__numpy-9817,130817e7a150d31da2b5a5c119584c58f46e50e6,381,1,923,0.3241639733314514,0.5518719553947449
numpy__numpy-5398,c14d2e3575ee953b15008ea439710c1222fe6d9e,51,6,937,0.4577304720878601,0.4710894823074341
numpy__numpy-5398,db491e6f5d74ca863a1b30818f46d0253f2563f9,394,85,937,0.27658602595329285,0.3850920796394348
numpy__numpy-5398,9ca9136dd9221f46b4e0cab88d6d04f1ab239d9e,84,1,937,0.42173025012016296,0.48533570766448975
numpy__numpy-19613,813063adb6de06481992e6ce3247d21bf5af0274,217,9,1712,0.41118741035461426,0.35737359523773193
numpy__numpy-16022,d2986012b7ace617e407eeaa62d7b87e4167489a,62,1,1972,0.5965926051139832,0.4887450337409973
numpy__numpy-16022,93eb74be31a8c15f417176d7ac09e246c3acbd5f,4,2,1972,0.6903221607208252,0.48141610622406006
numpy__numpy-22519,8830b814743c35ba471ae96012c54600aca9f280,334,3,2004,0.34000203013420105,0.4114515781402588
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,161,256,973,0.44937413930892944,0.14463283121585846
numpy__numpy-6453,c5b5b5a8f0ea8024638f923618d173a000d1ea29,262,5,935,0.39913955330848694,0.38412559032440186
numpy__numpy-16627,a9ee74a5be2560ac73649476bd973d8ffb349ac0,405,6,1346,0.34616515040397644,0.3983592987060547
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,334,11,1346,0.3572928309440613,0.3911803960800171
numpy__numpy-16627,412d9fe6a13a754ae8613d7c8a642cbba468a19d,328,275,1346,0.3590431809425354,0.29761436581611633
numpy__numpy-9976,8f2e45fa53cad636a00af3ebb456d54536b97baa,74,4,927,0.43368715047836304,0.3900850713253021
numpy__numpy-8646,3bbee0258bfc1a9739ab24fb3a259cb471a5f6da,237,56,956,0.20039066672325134,0.24479788541793823
numpy__numpy-23010,138f2e9a051ada4461aaf218eb32d50458294a27,372,8,2057,0.38223302364349365,0.4400297701358795
numpy__numpy-23010,587fab3435735cb7f7b790fc4cf73d7f75d37388,1866,460,2057,0.13881376385688782,0.3051523268222809
numpy__numpy-23010,2e35f5bb9e1d10fbba672495ec82e16b11f05c4b,1355,348,2057,0.2845021188259125,0.3182484805583954
numpy__numpy-23010,a94ba1139168a84bbdd949dc9c9db8373f9c63c6,1318,295,2057,0.2855338752269745,0.3280031681060791
numpy__numpy-23010,ca07bd180c0ea0c3f22282e10ba0ddde6cbba65a,939,54,2057,0.3255554437637329,0.38865503668785095
numpy__numpy-23010,b64f8ab173cb080e8624c4ea9bc499748a85f502,1302,187,2057,0.28867679834365845,0.3474663496017456
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,187,3,1656,0.3959144353866577,0.4421638548374176
numpy__numpy-12488,0379ecb1ada2ab9b39f1100515a3ac51b343e458,118,9,1031,0.4220801591873169,0.30278682708740234
numpy__numpy-18070,6c6c1ff809ce5315f1fa9eb204e0b546af8925c0,147,36,1526,0.5275897979736328,0.33932238817214966
numpy__numpy-18070,c22ceaa5e42fb2ab389bfd078276c52aaa3968bb,668,17,1526,0.4099513292312622,0.36880606412887573
numpy__numpy-3753,6873a4785d984b1b19127994fafe48dc1c8587f5,107,1,1016,0.39953646063804626,0.30305561423301697
numpy__numpy-13306,a1997ef6b90017dba07de1f65ead1d84ab79eaeb,433,150,1049,0.2822223901748657,0.3529379665851593
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,176,51,979,0.3479723036289215,0.30083930492401123
numpy__numpy-21151,1394710841feea44c27572c44967c68e1a64f315,582,931,1934,0.3597261309623718,0.15462394058704376
numpy__numpy-21151,3765a0d34e18d7faee5dbb682c7fdc49aa7d021e,578,29,1934,0.36034709215164185,0.3091825842857361
numpy__numpy-5548,d32f593904ae797c5ec29f23f8515f5e205b2019,129,11,948,0.36734360456466675,0.3822728991508484
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,451,66,942,0.2150825560092926,0.20879822969436646
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,685,61,942,0.16178598999977112,0.21345631778240204
numpy__numpy-10732,11b1acb074fe217a647f0f4a2b7c28898b8f2565,210,53,942,0.28158560395240784,0.2201760709285736
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,290,90,942,0.25333237648010254,0.18187691271305084
numpy__numpy-10732,66c07c9e1e48b8f1f4949b111214abed2fe75007,556,181,942,0.19474101066589355,0.12703587114810944
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,333,100,942,0.24177685379981995,0.17335093021392822
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,241,105,942,0.2689283788204193,0.17164260149002075
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,92,1,942,0.3880201280117035,0.3633301258087158
numpy__numpy-10732,8c383cecec7b8a3985e75380340c6e614b7017d3,288,94,942,0.2537495493888855,0.1801634430885315
numpy__numpy-10732,a75c95e911e21004367db06536643c68e87bc8d8,318,69,942,0.24490149319171906,0.20612473785877228
numpy__numpy-10732,3f3b773a49b19915cbe3ea54b1b7b4e0992c3420,535,119,942,0.1979876607656479,0.16196568310260773
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,420,117,942,0.22152678668498993,0.1630573570728302
numpy__numpy-10732,5a0f977d93425d2bc97b0460764b1cbcb3257b36,523,57,942,0.20077216625213623,0.21841607987880707
numpy__numpy-10732,26161f330938797fd062464148351d2e5de664f0,345,107,942,0.23984664678573608,0.1704510748386383
numpy__numpy-10732,4ff870e1938576491f785b625fac752c1e9694eb,316,369,942,0.24521489441394806,0.06669440865516663
numpy__numpy-10732,4ccdaeea5e94830655424f4a5c642f8aea9e2f95,381,88,942,0.22930464148521423,0.1828162521123886
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,340,101,942,0.24108175933361053,0.1732957363128662
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,81,2,938,0.585721492767334,0.5363684892654419
numpy__numpy-17636,dcf60ada9297180308729db7ccc23c416f86f0f9,774,8,1577,0.23956072330474854,0.43252789974212646
numpy__numpy-4463,7182bf4ae3d014ddebc3b0fd9391edaeb3e1e400,59,1,909,0.47195926308631897,0.6057535409927368
numpy__numpy-15685,12320ae4795a88b03e5d52992d7d61d4d6a65998,233,5,1242,0.39167320728302,0.3822842538356781
numpy__numpy-11813,d31d8a9398b518012e3517bc4240844732b16cf2,215,41,985,0.3841315507888794,0.3463940918445587
numpy__numpy-23335,9584e56d2add3cc50b450bddad892314cabe44af,196,7,2057,0.4981764256954193,0.4564560651779175
numpy__numpy-18911,e1f15d465e7b3d5d828e598de3bed8ff021bf9cc,529,521,1639,0.3953229784965515,0.19998985528945923
numpy__numpy-18911,ca29ad4c0c19dc7daa35f95a88e6027a31647e52,139,498,1639,0.4716552495956421,0.20431552827358246
numpy__numpy-18911,aea9835c78e2653460204fe33503d3011a746d1e,13,3,1639,0.5509213209152222,0.4550785422325134
numpy__numpy-14074,bf6abcf0293197bad92c54f012c999deab9fc597,576,11,1147,0.2436019629240036,0.31875550746917725
numpy__numpy-19775,0a35db477494b6dd19da7cfb085082cf7cd89d5e,664,134,1763,0.26156121492385864,0.37605056166648865
numpy__numpy-19775,c6115070e4cc9943d5e2d368342f98491a6e0291,458,996,1763,0.3035305142402649,0.1583784520626068
numpy__numpy-19775,c3ec792e3b283455d803c7ed035ea45c109bbf43,628,101,1763,0.26740485429763794,0.39330869913101196
numpy__numpy-19775,5250fea84031373dd3cf6afdd6ef5dbde2639c57,961,981,1763,0.21666526794433594,0.16127611696720123
numpy__numpy-19775,2e267cc6c5f2c1dd7ab4fdf2dd629445cca1dc79,654,55,1763,0.2630976140499115,0.43031060695648193
numpy__numpy-19775,fe0d4a52bd160064d792c5a9493a4f07b54cdea1,601,254,1763,0.27233636379241943,0.3250454366207123
numpy__numpy-19775,fd229dbef8f92d18d7627ce53a69f3fb97335e83,726,712,1763,0.25048428773880005,0.21344012022018433
numpy__numpy-9054,01741cd1afb6b2f27e92f70294d561c1af465fe6,176,11,960,0.33351635932922363,0.3928984999656677
numpy__numpy-10542,f9f210532634622872bd26c502ab43157fdaa27b,521,542,937,0.21651169657707214,0.013007506728172302
numpy__numpy-5490,5f96b1d610943e5e9b8fdd93b52c6fa4935daf7d,78,21,948,0.404280424118042,0.41479960083961487
numpy__numpy-5490,11a2688e5dcf08bab79d856f3527281339d6bd04,60,22,948,0.4385220408439636,0.41343456506729126
numpy__numpy-5490,4b10f361caa0ca5279c1ada3eec4a800926002ff,193,247,948,0.3051389455795288,0.28584203124046326
numpy__numpy-5490,1b3d75db6e3ecd88d0dbaa0705ae21088334c8af,173,87,948,0.3148643672466278,0.3612271249294281
numpy__numpy-5490,35a6deaffece59c977d581190ccefa9a11f242ac,95,11,948,0.378726601600647,0.42927801609039307
numpy__numpy-5490,677400367b00b39ca159be6b9843065104e88ffb,214,29,948,0.2958775758743286,0.4009322226047516
numpy__numpy-5490,3826715e146b4f60cc85bc9321966055127f0f85,105,13,948,0.3687072694301605,0.4266955852508545
numpy__numpy-5490,0891e7c8df8536e50f21d35dca98f2bc45b8b512,128,2,948,0.3411465287208557,0.479327529668808
numpy__numpy-22009,fb5dd6fdd441533025c2b62727e65dce08430b40,343,1,1982,0.37583354115486145,0.581154465675354
numpy__numpy-11358,630767dc5347df4ba4b191ae2a7bfea8d7d8ab58,142,1,1048,0.4064846634864807,0.5574090480804443
numpy__numpy-8038,ad2dcc291f42c8b76f4401df9d202a8e73541747,126,1,941,0.35521090030670166,0.517158567905426
numpy__numpy-11427,b7d9c4406709e5069ca573ccd10384e2475b4a15,147,1,966,0.41295453906059265,0.4883188009262085
numpy__numpy-6763,ebc335a850984aa60944f5f763a0f08be4a690f6,31,3,950,0.37760382890701294,0.5089565515518188
numpy__numpy-6660,827909c4712d7f5e24763aac13529e42836a211d,160,19,937,0.25407421588897705,0.3314652442932129
numpy__numpy-6660,a6e4a8dac3b03d75c01de8fa208bbe2c7bb128e8,193,1,937,0.24245381355285645,0.5089198350906372
numpy__numpy-6660,d95a362ca6bc0b2ee6cff3ba8870b621118da6e1,398,50,937,0.19482223689556122,0.2838585674762726
numpy__numpy-13242,6dd6982dfe6a93d2319ea3f5a342e432d26a528a,127,1,1048,0.3919360935688019,0.37983936071395874
numpy__numpy-13242,1f5bc2a51841b0d8a5427f67e8f1e1e618b3ee84,272,8,1048,0.303274542093277,0.33069074153900146
numpy__numpy-5489,bedd0e941f2fa7b9df550240f3eaa828db370241,224,1,935,0.32121604681015015,0.34639251232147217
numpy__numpy-15696,94d3ad503d88f3eef64b8052db84ac22a0b3e3ff,1058,124,1244,0.20991969108581543,0.2683100998401642
numpy__numpy-15696,694523b20a97d8e0c13b8675469dbde26d9b9ee2,711,108,1244,0.3030112683773041,0.27185291051864624
numpy__numpy-3645,ca18d64eaaa49837d235a30ee1d2024386d7f808,199,271,1014,0.3387185335159302,0.1886795610189438
numpy__numpy-3645,c0dc56f300eeb363e22b271f6323a468875bb7b9,86,108,1014,0.3969743847846985,0.23437446355819702
numpy__numpy-8674,066697f3eda6b35223837fad97e467a68fdca580,101,1,956,0.3916105031967163,0.5065876245498657
numpy__numpy-22014,5e89071e88ab03c5e6f163937d59c8b761338a3f,1691,1,1982,0.14611315727233887,0.3682275414466858
numpy__numpy-4677,fe3c037890d1c2fdee67546f02de334e5742dab9,35,18,922,0.5623546838760376,0.36642777919769287
numpy__numpy-3281,4c5b7e9fc970efb333b1145b036cb70451db2b25,87,381,1026,0.3683512806892395,0.17137983441352844
numpy__numpy-3281,1ead53c871eaa86eee0f15b16ada76b99a083c87,309,482,1026,0.257107675075531,0.15892460942268372
numpy__numpy-3281,094d41c11f5477bcb47d4b3c26ce4e5b2234e0eb,563,767,1026,0.19837519526481628,0.10927656292915344
numpy__numpy-3281,4e4d94cd68a6f024a8e92d1ec051ee563f0a3e6b,696,167,1026,0.15529532730579376,0.20859119296073914
numpy__numpy-3281,3f91046d2fda754fdecce9277098acc2e7bbd38c,225,653,1026,0.279278039932251,0.13070306181907654
numpy__numpy-3281,5494313064c62c9c9e6051b31a91e9282f41b1fd,819,181,1026,0.10313244163990021,0.20627841353416443
numpy__numpy-3281,4fe1f8444c3e07f83fc4ef6498411e3d01b6ab27,436,214,1026,0.23138581216335297,0.19938097894191742
numpy__numpy-3281,f1dcbfbdcc1ae12ffef2277d2e956628270497c2,423,946,1026,0.2342715859413147,0.04705723375082016
numpy__numpy-3281,4e00b1cbc551ffed6b7512da17fce3c9cc3243cb,694,530,1026,0.15563654899597168,0.15244843065738678
numpy__numpy-3281,f8471f965a2e0ac9df7b32a08f6c2055df3f17fd,598,22,1026,0.1878913938999176,0.27411600947380066
numpy__numpy-3281,40788e148fd4f9ff1cd8bc8dba42e25fe1133565,414,789,1026,0.23546387255191803,0.10224437713623047
numpy__numpy-3281,861fefad0b4f49838385708c7ea7158b7a239fe0,419,715,1026,0.23464512825012207,0.12019281834363937
numpy__numpy-3281,5811be876962a5a288d02ed4a568d7af0db197e3,709,486,1026,0.15115413069725037,0.15872910618782043
numpy__numpy-3281,314cba120b3f44fe6b79a655929e5d02f2dabd48,391,533,1026,0.2397119104862213,0.15155309438705444
numpy__numpy-3281,2519cd4d41eded4eb15a7f61d554909c114af895,272,293,1026,0.26636409759521484,0.1868634670972824
numpy__numpy-3281,ba89637eb50e3fd665f6152701c482d1ad05f981,186,565,1026,0.29150283336639404,0.14582335948944092
numpy__numpy-3281,de8606167e11e7fd925819906f988194789714e7,289,543,1026,0.2629426121711731,0.14998576045036316
numpy__numpy-3281,86d45f6187a6e0c0929ee32f7853331ee9e8eb9d,392,439,1026,0.239540234208107,0.16412165760993958
numpy__numpy-3281,98f58e33326d024e026bba40fee5a5dfa4458254,720,314,1026,0.14840172231197357,0.18180125951766968
numpy__numpy-3281,c13c7e94aafbc169c70c5d578a09e5e3a0432a92,215,281,1026,0.2824476659297943,0.18890786170959473
numpy__numpy-3281,775929fa177787047e25ea3da9eeaf5cb3d7f184,613,294,1026,0.1818132996559143,0.18685436248779297
numpy__numpy-3281,d1084b75eeb7fd54f4b21ecc8eac0dc6e4c849bb,148,60,1026,0.31506073474884033,0.24297691881656647
numpy__numpy-3281,66171ba855afebe1313e92d5e72b056984445314,637,261,1026,0.1733749657869339,0.19116520881652832
numpy__numpy-3281,e61a89b87dc43a1c882e66fb0e0bcf57ef4ee745,495,134,1026,0.21875371038913727,0.21774189174175262
numpy__numpy-3281,57ab3ce78348a00021169a1c3ce77225aa706c79,388,682,1026,0.2406921088695526,0.12482822686433792
numpy__numpy-3281,af59d687eb82f7f07ee1c53ad80ce7d1cc124c9b,607,466,1026,0.18449461460113525,0.16101674735546112
numpy__numpy-3281,5d6bea3ca9aae493aa6b9496e067141954209fd9,447,325,1026,0.22957786917686462,0.1803174465894699
numpy__numpy-3281,6e0cfcddb79d1dd7c26a88fbfa80f1af5665cb2f,440,371,1026,0.23072083294391632,0.1738845705986023
numpy__numpy-3281,e391430f5a00ce92dbeced17029ac2edae4ec919,387,447,1026,0.24070942401885986,0.16285067796707153
numpy__numpy-3281,bfeaf4c9b79e53d50b028f22e8f60283121af6a6,444,96,1026,0.22984850406646729,0.2294507920742035
numpy__numpy-3281,173853b6c161f4dc7cbd5a8f1ac8abcdd7d13f26,453,10,1026,0.2279779016971588,0.28815898299217224
numpy__numpy-3281,a76401ac92a75756a6ffc8dbc6bfef47f91c3ba7,776,200,1026,0.1269340217113495,0.20082823932170868
numpy__numpy-3281,b68a79b642a394ff71130c3ebd66492892749d15,578,476,1026,0.1923683136701584,0.15990327298641205
numpy__numpy-3281,c86a15407b98252969949f9057699bafc4863f4c,532,58,1026,0.20885518193244934,0.24308592081069946
numpy__numpy-3281,1e84fd89489486f6cbe5b609fc5303046eb6e08f,128,287,1026,0.3345611095428467,0.18795904517173767
numpy__numpy-3281,a16a07d591f201872817a7f40298270b979571e0,692,166,1026,0.15656974911689758,0.2089289128780365
numpy__numpy-3281,85e6790600a3aaac75b0e9fdc2f83fafc0bf3291,558,442,1026,0.19978748261928558,0.16352137923240662
numpy__numpy-24364,20b212792eb1e014dc33a8abb55a595aa628a92e,427,1254,2060,0.43236860632896423,0.14595362544059753
numpy__numpy-15189,a843f725fc8ba835b379d107c325a40bed6439d5,1045,244,1232,0.17013271152973175,0.10569128394126892
numpy__numpy-7260,f3d30d15c44122411d6f3da50249c7af221b64f3,230,1,935,0.43813949823379517,0.45243245363235474
numpy__numpy-18906,71b01d6cd1e5cafcff2c70e063bee8be4febf724,1328,234,1638,0.23651529848575592,0.2150103747844696
numpy__numpy-18906,7efa5c07fcfe8fa70ffdf41a54c32944279b32c8,1188,537,1638,0.26620781421661377,0.16261756420135498
numpy__numpy-18906,3267197f53fb5fb3a703fdb4ecf19b74da5440e8,969,196,1638,0.3138442635536194,0.22300028800964355
numpy__numpy-8988,4a07815e84acb8e0e44ebecaecc3982f1555eca9,125,1,950,0.40889865159988403,0.44066929817199707
numpy__numpy-22046,93eb74be31a8c15f417176d7ac09e246c3acbd5f,8,1,1992,0.41854357719421387,0.5366841554641724
numpy__numpy-12224,85a830661a3306c596129e554473008723db72ef,149,1,1015,0.40858227014541626,0.4999404549598694
numpy__numpy-20325,9fab77f453825d103c0e16aa30c39f5c46fb06f9,507,15,1815,0.32770854234695435,0.36929941177368164
numpy__numpy-20325,4d57acdb2e0222517db94cff3c91085097c80664,268,1,1815,0.38207271695137024,0.4902001619338989
numpy__numpy-4344,5cd535703690b83b761b35f77f5e39afdfda1be6,169,4,969,0.3319604694843292,0.3654865622520447
numpy__numpy-8388,a59fe3cc4e327cb73d419401707cc2e638f11835,111,1,943,0.3470325469970703,0.6170271635055542
numpy__numpy-5518,0b18bc6c62fa4476d6eb21b7167c5a96282ece96,227,350,934,0.3325396478176117,0.16157332062721252
numpy__numpy-12807,23a4b7c41a76be289e8bb594b9ad39501e64ec9d,727,9,1038,0.25097861886024475,0.31515979766845703
numpy__numpy-12807,8750ed0b3d19e9052733af6e6ba01ad1f4455885,578,15,1038,0.2920841574668884,0.29441046714782715
numpy__numpy-16349,f233c72409673bc2dad899cf61c070a8a6b69261,93,13,1249,0.424287348985672,0.3777437210083008
numpy__numpy-7268,5b1237a3285b2345068568f4f979da9e53db2418,291,65,937,0.3952121436595917,0.25400587916374207
numpy__numpy-16300,4e320576bdb34e507caf98665a9365e962e0818e,54,313,1480,0.6028050780296326,0.23413807153701782
numpy__numpy-16300,613bcb550dfd1bc3386862c8f014cc8bc818b0a3,59,555,1480,0.5999026298522949,0.18134725093841553
numpy__numpy-3608,0dacd4bca761637d9344296d001e8e1c1fb6ce33,103,160,1012,0.3644663691520691,0.2434573769569397
numpy__numpy-10951,8e8339355245ad458ccc23ca2d537289f0a6a4dc,175,1,953,0.364829421043396,0.3692934513092041
numpy__numpy-12358,1ef3dca47ec5aea6b41a0a676e52d4686684f43d,39,15,1028,0.6326984167098999,0.36842262744903564
numpy__numpy-13599,1b66f3a3e92321da90750d91b239fbe13cd67bfa,191,3,1056,0.3504103720188141,0.45451831817626953
numpy__numpy-3772,1f3e6b44edc4a694e2aed1ce3ebf60e5c927fc48,80,194,1016,0.46981844305992126,0.2553771734237671
numpy__numpy-3772,1c8cea4f7e4a49c52c24ef3712149d79bf5decbe,2,22,1016,0.6033061146736145,0.32371723651885986
numpy__numpy-9552,d0d384a62d8241bfe79a89000ef24e79738eaa1f,185,444,917,0.3239790201187134,0.11329224705696106
numpy__numpy-15028,83cecc917ea8e896e7e43105a4530333609d943c,297,2,1215,0.35248643159866333,0.42091116309165955
numpy__numpy-9965,366d14318adec158b329d6592f908f27f7a148f5,220,120,926,0.2682781219482422,0.20540891587734222
numpy__numpy-10629,1f193ecfcf283539eb8ef1ea5b085955c63e7a35,118,256,938,0.4922407865524292,0.14064118266105652
numpy__numpy-10629,9e979bbe6a710eda8eefc6b45c7488cc1ba7eac2,91,74,938,0.5281298756599426,0.21258750557899475
numpy__numpy-10629,65c3ed00dbd308146709b7e8a7086c613b8818f4,126,488,938,0.48694878816604614,0.08074291795492172
