bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,73,862,0.14771632850170135,0.23471860587596893
jupyterlab__jupyterlab-3481,65ee3711ef3c884c1a42173e8f1e09537ef483cd,846,90,862,0.1498335301876068,0.2251231074333191
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,1,344,0.3963467478752136,0.5190550684928894
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,4,344,0.3430691063404083,0.43843862414360046
jupyterlab__jupyterlab-13907,4cb2de4ae8fb1d264c7acd2f224c4548808a7d26,331,142,2323,0.3059731125831604,0.43610793352127075
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,5,1489,0.2693433165550232,0.4079250693321228
jupyterlab__jupyterlab-6585,bc852a6d8af6b3c1e5acb759602258b9bcfee7b5,504,5,1380,0.30889901518821716,0.470511257648468
jupyterlab__jupyterlab-6585,41bee80e4ea13988ef20f0e6b591b59d7742a3e6,1404,2,1380,0.17738132178783417,0.502474308013916
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,1,1185,0.3198380172252655,0.4605500102043152
jupyterlab__jupyterlab-5723,f4b83a68524ef4d27b02b90a677ec5775e4e6b9e,694,6,1185,0.29599735140800476,0.4218597412109375
jupyterlab__jupyterlab-2488,75621dd2531c5564c97ccbc23cc9aad069754212,386,482,613,0.2981371581554413,0.14727121591567993
jupyterlab__jupyterlab-8913,69b8409fb893411f1e1c3fabefdaf71e3cd0e601,448,18,1630,0.3191163241863251,0.34268954396247864
jupyterlab__jupyterlab-8913,9b6f7bccd8304a127cdbb1c13c2173f64a3cf9f2,321,49,1630,0.3477058410644531,0.321977436542511
jupyterlab__jupyterlab-8913,c8c43413d0145252eea4816776451196addefd50,315,21,1630,0.3482683598995209,0.3398379683494568
jupyterlab__jupyterlab-8956,0dbd7642f36013f31d6d0d7e98cfd4acad94cde1,1313,881,1631,0.2495490461587906,0.2626006603240967
jupyterlab__jupyterlab-8956,e09c615464b116cee90935976a40c11d06a6f654,921,1630,1631,0.29622334241867065,-0.18896909058094025
jupyterlab__jupyterlab-8956,ad93fdba23baed1a9ca8b81626b587a8401d55db,1354,1292,1631,0.24312837421894073,0.16731411218643188
jupyterlab__jupyterlab-8956,3607df493ccf6e38f7a5165c18b38d4880b9e5ee,1486,1378,1631,0.21884359419345856,0.13238966464996338
jupyterlab__jupyterlab-8956,9ba75956ab2a7501c887d939c04d251aff4cb03e,201,713,1631,0.41504907608032227,0.29370179772377014
