bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,2,862,0.14771632850170135,0.435438871383667
jupyterlab__jupyterlab-3481,65ee3711ef3c884c1a42173e8f1e09537ef483cd,846,665,862,0.1498335301876068,0.05454293265938759
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,6,344,0.3430691063404083,0.21008899807929993
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,1,344,0.3963467478752136,0.3794589042663574
jupyterlab__jupyterlab-13907,4cb2de4ae8fb1d264c7acd2f224c4548808a7d26,331,169,2323,0.3059731125831604,0.24796214699745178
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,431,1489,0.2693433165550232,0.24373966455459595
jupyterlab__jupyterlab-6585,41bee80e4ea13988ef20f0e6b591b59d7742a3e6,1404,1,1380,0.17738132178783417,0.40112370252609253
jupyterlab__jupyterlab-6585,bc852a6d8af6b3c1e5acb759602258b9bcfee7b5,504,3,1380,0.30889901518821716,0.3617103099822998
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,1,1185,0.3198380172252655,0.5262308120727539
jupyterlab__jupyterlab-5723,f4b83a68524ef4d27b02b90a677ec5775e4e6b9e,694,4,1185,0.29599735140800476,0.3384079337120056
jupyterlab__jupyterlab-2488,75621dd2531c5564c97ccbc23cc9aad069754212,386,475,613,0.2981371581554413,0.12898597121238708
jupyterlab__jupyterlab-8913,c8c43413d0145252eea4816776451196addefd50,315,2,1630,0.3482683598995209,0.3528726398944855
jupyterlab__jupyterlab-8913,9b6f7bccd8304a127cdbb1c13c2173f64a3cf9f2,321,15,1630,0.3477058410644531,0.28387629985809326
jupyterlab__jupyterlab-8913,69b8409fb893411f1e1c3fabefdaf71e3cd0e601,448,681,1630,0.3191163241863251,0.08539298176765442
jupyterlab__jupyterlab-8956,e09c615464b116cee90935976a40c11d06a6f654,921,1630,1631,0.29622334241867065,-0.2714453935623169
jupyterlab__jupyterlab-8956,ad93fdba23baed1a9ca8b81626b587a8401d55db,1354,279,1631,0.24312837421894073,0.19351184368133545
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,1631,1631,0.2673693299293518,-0.28180503845214844
jupyterlab__jupyterlab-8956,0dbd7642f36013f31d6d0d7e98cfd4acad94cde1,1313,86,1631,0.2495490461587906,0.27483034133911133
jupyterlab__jupyterlab-8956,9ba75956ab2a7501c887d939c04d251aff4cb03e,201,2,1631,0.41504907608032227,0.38473743200302124
jupyterlab__jupyterlab-8956,3607df493ccf6e38f7a5165c18b38d4880b9e5ee,1486,1367,1631,0.21884359419345856,-0.04653937369585037
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,278,388,402,0.20784813165664673,-0.12929658591747284
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,130,2,402,0.2667600214481354,0.4021778702735901
jupyterlab__jupyterlab-2410,228bd6096f930734c9351c1fa408995b32673a0c,486,5,593,0.1845189779996872,0.33285361528396606
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,606,4,593,0.10914197564125061,0.35811907052993774
jupyterlab__jupyterlab-9232,02db2fddc8e6c88b13fae7d5a4d8c4936eeacbcc,75,1,1646,0.4034442603588104,0.4850977063179016
jupyterlab__jupyterlab-8780,4dc1224b3270d340fe37c1534139090d43070535,1235,6,1443,0.22650566697120667,0.18029989302158356
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,463,1,691,0.2399817407131195,0.4350552260875702
jupyterlab__jupyterlab-2841,860333919415e9d5ade3fb435d90c376710b18f1,320,215,691,0.29319193959236145,0.08571484684944153
jupyterlab__jupyterlab-9390,4a1295698dc5c88a1716604b0f94c66298de5ad8,310,50,1645,0.294444739818573,0.2117908000946045
jupyterlab__jupyterlab-9390,2b832a1977dfa6766af5626a61fcef5d0f99fd49,1144,11,1645,0.22484806180000305,0.2851853370666504
jupyterlab__jupyterlab-9021,d1cda444f2275ccbec870133de0211bfa86c3df0,452,1,1637,0.2889544367790222,0.4000985622406006
jupyterlab__jupyterlab-2069,1a265a9700643315f1e1ea1413c6a8992e778648,565,2,576,0.1793801337480545,0.2658703327178955
jupyterlab__jupyterlab-2069,7665a2c70b6c9f7a8b505387f48aeaaf601e4c38,471,242,576,0.23881220817565918,0.03724615275859833
jupyterlab__jupyterlab-2069,583c88f291818bf0d8816bf1d671ed6c86b6d3a0,615,1,576,0.12090250849723816,0.36722296476364136
jupyterlab__jupyterlab-2069,c3776466d481378a3655136b0f4e0effaba2e5a2,601,3,576,0.15087415277957916,0.2245829701423645
jupyterlab__jupyterlab-7805,bf657418129087dd6cb1e6db6cd40e77c7add148,78,835,1437,0.5403804779052734,0.0715019702911377
jupyterlab__jupyterlab-7805,5e5be9e48b463183bc0d202581e2b4f16cb122fc,912,45,1437,0.4174186885356903,0.3132692575454712
jupyterlab__jupyterlab-3107,656fc38fefabcc786ca041756d0c8b5dd8141f3e,856,1,765,0.11372494697570801,0.3160414397716522
jupyterlab__jupyterlab-2466,674c72e0b9aaeeb8d8b72a834c88a9be9d2850c7,490,62,597,0.1912335604429245,0.1998145580291748
jupyterlab__jupyterlab-6445,f10cec18f09ea7787cc404e1b4bcea21a4990e39,705,1,1309,0.23299922049045563,0.48439544439315796
jupyterlab__jupyterlab-7723,0de688edaac853a931d3b76baba72ce0097d5b62,345,1,1490,0.37769225239753723,0.3835727870464325
jupyterlab__jupyterlab-2409,a8d74ed2fc3b15586a0102aecd79458a038cad30,626,8,593,0.11436685919761658,0.27798211574554443
jupyterlab__jupyterlab-2409,eaa3946e8231b0b2369e448a690bc87413151a43,622,3,593,0.12217827141284943,0.33430296182632446
jupyterlab__jupyterlab-2409,6b0ced67b0e8d97f587e6bf3d6fe98c10af50820,630,1,593,0.09562452137470245,0.39774081110954285
jupyterlab__jupyterlab-2215,eb5079b6741359e9ebda17d938d09c52e50ef63e,476,33,583,0.24792373180389404,0.1967734396457672
jupyterlab__jupyterlab-3127,0cf5ecbfafbeb2b77335e555c9117bb6ca0a4f97,69,2,765,0.315201997756958,0.3243926167488098
jupyterlab__jupyterlab-2441,e555bc72b6cd5de9da14f5512f4e94822c5613ef,123,1,593,0.33927983045578003,0.6082886457443237
jupyterlab__jupyterlab-6451,6044127f84d5ccf60cec1869a526c823962b830d,111,397,1311,0.419683039188385,0.14321090281009674
jupyterlab__jupyterlab-6451,7c039d1ced2896f8c23e1810640547517941ea98,349,249,1311,0.3327690064907074,0.19787220656871796
jupyterlab__jupyterlab-7016,c040ae41a02fdbc817b01ff3714f9c76c5634b06,419,246,1400,0.29452043771743774,0.24996165931224823
jupyterlab__jupyterlab-11003,e2a44b817cbfe2f5b1ec2d0363281bc44fa48a3d,340,5,1976,0.3617798686027527,0.3212206959724426
jupyterlab__jupyterlab-12680,2f543d15e32f57214c3413ebab74ff89bb52810e,1202,795,2193,0.3959032893180847,0.18465638160705566
jupyterlab__jupyterlab-12680,e41ae2729ac56ab2d0acf58409366efa052a6c92,883,1978,2193,0.4369847774505615,0.0659717544913292
jupyterlab__jupyterlab-12680,3acf0ad4cfffb1f8dfba9134e379a26015e23e8e,1350,673,2193,0.38084810972213745,0.19510290026664734
jupyterlab__jupyterlab-12680,eaa3a3751ccdbbe803e8b8acd13ff49647ba2d3d,1230,636,2193,0.3928035497665405,0.19836217164993286
jupyterlab__jupyterlab-12680,feada920714403b5d69d05611ed631992a8fc291,2050,411,2193,0.27284908294677734,0.2485904097557068
jupyterlab__jupyterlab-12680,eaf0186e7226d297b89b49e41a4ca223eba94f4a,1207,1487,2193,0.3954278230667114,0.12908630073070526
jupyterlab__jupyterlab-12680,160ecfa22f56b582b41f083fb0eaf3a588504a7e,1223,1575,2193,0.39394474029541016,0.11956177651882172
jupyterlab__jupyterlab-2038,cdd53bbed1449a4e1e70eeb923a7b4f5deeb071f,130,11,588,0.28238430619239807,0.2290782928466797
jupyterlab__jupyterlab-2038,ab48643b3516e9aa04f94c5a5230f08720eb4a96,123,6,588,0.28727850317955017,0.2837805449962616
jupyterlab__jupyterlab-2038,c57a9eee02105f3d8e8ca55de8a096d13b536b82,36,1,588,0.4235003590583801,0.3829183578491211
jupyterlab__jupyterlab-2038,57886fb63cb03404963dda3ce91054a6aaadbf84,13,5,588,0.5162858366966248,0.2956653833389282
jupyterlab__jupyterlab-2038,d63760472a978a8e172304ee70c5000dc4b5ca6f,592,386,588,0.1398123800754547,-0.07845237106084824
jupyterlab__jupyterlab-2759,c3b154aa4d1264881331e24b33d3273d1421a56a,24,1,671,0.4332679510116577,0.41883111000061035
jupyterlab__jupyterlab-2759,5e52c5e802fa0b77ee65bfbe892a08244aef58fd,565,11,671,0.18377360701560974,0.2609242796897888
jupyterlab__jupyterlab-2759,4f216705a888de6e3cf0b972fd731c4a4749c446,707,4,671,0.11360681056976318,0.3626355826854706
jupyterlab__jupyterlab-7764,0e351cf4734a8b9ad0ae43bb88583ed43478c0f6,1185,123,1433,0.32487952709198,0.24143677949905396
jupyterlab__jupyterlab-4920,eb730efe7fe6384333b697c975db4cafc1127c32,326,63,954,0.28346794843673706,0.16688629984855652
jupyterlab__jupyterlab-4920,0ea7d024bb5f0fb8898ee5e7532de4ba7af50121,308,11,954,0.28752049803733826,0.23402540385723114
jupyterlab__jupyterlab-4920,acedec5a56cb617166e25b6dc6b52d63cfa7a204,771,331,954,0.24221035838127136,0.10050234198570251
jupyterlab__jupyterlab-4920,e6e1722f2d1b4bc6eb81548ba9d34fef2eb9460b,828,127,954,0.2366313636302948,0.13922449946403503
jupyterlab__jupyterlab-7109,fec2ca990bf4d830e994d71d81b0ef289ea99d0f,23,1,1406,0.5007542967796326,0.4790370464324951
jupyterlab__jupyterlab-7136,0e7363631d572dabcfea8279abba3da77402bfcf,920,5,1401,0.26417726278305054,0.3218967616558075
jupyterlab__jupyterlab-7136,d7ce7bbfae5f1be04f3ef8a6f082bce029cf390d,448,9,1401,0.30885258316993713,0.3118697702884674
jupyterlab__jupyterlab-8779,f28ad7f5300bce42d8917835db84cd90baac9f34,1147,1481,1612,0.3176821172237396,0.024415262043476105
jupyterlab__jupyterlab-8779,7316958c5241ec81fb14b34341bd893ea28e2dcb,1412,1480,1612,0.2652775049209595,0.024869076907634735
jupyterlab__jupyterlab-8779,ce22e9911381ed230e43c50517b9db9237b5c158,887,1,1612,0.3633795380592346,0.4074142575263977
jupyterlab__jupyterlab-8779,6d2bb1c95ef6b25f614b173ed50b65bf98b9a759,713,3,1612,0.3894875645637512,0.36571168899536133
jupyterlab__jupyterlab-8779,bc58bef36f30bcf1f3741654f2c2073b3319d5f7,1025,1534,1612,0.3412145972251892,-0.0018328353762626648
jupyterlab__jupyterlab-8779,85e6a8c63c36a6a3262268a007ea6d1c60b9acf0,801,300,1612,0.3733171224594116,0.20361879467964172
jupyterlab__jupyterlab-8779,36c47509c85eccd7e15f9ddedd68566dc577304f,1697,1329,1612,0.19131362438201904,0.05968198925256729
jupyterlab__jupyterlab-8779,47ea464e744832e0a65cb27d8ba2bc339c058cb1,1397,1324,1612,0.26748281717300415,0.0602828711271286
jupyterlab__jupyterlab-8779,24532dabfb5c6bc9ae438b33fbd239408cedf76d,1001,1568,1612,0.3471105992794037,-0.026723669841885567
jupyterlab__jupyterlab-8779,7e00504041a5dab0947321cf05751c1ca46cba2f,891,1493,1612,0.363098680973053,0.02162124775350094
jupyterlab__jupyterlab-8779,c249f008e32ec82652a3bb23f7432ae40cc32d9f,1275,1522,1612,0.29321351647377014,0.00679691880941391
jupyterlab__jupyterlab-8779,052b0d78e4920c2002422c10b78d090d2f436cbb,1385,1557,1612,0.2693430781364441,-0.01875523291528225
jupyterlab__jupyterlab-8779,93594a9ab2c45124f82a851c73039fcc339011d0,1405,1263,1612,0.2665119171142578,0.06923259794712067
jupyterlab__jupyterlab-8779,64da2c5dcc9ad828b182f0200cadd3e917a217b4,1074,1514,1612,0.3330323398113251,0.00990491546690464
jupyterlab__jupyterlab-2836,f96ee7feabe5dc19008f9d0cd84d1c3ed1aaaa17,211,1,687,0.29706329107284546,0.3277185261249542
