bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
Qiskit__qiskit-10401,2a079b304fab57b80a4bd49baabd900d0dfaea78,1176,45,3301,0.32705169916152954,0.6086007356643677
Qiskit__qiskit-636,68017e0b9bae0217e3c307dfbf1e55429cab2621,39,2,389,0.2770654261112213,0.845809280872345
Qiskit__qiskit-636,02acaa22c51010e623b93ff4843498e388bb3e5e,130,37,389,0.18594202399253845,0.7171418070793152
Qiskit__qiskit-9617,476e4857223839bb4111c2843765482f3cae0f86,16,5,3092,0.48665857315063477,0.7219500541687012
Qiskit__qiskit-2781,9128654cabd8696c4032d2135b2d256281995a0b,66,3,645,0.38638728857040405,0.728395402431488
Qiskit__qiskit-2781,b7744e6f6e08e6ea4abc66709b741b2799998987,22,12,645,0.42979297041893005,0.6300966739654541
Qiskit__qiskit-2781,71bad02824dab94bd630eb00f01c025cb2fcb2b0,49,7,645,0.3986915051937103,0.6574206352233887
Qiskit__qiskit-2781,378053e6f08234908688b29a3f47829bac93a850,13,18,645,0.4431241750717163,0.6074188947677612
Qiskit__qiskit-2781,4e907d522414432a4a714b580b912086a234ac19,6,6,645,0.46213042736053467,0.6708832383155823
Qiskit__qiskit-6562,f7ae267653213a093f937f07490115efa2b935af,485,5,2046,0.3127894997596741,0.7678245902061462
Qiskit__qiskit-3057,9e605f1a67b7bee06b4dcd51b92d2826b9eff130,502,3,686,0.2348039597272873,0.8284129500389099
Qiskit__qiskit-4140,5f3ddad3e8f570adc89b404ab076f32cb15b262a,340,4,1020,0.23246195912361145,0.845085859298706
Qiskit__qiskit-8989,6b48a30090ed637022ca9ac3e218db31ae20e029,84,3,2832,0.42209163308143616,0.8994697332382202
Qiskit__qiskit-688,6fad3fcd0a4f40b337e0100ec28fe8d637d83abd,227,31,399,0.2955028712749481,0.6196088194847107
Qiskit__qiskit-688,b8bbe4ed0b5ec460beae19ee31997da5c442534a,73,29,399,0.3859676718711853,0.6226462721824646
Qiskit__qiskit-688,8ee13e47f8ce8e69e378c9379b60d284070fd34b,360,98,399,0.16589801013469696,0.5052024722099304
Qiskit__qiskit-688,5e7693161dc87f4d0859ecaeab5a981fbc302689,240,76,399,0.290422260761261,0.5279576778411865
Qiskit__qiskit-7140,e4f55ad485bd765106535df4d8751920d1264d0c,410,2,2179,0.38472333550453186,0.7345571517944336
Qiskit__qiskit-4472,39b0cab8647844fdd86d0de04b47ea0d51bfa3ec,973,2,1153,0.1933697611093521,0.8667779564857483
Qiskit__qiskit-3042,c4abde54f2fa4b282bd46d41ce8aaa3cd86f0f83,92,1,698,0.39617955684661865,0.8410034775733948
Qiskit__qiskit-3708,a09950f1cf1f8782d0a71cd639b762a87beb93a2,395,1,871,0.21955004334449768,0.8472092151641846
Qiskit__qiskit-9095,075ac339b18249160dc16062b0bcd14f581b745d,1124,1,2874,0.3361154794692993,0.7730408310890198
Qiskit__qiskit-5534,0bbf7ca17bef9d2ba4fd8b89dff0444f87ecc719,264,106,1711,0.3591192066669464,0.3261930048465729
Qiskit__qiskit-3873,2b11897f72617bbb163aa4e4044be83acea41ed8,564,22,933,0.2974550724029541,0.334736168384552
Qiskit__qiskit-3873,31e1ed962c44b3d8ef609f3f000a085cae6c255f,236,5,933,0.3814752697944641,0.40342652797698975
Qiskit__qiskit-3873,d82094957a4d78533637ccb563194f840c50dcfd,270,12,933,0.3707854151725769,0.36986273527145386
Qiskit__qiskit-3873,c86562fcdc7cef1b02fcd9e88f801fed13c07e47,575,6,933,0.2949771583080292,0.3819342851638794
Qiskit__qiskit-3873,23ed6bf5ce6bd758c7ad43e50bad6923083e901d,309,3,933,0.35653409361839294,0.44480687379837036
Qiskit__qiskit-3873,fa1b5c405979069ab7c1de5bf68e8422fb7a6583,283,1,933,0.3651868999004364,0.5091516971588135
Qiskit__qiskit-3873,c0d727b17c3a240674645df91fdc520b4a83147b,276,2,933,0.3677007257938385,0.49590831995010376
Qiskit__qiskit-3873,20282c655cf9de9b9003d161dacf901f6a464b23,244,15,933,0.3794248700141907,0.3536446690559387
Qiskit__qiskit-4263,9143cbbb40b09e4cd009fda602dacadf44bf905b,427,44,1070,0.2655046284198761,0.6360218524932861
Qiskit__qiskit-4263,be035a6ebbeefa13b358b5683f20972a263a2b1a,250,8,1070,0.3146159052848816,0.7293378114700317
Qiskit__qiskit-7365,c765e0dc3bdd41311b7a11f4e02bcc0e9ea95a18,95,2,2284,0.4123116731643677,0.8399178385734558
Qiskit__qiskit-7365,7f7caa8cd2091644bb0ef4e75273370d014c605f,181,11,2284,0.3904537558555603,0.7506459951400757
Qiskit__qiskit-760,2ebd25ec522c626c62f9b2a3f06441731be96500,88,2,399,0.36123818159103394,0.582766056060791
Qiskit__qiskit-10382,3778075e27a2a652aa6910a9c04037bca1f96ff3,901,2,3315,0.38846737146377563,0.8646050095558167
Qiskit__qiskit-4049,182090b3ebac406d516486b61b06c25bec5df4ce,873,28,1001,0.20371004939079285,0.40406692028045654
Qiskit__qiskit-4049,5c0a788bf533628f7606545d8feb07c25b279e12,787,94,1001,0.23129874467849731,0.2628263235092163
