bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
docker__compose-5234,1a18c66549d42657635a3e2f01dc424eacb349c3,205,7,265,0.1659640222787857,0.4552943706512451
docker__compose-5593,44c7ad91d8ffdf7e00c9f02c089cbc73364e8cad,67,1,276,0.36625152826309204,0.6615790128707886
docker__compose-5593,7cea91a2da2a2a69b0ce0c0c95671cf04cc5d5af,189,3,276,0.25624972581863403,0.39030662178993225
docker__compose-2239,1a3b30accc4365f244a1230001799ecda8bf7875,91,24,190,0.2934653162956238,0.2632957398891449
docker__compose-5566,420eb3f09935d19f6c23e2d879d8ab3952730538,22,4,276,0.3707965016365051,0.5219770073890686
docker__compose-5566,95e2bf60e5fd029e10f243d7d65ec2fc1e528d2d,195,2,276,0.19899240136146545,0.5643460750579834
docker__compose-4339,b2654dcfd911aba5b6ae254e28b7e1c2d6d76f76,142,19,229,0.28357404470443726,0.18990904092788696
docker__compose-5237,face38e6d3311de8d0807752d437ab97856c2880,80,1,268,0.3603493571281433,0.6242833733558655
docker__compose-2361,f0478203bb122696e329e0199ac1cc8647cbdf3c,133,2,194,0.20864742994308472,0.3117150664329529
docker__compose-2361,f286195406737100a0be88a67a4e60e57ccf5c19,113,1,194,0.23994378745555878,0.374467134475708
docker__compose-2361,11aeac38c20f0dedb43b57fc91e4b2041ab92e8b,68,3,194,0.32886677980422974,0.29042166471481323
docker__compose-6342,a7f2aa05720d50bfc3eef62d5fd95a51975735fc,250,3,300,0.09627947211265564,0.4408233165740967
docker__compose-2527,853157ee89f2b8c3644d21a63aea67dd9e022db3,73,1,200,0.27764442563056946,0.43726471066474915
docker__compose-6388,22dafdb223cb2f65db8ffd1cd7052a00c8265e98,77,16,299,0.3446723520755768,0.4060251712799072
docker__compose-7027,1fa8a17a23339aa3d7200e5eae9c1f6a6de79cd2,213,4,310,0.13624200224876404,0.3728552460670471
docker__compose-2000,dc630adf279618d7c886a03965beab10020f7a12,66,15,165,0.2888575792312622,0.14244705438613892
docker__compose-4528,023efa274838ab14ecb722d5ae594f955dadb3d9,133,15,237,0.2899485230445862,0.2897488474845886
docker__compose-3052,850af31c90ea9451477fd4386b9cd8ba7cd67e9d,202,2,244,0.11280062794685364,0.484881192445755
docker__compose-5699,fd7f92a81f7bd306fcf1f9c18781da06492f716a,73,1,274,0.3433549702167511,0.6211044788360596
docker__compose-5634,a581ae67285b7e32f3a92144326a7c8fb16b8df4,128,1,272,0.1936301738023758,0.6087902784347534
docker__compose-4635,580bd1b073df19fb9026a751c62bb89e15587f06,175,135,237,0.22084292769432068,0.00902491807937622
docker__compose-4635,854cc79954d252e9cb18bf44df54db7cca1db04c,200,32,237,0.14797896146774292,0.16689810156822205
docker__compose-4635,68a0598e12820642f5307fbaebedf80c431b834e,132,129,237,0.2842710018157959,0.024978414177894592
docker__compose-4635,5f580645910e578e0c341d419f53c1a2455734c0,129,204,237,0.2882646322250366,-0.12539903819561005
docker__compose-4635,a66471983ecebd6954d9117bdc0ae4f1dc24fb97,45,197,237,0.3909507095813751,-0.10949338227510452
docker__compose-4635,7cf71eb98bd7f428329082794f2487724156e1df,201,205,237,0.14728794991970062,-0.12578314542770386
docker__compose-4635,020354283f6fab5bde277498ca980ccfe0a34e52,93,56,237,0.3346630334854126,0.12332417070865631
docker__compose-4635,4c9cf423bb44435d7ad7a434aa812a57ea98306b,111,39,237,0.3166879713535309,0.15099671483039856
docker__compose-4635,e495410cff8886f8bdf37b8f5e082b431f2bbf47,105,15,237,0.325885534286499,0.2397569864988327
docker__compose-4635,d98f68d2fb7ae75484c2a33a978b300874028e41,94,70,237,0.33390557765960693,0.10635557025671005
docker__compose-4635,e694dbdae53e85fa1109e47b8249b3a1694ee5db,174,163,237,0.22089354693889618,-0.04192008078098297
docker__compose-4635,811e6c1fc37000d929a13e3401966f0ea164141c,205,121,237,0.11120067536830902,0.035713981837034225
docker__compose-4635,299ddea465caeb1db98691102bb76bc167613526,204,13,237,0.11429762840270996,0.26335734128952026
docker__compose-4635,3f23f0a7aea84689b007a8444510d17448717730,148,184,237,0.2636995315551758,-0.09175098687410355
docker__compose-4635,51ba36a094bcb68300639eb0675980f172aa8414,34,6,237,0.4046371579170227,0.38122668862342834
docker__compose-4635,16ed01b861400459da9301212e6f698c96e047c9,124,232,237,0.2990991473197937,-0.2878415882587433
docker__compose-4635,46d283f080cbeda2b33a66a184fb9b43cc50b8d3,207,181,237,0.10900907218456268,-0.08389774709939957
docker__compose-4635,0330ab80f20aa86cb70c767550815b1aa4fe843d,60,1,237,0.3721192479133606,0.44664692878723145
docker__compose-4635,5b97709556866b7e6508ae5ad874354e8f36c50f,133,175,237,0.2834171652793884,-0.0647621601819992
docker__compose-4635,9f2fc68b43c0c3bd20db7890a46ad6fe1ffeb7d1,136,2,237,0.28073424100875854,0.442474365234375
docker__compose-2348,c8fddc5f162cf326472f7416ab52b4414843121c,64,70,194,0.2217136174440384,0.3591344356536865
docker__compose-7787,55e8c2757db41c61cfaf767f5f2cc0c36df95ac0,197,30,300,0.19020923972129822,0.289870947599411
docker__compose-7787,2d9493a0362ea5c6cec01be41b4c838eff0d3c96,239,38,300,0.14183342456817627,0.2458406686782837
docker__compose-3006,f362f1b8081e6dccec0be2171f85007d838c8d87,87,216,238,0.2642199397087097,0.03800013288855553
docker__compose-3006,2565c8ffc38d2288ea2262e68aa07e88b1bb7fff,136,55,238,0.20789062976837158,0.2837909162044525
docker__compose-3006,e1c781fec67ea0fcf486822c77c3080e4ef4e3b1,202,200,238,0.0732082799077034,0.09556372463703156
docker__compose-3006,82a78f3b53ad97a2b1fea71f00deee64da604630,181,233,238,0.1317964494228363,-0.13319514691829681
docker__compose-3006,652ee7944df2e645c02b87c06128827ad861b68b,49,32,238,0.33623042702674866,0.3159191608428955
docker__compose-3006,268bb719e05bd6ed14b1c1d26e53d3b08178dcf3,81,189,238,0.27353981137275696,0.12351074069738388
docker__compose-3006,0e307835ca973e5d7671175a0cd33a02e63a4632,175,158,238,0.14123716950416565,0.1701934039592743
docker__compose-3006,4f9be97f437769dd0cb38c6637cf61a76b11cd0e,109,224,238,0.23488034307956696,-0.01992081291973591
docker__compose-3006,62e1d2cd3bc63cdb2fdedd9a75dd8c239899feea,200,191,238,0.08066345751285553,0.11614204943180084
docker__compose-3006,2713fd32bf25a0db975d9593a68129c5e5a0c1eb,189,226,238,0.1157212033867836,-0.02577693946659565
docker__compose-3006,deb1e9121cdd11f7dab583854dd760d56e05df83,27,1,238,0.3998762369155884,0.5451491475105286
docker__compose-3006,29d8a695d029c438c72d58a752066fcadc51e180,201,98,238,0.0804818645119667,0.23769426345825195
docker__compose-3006,6b24013525e093c1e36573601240c4eef676f709,73,236,238,0.28297072649002075,-0.17281393706798553
docker__compose-4480,3745de82dbc1710ab326595ad6b95c15d6c75d28,189,4,236,0.19672615826129913,0.4486841559410095
docker__compose-4480,f86c03199bbb6901e7f59770dd7efc6b55047684,173,7,236,0.23084978759288788,0.3693639039993286
docker__compose-3364,c924d89dcb3315bbd7505c57309599b62cfd1976,73,10,260,0.34246721863746643,0.3616524934768677
docker__compose-3364,50b2dbeaf4009e2bc141bd0daeecbd31d49ce9d9,115,78,260,0.2523321509361267,0.2444145381450653
docker__compose-3364,7338146663227a931b0b56772d8299e88bb6b942,216,144,260,0.12249268591403961,0.1755135953426361
4701,53c9c42bc877ebebde5fffa0679f4b50e22801cf,56,1,308,0.3301706314086914,0.4724641442298889
docker__compose-7435,cd9f73c2c0c5dc60f0722aa1688abc27c40be0e2,123,2,300,0.2482801377773285,0.4415661692619324
docker__compose-7435,626ef294aeb1238506d66ce794ce1938a42a7a0c,77,3,300,0.29762494564056396,0.42626333236694336
docker__compose-5079,659b6cd59288a762e7c6fe08e3cc32323b233949,48,1,260,0.2865705192089081,0.5940037369728088
docker__compose-1931,58e54285169c2ec81798fbcdafce277c95969e94,51,13,150,0.3058370053768158,0.4530775547027588
docker__compose-1931,f727c8673af3cda14875414f836d4092d8d30ac1,55,1,150,0.28006285429000854,0.5163793563842773
docker__compose-1824,56f6c05052dae8430d45cb5f8b8bff4802f0c073,53,3,144,0.25744980573654175,0.4443994164466858
docker__compose-8122,d4fead251ad0142153f6a86886afc8ae5877e687,223,41,308,0.23311573266983032,0.10454948246479034
docker__compose-8122,df0d76fb913fe24617378b71bf6d6b5265d22b78,15,1,308,0.44138872623443604,0.29557135701179504
docker__compose-8122,74d3e3c0534e25a65e2eca042643287f91ac15dd,87,8,308,0.33817562460899353,0.23426111042499542
docker__compose-5155,0c2ab1ab76757458aa6406e641893b2c3951eba7,38,1,261,0.29487258195877075,0.6296775341033936
docker__compose-148,cfc39367672218d431de7049e6c2f6211a7ddb96,7,1,76,0.43525078892707825,0.7297738194465637
docker__compose-2734,961d36bbd512d439c998160fbdde8e2dff59c192,141,11,234,0.2794583737850189,0.3221982717514038
docker__compose-5705,264d647f7bbd93e589284bf22631e1c0d343a53d,31,1,274,0.3626753091812134,0.32188868522644043
docker__compose-2126,698ab4844f48db0ab690ed381d45c0cb84d9cba4,132,2,181,0.19139045476913452,0.5066381096839905
docker__compose-2126,4750a7a9ae1844a227cba6afd3d8d338efcf0e46,117,8,181,0.22331172227859497,0.3066069185733795
docker__compose-3964,b5a35b7e824acf78f2746cb06bd787b9c5c11313,111,223,269,0.266817182302475,0.02040933072566986
docker__compose-209,d6f44cfdaa5fa0957916c8a3552159cbb5524260,53,1,81,0.15906038880348206,0.5430153608322144
docker__compose-4817,5b65e5dd9efa3f1fb622725a10608c5f6347ea6b,10,1,251,0.448757141828537,0.4792701303958893
docker__compose-4220,eb76e292095f074e31f2243d875e9f3fe10867e7,98,94,226,0.17797443270683289,0.22061598300933838
docker__compose-4220,1fd1d51c97ff655e4fbc915b3876516a44e6ee14,61,80,226,0.2376459836959839,0.25582242012023926
docker__compose-4220,ca8d7fe512b7f06dcaba7c4a0729443db58da3a6,147,193,226,0.13587680459022522,-0.11008305847644806
docker__compose-3941,b48462ff57acded75f77dde81409be1e2d3d118e,222,8,269,0.2699166536331177,0.35694795846939087
docker__compose-5910,0a866161cfad66795ddc6a9c25d2544cb95e50b9,98,2,286,0.31165093183517456,0.5037424564361572
docker__compose-7093,f64dc04a0f5055985f328eba246506ee2e00ed86,201,11,315,0.290411114692688,0.4757382869720459
docker__compose-5271,0f42eb20a11d56020db00c6786b09678a4f9e9dd,199,1,268,0.18441146612167358,0.4002775549888611
docker__compose-3377,dd859edc4b7c8a4ec40a4cb6f0315e275f65babd,148,197,254,0.27821627259254456,0.16993561387062073
docker__compose-2938,29d8a695d029c438c72d58a752066fcadc51e180,157,3,241,0.2800273895263672,0.23277664184570312
docker__compose-2938,19722b0a67d6473ac347b227011a85f4f9e1cbd0,47,5,241,0.39501598477363586,0.21751940250396729
docker__compose-1225,c89f6de552844cb071bf84a9b232d6e1a0571aa6,43,1,103,0.1688101589679718,0.5708177089691162
docker__compose-5718,38e8874171072ffe0a7213d051f011379a5f0c17,213,2,275,0.15302817523479462,0.38747909665107727
docker__compose-5718,37368d64dbd7c3fbd9df27cf3d0a97da86270c6b,233,1,275,0.11298572272062302,0.39234989881515503
docker__compose-3400,b86c34f865ef3dc59b7f2c458a71ac54d389093b,69,65,256,0.3145001530647278,0.25434112548828125
docker__compose-3400,64ca7be76921fea7a00b3c03f9707428730fe539,136,96,256,0.2471247911453247,0.22752365469932556
docker__compose-3400,63417dcb0a423cefa8fb7429e7e5badbed9f19a8,152,11,256,0.22301501035690308,0.3343440890312195
docker__compose-1026,e1e29744bdd4720986b2401785ed7360fc6b444e,41,1,84,0.26054877042770386,0.6410532593727112
docker__compose-6326,87c1f23451daa416fd124c064fbe82f5282445e5,15,7,299,0.3676215410232544,0.38453829288482666
docker__compose-6377,240ca9cd3781e721602aacd9d69cc5d81a42f86f,12,3,299,0.436736524105072,0.44247767329216003
docker__compose-6377,026306866a7bc8ebdd259ed5cc73dbf680f83e0f,250,7,299,0.17216867208480835,0.3786558508872986
docker__compose-4213,cf53f6aa45d7e4c70c2b5829e543fb6f984f0e87,164,1,225,0.23178397119045258,0.4254845380783081
docker__compose-2336,2055a6fe1738816bd4ce93fdeb79c2622568fdd4,30,2,195,0.42345333099365234,0.4374546408653259
docker__compose-2853,2565c8ffc38d2288ea2262e68aa07e88b1bb7fff,129,9,238,0.2972855567932129,0.3815844655036926
docker__compose-2019,0fef304a2a1e5eee7571db5912b49e4a96fdaac9,98,2,187,0.2797529101371765,0.5992336273193359
docker__compose-2019,9e9cb857fbfc91c8269e04d59b175809e60bdd3d,93,1,187,0.29739221930503845,0.6296528577804565
docker__compose-2948,d0024e9cd50d795a14ea237246ef2253d2b003a8,52,1,242,0.2932836413383484,0.5037238001823425
docker__compose-2948,35727e2ccb8220d23c128322df3fc301aea7466c,53,3,242,0.2925697863101959,0.42233291268348694
docker__compose-2948,e1c781fec67ea0fcf486822c77c3080e4ef4e3b1,144,10,242,0.19595085084438324,0.23504230380058289
docker__compose-3137,30d28e4c685a0e251fa2b290c99277c8c2eb695c,126,5,249,0.2033979296684265,0.32466745376586914
docker__compose-3137,f34809a9ec758f193ffa0c34377b52253888a3af,190,13,249,0.11625176668167114,0.27758052945137024
docker__compose-3653,b930e0bf0e7505d26bf102c2a1cebfa678329055,192,204,269,0.19862951338291168,0.03738558664917946
docker__compose-3653,b788a55de86438d48dbc28255bfd4e7301df3495,134,260,269,0.28189635276794434,-0.09927667677402496
docker__compose-3653,b5a35b7e824acf78f2746cb06bd787b9c5c11313,161,7,269,0.2575416564941406,0.3415132761001587
docker__compose-3653,d36aefa5d008480c1d9440326cb8ec42a03950b8,218,102,269,0.16857799887657166,0.19364897906780243
docker__compose-7071,094ce4d7ad52695302022e1bb0edafeba1a0440a,103,3,312,0.30794787406921387,0.5113021731376648
docker__compose-7071,d92ae78b5276fb1e1b0e91f3eef7c6ba5b3d938e,261,53,312,0.16290362179279327,0.2561960220336914
docker__compose-7071,c4281cb4cf47d2a9da2837bc7a8f94f1a8183854,83,49,312,0.32791754603385925,0.2680508494377136
docker__compose-7071,c3a10a0434061032ebdf01533819cc894af50521,257,25,312,0.16713041067123413,0.37124472856521606
docker__compose-7071,d35e818c75d813369361a0a02bbc0b437af5b6ee,60,106,312,0.34999462962150574,0.01917533203959465
docker__compose-5833,7bc220e5f601491632afadf658428a5714ef1a01,174,2,278,0.17035624384880066,0.6363168954849243
docker__compose-6346,34a498ca7608f208994300cd334a38449f79109a,117,3,299,0.22152480483055115,0.32067304849624634
docker__compose-5819,9e49e2974301e58e9dc5138ae48d9785a56669d9,89,1,276,0.29989051818847656,0.435955286026001
docker__compose-5819,48095e9387fb131181251e39b8b5844faae74e72,145,2,276,0.24223770201206207,0.36693423986434937
docker__compose-5819,a4e5d9b82d14936958bb64c7e2548194243a26ae,127,4,276,0.26348501443862915,0.3029401898384094
docker__compose-2031,29c5299e9d20b98b38aed6a4f7d8a8ffaa6b4bd8,100,87,165,0.26489824056625366,0.239768385887146
docker__compose-4696,0f78d4a94ebc289e1b6efc4d26184221adb3eb04,172,89,248,0.21938163042068481,-0.04831015318632126
docker__compose-4304,8b4cf709e02d31dd2f00bc0c45cb9563334b562c,164,59,227,0.16079360246658325,0.04663058742880821
docker__compose-1515,a488b2c68c9b12b43b06d236baecace30389638a,74,1,136,0.25086334347724915,0.37753719091415405
docker__compose-2020,a7b9181680557c5fe0d2d654d06565499a1ceadc,34,31,165,0.3606651723384857,0.30323582887649536
docker__compose-2020,c2fcc54fdd694a2cd3c1fbb8cee5dd5d80979d05,107,7,165,0.206522136926651,0.3789862394332886
docker__compose-2020,51b625890976d686664159a67c0ada1f1772d352,66,6,165,0.27910274267196655,0.38335561752319336
docker__compose-4991,fb54425666a42eeff1387b03f007eed89b5326f0,183,12,256,0.15354467928409576,0.33928418159484863
docker__compose-3980,f9a20b9ec1c582bdfcc03463a417f39a68a9f45c,123,35,218,0.28168055415153503,0.2838824391365051
docker__compose-3980,e10a36747c00164910d690edacf26e1a45e8319d,153,8,218,0.22426670789718628,0.3629169464111328
docker__compose-3980,438753a26591f7b077962eb55db6c0b1466178f9,6,2,218,0.5084941387176514,0.38098272681236267
docker__compose-6390,0298b4e2d3a375ffcd9c7cd1dcf5f458615765a0,198,7,299,0.1953064352273941,0.48415735363960266
docker__compose-554,2121629b8d0f594c458a6502fc618badc3904884,46,72,87,0.23926472663879395,0.3035699725151062
docker__compose-554,73a1832253763a558ad63937c09aa816429eb7e0,33,53,87,0.3223547339439392,0.3931938707828522
docker__compose-1644,aa0e3e88e446e3371a1e44a93e17ddaee7692ccc,32,2,116,0.3929259777069092,0.46775659918785095
docker__compose-2646,2735a397f3e7a4dcbe65f01e17c2b47eaaa3961b,177,10,216,0.12440074980258942,0.4256352186203003
docker__compose-2646,a46521f31b8112810f7843505281d4a1459284ea,106,1,216,0.2604515552520752,0.6418355703353882
docker__compose-2646,b78aa029f9ed1f73726279bc9e0075658edcfee6,158,189,216,0.17301976680755615,-0.05905093625187874
docker__compose-2646,e882713c2cccc7ddf9c5a2d3bea6a44ff62d3cf1,120,40,216,0.2361259162425995,0.28385695815086365
docker__compose-2646,d5c36f1ad684abf6cac0e8fb98cf7d437f5457c8,132,8,216,0.2219116985797882,0.46759021282196045
docker__compose-6960,13794b89ad8d00055155d6207eeb6cde8d8a929f,138,97,312,0.3063808083534241,0.11352810263633728
docker__compose-6960,c3e214c22d0bea480b35250473a8f8b10f8c9156,126,5,312,0.3148784637451172,0.48646554350852966
docker__compose-276,0d29a47c8f69d1493fc48a8d340245671bf92839,50,5,85,0.16875314712524414,0.5955913662910461
docker__compose-276,d8044c7d73c3db3896938ae021c75f153e4b1bbb,60,13,85,0.13954654335975647,0.49443215131759644
docker__compose-276,11230331cf550de52495c9d62fa8c254c3a9c7fd,40,1,85,0.1893763393163681,0.6988886594772339
docker__compose-2082,d9bda293719a4f032bab3a2885668a28439af2e7,59,10,138,0.2488355040550232,0.46315041184425354
docker__compose-2082,8d684354d3e65694420d5a3af4b5a5e8653e34fe,35,99,138,0.3236818015575409,0.22490262985229492
docker__compose-5341,df98dcb490c4095cda1edc74c4f4a42dfe176cf1,140,6,270,0.2655700445175171,0.3711572289466858
docker__compose-5250,d455711ddc98bfad89c0fabef17629ee7d112f2d,40,6,265,0.36750224232673645,0.3335035741329193
docker__compose-5250,1a18c66549d42657635a3e2f01dc424eacb349c3,63,2,265,0.34359392523765564,0.3730573058128357
