source_project,target_project,scenario,best_epoch,wall_time_sec,ref_top1,ref_top5,ref_top10,ref_MAP,ref_MRR,full_top1,full_top5,full_top10,full_MAP,full_MRR,res_top1,res_top5,res_top10,res_MAP,res_MRR,n_test,n_gt_files,n_gt_files_in_top300
ansible/ansible,jupyterlab/jupyterlab,WP-large,7,2137.5,0.4,0.55,0.7,0.3703,0.4867,0.375,0.575,0.675,0.3689,0.495,0.15,0.25,0.25,0.173,0.2003,40,89,17
ansible/ansible,lightning-ai/lightning,WP-large,9,1237.6,0.36,0.6533,0.7733,0.4083,0.4985,0.4,0.72,0.7867,0.449,0.5374,0.4,0.72,0.7867,0.4488,0.5371,75,216,214
ansible/ansible,prefecthq/prefect,WP-large,9,1710.3,0.4024,0.622,0.7317,0.414,0.5171,0.3415,0.6585,0.7439,0.3851,0.4887,0.2805,0.5122,0.561,0.3163,0.373,82,281,141
docker/compose,ipython/ipython,WP-large,10,4032.2,0.3432,0.6331,0.6982,0.4015,0.4726,0.3491,0.5799,0.7041,0.4016,0.4721,0.2899,0.4852,0.5799,0.3478,0.3835,169,362,206
docker/compose,jupyterlab/jupyterlab,WP-large,6,3510.1,0.35,0.6,0.675,0.3745,0.4695,0.425,0.625,0.65,0.3941,0.5149,0.175,0.25,0.25,0.1901,0.2128,40,89,17
ipython/ipython,docker/compose,WP-large,9,1559.5,0.3504,0.6667,0.7094,0.4165,0.4934,0.359,0.6154,0.7607,0.4055,0.4852,0.3846,0.6325,0.7607,0.4257,0.504,117,259,259
ipython/ipython,jupyterlab/jupyterlab,WP-large,8,3537.0,0.325,0.5,0.575,0.3356,0.4087,0.4,0.65,0.675,0.3977,0.5244,0.175,0.25,0.25,0.1839,0.2087,40,89,17
ipython/ipython,qiskit/qiskit,WP-large,10,8145.2,0.3272,0.5919,0.6912,0.3834,0.4521,0.2757,0.5735,0.6985,0.3533,0.4157,0.2096,0.3897,0.4632,0.2611,0.2902,272,1240,536
jupyterlab/jupyterlab,ansible/ansible,WP-large,10,7259.8,0.2468,0.5195,0.6169,0.3065,0.3698,0.2273,0.487,0.5844,0.2839,0.3483,0.0974,0.1753,0.2013,0.1248,0.1321,154,318,56
jupyterlab/jupyterlab,docker/compose,WP-large,10,932.1,0.4274,0.6239,0.6923,0.4412,0.5215,0.4103,0.641,0.7521,0.4374,0.5283,0.4188,0.6581,0.7521,0.4464,0.5363,117,259,259
jupyterlab/jupyterlab,ipython/ipython,WP-large,10,2394.8,0.3136,0.6213,0.7337,0.3896,0.4524,0.3254,0.6213,0.6982,0.3823,0.4598,0.2781,0.503,0.5858,0.345,0.383,169,362,206
jupyterlab/jupyterlab,lightning-ai/lightning,WP-large,9,1214.3,0.4133,0.6667,0.7333,0.4173,0.5311,0.5067,0.7333,0.7867,0.4787,0.6035,0.5067,0.7333,0.7867,0.478,0.6027,75,216,214
jupyterlab/jupyterlab,localstack/localstack,WP-large,10,2784.5,0.2737,0.5158,0.5789,0.2548,0.3873,0.2842,0.4842,0.5474,0.2641,0.3802,0.1789,0.4,0.4737,0.217,0.2744,95,335,199
jupyterlab/jupyterlab,mesonbuild/meson,WP-large,9,2706.7,0.3228,0.6138,0.7249,0.3944,0.4564,0.3757,0.6243,0.6825,0.4212,0.4931,0.1905,0.3016,0.3757,0.2327,0.2466,189,444,137
jupyterlab/jupyterlab,numpy/numpy,WP-large,10,8941.9,0.3789,0.5714,0.6584,0.4089,0.4681,0.3354,0.5963,0.6584,0.4048,0.4589,0.3168,0.5404,0.6211,0.3956,0.4254,161,369,195
jupyterlab/jupyterlab,prefecthq/prefect,WP-large,9,1983.7,0.3415,0.6829,0.8049,0.4001,0.4956,0.378,0.6829,0.7683,0.42,0.519,0.3293,0.5244,0.5732,0.3517,0.4122,82,281,141
jupyterlab/jupyterlab,pydata/xarray,WP-large,10,1171.9,0.36,0.72,0.84,0.4607,0.5134,0.28,0.72,0.8,0.4349,0.4788,0.28,0.72,0.8,0.435,0.4789,25,37,37
jupyterlab/jupyterlab,qiskit/qiskit,WP-large,10,6837.8,0.364,0.5809,0.6949,0.391,0.4652,0.2794,0.5699,0.6912,0.3496,0.4095,0.2243,0.3971,0.4522,0.2643,0.2985,272,1240,536
jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-large,10,1808.8,0.3261,0.7174,0.7826,0.4744,0.5102,0.3913,0.6739,0.8696,0.4925,0.5296,0.2609,0.5217,0.5652,0.3635,0.3725,46,56,32
jupyterlab/jupyterlab,wagtail/wagtail,WP-large,10,5667.8,0.2073,0.4512,0.561,0.2663,0.3239,0.1341,0.4634,0.5854,0.2279,0.282,0.1341,0.2195,0.2805,0.1608,0.1793,82,153,38
lightning-ai/lightning,ansible/ansible,WP-large,10,5333.6,0.2468,0.5065,0.5909,0.2957,0.3691,0.2597,0.487,0.6104,0.2846,0.3665,0.1039,0.1623,0.1883,0.1196,0.1283,154,318,56
lightning-ai/lightning,ipython/ipython,WP-large,10,2394.0,0.3491,0.6509,0.7278,0.414,0.4784,0.3669,0.5976,0.7219,0.4064,0.4758,0.2899,0.5089,0.574,0.3524,0.3835,169,362,206
lightning-ai/lightning,jupyterlab/jupyterlab,WP-large,10,2159.8,0.325,0.575,0.7,0.3621,0.4603,0.425,0.625,0.675,0.3953,0.515,0.175,0.25,0.25,0.1818,0.2086,40,89,17
lightning-ai/lightning,localstack/localstack,WP-large,8,2773.7,0.2526,0.5053,0.6,0.2634,0.3618,0.2947,0.5158,0.5789,0.2755,0.3918,0.1895,0.4,0.4526,0.2377,0.2841,95,335,199
lightning-ai/lightning,numpy/numpy,WP-large,9,7557.1,0.3416,0.6025,0.6894,0.4074,0.4534,0.3292,0.5901,0.6646,0.4057,0.4517,0.3043,0.5404,0.6087,0.3896,0.42,161,369,195
lightning-ai/lightning,prefecthq/prefect,WP-large,7,1384.5,0.3902,0.622,0.7073,0.4045,0.5154,0.3902,0.622,0.7927,0.3936,0.5097,0.2805,0.4634,0.5854,0.3113,0.3745,82,281,141
lightning-ai/lightning,pydata/xarray,WP-large,10,810.1,0.32,0.72,0.84,0.4214,0.4827,0.44,0.68,0.76,0.4784,0.5511,0.44,0.68,0.76,0.4786,0.5513,25,37,37
lightning-ai/lightning,scikit-learn/scikit-learn,WP-large,10,1781.1,0.2826,0.6739,0.7826,0.4352,0.464,0.413,0.6957,0.8261,0.5134,0.548,0.3043,0.5217,0.5652,0.3877,0.3961,46,56,32
lightning-ai/lightning,wagtail/wagtail,WP-large,9,7646.2,0.2195,0.439,0.561,0.2728,0.3331,0.122,0.5,0.5854,0.2379,0.2885,0.0854,0.2561,0.2805,0.1481,0.1604,82,153,38
localstack/localstack,jupyterlab/jupyterlab,WP-large,9,5324.0,0.4,0.575,0.65,0.3486,0.4793,0.4,0.6,0.65,0.3931,0.4942,0.175,0.25,0.25,0.1894,0.2128,40,89,17
localstack/localstack,lightning-ai/lightning,WP-large,10,3084.2,0.44,0.68,0.76,0.4491,0.5511,0.44,0.72,0.7733,0.4483,0.5558,0.44,0.72,0.7733,0.4482,0.5555,75,216,214
localstack/localstack,numpy/numpy,WP-large,10,19017.7,0.2919,0.5652,0.6584,0.3794,0.4244,0.3602,0.5776,0.6646,0.4079,0.4675,0.3354,0.5342,0.6149,0.396,0.4329,161,369,195
mesonbuild/meson,jupyterlab/jupyterlab,WP-large,10,5368.8,0.35,0.55,0.675,0.3606,0.4642,0.425,0.65,0.675,0.4029,0.5379,0.15,0.25,0.25,0.177,0.1961,40,89,17
numpy/numpy,jupyterlab/jupyterlab,WP-large,9,5305.0,0.35,0.575,0.75,0.3519,0.4724,0.4,0.6,0.6,0.3773,0.504,0.175,0.225,0.25,0.1809,0.2045,40,89,17
numpy/numpy,lightning-ai/lightning,WP-large,10,3064.3,0.44,0.6533,0.7467,0.4402,0.5428,0.44,0.72,0.7867,0.4449,0.5683,0.44,0.72,0.7867,0.445,0.5683,75,216,214
numpy/numpy,localstack/localstack,WP-large,8,6943.7,0.3053,0.5158,0.6211,0.267,0.4056,0.2737,0.5053,0.6,0.262,0.3868,0.1789,0.3684,0.4632,0.2133,0.2656,95,335,199
numpy/numpy,mesonbuild/meson,WP-large,10,6721.9,0.3704,0.6455,0.709,0.4177,0.4965,0.3968,0.6085,0.7249,0.4331,0.5033,0.2116,0.3175,0.3704,0.2452,0.2619,189,444,137
numpy/numpy,prefecthq/prefect,WP-large,10,3442.8,0.3659,0.6341,0.7195,0.4082,0.4907,0.3537,0.6829,0.7927,0.3975,0.4939,0.2683,0.5244,0.5732,0.3234,0.3762,82,281,141
numpy/numpy,pydata/xarray,WP-large,9,2024.1,0.32,0.72,0.84,0.4286,0.4787,0.28,0.72,0.72,0.3964,0.4585,0.28,0.72,0.72,0.3967,0.4588,25,37,37
numpy/numpy,qiskit/qiskit,WP-large,9,10935.8,0.3382,0.5735,0.6801,0.3951,0.453,0.2941,0.5662,0.6838,0.3621,0.4226,0.2206,0.4007,0.4522,0.2693,0.2994,272,1240,536
numpy/numpy,scikit-learn/scikit-learn,WP-large,10,4449.6,0.3696,0.7174,0.7826,0.4831,0.5117,0.3696,0.6739,0.8261,0.482,0.5211,0.3043,0.5,0.5435,0.372,0.3851,46,56,32
prefecthq/prefect,ansible/ansible,WP-large,9,10477.8,0.2857,0.5,0.6364,0.3066,0.3881,0.2662,0.4805,0.6039,0.3005,0.3714,0.0974,0.1688,0.2013,0.1259,0.1351,154,318,56
prefecthq/prefect,jupyterlab/jupyterlab,WP-large,10,4407.3,0.35,0.6,0.675,0.3639,0.4625,0.3,0.65,0.675,0.3128,0.4303,0.125,0.2,0.225,0.1453,0.1641,40,89,17
prefecthq/prefect,lightning-ai/lightning,WP-large,5,2392.5,0.4133,0.68,0.76,0.4267,0.5423,0.3467,0.6667,0.76,0.4011,0.4808,0.3467,0.6667,0.76,0.4013,0.481,75,216,214
prefecthq/prefect,mesonbuild/meson,WP-large,9,5628.8,0.3598,0.6402,0.7249,0.4206,0.4867,0.3757,0.6296,0.7407,0.4262,0.5029,0.1799,0.3439,0.3757,0.2357,0.2502,189,444,137
prefecthq/prefect,numpy/numpy,WP-large,10,15678.6,0.3106,0.5839,0.6832,0.3863,0.439,0.3292,0.5963,0.6832,0.39,0.4425,0.3168,0.5528,0.6211,0.3853,0.4209,161,369,195
prefecthq/prefect,pydata/xarray,WP-large,10,1655.1,0.32,0.72,0.84,0.442,0.4908,0.32,0.68,0.76,0.4062,0.4729,0.32,0.68,0.76,0.4063,0.473,25,37,37
prefecthq/prefect,scikit-learn/scikit-learn,WP-large,8,3678.9,0.3913,0.7391,0.8261,0.5023,0.5394,0.4348,0.6522,0.7609,0.4878,0.5387,0.3261,0.4565,0.5435,0.3603,0.3855,46,56,32
prefecthq/prefect,wagtail/wagtail,WP-large,8,10842.8,0.1829,0.4756,0.5732,0.2719,0.3245,0.1707,0.4512,0.5732,0.2402,0.3028,0.0732,0.1951,0.2439,0.1254,0.1353,82,153,38
pydata/xarray,jupyterlab/jupyterlab,WP-large,8,4398.4,0.375,0.5,0.65,0.3514,0.4524,0.375,0.55,0.6,0.3581,0.4559,0.125,0.175,0.25,0.139,0.156,40,89,17
