bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
Lightning-AI__lightning-689,168e983585c2a0e29300aa4b2bc931122396d952,9,2,109,0.3684312701225281,0.4358655512332916
Lightning-AI__lightning-128,1b35bfc5d48febed6fea43e9d232a3f690c8c347,99,1,104,0.25580739974975586,0.45417866110801697
Lightning-AI__lightning-1152,a7e8118869ce5fcaf400bb4646c2141bf6574d7a,123,13,192,0.24823229014873505,0.3403990566730499
Lightning-AI__lightning-1152,372d215c34df2e8cc513a4e0e7285fe424fb89d9,24,8,192,0.404267817735672,0.365965873003006
Lightning-AI__lightning-1152,a56c6c126798e56debf542884c03598ef4f96dfa,77,9,192,0.3072294294834137,0.3537386655807495
Lightning-AI__lightning-1152,ed878a0616e628fca8ec4515b32dd69edc7aeb7a,197,26,192,0.130454421043396,0.3097267150878906
Lightning-AI__lightning-1152,8c3daa29cb96e5f149ff86f2f18b62a17146dbff,126,2,192,0.2449750155210495,0.41091370582580566
Lightning-AI__lightning-1152,662ecdf4af4959e689bfa85ebbe248e63800fa08,117,1,192,0.2553563714027405,0.43016713857650757
Lightning-AI__lightning-625,ef2e4d4cc799d51f1f5b6456abe0cf71edc54f21,16,4,106,0.3310748338699341,0.2992453873157501
Lightning-AI__lightning-1477,538d717afcd63af4eeb809ce374c780a6b06222a,77,2,219,0.2827727198600769,0.4907441735267639
Lightning-AI__lightning-2970,8b45d109866901187e5447c6dae8d512accb0453,55,6,287,0.3550642132759094,0.38764411211013794
Lightning-AI__lightning-2970,9e9f64140984349cb93426ad4b9fe8b6abd60380,125,77,287,0.29257822036743164,0.288839727640152
Lightning-AI__lightning-1589,73efaf67c486bb6aa718d43f9b89f5e8795fcd64,18,40,227,0.46279364824295044,0.31420236825942993
Lightning-AI__lightning-2062,cac5b2bcff1ee2a2ec402297061989b3bf7113f5,40,30,246,0.33755552768707275,0.2886275351047516
Lightning-AI__lightning-2062,74d8cf3d62a7e56d3dbeb0bd2fdf949563dfcecc,79,38,246,0.2811518907546997,0.2790135443210602
Lightning-AI__lightning-2062,2c8b8a85a92c31277436e57785b41464afc0fcd2,131,149,246,0.2317381203174591,0.1396019458770752
Lightning-AI__lightning-2062,f5eafe990d1fa6485d4973c400ae4854e0a8d597,198,99,246,0.18734878301620483,0.19336563348770142
Lightning-AI__lightning-715,1abc349e1ef210afbf4153351e935dfe00f521f5,90,3,109,0.14080286026000977,0.3351433277130127
Lightning-AI__lightning-2160,12ce47398d3b376825873bb2f4e5958a3550b4cd,133,47,240,0.22138527035713196,0.3311532735824585
Lightning-AI__lightning-2160,ed299bb8a816e070bd75d0bc4089b2b5bed559f6,192,64,240,0.1488838940858841,0.3115101456642151
Lightning-AI__lightning-2160,6f4e85d5b28e44ce5d3b7df9a51486971e85692a,113,30,240,0.2411881536245346,0.3511201739311218
Lightning-AI__lightning-2930,ea62fdab2e9960ac1e3a9bfdf290578e9ceffb43,184,41,287,0.2620616555213928,0.34574443101882935
Lightning-AI__lightning-2930,ec5bd0938d15c7e0f011014a483b7b4cf9aac82e,199,5,287,0.24868884682655334,0.4240660071372986
Lightning-AI__lightning-2930,433ea970877db6b4f99ef9b51a1d455984f0d329,35,13,287,0.39281439781188965,0.41249802708625793
Lightning-AI__lightning-1357,f23ab045237660ea791aa996c018cec6acccd850,12,3,199,0.572687029838562,0.4103488326072693
Lightning-AI__lightning-1357,e3a8bb16a7b145b65fa671d32158cdc4e27e5cb1,13,5,199,0.5519487857818604,0.4082002341747284
Lightning-AI__lightning-2339,c207d8255d0c22c9036f676873eaaf50296005b4,45,8,249,0.3511050343513489,0.39531368017196655
Lightning-AI__lightning-1459,8cabfae52e07a8108b97d1ba402fd446f525187d,193,69,206,0.23613862693309784,0.2585870623588562
Lightning-AI__lightning-1459,7ae3ec85ed5508bbb90044890b61939e85bb179c,50,52,206,0.4496094584465027,0.2885352373123169
Lightning-AI__lightning-1459,3f890bba27abc9aa356e42f6dd19f70ad9d954a1,79,20,206,0.41266167163848877,0.35970669984817505
Lightning-AI__lightning-1459,46b4fc48e6508b92b5f7a13f06fcc65f6f7f3e48,11,14,206,0.5253053903579712,0.3729240596294403
Lightning-AI__lightning-1459,19587509b17aa9c338c9599c65c288ec3e46f1b7,22,45,206,0.48935937881469727,0.31245431303977966
Lightning-AI__lightning-1459,dcaddadfaca2bfa215e4c271f05c57bf1f1b74ac,49,27,206,0.4514777362346649,0.3395366370677948
Lightning-AI__lightning-1459,a2d64ff4ed18f6fdaeac3e2d979ecd6ff73371ff,120,12,206,0.331648051738739,0.39082926511764526
Lightning-AI__lightning-1459,6006cab467baa77d9b96febc5ca1a75ea8af04bc,46,84,206,0.4542319178581238,0.22760862112045288
Lightning-AI__lightning-1459,ee9d65a73cbf1850b10f3bf5a1f3fac56fff7b6c,93,76,206,0.3779943585395813,0.24588945508003235
Lightning-AI__lightning-2358,6fecd27f0bf401a45f065ebfea22a56663296b8c,17,35,249,0.4562327563762665,0.31893694400787354
