bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
8703,8d098386cef9b5633d92fc61e081db66ad7c77ed,1405,156,1540,0.20724397897720337,0.24206508696079254
8703,b081e50bf39cf55aaaa1ff2107f6bf0e835a87f6,1627,121,1540,0.1316741704940796,0.2611282169818878
8380,9f4a38675f736b3502f6c4ce5a947b2a0c84455c,1469,496,1540,0.20622238516807556,0.15446674823760986
9408,a5f0327872c98200d3ec1eab48248fa65ec146da,1841,752,1979,0.2099503129720688,0.06143377721309662
9408,9de97ffd14e1680844cce7031cc90a0913a8faef,1488,100,1979,0.2612610459327698,0.21578055620193481
9408,b9163f4f6efbb3778796e04ad9da34057e050946,568,357,1979,0.3597967028617859,0.11389673501253128
9408,2d265cf03833375442c5ad21a12eaad843f11589,1394,29,1979,0.27169743180274963,0.34996771812438965
9408,1309b8da3bda7689ebfb531aec6f4e1c6c07fcd0,607,267,1979,0.35441040992736816,0.1309521645307541
4227,06df9c9b071f0673ad2192905554cdf4cb4dece2,48,1,291,0.3141869306564331,0.3694310188293457
4227,85cdd65c9978599269aedf76f19ee704d8fc49b5,9,4,291,0.3690893352031708,0.3255937993526459
5048,156cabc01c2f23c01bc541e602ab29ae6633c766,415,184,448,0.1983432024717331,0.15430012345314026
5048,53daa8dc3bc9485782cdc31d93c5d135295d0327,426,197,448,0.18759077787399292,0.14802388846874237
5048,11a96dece538c91e4b11ebf1740d207964211e94,168,82,448,0.32361501455307007,0.23138932883739471
5048,0203d68067bccf6c2084287bed1e4823c2967431,182,328,448,0.31600072979927063,0.061059802770614624
5048,389a4097856617927510b5278214f9238c43d797,267,327,448,0.29179513454437256,0.06124071404337883
5048,75fa925969b8f6ffc5eedd1199a0270ddeb41407,392,125,448,0.2167350798845291,0.19390729069709778
5048,da48ca1f237a861f39bc94fac99b74ce4c7c4f21,408,65,448,0.2029808759689331,0.24890407919883728
1877,90069aa6f833e92972bc3f3a2f3f7c7bc8ef52f9,41,5,162,0.32995831966400146,0.3038930892944336
1877,e12dafda2ef3ed81c6865eb35578d5d43c6fd3ca,46,45,162,0.3117624521255493,0.04249238967895508
5604,e9c966d567e6fafb99fa9e4d5ccbab1370de0ea6,495,12,652,0.21722346544265747,0.21739089488983154
5604,660132e43c955caccc2a4681f5780f1d561d35c6,509,15,652,0.21092155575752258,0.20638436079025269
5604,c2b1efb69665ade1805195d84d1c1d6205153464,474,37,652,0.22617165744304657,0.171798974275589
5604,9f045cf85dbc506ba73596dbe0998364f312cb72,607,28,652,0.15712690353393555,0.187861829996109
5604,0f8f4fd645b9200b7c1c994773b19ddaeb2f8f76,376,9,652,0.2608114182949066,0.22764667868614197
9989,88b7407a0ac7571a2d5b2cb4e959abba8c565315,1284,1,2206,0.2873886823654175,0.34582796692848206
9989,74cf6827a5c4cfb1cd10eb2ebdd8e83013d301fe,1622,3,2206,0.24645939469337463,0.3277820944786072
7236,c769ba14806528deb9391fb4baa51f52c2453c06,741,1,964,0.2319776862859726,0.2933642268180847
7236,758647d49c09c13dc0993e72d8e18544a92199b6,569,13,964,0.27770379185676575,0.23901161551475525
8422,c9a3496889999229396b4853291cd99697a0ae5d,215,6,1415,0.3420068621635437,0.39611804485321045
8422,55bb98765f053ca35fbab12535ad6585a78edfaa,573,1,1415,0.2913999855518341,0.4955780506134033
8422,4bb00bbda033d4b64df8e64356d880ce546152ed,98,4,1415,0.3779560625553131,0.4246438145637512
8183,351735b7dbfdeb60752146e7745060c637b2bbea,48,1,1401,0.38420718908309937,0.37425661087036133
8183,110d136d0d6afee7bc29152703b4d63acf745308,272,19,1401,0.3453540802001953,0.23968611657619476
6304,5af31f331b38987e3579f9303b18f8c97965135c,14,7,697,0.5252353549003601,0.32815900444984436
6304,262d3c126efa2270f23070dbce776d8981067dec,39,162,697,0.4890618324279785,0.15731948614120483
6304,ab6e8a943e2b21dccc034f546fabd7c89d3ae4b1,209,95,697,0.3868156373500824,0.19672051072120667
2285,298f56fce77ed465b65fd0eb979ae3edb3abb6aa,15,43,194,0.43972882628440857,0.2957228124141693
2285,bd8f0adccb72173d51cad153367cb14cc256e171,12,78,194,0.4521717429161072,0.24376869201660156
2285,5a73766b0f1927dad2fa697a080cf6ecaf33b674,5,53,194,0.49406635761260986,0.2802445888519287
2285,a99a0a93fe3654ef8a615cbf389e47446e6038ca,54,19,194,0.3780694603919983,0.32257339358329773
6422,e6f195efb948d76965f2349dfdb1a1d725386129,576,170,736,0.18705575168132782,0.1301657110452652
6422,f62f742dfa4b170e2b5bd1eb261ef7a2f826475a,380,39,736,0.2543211579322815,0.20491451025009155
6422,8d519365e9c3839d52028cd425083df1bc22fa40,294,9,736,0.28214460611343384,0.24388374388217926
1066,392a0e16a3ad7a36e19af38103e0f36289e866a3,4,131,180,0.47001388669013977,0.12611156702041626
1066,56dc16a97192a1ffedc9935f35c1aa8fcc37e1d9,139,34,180,0.195034921169281,0.264234334230423
1066,e1a07cdcbf4f82c61f1cd644db65cd4f281c593e,6,67,180,0.4428783655166626,0.21913309395313263
1066,9e31f99797988e098b0f89d72ddbc84d90d42c01,79,108,180,0.3003959655761719,0.15731218457221985
1066,ff63d01fdc1edd0624a2f0e8e30800c495f9556f,161,69,180,0.1575174182653427,0.21815747022628784
1066,64665a874d38ff6e17d394d38cc26e03e0201f44,144,16,180,0.18998831510543823,0.2953587770462036
1066,7169a1b4f95d7e47ec4d0fdc56c80f17bf5fdb6a,105,117,180,0.256318062543869,0.14038318395614624
1066,6f887a30ca51b1b9c3224dc75409bf02dbcf5866,1,103,180,0.6237589716911316,0.1660565733909607
1066,85dfc43b9c7052eee4a5f24e83fda32de7ae3238,168,132,180,0.1496860384941101,0.1238793283700943
1066,4e4c0c847e972f21251c6e5c284e43b5d3a71904,120,123,180,0.2319931834936142,0.1320369839668274
1066,d07675afef0882cb958c96b81af6f15724c24ca5,47,74,180,0.3416762053966522,0.21031221747398376
1066,fef365f9fbf955b365ff8bc15f9de9631720a4c0,5,53,180,0.46769964694976807,0.234840989112854
1066,1eb59a51f9092e4c00313c8642301922655acd2c,185,159,180,0.10040505230426788,0.05768653750419617
1215,01c98d109bc239187ae66072d71a6c9914cf68e0,40,88,201,0.3170560300350189,0.17124582827091217
1215,ae8ece62a7aac37e21cdf4adc1564823171b6f9e,113,45,201,0.18574896454811096,0.23796117305755615
1215,1518a5ecb0fb04a7d4411b550ea9cdcf0cfd6859,204,162,201,0.08488467335700989,0.06381089985370636
6798,9a05f5b7be6ed206d7108cc58114cc39fb158d7f,230,636,776,0.38722464442253113,-4.571303725242615e-05
6798,834119af314c0dbb1a17226360d528a64efe75a1,220,129,776,0.390789270401001,0.15965723991394043
6798,c47604ae59cb4d4e2e6213fd8b17f2d93260d83e,641,140,776,0.2783272862434387,0.15530578792095184
7993,0ec2558d05bee7246d8e728bb8d1d231689b305f,610,28,1295,0.28391313552856445,0.33889520168304443
7993,ee934428493b9c47b0bf73461190754ddbd343a1,128,253,1295,0.3844738304615021,0.1779007613658905
7993,3aa045cfebb894c1fca16dfe848fe171b633f582,202,9,1295,0.3698587417602539,0.4050537347793579
1417,61879a83fed58135ef9b15ae3fa8c7cd71d9694c,147,148,177,0.15552851557731628,0.10882560908794403
