bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
numpy__numpy-14882,1c3b11844b45ea5660db5b77a3b02ff5a2712589,64,32,1301,0.6394898891448975,0.48512306809425354
numpy__numpy-18634,bfd08e4691aa426c1a65e791d73e4f7abb08a168,743,713,1581,0.3343447744846344,0.0799047201871872
numpy__numpy-18634,83f06fde8581ac56880e358156fd5d7c48b0a011,43,981,1581,0.5275682806968689,0.01986294984817505
numpy__numpy-13948,739ae7711d2215831e3f4bbdfa98e45f79377688,185,1,1146,0.39376455545425415,0.3186781704425812
numpy__numpy-3495,eda3ef97cd73719365072e71521c2341c18707f5,2,5,1026,0.5906985402107239,0.48829174041748047
numpy__numpy-3866,44cc2b1632e2c935cd9c187647c5a58710de80e1,33,3,966,0.4050058424472809,0.48677462339401245
numpy__numpy-3866,8f0027616961d19cf968e7eba698893538609844,337,52,966,0.2801106572151184,0.35831260681152344
numpy__numpy-9817,130817e7a150d31da2b5a5c119584c58f46e50e6,381,1,923,0.3241639733314514,0.45714235305786133
numpy__numpy-5398,9ca9136dd9221f46b4e0cab88d6d04f1ab239d9e,84,1,937,0.42173025012016296,0.6530202031135559
numpy__numpy-5398,db491e6f5d74ca863a1b30818f46d0253f2563f9,394,64,937,0.27658602595329285,0.3896329402923584
numpy__numpy-5398,c14d2e3575ee953b15008ea439710c1222fe6d9e,51,2,937,0.4577304720878601,0.6114584803581238
numpy__numpy-19613,813063adb6de06481992e6ce3247d21bf5af0274,217,2,1712,0.41118741035461426,0.3708961606025696
numpy__numpy-16022,93eb74be31a8c15f417176d7ac09e246c3acbd5f,4,1,1972,0.6903221607208252,0.5441881418228149
numpy__numpy-16022,d2986012b7ace617e407eeaa62d7b87e4167489a,62,2,1972,0.5965926051139832,0.5225315690040588
numpy__numpy-22519,8830b814743c35ba471ae96012c54600aca9f280,334,1,2004,0.34000203013420105,0.6910710334777832
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,161,34,973,0.44937413930892944,0.4958791434764862
numpy__numpy-6453,c5b5b5a8f0ea8024638f923618d173a000d1ea29,262,79,935,0.39913955330848694,0.39378511905670166
numpy__numpy-16627,a9ee74a5be2560ac73649476bd973d8ffb349ac0,405,89,1346,0.34616515040397644,0.40557679533958435
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,334,6,1346,0.3572928309440613,0.4798073470592499
numpy__numpy-16627,412d9fe6a13a754ae8613d7c8a642cbba468a19d,328,49,1346,0.3590431809425354,0.43646836280822754
numpy__numpy-9976,8f2e45fa53cad636a00af3ebb456d54536b97baa,74,3,927,0.43368715047836304,0.4040384590625763
numpy__numpy-8646,3bbee0258bfc1a9739ab24fb3a259cb471a5f6da,237,137,956,0.20039066672325134,0.26963505148887634
numpy__numpy-23010,a94ba1139168a84bbdd949dc9c9db8373f9c63c6,1318,767,2057,0.2855338752269745,0.08920048177242279
numpy__numpy-23010,587fab3435735cb7f7b790fc4cf73d7f75d37388,1866,479,2057,0.13881376385688782,0.1227201595902443
numpy__numpy-23010,b64f8ab173cb080e8624c4ea9bc499748a85f502,1302,233,2057,0.28867679834365845,0.15782210230827332
numpy__numpy-23010,2e35f5bb9e1d10fbba672495ec82e16b11f05c4b,1355,101,2057,0.2845021188259125,0.18664878606796265
numpy__numpy-23010,ca07bd180c0ea0c3f22282e10ba0ddde6cbba65a,939,122,2057,0.3255554437637329,0.17911957204341888
numpy__numpy-23010,138f2e9a051ada4461aaf218eb32d50458294a27,372,138,2057,0.38223302364349365,0.1758255660533905
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,187,2,1656,0.3959144353866577,0.5285544395446777
numpy__numpy-12488,0379ecb1ada2ab9b39f1100515a3ac51b343e458,118,93,1031,0.4220801591873169,0.22231818735599518
numpy__numpy-18070,c22ceaa5e42fb2ab389bfd078276c52aaa3968bb,668,193,1526,0.4099513292312622,0.3349663317203522
numpy__numpy-18070,6c6c1ff809ce5315f1fa9eb204e0b546af8925c0,147,1,1526,0.5275897979736328,0.5610672831535339
numpy__numpy-3753,6873a4785d984b1b19127994fafe48dc1c8587f5,107,1,1016,0.39953646063804626,0.36314141750335693
numpy__numpy-13306,a1997ef6b90017dba07de1f65ead1d84ab79eaeb,433,319,1049,0.2822223901748657,0.21421195566654205
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,176,167,979,0.3479723036289215,0.2797088623046875
numpy__numpy-21151,1394710841feea44c27572c44967c68e1a64f315,582,1208,1934,0.3597261309623718,0.03405195474624634
numpy__numpy-21151,3765a0d34e18d7faee5dbb682c7fdc49aa7d021e,578,289,1934,0.36034709215164185,0.3600574731826782
numpy__numpy-5548,d32f593904ae797c5ec29f23f8515f5e205b2019,129,2,948,0.36734360456466675,0.45552390813827515
numpy__numpy-10732,4ccdaeea5e94830655424f4a5c642f8aea9e2f95,381,180,942,0.22930464148521423,0.31025126576423645
numpy__numpy-10732,26161f330938797fd062464148351d2e5de664f0,345,317,942,0.23984664678573608,0.21138989925384521
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,333,343,942,0.24177685379981995,0.19812089204788208
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,685,41,942,0.16178598999977112,0.4693565368652344
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,451,182,942,0.2150825560092926,0.30955955386161804
numpy__numpy-10732,66c07c9e1e48b8f1f4949b111214abed2fe75007,556,208,942,0.19474101066589355,0.2864171266555786
numpy__numpy-10732,8c383cecec7b8a3985e75380340c6e614b7017d3,288,311,942,0.2537495493888855,0.21297088265419006
numpy__numpy-10732,5a0f977d93425d2bc97b0460764b1cbcb3257b36,523,197,942,0.20077216625213623,0.2957022190093994
numpy__numpy-10732,4ff870e1938576491f785b625fac752c1e9694eb,316,300,942,0.24521489441394806,0.22006916999816895
