bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
jupyterlab__jupyterlab-3481,65ee3711ef3c884c1a42173e8f1e09537ef483cd,846,-1,235,0.1498335301876068,0.3736860752105713
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,-1,235,0.14771632850170135,0.33411890268325806
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,81,293,0.3430691063404083,0.40551066398620605
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,23,293,0.3963467478752136,0.5330368280410767
jupyterlab__jupyterlab-13907,4cb2de4ae8fb1d264c7acd2f224c4548808a7d26,331,-1,300,0.3059731125831604,0.5023177266120911
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,-1,263,0.2693433165550232,0.4163666367530823
jupyterlab__jupyterlab-6585,41bee80e4ea13988ef20f0e6b591b59d7742a3e6,1404,-1,260,0.17738132178783417,0.5225222110748291
jupyterlab__jupyterlab-6585,bc852a6d8af6b3c1e5acb759602258b9bcfee7b5,504,-1,260,0.30889901518821716,0.5526694655418396
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,-1,254,0.3198380172252655,0.45769527554512024
jupyterlab__jupyterlab-5723,f4b83a68524ef4d27b02b90a677ec5775e4e6b9e,694,-1,254,0.29599735140800476,0.5032206177711487
jupyterlab__jupyterlab-2488,75621dd2531c5564c97ccbc23cc9aad069754212,386,-1,246,0.2981371581554413,0.41099071502685547
jupyterlab__jupyterlab-8913,9b6f7bccd8304a127cdbb1c13c2173f64a3cf9f2,321,-1,228,0.3477058410644531,0.5188906788825989
jupyterlab__jupyterlab-8913,69b8409fb893411f1e1c3fabefdaf71e3cd0e601,448,-1,228,0.3191163241863251,0.4215421974658966
jupyterlab__jupyterlab-8913,c8c43413d0145252eea4816776451196addefd50,315,-1,228,0.3482683598995209,0.4620886743068695
jupyterlab__jupyterlab-8956,9ba75956ab2a7501c887d939c04d251aff4cb03e,201,58,256,0.41504907608032227,0.45496636629104614
jupyterlab__jupyterlab-8956,0dbd7642f36013f31d6d0d7e98cfd4acad94cde1,1313,-1,256,0.2495490461587906,0.41486096382141113
jupyterlab__jupyterlab-8956,e09c615464b116cee90935976a40c11d06a6f654,921,-1,256,0.29622334241867065,0.29748210310935974
jupyterlab__jupyterlab-8956,ad93fdba23baed1a9ca8b81626b587a8401d55db,1354,-1,256,0.24312837421894073,0.45287877321243286
jupyterlab__jupyterlab-8956,3607df493ccf6e38f7a5165c18b38d4880b9e5ee,1486,-1,256,0.21884359419345856,0.44122686982154846
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,-1,256,0.2673693299293518,0.35315757989883423
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,278,149,288,0.20784813165664673,0.36748722195625305
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,130,14,288,0.2667600214481354,0.46246570348739624
jupyterlab__jupyterlab-2410,228bd6096f930734c9351c1fa408995b32673a0c,486,-1,249,0.1845189779996872,0.40528959035873413
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,606,-1,249,0.10914197564125061,0.4255473017692566
jupyterlab__jupyterlab-9232,02db2fddc8e6c88b13fae7d5a4d8c4936eeacbcc,75,30,292,0.4034442603588104,0.499359130859375
jupyterlab__jupyterlab-8780,4dc1224b3270d340fe37c1534139090d43070535,1235,-1,241,0.22650566697120667,0.4373679757118225
jupyterlab__jupyterlab-2841,860333919415e9d5ade3fb435d90c376710b18f1,320,-1,244,0.29319193959236145,0.3704260587692261
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,463,-1,244,0.2399817407131195,0.47307050228118896
jupyterlab__jupyterlab-9390,4a1295698dc5c88a1716604b0f94c66298de5ad8,310,-1,265,0.294444739818573,0.4073348045349121
jupyterlab__jupyterlab-9390,2b832a1977dfa6766af5626a61fcef5d0f99fd49,1144,-1,265,0.22484806180000305,0.549314022064209
jupyterlab__jupyterlab-9021,d1cda444f2275ccbec870133de0211bfa86c3df0,452,-1,249,0.2889544367790222,0.5875790119171143
jupyterlab__jupyterlab-2069,1a265a9700643315f1e1ea1413c6a8992e778648,565,-1,249,0.1793801337480545,0.45011889934539795
jupyterlab__jupyterlab-2069,c3776466d481378a3655136b0f4e0effaba2e5a2,601,-1,249,0.15087415277957916,0.4417537450790405
jupyterlab__jupyterlab-2069,7665a2c70b6c9f7a8b505387f48aeaaf601e4c38,471,-1,249,0.23881220817565918,0.44966772198677063
jupyterlab__jupyterlab-2069,583c88f291818bf0d8816bf1d671ed6c86b6d3a0,615,-1,249,0.12090250849723816,0.45304787158966064
jupyterlab__jupyterlab-7805,bf657418129087dd6cb1e6db6cd40e77c7add148,78,162,264,0.5403804779052734,0.36706942319869995
jupyterlab__jupyterlab-7805,5e5be9e48b463183bc0d202581e2b4f16cb122fc,912,-1,264,0.4174186885356903,0.3671819567680359
jupyterlab__jupyterlab-3107,656fc38fefabcc786ca041756d0c8b5dd8141f3e,856,-1,240,0.11372494697570801,0.42098313570022583
jupyterlab__jupyterlab-2466,674c72e0b9aaeeb8d8b72a834c88a9be9d2850c7,490,-1,247,0.1912335604429245,0.3256665766239166
jupyterlab__jupyterlab-6445,f10cec18f09ea7787cc404e1b4bcea21a4990e39,705,-1,256,0.23299922049045563,0.3418292999267578
jupyterlab__jupyterlab-7723,0de688edaac853a931d3b76baba72ce0097d5b62,345,-1,250,0.37769225239753723,0.55431067943573
jupyterlab__jupyterlab-2409,eaa3946e8231b0b2369e448a690bc87413151a43,622,-1,249,0.12217827141284943,0.35515734553337097
jupyterlab__jupyterlab-2409,a8d74ed2fc3b15586a0102aecd79458a038cad30,626,-1,249,0.11436685919761658,0.47381237149238586
jupyterlab__jupyterlab-2409,6b0ced67b0e8d97f587e6bf3d6fe98c10af50820,630,-1,249,0.09562452137470245,0.43489640951156616
jupyterlab__jupyterlab-2215,eb5079b6741359e9ebda17d938d09c52e50ef63e,476,-1,244,0.24792373180389404,0.429825097322464
jupyterlab__jupyterlab-3127,0cf5ecbfafbeb2b77335e555c9117bb6ca0a4f97,69,2,290,0.315201997756958,0.5212734341621399
jupyterlab__jupyterlab-2441,e555bc72b6cd5de9da14f5512f4e94822c5613ef,123,18,248,0.33927983045578003,0.5154430270195007
jupyterlab__jupyterlab-6451,6044127f84d5ccf60cec1869a526c823962b830d,111,172,279,0.419683039188385,0.35621505975723267
jupyterlab__jupyterlab-6451,7c039d1ced2896f8c23e1810640547517941ea98,349,-1,279,0.3327690064907074,0.2683749794960022
jupyterlab__jupyterlab-7016,c040ae41a02fdbc817b01ff3714f9c76c5634b06,419,-1,264,0.29452043771743774,0.44021865725517273
jupyterlab__jupyterlab-11003,e2a44b817cbfe2f5b1ec2d0363281bc44fa48a3d,340,-1,285,0.3617798686027527,0.45041486620903015
jupyterlab__jupyterlab-12680,eaf0186e7226d297b89b49e41a4ca223eba94f4a,1207,-1,289,0.3954278230667114,0.38538143038749695
jupyterlab__jupyterlab-12680,2f543d15e32f57214c3413ebab74ff89bb52810e,1202,-1,289,0.3959032893180847,0.3576066493988037
jupyterlab__jupyterlab-12680,eaa3a3751ccdbbe803e8b8acd13ff49647ba2d3d,1230,-1,289,0.3928035497665405,0.3557537794113159
jupyterlab__jupyterlab-12680,feada920714403b5d69d05611ed631992a8fc291,2050,-1,289,0.27284908294677734,0.42068660259246826
jupyterlab__jupyterlab-12680,3acf0ad4cfffb1f8dfba9134e379a26015e23e8e,1350,-1,289,0.38084810972213745,0.35954010486602783
jupyterlab__jupyterlab-12680,160ecfa22f56b582b41f083fb0eaf3a588504a7e,1223,-1,289,0.39394474029541016,0.3735256791114807
jupyterlab__jupyterlab-12680,e41ae2729ac56ab2d0acf58409366efa052a6c92,883,-1,289,0.4369847774505615,0.3654255270957947
jupyterlab__jupyterlab-2038,57886fb63cb03404963dda3ce91054a6aaadbf84,13,30,299,0.5162858366966248,0.5100007653236389
jupyterlab__jupyterlab-2038,ab48643b3516e9aa04f94c5a5230f08720eb4a96,123,101,299,0.28727850317955017,0.38607704639434814
jupyterlab__jupyterlab-2038,c57a9eee02105f3d8e8ca55de8a096d13b536b82,36,38,299,0.4235003590583801,0.48157307505607605
jupyterlab__jupyterlab-2038,cdd53bbed1449a4e1e70eeb923a7b4f5deeb071f,130,100,299,0.28238430619239807,0.3871465027332306
jupyterlab__jupyterlab-2038,d63760472a978a8e172304ee70c5000dc4b5ca6f,592,-1,299,0.1398123800754547,0.435921311378479
jupyterlab__jupyterlab-2759,5e52c5e802fa0b77ee65bfbe892a08244aef58fd,565,-1,291,0.18377360701560974,0.42891746759414673
jupyterlab__jupyterlab-2759,c3b154aa4d1264881331e24b33d3273d1421a56a,24,69,291,0.4332679510116577,0.4419625401496887
jupyterlab__jupyterlab-2759,4f216705a888de6e3cf0b972fd731c4a4749c446,707,-1,291,0.11360681056976318,0.437700092792511
jupyterlab__jupyterlab-7764,0e351cf4734a8b9ad0ae43bb88583ed43478c0f6,1185,-1,262,0.32487952709198,0.46994102001190186
jupyterlab__jupyterlab-4920,0ea7d024bb5f0fb8898ee5e7532de4ba7af50121,308,-1,265,0.28752049803733826,0.3166617751121521
jupyterlab__jupyterlab-4920,eb730efe7fe6384333b697c975db4cafc1127c32,326,-1,265,0.28346794843673706,0.43081992864608765
jupyterlab__jupyterlab-4920,e6e1722f2d1b4bc6eb81548ba9d34fef2eb9460b,828,-1,265,0.2366313636302948,0.4025077223777771
jupyterlab__jupyterlab-4920,acedec5a56cb617166e25b6dc6b52d63cfa7a204,771,-1,265,0.24221035838127136,0.33204156160354614
jupyterlab__jupyterlab-7109,fec2ca990bf4d830e994d71d81b0ef289ea99d0f,23,58,282,0.5007542967796326,0.4376438856124878
jupyterlab__jupyterlab-7136,d7ce7bbfae5f1be04f3ef8a6f082bce029cf390d,448,-1,256,0.30885258316993713,0.39184966683387756
jupyterlab__jupyterlab-7136,0e7363631d572dabcfea8279abba3da77402bfcf,920,-1,256,0.26417726278305054,0.5075063705444336
jupyterlab__jupyterlab-8779,f28ad7f5300bce42d8917835db84cd90baac9f34,1147,-1,245,0.3176821172237396,0.40041518211364746
jupyterlab__jupyterlab-8779,c249f008e32ec82652a3bb23f7432ae40cc32d9f,1275,-1,245,0.29321351647377014,0.41009432077407837
jupyterlab__jupyterlab-8779,6d2bb1c95ef6b25f614b173ed50b65bf98b9a759,713,-1,245,0.3894875645637512,0.44175446033477783
jupyterlab__jupyterlab-8779,7e00504041a5dab0947321cf05751c1ca46cba2f,891,-1,245,0.363098680973053,0.41984742879867554
jupyterlab__jupyterlab-8779,36c47509c85eccd7e15f9ddedd68566dc577304f,1697,-1,245,0.19131362438201904,0.4662677049636841
jupyterlab__jupyterlab-8779,052b0d78e4920c2002422c10b78d090d2f436cbb,1385,-1,245,0.2693430781364441,0.41736412048339844
jupyterlab__jupyterlab-8779,24532dabfb5c6bc9ae438b33fbd239408cedf76d,1001,-1,245,0.3471105992794037,0.4295352101325989
jupyterlab__jupyterlab-8779,64da2c5dcc9ad828b182f0200cadd3e917a217b4,1074,-1,245,0.3330323398113251,0.4037201404571533
jupyterlab__jupyterlab-8779,bc58bef36f30bcf1f3741654f2c2073b3319d5f7,1025,-1,245,0.3412145972251892,0.4029679298400879
jupyterlab__jupyterlab-8779,93594a9ab2c45124f82a851c73039fcc339011d0,1405,-1,245,0.2665119171142578,0.4469774067401886
jupyterlab__jupyterlab-8779,47ea464e744832e0a65cb27d8ba2bc339c058cb1,1397,-1,245,0.26748281717300415,0.4313480257987976
jupyterlab__jupyterlab-8779,85e6a8c63c36a6a3262268a007ea6d1c60b9acf0,801,-1,245,0.3733171224594116,0.4439161419868469
jupyterlab__jupyterlab-8779,7316958c5241ec81fb14b34341bd893ea28e2dcb,1412,-1,245,0.2652775049209595,0.4207821190357208
jupyterlab__jupyterlab-8779,ce22e9911381ed230e43c50517b9db9237b5c158,887,-1,245,0.3633795380592346,0.44323205947875977
jupyterlab__jupyterlab-2836,f96ee7feabe5dc19008f9d0cd84d1c3ed1aaaa17,211,35,285,0.29706329107284546,0.45895904302597046
