bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
Lightning-AI__lightning-689,168e983585c2a0e29300aa4b2bc931122396d952,9,1,109,0.3684312701225281,0.4764772355556488
Lightning-AI__lightning-128,1b35bfc5d48febed6fea43e9d232a3f690c8c347,99,1,104,0.25580739974975586,0.4686276316642761
Lightning-AI__lightning-1152,a7e8118869ce5fcaf400bb4646c2141bf6574d7a,123,25,192,0.24823229014873505,0.3076701760292053
Lightning-AI__lightning-1152,8c3daa29cb96e5f149ff86f2f18b62a17146dbff,126,1,192,0.2449750155210495,0.4515942335128784
Lightning-AI__lightning-1152,372d215c34df2e8cc513a4e0e7285fe424fb89d9,24,4,192,0.404267817735672,0.36791813373565674
Lightning-AI__lightning-1152,a56c6c126798e56debf542884c03598ef4f96dfa,77,9,192,0.3072294294834137,0.3497862219810486
Lightning-AI__lightning-1152,662ecdf4af4959e689bfa85ebbe248e63800fa08,117,2,192,0.2553563714027405,0.422597736120224
Lightning-AI__lightning-1152,ed878a0616e628fca8ec4515b32dd69edc7aeb7a,197,33,192,0.130454421043396,0.2958349585533142
Lightning-AI__lightning-625,ef2e4d4cc799d51f1f5b6456abe0cf71edc54f21,16,1,106,0.3310748338699341,0.3558887839317322
Lightning-AI__lightning-1477,538d717afcd63af4eeb809ce374c780a6b06222a,77,1,219,0.2827727198600769,0.4407840669155121
Lightning-AI__lightning-2970,8b45d109866901187e5447c6dae8d512accb0453,55,4,287,0.3550642132759094,0.3737213611602783
Lightning-AI__lightning-2970,9e9f64140984349cb93426ad4b9fe8b6abd60380,125,150,287,0.29257822036743164,0.20152467489242554
Lightning-AI__lightning-1589,73efaf67c486bb6aa718d43f9b89f5e8795fcd64,18,37,227,0.46279364824295044,0.2702868580818176
Lightning-AI__lightning-2062,f5eafe990d1fa6485d4973c400ae4854e0a8d597,198,59,246,0.18734878301620483,0.24034461379051208
