bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
docker__compose-5234,1a18c66549d42657635a3e2f01dc424eacb349c3,205,3,265,0.1659640222787857,0.2981148958206177
docker__compose-5593,7cea91a2da2a2a69b0ce0c0c95671cf04cc5d5af,189,89,276,0.25624972581863403,0.09037002921104431
docker__compose-5593,44c7ad91d8ffdf7e00c9f02c089cbc73364e8cad,67,4,276,0.36625152826309204,0.3106459975242615
docker__compose-2239,1a3b30accc4365f244a1230001799ecda8bf7875,91,93,190,0.2934653162956238,0.14503426849842072
docker__compose-5566,95e2bf60e5fd029e10f243d7d65ec2fc1e528d2d,195,5,276,0.19899240136146545,0.3703969120979309
docker__compose-5566,420eb3f09935d19f6c23e2d879d8ab3952730538,22,2,276,0.3707965016365051,0.4140275716781616
docker__compose-4339,b2654dcfd911aba5b6ae254e28b7e1c2d6d76f76,142,10,229,0.28357404470443726,0.25034427642822266
docker__compose-5237,face38e6d3311de8d0807752d437ab97856c2880,80,1,268,0.3603493571281433,0.47502124309539795
docker__compose-2361,11aeac38c20f0dedb43b57fc91e4b2041ab92e8b,68,2,194,0.32886677980422974,0.4057515561580658
docker__compose-2361,f286195406737100a0be88a67a4e60e57ccf5c19,113,1,194,0.23994378745555878,0.4205630421638489
docker__compose-2361,f0478203bb122696e329e0199ac1cc8647cbdf3c,133,3,194,0.20864742994308472,0.38815221190452576
docker__compose-6342,a7f2aa05720d50bfc3eef62d5fd95a51975735fc,250,1,300,0.09627947211265564,0.4994741976261139
docker__compose-2527,853157ee89f2b8c3644d21a63aea67dd9e022db3,73,52,200,0.27764442563056946,0.2075587511062622
docker__compose-6388,22dafdb223cb2f65db8ffd1cd7052a00c8265e98,77,234,299,0.3446723520755768,-0.07650098204612732
docker__compose-7027,1fa8a17a23339aa3d7200e5eae9c1f6a6de79cd2,213,108,310,0.13624200224876404,0.15409989655017853
docker__compose-2000,dc630adf279618d7c886a03965beab10020f7a12,66,46,165,0.2888575792312622,0.1288270503282547
docker__compose-4528,023efa274838ab14ecb722d5ae594f955dadb3d9,133,6,237,0.2899485230445862,0.2956210970878601
docker__compose-3052,850af31c90ea9451477fd4386b9cd8ba7cd67e9d,202,2,244,0.11280062794685364,0.2605746388435364
docker__compose-5699,fd7f92a81f7bd306fcf1f9c18781da06492f716a,73,1,274,0.3433549702167511,0.3975096046924591
docker__compose-5634,a581ae67285b7e32f3a92144326a7c8fb16b8df4,128,2,272,0.1936301738023758,0.36086684465408325
docker__compose-4635,854cc79954d252e9cb18bf44df54db7cca1db04c,200,122,237,0.14797896146774292,0.05307897925376892
docker__compose-4635,51ba36a094bcb68300639eb0675980f172aa8414,34,1,237,0.4046371579170227,0.43185120820999146
docker__compose-4635,3f23f0a7aea84689b007a8444510d17448717730,148,174,237,0.2636995315551758,-0.022417034953832626
docker__compose-4635,0330ab80f20aa86cb70c767550815b1aa4fe843d,60,10,237,0.3721192479133606,0.30385810136795044
docker__compose-4635,9f2fc68b43c0c3bd20db7890a46ad6fe1ffeb7d1,136,2,237,0.28073424100875854,0.3744323253631592
docker__compose-4635,7cf71eb98bd7f428329082794f2487724156e1df,201,237,237,0.14728794991970062,-0.24837857484817505
docker__compose-4635,299ddea465caeb1db98691102bb76bc167613526,204,93,237,0.11429762840270996,0.09194708615541458
docker__compose-4635,68a0598e12820642f5307fbaebedf80c431b834e,132,223,237,0.2842710018157959,-0.13446271419525146
docker__compose-4635,5b97709556866b7e6508ae5ad874354e8f36c50f,133,112,237,0.2834171652793884,0.0651642307639122
docker__compose-4635,811e6c1fc37000d929a13e3401966f0ea164141c,205,196,237,0.11120067536830902,-0.05374050885438919
docker__compose-4635,4c9cf423bb44435d7ad7a434aa812a57ea98306b,111,49,237,0.3166879713535309,0.16371096670627594
docker__compose-4635,5f580645910e578e0c341d419f53c1a2455734c0,129,216,237,0.2882646322250366,-0.11292722076177597
docker__compose-4635,e694dbdae53e85fa1109e47b8249b3a1694ee5db,174,8,237,0.22089354693889618,0.3078187108039856
docker__compose-4635,46d283f080cbeda2b33a66a184fb9b43cc50b8d3,207,135,237,0.10900907218456268,0.033765967935323715
docker__compose-4635,16ed01b861400459da9301212e6f698c96e047c9,124,217,237,0.2990991473197937,-0.11715969443321228
docker__compose-4635,020354283f6fab5bde277498ca980ccfe0a34e52,93,184,237,0.3346630334854126,-0.03436630591750145
docker__compose-4635,d98f68d2fb7ae75484c2a33a978b300874028e41,94,101,237,0.33390557765960693,0.08548498153686523
docker__compose-4635,e495410cff8886f8bdf37b8f5e082b431f2bbf47,105,5,237,0.325885534286499,0.3155566453933716
docker__compose-4635,a66471983ecebd6954d9117bdc0ae4f1dc24fb97,45,227,237,0.3909507095813751,-0.14931447803974152
docker__compose-4635,580bd1b073df19fb9026a751c62bb89e15587f06,175,230,237,0.22084292769432068,-0.17424020171165466
docker__compose-2348,c8fddc5f162cf326472f7416ab52b4414843121c,64,85,194,0.2217136174440384,0.10669605433940887
docker__compose-7787,55e8c2757db41c61cfaf767f5f2cc0c36df95ac0,197,34,300,0.19020923972129822,0.18405675888061523
docker__compose-7787,2d9493a0362ea5c6cec01be41b4c838eff0d3c96,239,21,300,0.14183342456817627,0.2582104206085205
docker__compose-3006,0e307835ca973e5d7671175a0cd33a02e63a4632,175,114,238,0.14123716950416565,0.07108195126056671
docker__compose-3006,4f9be97f437769dd0cb38c6637cf61a76b11cd0e,109,192,238,0.23488034307956696,-0.03279893472790718
docker__compose-3006,2565c8ffc38d2288ea2262e68aa07e88b1bb7fff,136,38,238,0.20789062976837158,0.20299066603183746
docker__compose-3006,f362f1b8081e6dccec0be2171f85007d838c8d87,87,206,238,0.2642199397087097,-0.05043148249387741
docker__compose-3006,2713fd32bf25a0db975d9593a68129c5e5a0c1eb,189,208,238,0.1157212033867836,-0.05580565705895424
docker__compose-3006,268bb719e05bd6ed14b1c1d26e53d3b08178dcf3,81,234,238,0.27353981137275696,-0.20855319499969482
docker__compose-3006,e1c781fec67ea0fcf486822c77c3080e4ef4e3b1,202,231,238,0.0732082799077034,-0.1480254828929901
docker__compose-3006,62e1d2cd3bc63cdb2fdedd9a75dd8c239899feea,200,6,238,0.08066345751285553,0.38827621936798096
docker__compose-3006,deb1e9121cdd11f7dab583854dd760d56e05df83,27,1,238,0.3998762369155884,0.5790705680847168
docker__compose-3006,29d8a695d029c438c72d58a752066fcadc51e180,201,220,238,0.0804818645119667,-0.09282076358795166
docker__compose-3006,652ee7944df2e645c02b87c06128827ad861b68b,49,2,238,0.33623042702674866,0.4709199368953705
docker__compose-3006,6b24013525e093c1e36573601240c4eef676f709,73,227,238,0.28297072649002075,-0.10973027348518372
