source_project,target_project,scenario,best_epoch,wall_time_sec,ref_top1,ref_top5,ref_top10,ref_MAP,ref_MRR,full_top1,full_top5,full_top10,full_MAP,full_MRR,res_top1,res_top5,res_top10,res_MAP,res_MRR,n_test,n_gt_files,n_gt_files_in_top300
ansible/ansible,jupyterlab/jupyterlab,WP-small,10,3577.7,0.0,0.025,0.025,0.0216,0.0214,0.15,0.3,0.4,0.177,0.2302,0.125,0.2,0.225,0.1317,0.1565,40,89,17
ansible/ansible,lightning-ai/lightning,WP-small,10,1157.6,0.16,0.5333,0.6133,0.2401,0.3154,0.2133,0.5333,0.6933,0.272,0.3546,0.2133,0.5333,0.6933,0.2721,0.3546,75,216,214
ansible/ansible,prefecthq/prefect,WP-small,9,1281.8,0.1341,0.4024,0.5122,0.1942,0.2531,0.1951,0.5244,0.5976,0.2461,0.3277,0.1829,0.4024,0.4878,0.2206,0.2694,82,281,141
docker/compose,ipython/ipython,WP-small,10,2309.3,0.1538,0.3373,0.4497,0.2212,0.2449,0.2426,0.4024,0.497,0.2822,0.3264,0.1953,0.3314,0.4083,0.2378,0.2599,169,362,206
docker/compose,jupyterlab/jupyterlab,WP-small,2,2370.2,0.0,0.025,0.025,0.0284,0.0277,0.025,0.025,0.1,0.0479,0.049,0.025,0.05,0.075,0.0398,0.0411,40,89,17
ipython/ipython,docker/compose,WP-small,3,613.4,0.2051,0.4786,0.5726,0.2799,0.3367,0.1282,0.3419,0.4615,0.1966,0.239,0.1282,0.3419,0.4615,0.2012,0.2425,117,259,259
ipython/ipython,jupyterlab/jupyterlab,WP-small,1,2367.8,0.175,0.325,0.475,0.2018,0.2615,0.025,0.025,0.075,0.0411,0.0433,0.025,0.025,0.025,0.0314,0.0321,40,89,17
ipython/ipython,qiskit/qiskit,WP-small,8,4364.4,0.2941,0.511,0.614,0.326,0.3981,0.2757,0.4816,0.5809,0.31,0.3782,0.2059,0.3272,0.3934,0.2401,0.2695,272,1240,536
jupyterlab/jupyterlab,ansible/ansible,WP-small,10,6893.2,0.2338,0.4286,0.5065,0.2696,0.3287,0.2143,0.4091,0.526,0.2434,0.3118,0.1039,0.1688,0.2078,0.1161,0.13,154,318,56
jupyterlab/jupyterlab,docker/compose,WP-small,9,1126.7,0.1026,0.2735,0.4615,0.1846,0.2014,0.2564,0.4786,0.5897,0.3115,0.3708,0.2564,0.4872,0.5983,0.3154,0.3739,117,259,259
jupyterlab/jupyterlab,ipython/ipython,WP-small,10,3764.0,0.2308,0.4734,0.5858,0.3119,0.3555,0.2012,0.426,0.5503,0.2689,0.3077,0.1598,0.3314,0.4379,0.2273,0.2449,169,362,206
jupyterlab/jupyterlab,lightning-ai/lightning,WP-small,10,1685.6,0.1733,0.4267,0.5867,0.2503,0.3141,0.2,0.4533,0.64,0.2533,0.3352,0.2,0.4533,0.64,0.2533,0.3351,75,216,214
jupyterlab/jupyterlab,localstack/localstack,WP-small,10,4742.8,0.2105,0.4105,0.5474,0.1911,0.3125,0.1895,0.3263,0.4526,0.1783,0.2734,0.0947,0.2842,0.3579,0.1485,0.1848,95,335,199
jupyterlab/jupyterlab,mesonbuild/meson,WP-small,10,4113.9,0.2011,0.4233,0.5344,0.2529,0.3114,0.2751,0.4815,0.5661,0.2955,0.3671,0.1323,0.2593,0.3069,0.174,0.1917,189,444,137
jupyterlab/jupyterlab,numpy/numpy,WP-small,10,14445.3,0.2733,0.5093,0.6211,0.3438,0.3884,0.2609,0.4907,0.5652,0.3281,0.3647,0.2422,0.4348,0.5217,0.3164,0.3388,161,369,195
jupyterlab/jupyterlab,prefecthq/prefect,WP-small,9,2155.4,0.1463,0.3293,0.5366,0.1964,0.2554,0.2195,0.4268,0.5976,0.2513,0.3277,0.1829,0.4024,0.5,0.2304,0.2778,82,281,141
jupyterlab/jupyterlab,pydata/xarray,WP-small,5,1397.0,0.04,0.16,0.24,0.1105,0.1168,0.08,0.2,0.28,0.1306,0.1521,0.08,0.2,0.28,0.1309,0.1523,25,37,37
jupyterlab/jupyterlab,qiskit/qiskit,WP-small,10,6859.5,0.2721,0.5,0.6103,0.3025,0.3772,0.2243,0.489,0.5846,0.2801,0.3419,0.1875,0.3419,0.3971,0.2294,0.259,272,1240,536
jupyterlab/jupyterlab,scikit-learn/scikit-learn,WP-small,10,3375.6,0.1087,0.3478,0.413,0.2329,0.2365,0.1087,0.2609,0.3696,0.2111,0.2144,0.087,0.1957,0.2391,0.1478,0.1536,46,56,32
jupyterlab/jupyterlab,wagtail/wagtail,WP-small,10,10078.9,0.0854,0.2561,0.4024,0.1414,0.1878,0.1463,0.3171,0.3659,0.1762,0.2178,0.0732,0.1463,0.1829,0.0989,0.1061,82,153,38
lightning-ai/lightning,ansible/ansible,WP-small,10,9712.1,0.2078,0.3701,0.487,0.2307,0.293,0.1883,0.4091,0.4935,0.2318,0.2949,0.0974,0.1558,0.1883,0.1117,0.1254,154,318,56
lightning-ai/lightning,ipython/ipython,WP-small,10,3909.8,0.2426,0.4024,0.5266,0.2925,0.3312,0.2308,0.3846,0.5266,0.2797,0.3181,0.1893,0.3373,0.4142,0.2383,0.2583,169,362,206
lightning-ai/lightning,jupyterlab/jupyterlab,WP-small,10,3525.4,0.05,0.225,0.3,0.1254,0.1484,0.125,0.25,0.35,0.1574,0.2009,0.075,0.175,0.25,0.1103,0.1241,40,89,17
lightning-ai/lightning,localstack/localstack,WP-small,10,4556.5,0.2,0.4526,0.5474,0.1984,0.3122,0.1895,0.3579,0.4842,0.1813,0.2773,0.1263,0.2737,0.4211,0.1534,0.1986,95,335,199
lightning-ai/lightning,numpy/numpy,WP-small,8,13468.1,0.2422,0.5217,0.5901,0.3237,0.3597,0.2671,0.4596,0.5776,0.3266,0.366,0.2547,0.4286,0.5404,0.3185,0.3399,161,369,195
lightning-ai/lightning,prefecthq/prefect,WP-small,5,2205.3,0.1098,0.3659,0.4878,0.1837,0.2303,0.1951,0.4512,0.5366,0.228,0.2996,0.1707,0.3537,0.439,0.208,0.2457,82,281,141
lightning-ai/lightning,pydata/xarray,WP-small,10,1465.6,0.08,0.2,0.28,0.132,0.1609,0.12,0.2,0.28,0.161,0.199,0.12,0.2,0.28,0.1613,0.1993,25,37,37
lightning-ai/lightning,scikit-learn/scikit-learn,WP-small,10,3408.9,0.1087,0.2826,0.413,0.2096,0.2161,0.1522,0.3696,0.4348,0.257,0.2686,0.1087,0.2391,0.3696,0.1795,0.1896,46,56,32
lightning-ai/lightning,wagtail/wagtail,WP-small,8,10175.3,0.1098,0.3415,0.439,0.166,0.2127,0.1098,0.3293,0.439,0.1579,0.2079,0.0732,0.1707,0.2073,0.0991,0.1102,82,153,38
localstack/localstack,jupyterlab/jupyterlab,WP-small,2,4053.1,0.125,0.35,0.4,0.1738,0.2215,0.0,0.025,0.05,0.0299,0.0286,0.0,0.025,0.075,0.0206,0.0224,40,89,17
localstack/localstack,lightning-ai/lightning,WP-small,10,2128.1,0.2,0.48,0.6267,0.2846,0.3504,0.1733,0.4933,0.6533,0.2638,0.3212,0.1733,0.4933,0.6533,0.264,0.3213,75,216,214
localstack/localstack,numpy/numpy,WP-small,10,16001.4,0.3043,0.4845,0.5901,0.3523,0.3956,0.236,0.5155,0.6273,0.3247,0.3647,0.2298,0.4783,0.5714,0.3188,0.3414,161,369,195
mesonbuild/meson,jupyterlab/jupyterlab,WP-small,1,3970.5,0.025,0.025,0.025,0.0397,0.0402,0.0,0.025,0.025,0.0284,0.0283,0.0,0.025,0.025,0.0198,0.0207,40,89,17
numpy/numpy,jupyterlab/jupyterlab,WP-small,1,4063.0,0.0,0.025,0.025,0.0217,0.0219,0.0,0.025,0.05,0.024,0.0248,0.0,0.025,0.025,0.0164,0.0172,40,89,17
