bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
60524,e5278d72e00379bf4f1c3a39e8d9c8197741d130,8319,5174,3145,0.2955169975757599,0.24397657811641693
60524,6078a8200bbd32ac7491360fd687665872f90edb,3169,21,3148,0.386594295501709,0.386386901140213
70784,3018e9e238e3b29eaeb9a01e7d2d82ec154817bd,1184,1496,-312,0.3493541479110718,0.17890006303787231
70784,929d19966d84fcf59f77593767b5df35f305c218,695,3,692,0.39216235280036926,0.3574588894844055
61609,12136fde2797f2c81a1486e0dddcd628217a6b1b,4505,3,4502,0.29695630073547363,0.45258426666259766
61609,2be986c54cb5ade127558f9743434f0653f4aaee,5957,181,5776,0.28195783495903015,0.37555041909217834
61609,5cf188eef928dec41b2d99584712a0a62d330ab9,9891,39,9852,0.24248333275318146,0.4079686403274536
59806,b6701acb2113b720875007a60deaea8ad65cc570,7850,398,7452,0.2223103642463684,0.32480090856552124
65636,3c84cb60e96dd37a5fd4aa0a17d8398e017ab62f,634,1,633,0.4073277711868286,0.44818833470344543
75371,5a555883a0290e982862afe620c33b4ef0a09d39,4010,507,3503,0.15873950719833374,0.2461731731891632
75371,6d1a72c198db401e2882589108cb0a3ee2109886,104,243,-139,0.34628596901893616,0.27059581875801086
78762,e4e39aa35701376ce8522577e865d0c4dd4914a6,1155,1,1154,0.1920253187417984,0.547626256942749
78762,27753d6c8792e8aaeb8304b3772886c7b06c953e,1069,4,1065,0.19558027386665344,0.5319743156433105
70544,2802c4202e77a58242b1a9cb4850efab174333d5,1116,30,1086,0.3800414204597473,0.3883323073387146
62937,f16e486edb0e26b3110457db505f75ffe63fe4b7,1118,2,1116,0.3376465439796448,0.32445406913757324
62937,5f13cb926cfd486b6f4159a50fb5ce05d88a177e,2029,5486,-3457,0.30837762355804443,0.15174375474452972
77399,f9d862c1c563488f25b7a66f807ebd9e35c3d205,3792,1,3791,0.28510838747024536,0.3645990490913391
77399,383e9221fdfeb5273c45f4ea29c4d78ed0bc5054,1776,22,1754,0.4056609869003296,0.29898691177368164
60530,2b3cfed69688251ffffc115e9b860d2ae1830f4e,11960,96,11864,0.2181488424539566,0.38741111755371094
75164,7d6257daf309a1749202ee257068f5b28cd2efed,174,521,-347,0.30879101157188416,0.3634704351425171
75568,d22f03e9f009675243258d5884514241b9dacf70,4621,640,3981,0.1656399667263031,0.31329345703125
75568,4a34c320851f106907e455a055f0206bb2a8386f,-1,2840,-1,-1.0,0.16662657260894775
75568,41639f3cd77b8e6f34af2e396979e65f2f5dbbd2,1774,3474,-1700,0.32177233695983887,0.11073057353496552
73104,501492a6fb23bd58235e32284ad0307033e865d9,1,1,0,0.5150961875915527,0.4750751256942749
