bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
ipython__ipython-4346,8ce939d5ce4311b939bef0893975e62482de753d,201,2,199,0.3674774169921875,0.5465952157974243
ipython__ipython-13825,fc3aea7b61194aba898e18a6d25ea1f744b45897,55,1,54,0.3891361653804779,0.6169840693473816
ipython__ipython-6029,8f5808867299e98523d5d7cdb79d15406005aa3c,524,10,514,0.28235167264938354,0.35580337047576904
ipython__ipython-6029,bedeaf5d1989baa632d76737ad2075e8693872cb,98,67,31,0.47883057594299316,0.2541201114654541
ipython__ipython-6029,72729a1fb947fb2e254e4e0e2b1e414b95af56a5,370,1,369,0.33110281825065613,0.39780789613723755
ipython__ipython-7855,4f05bf172ebd844b9e9db845b649989a9acc9ee3,402,10,392,0.2980068624019623,0.38747546076774597
ipython__ipython-10863,899ff029ba255bf994070ccd150b4856941d14e5,196,1,195,0.2669580578804016,0.5075303316116333
ipython__ipython-1541,60ed39126916f8dc08f50a4f4ea28180832df3f3,46,229,-183,0.4457070827484131,0.16001954674720764
ipython__ipython-9182,b522c0ec403ab7ee2222fb3c358e0afd5c26fdde,19,3,16,0.4849949777126312,0.41857388615608215
ipython__ipython-10931,e094a1117d1d44be93a314926b96bb68f67a91c8,42,1,41,0.4236436188220978,0.5298179984092712
ipython__ipython-4195,df7f5a55a062c450094c54689939ae590454bfd5,27,36,-9,0.6502853035926819,0.5079020261764526
ipython__ipython-4195,ec0d8bee9d9143dc7d23ea08d09c0c2533640e34,222,3,219,0.3968035578727722,0.6204605102539062
ipython__ipython-4195,a3e51a9a8637f865955290438ed2fd467590bee0,18,88,-70,0.671525239944458,0.4318843483924866
ipython__ipython-10479,ac0414d6e16fbb4ce72273c6ffeeee157f07ab63,102,1,101,0.2928375005722046,0.6045635938644409
ipython__ipython-10479,c836cc7fd8860f32046f48acb7a7b9e7c92d78af,37,4,33,0.3804391920566559,0.5821493268013
ipython__ipython-2946,baf1d6e2ca69db63484ad8d5fb3a3272ba521e74,167,1,166,0.35084593296051025,0.5635393261909485
ipython__ipython-13888,6ca91ec31bac530d867d17913b14d5acfb324433,146,4,142,0.36879849433898926,0.6167588829994202
ipython__ipython-13888,df4648b8914b7398641df7e2e32582021425f9c0,358,160,198,0.2127322256565094,0.2208503782749176
ipython__ipython-13888,d04d4637ba78d7da2df7a13046191933f31a6ea1,108,453,-345,0.406779944896698,-0.01862308755517006
ipython__ipython-13888,c867b553f2e3f8fea8b7b8708a28bc393430b055,43,13,30,0.5140488743782043,0.5781217813491821
ipython__ipython-13888,db7fe8d49176f9cdb5855715e30ee62467e710bb,284,53,231,0.24929840862751007,0.39735931158065796
ipython__ipython-9711,14f2d5348f59d6f71620feae8189d533ac3784d2,101,123,-22,0.442009299993515,0.15159553289413452
ipython__ipython-2926,b010143eea2e71b7c72cd005777eb594b9348188,652,5,647,0.3268475830554962,0.29307055473327637
ipython__ipython-4908,d71795a2e5dcba2082126818e14dbb901b7c0e05,226,1,225,0.2929254174232483,0.40655526518821716
ipython__ipython-13961,471d2058f8be37b615e0b2ff59e64673016ae996,113,7,106,0.3896181881427765,0.5245026350021362
ipython__ipython-9022,2934beef1d9940039f07be3ccd5dbdb1648080cd,197,1,196,0.3998110890388489,0.3676355481147766
ipython__ipython-1691,d9f425115ba9e29bf3bc977dd6f261019e94cc43,695,168,527,0.1976321041584015,0.24629290401935577
ipython__ipython-1691,8240b99412e087556d20fd6a10c5057084e95800,757,658,99,0.18273022770881653,0.015313651412725449
ipython__ipython-1691,04490d6078512b390623cb7c8a7080aab55776f3,247,30,217,0.3124541938304901,0.34645789861679077
ipython__ipython-4427,568c6a5f059075556cfb2d1c8bbad3b15b2d0cf1,315,54,261,0.2673741579055786,0.2787840664386749
ipython__ipython-4427,e87a2ccb2ec2c90951ba3d4f7d9f4c2b010d26a2,854,25,829,0.15254178643226624,0.30766385793685913
ipython__ipython-4977,368d787dfab2bc472a2d9e12172fb2a8ec46cb95,342,1,341,0.2627287209033966,0.4017353057861328
ipython__ipython-2479,5cf0b573c6c320e079d36a1f228b69d3a1568bcc,287,61,226,0.24253427982330322,0.2838096022605896
ipython__ipython-2479,dff928612e2a53122915bd858eab64790cf2faae,317,49,268,0.2364780455827713,0.29982230067253113
ipython__ipython-1165,d6071da3df8270671d9fdbff66cfca0ffb59115e,557,7,550,0.239614337682724,0.37045997381210327
ipython__ipython-10940,f4d625c488ecd7d4fe239650dd7253449470e55e,243,298,-55,0.29116111993789673,0.12685221433639526
ipython__ipython-3366,bd7f6823a556c59d2a39ac2e408888448e3967f3,13,64,-51,0.4590488076210022,0.2610509395599365
ipython__ipython-3366,65ba51d8430b6e21e92ca6172c5d6035f53db7bf,385,240,145,0.3308509886264801,0.16260650753974915
ipython__ipython-13763,206ff20a0f88aafd28adc83ef20c3836d9f4bd8b,156,2,154,0.2776658833026886,0.6310298442840576
ipython__ipython-2812,4a331cb6cf4220b4115dd9a0c539af985039a62b,873,1,872,0.17251813411712646,0.48610538244247437
ipython__ipython-6036,3bf2e2d60d96ce97fac7da760f44d8fd97bd22c9,406,23,383,0.30264610052108765,0.5030790567398071
ipython__ipython-6036,a18860aa4f7c2280ce15bf03659a3f0b95eabcbe,78,3,75,0.5052005052566528,0.6034356355667114
ipython__ipython-2370,d04911a4e0984b228fbff3e619765bb8a83e9eb1,139,112,27,0.3573927581310272,0.29810765385627747
ipython__ipython-3484,a1dda16b5e95a6b4611cf46de499d17b59f29cee,393,14,379,0.2696927785873413,0.3293471336364746
ipython__ipython-2030,a90f1d65947a33df8cb29a66716670f127ba534a,520,186,334,0.2853204309940338,0.18265873193740845
ipython__ipython-5628,a9e1ec417231bf75e9dac70d163600b0e8f7417f,253,1,252,0.22471141815185547,0.38684383034706116
ipython__ipython-2218,55e4ccc1aa5d66d87cd4a2815414b42613616d9e,530,1,529,0.2556226849555969,0.5618261098861694
ipython__ipython-11650,73039bdb394f4317fe67bdb8d0eb4f0fbb3a5da3,40,1,39,0.5177373290061951,0.36904773116111755
ipython__ipython-8736,4b95befdb78d1ed2ebce5352a02cdfb9cfa62f6d,166,1,165,0.36563047766685486,0.522526741027832
ipython__ipython-8124,456133d551697a23ce145efd4ab4918643c8a664,105,28,77,0.44335901737213135,0.22751905024051666
ipython__ipython-8124,86698229a80c95036f7b0aa876d521ecaa9c544a,21,1,20,0.561219334602356,0.3991829752922058
ipython__ipython-11806,9a2518537b4d42c9b311dc273ae1549e05abe241,68,9,59,0.39667564630508423,0.360100120306015
ipython__ipython-13328,26e1883fd619fb3626ca7a5786e7381487b91a6f,241,433,-192,0.3216060996055603,0.03146893158555031
ipython__ipython-10548,230a2c6e8c724f1fc7b7664d653deb1ba4142abb,427,1,426,0.10414145886898041,0.381500780582428
ipython__ipython-9596,1b4d55b1eff1c13fab82962f1557b6f0389a6cad,104,1,103,0.35318464040756226,0.5349434018135071
ipython__ipython-9596,d472a29437f1f01fe1cfd596e5a8808f3a381936,319,81,238,0.2554795742034912,0.30259764194488525
ipython__ipython-6743,053df7851f061744744eddf9d6c837a6ea3cf8e5,617,203,414,0.32482168078422546,0.22397252917289734
ipython__ipython-12244,1cb46b1413db92dd61779659cee6b41d9ba9e7b3,74,1,73,0.4292358160018921,0.5926805734634399
ipython__ipython-11353,ca5c3aa5b8615e70638db0008cd69f12a3f93bc4,46,2,44,0.43803369998931885,0.44167566299438477
ipython__ipython-3328,4deff3fc28937cc8f42fd690e56b42aa8068033d,455,1,454,0.0577637180685997,0.3630213141441345
ipython__ipython-2638,5b46dd8d93f9dc9de428ee8e5e47314201c1ed90,813,337,476,0.24871553480625153,0.15648409724235535
ipython__ipython-9418,7db39a27b51e6a3cc3a3d04661a6d12f7b66a45f,53,7,46,0.401502788066864,0.43681323528289795
ipython__ipython-1717,d924fa95424a85714b1f724dddb7abcdd47fea75,51,4,47,0.4318270683288574,0.4577624797821045
ipython__ipython-7502,53a44e1720d878a49cf9b5e9be8b62558c1f73da,733,23,710,0.31791019439697266,0.2634240388870239
ipython__ipython-4552,33900c2249cc639c82b80fa60fa67fdad350f34a,460,4,456,0.19382888078689575,0.3805307149887085
