bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
8703,b081e50bf39cf55aaaa1ff2107f6bf0e835a87f6,1627,933,694,0.1316741704940796,0.10255181789398193
8703,8d098386cef9b5633d92fc61e081db66ad7c77ed,1405,1362,43,0.20724397897720337,0.016345694661140442
8380,9f4a38675f736b3502f6c4ce5a947b2a0c84455c,1469,415,1054,0.20622238516807556,0.1442970633506775
9408,a5f0327872c98200d3ec1eab48248fa65ec146da,1841,204,1637,0.2099503129720688,0.3336014747619629
9408,2d265cf03833375442c5ad21a12eaad843f11589,1394,27,1367,0.27169743180274963,0.5105180144309998
9408,9de97ffd14e1680844cce7031cc90a0913a8faef,1488,65,1423,0.2612610459327698,0.447236031293869
9408,1309b8da3bda7689ebfb531aec6f4e1c6c07fcd0,607,490,117,0.35441040992736816,0.21754974126815796
9408,b9163f4f6efbb3778796e04ad9da34057e050946,568,133,435,0.3597967028617859,0.37935397028923035
4227,06df9c9b071f0673ad2192905554cdf4cb4dece2,48,1,47,0.3141869306564331,0.5394341945648193
4227,85cdd65c9978599269aedf76f19ee704d8fc49b5,9,2,7,0.3690893352031708,0.5170122385025024
5048,0203d68067bccf6c2084287bed1e4823c2967431,182,291,-109,0.31600072979927063,0.04015818238258362
5048,156cabc01c2f23c01bc541e602ab29ae6633c766,415,437,-22,0.1983432024717331,-0.311408668756485
5048,53daa8dc3bc9485782cdc31d93c5d135295d0327,426,189,237,0.18759077787399292,0.1397451013326645
5048,75fa925969b8f6ffc5eedd1199a0270ddeb41407,392,13,379,0.2167350798845291,0.4437904357910156
5048,da48ca1f237a861f39bc94fac99b74ce4c7c4f21,408,75,333,0.2029808759689331,0.3028549551963806
5048,11a96dece538c91e4b11ebf1740d207964211e94,168,322,-154,0.32361501455307007,0.0008847024291753769
5048,389a4097856617927510b5278214f9238c43d797,267,108,159,0.29179513454437256,0.24455249309539795
1877,e12dafda2ef3ed81c6865eb35578d5d43c6fd3ca,46,87,-41,0.3117624521255493,0.19820371270179749
1877,90069aa6f833e92972bc3f3a2f3f7c7bc8ef52f9,41,3,38,0.32995831966400146,0.6358840465545654
5604,c2b1efb69665ade1805195d84d1c1d6205153464,474,10,464,0.22617165744304657,0.4532405138015747
5604,9f045cf85dbc506ba73596dbe0998364f312cb72,607,13,594,0.15712690353393555,0.44601970911026
5604,0f8f4fd645b9200b7c1c994773b19ddaeb2f8f76,376,50,326,0.2608114182949066,0.33236777782440186
5604,e9c966d567e6fafb99fa9e4d5ccbab1370de0ea6,495,2,493,0.21722346544265747,0.5127074122428894
5604,660132e43c955caccc2a4681f5780f1d561d35c6,509,5,504,0.21092155575752258,0.48027586936950684
9989,88b7407a0ac7571a2d5b2cb4e959abba8c565315,1284,4,1280,0.2873886823654175,0.7039328813552856
9989,74cf6827a5c4cfb1cd10eb2ebdd8e83013d301fe,1622,1,1621,0.24645939469337463,0.7416812181472778
7236,c769ba14806528deb9391fb4baa51f52c2453c06,741,5,736,0.2319776862859726,0.635361909866333
7236,758647d49c09c13dc0993e72d8e18544a92199b6,569,1,568,0.27770379185676575,0.6769779920578003
8422,c9a3496889999229396b4853291cd99697a0ae5d,215,3,212,0.3420068621635437,0.668220043182373
8422,55bb98765f053ca35fbab12535ad6585a78edfaa,573,1,572,0.2913999855518341,0.7405898571014404
8422,4bb00bbda033d4b64df8e64356d880ce546152ed,98,10,88,0.3779560625553131,0.6283534169197083
8183,351735b7dbfdeb60752146e7745060c637b2bbea,48,1,47,0.38420718908309937,0.6751813292503357
8183,110d136d0d6afee7bc29152703b4d63acf745308,272,12,260,0.3453540802001953,0.5957295894622803
6304,5af31f331b38987e3579f9303b18f8c97965135c,14,13,1,0.5252353549003601,0.27920329570770264
6304,ab6e8a943e2b21dccc034f546fabd7c89d3ae4b1,209,92,117,0.3868156373500824,0.16850674152374268
6304,262d3c126efa2270f23070dbce776d8981067dec,39,139,-100,0.4890618324279785,0.13055133819580078
2285,bd8f0adccb72173d51cad153367cb14cc256e171,12,20,-8,0.4521717429161072,0.5140244364738464
2285,5a73766b0f1927dad2fa697a080cf6ecaf33b674,5,89,-84,0.49406635761260986,0.39015358686447144
2285,a99a0a93fe3654ef8a615cbf389e47446e6038ca,54,28,26,0.3780694603919983,0.49327218532562256
2285,298f56fce77ed465b65fd0eb979ae3edb3abb6aa,15,18,-3,0.43972882628440857,0.5175612568855286
6422,8d519365e9c3839d52028cd425083df1bc22fa40,294,3,291,0.28214460611343384,0.6950476169586182
6422,e6f195efb948d76965f2349dfdb1a1d725386129,576,11,565,0.18705575168132782,0.6030281782150269
6422,f62f742dfa4b170e2b5bd1eb261ef7a2f826475a,380,1,379,0.2543211579322815,0.7473981976509094
1066,e1a07cdcbf4f82c61f1cd644db65cd4f281c593e,6,171,-165,0.4428783655166626,0.09187452495098114
1066,6f887a30ca51b1b9c3224dc75409bf02dbcf5866,1,156,-155,0.6237589716911316,0.1967233419418335
1066,7169a1b4f95d7e47ec4d0fdc56c80f17bf5fdb6a,105,48,57,0.256318062543869,0.43520957231521606
1066,85dfc43b9c7052eee4a5f24e83fda32de7ae3238,168,99,69,0.1496860384941101,0.3210974335670471
1066,9e31f99797988e098b0f89d72ddbc84d90d42c01,79,159,-80,0.3003959655761719,0.18319398164749146
1066,1eb59a51f9092e4c00313c8642301922655acd2c,185,12,173,0.10040505230426788,0.5349847078323364
1066,fef365f9fbf955b365ff8bc15f9de9631720a4c0,5,36,-31,0.46769964694976807,0.45394134521484375
1066,ff63d01fdc1edd0624a2f0e8e30800c495f9556f,161,35,126,0.1575174182653427,0.45399776101112366
1066,392a0e16a3ad7a36e19af38103e0f36289e866a3,4,173,-169,0.47001388669013977,0.04675272852182388
1066,64665a874d38ff6e17d394d38cc26e03e0201f44,144,29,115,0.18998831510543823,0.47673994302749634
1066,56dc16a97192a1ffedc9935f35c1aa8fcc37e1d9,139,40,99,0.195034921169281,0.4476315379142761
1066,d07675afef0882cb958c96b81af6f15724c24ca5,47,163,-116,0.3416762053966522,0.14296820759773254
1066,4e4c0c847e972f21251c6e5c284e43b5d3a71904,120,16,104,0.2319931834936142,0.5242080688476562
1215,1518a5ecb0fb04a7d4411b550ea9cdcf0cfd6859,204,180,24,0.08488467335700989,-0.13616865873336792
1215,01c98d109bc239187ae66072d71a6c9914cf68e0,40,189,-149,0.3170560300350189,-0.16978484392166138
1215,ae8ece62a7aac37e21cdf4adc1564823171b6f9e,113,2,111,0.18574896454811096,0.2802411913871765
