bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
mesonbuild__meson-8905,0acb699f2fc36d5e52bc7e63705071475b056e86,121,60,61,0.39505618810653687,0.161826953291893
mesonbuild__meson-8905,be17c9a9c9c1633d4d9a644001357c9215e9237a,333,10,323,0.35596802830696106,0.21678179502487183
mesonbuild__meson-3002,93189264237b6b52ce7790bff2c4b65b428aad43,1178,1,1177,0.2430809885263443,0.39238396286964417
mesonbuild__meson-2413,2e6e351c9052565bdfecee5dbb46c4558c6821c5,1431,14,1417,0.23072585463523865,0.17663946747779846
mesonbuild__meson-1027,00306605b57aa32e57142c3ee5fe5813626e5ef9,884,54,830,0.16826167702674866,0.25100305676460266
mesonbuild__meson-1027,bbe6a72925d450c305ab1a7d61abe45aaa49a463,248,1,247,0.3124103248119354,0.5202137231826782
mesonbuild__meson-11982,c9ea8803ce0c2fb921664020e7be2f19983a2b9c,1032,94,938,0.35124146938323975,0.2563624083995819
mesonbuild__meson-10224,5d720f0d079bfcaef0cf7ef1278e6791e5c07002,303,8,295,0.35585784912109375,0.3478522002696991
mesonbuild__meson-2624,5a3c8d1b5ac13572d33d9dd268edf58011375710,278,4,274,0.3492088317871094,0.3939317762851715
mesonbuild__meson-4627,fc65e5b69ce1a1c9a32e542377967c1943db682d,1040,10,1030,0.3504827618598938,0.2934277057647705
mesonbuild__meson-4657,e8fba91a23e2d6291b34fe816fd32e7444dbce51,956,3,953,0.2759966254234314,0.40295127034187317
mesonbuild__meson-6398,140950de9f36d9e3634f33aca8f66c65c61c1ff6,53,48,5,0.46254146099090576,0.2249455749988556
mesonbuild__meson-6398,669c8ffeaf1bcbce6f005890fc9e96e447c86ddf,30,5,25,0.48917317390441895,0.3294139504432678
mesonbuild__meson-5196,3efc88c601c401087f5c28ed5de6bd0b96881c07,1054,4,1050,0.3149421811103821,0.3714870810508728
mesonbuild__meson-3501,3d531d1811715204c60de7ff7e13af4771d49c2d,1682,108,1574,0.23645982146263123,0.1840498000383377
mesonbuild__meson-3501,a3ba973f35819a540296f111d776fadc16554356,812,68,744,0.3027009963989258,0.20347073674201965
mesonbuild__meson-3501,de383a4352de8bac6898ebf634f181a700bda5c3,1610,62,1548,0.24309399724006653,0.21003875136375427
mesonbuild__meson-4617,2ccd31eb8c62527c9c55fea363961262924d1d56,1661,9,1652,0.31220805644989014,0.3494182229042053
mesonbuild__meson-11597,eaa906748c0494d0380bba03a3348813adb2eb2e,3272,13,3259,0.22745057940483093,0.38001343607902527
mesonbuild__meson-2721,9da9b81e62cb7c7fde0f39ebc4e4ba1438528265,1523,225,1298,0.16414359211921692,0.14667494595050812
mesonbuild__meson-8978,7e95232ee3413f5a329ac1b53f8b3beac22fccbb,2026,18,2008,0.2371320128440857,0.34223976731300354
