bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
PrefectHQ__prefect-1525,5f8007ac4c9c6cc515d62768e75aa793cf04107f,93,1,92,0.3821421265602112,0.5397655963897705
PrefectHQ__prefect-1525,dc18e97fcfedda802d07970715b01027b9cc9992,466,13,453,0.22965514659881592,0.4244546592235565
PrefectHQ__prefect-2560,7932a54ce4907edeeaa5b855fab2c1b8d6b9fd3b,873,125,748,0.21454477310180664,0.28995048999786377
PrefectHQ__prefect-2867,c4713b22b80d0f7960f7882818532c5b152db99d,377,14,363,0.28644952178001404,0.31108736991882324
PrefectHQ__prefect-2867,0816e6de2e2719b4b2b576fb21fecda947147ad8,615,305,310,0.24547597765922546,0.06074880063533783
PrefectHQ__prefect-2867,4383a13326ecc8ab356bff5cef822e457c638083,350,31,319,0.29104888439178467,0.26024556159973145
PrefectHQ__prefect-2867,47f1db5b4a11c7952ff995f68ca836df650cffe1,592,17,575,0.2488650679588318,0.305095911026001
PrefectHQ__prefect-2867,04adc57028611e7ac8ec02120639e190ed97c358,1232,371,861,0.15938183665275574,0.034365214407444
PrefectHQ__prefect-1239,110bf9775ceeee29380630cb77bf3c1422448645,450,86,364,0.266595721244812,0.18198055028915405
PrefectHQ__prefect-134,45a64b879d0a4d6936128f56ee9f4b2693b231c2,55,60,-5,0.18243643641471863,0.1295013129711151
PrefectHQ__prefect-1579,2cdd48a1f4b46bbbfbf7b24b2de599fdd80dfb37,734,4,730,0.23888161778450012,0.388277530670166
PrefectHQ__prefect-2031,bb2692f0a5b976db136fa87772f2a20abb76b785,172,4,168,0.41719290614128113,0.4775516092777252
PrefectHQ__prefect-578,6324e8280460e370a3cc972b903288f5744be300,146,4,142,0.1828909069299698,0.30965226888656616
PrefectHQ__prefect-2727,b115326ee64043ca3e9a743f3aa3ad1f8f81599d,182,704,-522,0.35388439893722534,0.12285098433494568
PrefectHQ__prefect-2898,493c327378c5d2157174314d7ebc661ba64257ed,409,180,229,0.3764345645904541,0.23727652430534363
PrefectHQ__prefect-2898,7133d90f25f0c8616db8ac9f7ed23e71ad80f34b,412,64,348,0.3760486841201782,0.32543760538101196
PrefectHQ__prefect-2898,bbcba68c7ad9abe6e312944061c21efd6ea9380b,891,167,724,0.3040500581264496,0.24376589059829712
PrefectHQ__prefect-2898,871d4e8f71d4ed64e4a1b347d5bbad395e238561,355,6,349,0.3866669535636902,0.47165802121162415
PrefectHQ__prefect-2898,f8d2846ff4081a1590ca9ee108b79e202117a040,396,2,394,0.37883487343788147,0.5165395736694336
PrefectHQ__prefect-2898,ad85ec4b93967e1a3b3e5cf0ebf15259bd1afcdb,996,4,992,0.27976202964782715,0.49386754631996155
PrefectHQ__prefect-2898,942a74fc0e935a68c72582b79cab3835a2dcec19,932,1320,-388,0.2917969226837158,-0.0577765628695488
PrefectHQ__prefect-2898,f572ffc09bed1901a1d18237c89f6217ec5f1a1e,470,521,-51,0.36439478397369385,0.13385425508022308
PrefectHQ__prefect-2898,befe1a82db6dcc7a034a2a916e5123ebf82a5443,1162,52,1110,0.24937866628170013,0.35233306884765625
PrefectHQ__prefect-746,60feddaf49e1aac6825f50a0d2571a17c11e2bbb,208,211,-3,0.18737587332725525,0.02637198194861412
PrefectHQ__prefect-746,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,188,11,177,0.20110677182674408,0.39157944917678833
PrefectHQ__prefect-746,cc936393d42bfed98dfe595635664d2e4fc464d8,252,18,234,0.14926418662071228,0.36850595474243164
PrefectHQ__prefect-746,29664b85ddc06e9ea2bd2aaaa488b66307efb06f,117,1,116,0.2644937038421631,0.4951114356517792
PrefectHQ__prefect-746,ea900763cf93d948753aeace014bc5509a31ccdf,263,273,-10,0.1443740427494049,-0.10094553232192993
PrefectHQ__prefect-746,6084f00c0ac8545c6a79803907d7afb200271b70,264,288,-24,0.1436643898487091,-0.17295019328594208
PrefectHQ__prefect-746,e0f12c400aa658126496b04fa54ac4ca7b15aecf,144,216,-72,0.23602604866027832,0.017055384814739227
PrefectHQ__prefect-158,682fb497b5386ea42d1e00acde4b9a2949489b16,40,1,39,0.37851211428642273,0.35724174976348877
PrefectHQ__prefect-158,8cbc80eb56cfaf9beb898088ef1edc1075015f78,75,22,53,0.30684006214141846,0.15957099199295044
PrefectHQ__prefect-158,5b49bc6cd8dfb8332e8ae401c3bb866c136e8f8d,56,13,43,0.3474847674369812,0.19459278881549835
PrefectHQ__prefect-158,62c6d4c28e7ba25ebcab26d73f0b3e99fa0a1120,74,19,55,0.3083548843860626,0.1674003303050995
PrefectHQ__prefect-158,07450a943cdaf82a572fbf08df51182ff374d4f1,106,3,103,0.2155669927597046,0.3061671555042267
PrefectHQ__prefect-312,c26165341c2b86efd5ea8fb91c1a07e465ae0387,19,2,17,0.43733128905296326,0.5897651314735413
PrefectHQ__prefect-312,a275962f7b88f81f7ccb6e421ef28457c23014d4,22,1,21,0.42517614364624023,0.5935816764831543
PrefectHQ__prefect-907,6fdf88bfdeb6e571e11ba037d9a41d724da496af,364,23,341,0.28514787554740906,0.2973369061946869
PrefectHQ__prefect-907,6a5877155aa312dbba9190db53d1556873c290df,271,27,244,0.32883620262145996,0.2859136760234833
PrefectHQ__prefect-907,7ee889cd9e7cef7944bbc9ee9e7fad21bb7a921b,225,26,199,0.3482271134853363,0.2875249683856964
PrefectHQ__prefect-907,5752a4024daec6eae4142dbdf720876d83336ebc,80,13,67,0.41166776418685913,0.3488151431083679
PrefectHQ__prefect-907,b191fc4ce77b269be5657ba55b50f4d4f4a57c8a,359,6,353,0.2873828113079071,0.39497679471969604
PrefectHQ__prefect-907,17c63a13fc06f1d639b3d169fac29877bdd90632,436,24,412,0.20624865591526031,0.2959863841533661
PrefectHQ__prefect-907,140d1e4def1b3d4061e61505a2a0c0c5924b6244,155,5,150,0.3711917996406555,0.41590389609336853
PrefectHQ__prefect-2151,1bb334ca3ac973832147fb5ac3e6fc8b388d7ad9,311,3,308,0.3904150724411011,0.3415190577507019
PrefectHQ__prefect-2151,f89c945fd84df66c38be8eccc6b7a44a3bc9dc13,605,12,593,0.3034668564796448,0.2890574634075165
PrefectHQ__prefect-2386,8f975f04ebd550cd65b2c1eb0b11cae3af28df8f,190,5,185,0.33910518884658813,0.3509480357170105
PrefectHQ__prefect-2386,1d3f3fea431c29f47c323c7fbb3ceeed6b538d29,760,116,644,0.18603664636611938,0.19370117783546448
PrefectHQ__prefect-2386,8b9f53eb694c06da85e808d2a1787234b62b4d5f,805,284,521,0.17752183973789215,0.09903255105018616
PrefectHQ__prefect-2310,bfd245c9d7e5306933fb4dd889f0707905cbdefc,114,1,113,0.3517748713493347,0.44568806886672974
PrefectHQ__prefect-2641,9da427f25a095cf36986edb67ac9e33984d43494,452,1,451,0.2940542697906494,0.5387638807296753
PrefectHQ__prefect-2641,fae731fca9665419552bdd584ab011b3ae941f65,922,18,904,0.2195391058921814,0.43439245223999023
