bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
Qiskit__qiskit-10401,2a079b304fab57b80a4bd49baabd900d0dfaea78,1176,8,1168,0.32705169916152954,0.376911997795105
Qiskit__qiskit-636,68017e0b9bae0217e3c307dfbf1e55429cab2621,39,3,36,0.2770654261112213,0.6134916543960571
Qiskit__qiskit-636,02acaa22c51010e623b93ff4843498e388bb3e5e,130,30,100,0.18594202399253845,0.46636971831321716
Qiskit__qiskit-9617,476e4857223839bb4111c2843765482f3cae0f86,16,52,-36,0.48665857315063477,0.34509801864624023
Qiskit__qiskit-2781,378053e6f08234908688b29a3f47829bac93a850,13,31,-18,0.4431241750717163,0.4241320490837097
Qiskit__qiskit-2781,b7744e6f6e08e6ea4abc66709b741b2799998987,22,1,21,0.42979297041893005,0.649685263633728
Qiskit__qiskit-2781,71bad02824dab94bd630eb00f01c025cb2fcb2b0,49,4,45,0.3986915051937103,0.5746810436248779
Qiskit__qiskit-2781,4e907d522414432a4a714b580b912086a234ac19,6,15,-9,0.46213042736053467,0.5005027651786804
Qiskit__qiskit-2781,9128654cabd8696c4032d2135b2d256281995a0b,66,3,63,0.38638728857040405,0.6121534109115601
Qiskit__qiskit-6562,f7ae267653213a093f937f07490115efa2b935af,485,7,478,0.3127894997596741,0.47812432050704956
Qiskit__qiskit-3057,9e605f1a67b7bee06b4dcd51b92d2826b9eff130,502,3,499,0.2348039597272873,0.6906328201293945
Qiskit__qiskit-4140,5f3ddad3e8f570adc89b404ab076f32cb15b262a,340,1,339,0.23246195912361145,0.5602899789810181
Qiskit__qiskit-8989,6b48a30090ed637022ca9ac3e218db31ae20e029,84,1,83,0.42209163308143616,0.67134690284729
Qiskit__qiskit-688,5e7693161dc87f4d0859ecaeab5a981fbc302689,240,107,133,0.290422260761261,0.19512535631656647
Qiskit__qiskit-688,b8bbe4ed0b5ec460beae19ee31997da5c442534a,73,51,22,0.3859676718711853,0.29770347476005554
Qiskit__qiskit-688,8ee13e47f8ce8e69e378c9379b60d284070fd34b,360,58,302,0.16589801013469696,0.2880515456199646
Qiskit__qiskit-688,6fad3fcd0a4f40b337e0100ec28fe8d637d83abd,227,14,213,0.2955028712749481,0.3940046429634094
Qiskit__qiskit-7140,e4f55ad485bd765106535df4d8751920d1264d0c,410,2,408,0.38472333550453186,0.5368865728378296
Qiskit__qiskit-4472,39b0cab8647844fdd86d0de04b47ea0d51bfa3ec,973,73,900,0.1933697611093521,0.4182831645011902
Qiskit__qiskit-3042,c4abde54f2fa4b282bd46d41ce8aaa3cd86f0f83,92,1,91,0.39617955684661865,0.6533349752426147
Qiskit__qiskit-3708,a09950f1cf1f8782d0a71cd639b762a87beb93a2,395,3,392,0.21955004334449768,0.5180870294570923
Qiskit__qiskit-9095,075ac339b18249160dc16062b0bcd14f581b745d,1124,1,1123,0.3361154794692993,0.5565443634986877
Qiskit__qiskit-5534,0bbf7ca17bef9d2ba4fd8b89dff0444f87ecc719,264,523,-259,0.3591192066669464,0.1819395273923874
Qiskit__qiskit-3873,31e1ed962c44b3d8ef609f3f000a085cae6c255f,236,39,197,0.3814752697944641,0.2695537805557251
Qiskit__qiskit-3873,2b11897f72617bbb163aa4e4044be83acea41ed8,564,265,299,0.2974550724029541,0.14111897349357605
Qiskit__qiskit-3873,c0d727b17c3a240674645df91fdc520b4a83147b,276,3,273,0.3677007257938385,0.33165842294692993
Qiskit__qiskit-3873,c86562fcdc7cef1b02fcd9e88f801fed13c07e47,575,29,546,0.2949771583080292,0.28098583221435547
Qiskit__qiskit-3873,20282c655cf9de9b9003d161dacf901f6a464b23,244,98,146,0.3794248700141907,0.2177329957485199
Qiskit__qiskit-3873,d82094957a4d78533637ccb563194f840c50dcfd,270,79,191,0.3707854151725769,0.2251090705394745
