bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
PrefectHQ__prefect-1525,5f8007ac4c9c6cc515d62768e75aa793cf04107f,93,1,92,0.3821421265602112,0.747732937335968
PrefectHQ__prefect-1525,dc18e97fcfedda802d07970715b01027b9cc9992,466,17,449,0.22965514659881592,0.583406925201416
PrefectHQ__prefect-2560,7932a54ce4907edeeaa5b855fab2c1b8d6b9fd3b,873,73,800,0.21454477310180664,0.4396304190158844
PrefectHQ__prefect-2867,c4713b22b80d0f7960f7882818532c5b152db99d,377,10,367,0.28644952178001404,0.40990763902664185
PrefectHQ__prefect-2867,0816e6de2e2719b4b2b576fb21fecda947147ad8,615,211,404,0.24547597765922546,0.11844448745250702
PrefectHQ__prefect-2867,4383a13326ecc8ab356bff5cef822e457c638083,350,2,348,0.29104888439178467,0.5245119333267212
PrefectHQ__prefect-2867,47f1db5b4a11c7952ff995f68ca836df650cffe1,592,11,581,0.2488650679588318,0.40936654806137085
PrefectHQ__prefect-2867,04adc57028611e7ac8ec02120639e190ed97c358,1232,47,1185,0.15938183665275574,0.26104727387428284
PrefectHQ__prefect-1239,110bf9775ceeee29380630cb77bf3c1422448645,450,371,79,0.266595721244812,0.10554368793964386
PrefectHQ__prefect-134,45a64b879d0a4d6936128f56ee9f4b2693b231c2,55,8,47,0.18243643641471863,0.37987956404685974
PrefectHQ__prefect-1579,2cdd48a1f4b46bbbfbf7b24b2de599fdd80dfb37,734,7,727,0.23888161778450012,0.4248214364051819
PrefectHQ__prefect-2031,bb2692f0a5b976db136fa87772f2a20abb76b785,172,2,170,0.41719290614128113,0.622734785079956
PrefectHQ__prefect-578,6324e8280460e370a3cc972b903288f5744be300,146,7,139,0.1828909069299698,0.5941527485847473
PrefectHQ__prefect-2727,b115326ee64043ca3e9a743f3aa3ad1f8f81599d,182,159,23,0.35388439893722534,0.24528741836547852
