bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-3481,65ee3711ef3c884c1a42173e8f1e09537ef483cd,846,242,604,0.1498335301876068,0.3288012742996216
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,36,817,0.14771632850170135,0.48508936166763306
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,19,1,0.3963467478752136,0.2774994373321533
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,65,-36,0.3430691063404083,0.16526727378368378
jupyterlab__jupyterlab-13907,4cb2de4ae8fb1d264c7acd2f224c4548808a7d26,331,6,325,0.3059731125831604,0.4623849391937256
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,144,427,0.2693433165550232,0.30279502272605896
jupyterlab__jupyterlab-6585,41bee80e4ea13988ef20f0e6b591b59d7742a3e6,1404,2,1402,0.17738132178783417,0.5481832027435303
jupyterlab__jupyterlab-6585,bc852a6d8af6b3c1e5acb759602258b9bcfee7b5,504,3,501,0.30889901518821716,0.5474709272384644
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,3,498,0.3198380172252655,0.45022785663604736
jupyterlab__jupyterlab-5723,f4b83a68524ef4d27b02b90a677ec5775e4e6b9e,694,5,689,0.29599735140800476,0.4420958161354065
jupyterlab__jupyterlab-2488,75621dd2531c5564c97ccbc23cc9aad069754212,386,211,175,0.2981371581554413,0.21006879210472107
jupyterlab__jupyterlab-8913,69b8409fb893411f1e1c3fabefdaf71e3cd0e601,448,15,433,0.3191163241863251,0.5096530318260193
jupyterlab__jupyterlab-8913,c8c43413d0145252eea4816776451196addefd50,315,26,289,0.3482683598995209,0.4904961585998535
jupyterlab__jupyterlab-8913,9b6f7bccd8304a127cdbb1c13c2173f64a3cf9f2,321,1,320,0.3477058410644531,0.5890390872955322
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,199,998,0.2673693299293518,0.3255305886268616
jupyterlab__jupyterlab-8956,3607df493ccf6e38f7a5165c18b38d4880b9e5ee,1486,469,1017,0.21884359419345856,0.23628878593444824
