bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,205,648,0.14771632850170135,0.17427358031272888
jupyterlab__jupyterlab-3481,65ee3711ef3c884c1a42173e8f1e09537ef483cd,846,121,725,0.1498335301876068,0.2358640432357788
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,2,18,0.3963467478752136,0.33073803782463074
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,54,-25,0.3430691063404083,0.15673577785491943
jupyterlab__jupyterlab-13907,4cb2de4ae8fb1d264c7acd2f224c4548808a7d26,331,1,330,0.3059731125831604,0.3358738124370575
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,49,522,0.2693433165550232,0.19655826687812805
jupyterlab__jupyterlab-6585,41bee80e4ea13988ef20f0e6b591b59d7742a3e6,1404,12,1392,0.17738132178783417,0.2674139738082886
jupyterlab__jupyterlab-6585,bc852a6d8af6b3c1e5acb759602258b9bcfee7b5,504,1,503,0.30889901518821716,0.3643592894077301
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,51,450,0.3198380172252655,0.2960062623023987
jupyterlab__jupyterlab-5723,f4b83a68524ef4d27b02b90a677ec5775e4e6b9e,694,7,687,0.29599735140800476,0.38375651836395264
jupyterlab__jupyterlab-2488,75621dd2531c5564c97ccbc23cc9aad069754212,386,235,151,0.2981371581554413,0.16063906252384186
jupyterlab__jupyterlab-8913,c8c43413d0145252eea4816776451196addefd50,315,2,313,0.3482683598995209,0.3311401605606079
jupyterlab__jupyterlab-8913,9b6f7bccd8304a127cdbb1c13c2173f64a3cf9f2,321,93,228,0.3477058410644531,0.18989133834838867
jupyterlab__jupyterlab-8913,69b8409fb893411f1e1c3fabefdaf71e3cd0e601,448,1127,-679,0.3191163241863251,-0.0063672736287117004
jupyterlab__jupyterlab-8956,0dbd7642f36013f31d6d0d7e98cfd4acad94cde1,1313,1106,207,0.2495490461587906,0.12424156069755554
jupyterlab__jupyterlab-8956,ad93fdba23baed1a9ca8b81626b587a8401d55db,1354,540,814,0.24312837421894073,0.2087879478931427
jupyterlab__jupyterlab-8956,9ba75956ab2a7501c887d939c04d251aff4cb03e,201,794,-593,0.41504907608032227,0.16719472408294678
jupyterlab__jupyterlab-8956,3607df493ccf6e38f7a5165c18b38d4880b9e5ee,1486,400,1086,0.21884359419345856,0.23231489956378937
jupyterlab__jupyterlab-8956,e09c615464b116cee90935976a40c11d06a6f654,921,1588,-667,0.29622334241867065,-0.022136585786938667
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,1540,-343,0.2673693299293518,0.019544746726751328
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,130,207,-77,0.2667600214481354,0.09748157113790512
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,278,238,40,0.20784813165664673,0.0873701423406601
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,606,15,591,0.10914197564125061,0.18274229764938354
jupyterlab__jupyterlab-2410,228bd6096f930734c9351c1fa408995b32673a0c,486,9,477,0.1845189779996872,0.2040875256061554
jupyterlab__jupyterlab-9232,02db2fddc8e6c88b13fae7d5a4d8c4936eeacbcc,75,1,74,0.4034442603588104,0.5384142398834229
jupyterlab__jupyterlab-8780,4dc1224b3270d340fe37c1534139090d43070535,1235,111,1124,0.22650566697120667,0.3319932222366333
jupyterlab__jupyterlab-2841,860333919415e9d5ade3fb435d90c376710b18f1,320,332,-12,0.29319193959236145,0.011351047083735466
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,463,17,446,0.2399817407131195,0.33622026443481445
jupyterlab__jupyterlab-9390,2b832a1977dfa6766af5626a61fcef5d0f99fd49,1144,1,1143,0.22484806180000305,0.39424219727516174
jupyterlab__jupyterlab-9390,4a1295698dc5c88a1716604b0f94c66298de5ad8,310,157,153,0.294444739818573,0.10480274260044098
jupyterlab__jupyterlab-9021,d1cda444f2275ccbec870133de0211bfa86c3df0,452,1,451,0.2889544367790222,0.3608882427215576
jupyterlab__jupyterlab-2069,7665a2c70b6c9f7a8b505387f48aeaaf601e4c38,471,158,313,0.23881220817565918,0.07295568287372589
jupyterlab__jupyterlab-2069,583c88f291818bf0d8816bf1d671ed6c86b6d3a0,615,6,609,0.12090250849723816,0.20713260769844055
jupyterlab__jupyterlab-2069,1a265a9700643315f1e1ea1413c6a8992e778648,565,1,564,0.1793801337480545,0.3016475439071655
jupyterlab__jupyterlab-2069,c3776466d481378a3655136b0f4e0effaba2e5a2,601,78,523,0.15087415277957916,0.10797375440597534
jupyterlab__jupyterlab-7805,5e5be9e48b463183bc0d202581e2b4f16cb122fc,912,143,769,0.4174186885356903,0.23562760651111603
jupyterlab__jupyterlab-7805,bf657418129087dd6cb1e6db6cd40e77c7add148,78,819,-741,0.5403804779052734,0.08109787106513977
jupyterlab__jupyterlab-3107,656fc38fefabcc786ca041756d0c8b5dd8141f3e,856,54,802,0.11372494697570801,0.2009466588497162
