bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-14882,1c3b11844b45ea5660db5b77a3b02ff5a2712589,64,27,37,0.6394898891448975,0.4152488112449646
numpy__numpy-18634,bfd08e4691aa426c1a65e791d73e4f7abb08a168,743,849,-106,0.3343447744846344,0.042728863656520844
numpy__numpy-18634,83f06fde8581ac56880e358156fd5d7c48b0a011,43,814,-771,0.5275682806968689,0.05227670818567276
numpy__numpy-13948,739ae7711d2215831e3f4bbdfa98e45f79377688,185,2,183,0.39376455545425415,0.2834550738334656
numpy__numpy-3495,eda3ef97cd73719365072e71521c2341c18707f5,2,6,-4,0.5906985402107239,0.5038549900054932
numpy__numpy-3866,8f0027616961d19cf968e7eba698893538609844,337,20,317,0.2801106572151184,0.39792707562446594
numpy__numpy-3866,44cc2b1632e2c935cd9c187647c5a58710de80e1,33,1,32,0.4050058424472809,0.5491942167282104
numpy__numpy-9817,130817e7a150d31da2b5a5c119584c58f46e50e6,381,1,380,0.3241639733314514,0.538719654083252
numpy__numpy-5398,db491e6f5d74ca863a1b30818f46d0253f2563f9,394,58,336,0.27658602595329285,0.38834577798843384
numpy__numpy-5398,c14d2e3575ee953b15008ea439710c1222fe6d9e,51,4,47,0.4577304720878601,0.5797569751739502
numpy__numpy-5398,9ca9136dd9221f46b4e0cab88d6d04f1ab239d9e,84,1,83,0.42173025012016296,0.6237746477127075
numpy__numpy-19613,813063adb6de06481992e6ce3247d21bf5af0274,217,1,216,0.41118741035461426,0.37607917189598083
numpy__numpy-16022,d2986012b7ace617e407eeaa62d7b87e4167489a,62,3,59,0.5965926051139832,0.5773621201515198
numpy__numpy-16022,93eb74be31a8c15f417176d7ac09e246c3acbd5f,4,1,3,0.6903221607208252,0.6149410009384155
numpy__numpy-22519,8830b814743c35ba471ae96012c54600aca9f280,334,1,333,0.34000203013420105,0.6799123883247375
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,161,27,134,0.44937413930892944,0.44667696952819824
numpy__numpy-6453,c5b5b5a8f0ea8024638f923618d173a000d1ea29,262,83,179,0.39913955330848694,0.35080021619796753
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,334,1,333,0.3572928309440613,0.5050283670425415
numpy__numpy-16627,412d9fe6a13a754ae8613d7c8a642cbba468a19d,328,23,305,0.3590431809425354,0.4649917185306549
numpy__numpy-16627,a9ee74a5be2560ac73649476bd973d8ffb349ac0,405,24,381,0.34616515040397644,0.4648668169975281
numpy__numpy-9976,8f2e45fa53cad636a00af3ebb456d54536b97baa,74,1,73,0.43368715047836304,0.45919713377952576
numpy__numpy-8646,3bbee0258bfc1a9739ab24fb3a259cb471a5f6da,237,48,189,0.20039066672325134,0.27225565910339355
numpy__numpy-23010,587fab3435735cb7f7b790fc4cf73d7f75d37388,1866,1134,732,0.13881376385688782,0.027063462883234024
numpy__numpy-23010,2e35f5bb9e1d10fbba672495ec82e16b11f05c4b,1355,501,854,0.2845021188259125,0.09357495605945587
numpy__numpy-23010,a94ba1139168a84bbdd949dc9c9db8373f9c63c6,1318,1045,273,0.2855338752269745,0.035570599138736725
numpy__numpy-23010,ca07bd180c0ea0c3f22282e10ba0ddde6cbba65a,939,323,616,0.3255554437637329,0.11613956093788147
numpy__numpy-23010,b64f8ab173cb080e8624c4ea9bc499748a85f502,1302,386,916,0.28867679834365845,0.10754382610321045
numpy__numpy-23010,138f2e9a051ada4461aaf218eb32d50458294a27,372,109,263,0.38223302364349365,0.1632487177848816
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,187,1,186,0.3959144353866577,0.5262757539749146
numpy__numpy-12488,0379ecb1ada2ab9b39f1100515a3ac51b343e458,118,102,16,0.4220801591873169,0.1849111020565033
numpy__numpy-18070,c22ceaa5e42fb2ab389bfd078276c52aaa3968bb,668,217,451,0.4099513292312622,0.291940838098526
numpy__numpy-18070,6c6c1ff809ce5315f1fa9eb204e0b546af8925c0,147,5,142,0.5275897979736328,0.5604190230369568
numpy__numpy-3753,6873a4785d984b1b19127994fafe48dc1c8587f5,107,1,106,0.39953646063804626,0.33821940422058105
numpy__numpy-13306,a1997ef6b90017dba07de1f65ead1d84ab79eaeb,433,346,87,0.2822223901748657,0.14615607261657715
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,176,106,70,0.3479723036289215,0.2799026370048523
numpy__numpy-21151,1394710841feea44c27572c44967c68e1a64f315,582,1370,-788,0.3597261309623718,-0.036389708518981934
numpy__numpy-21151,3765a0d34e18d7faee5dbb682c7fdc49aa7d021e,578,494,84,0.36034709215164185,0.21723869442939758
numpy__numpy-5548,d32f593904ae797c5ec29f23f8515f5e205b2019,129,4,125,0.36734360456466675,0.40335601568222046
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,451,113,338,0.2150825560092926,0.36628448963165283
numpy__numpy-10732,4ff870e1938576491f785b625fac752c1e9694eb,316,297,19,0.24521489441394806,0.22925595939159393
numpy__numpy-10732,26161f330938797fd062464148351d2e5de664f0,345,265,80,0.23984664678573608,0.25227707624435425
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,420,242,178,0.22152678668498993,0.26815274357795715
numpy__numpy-10732,8c383cecec7b8a3985e75380340c6e614b7017d3,288,243,45,0.2537495493888855,0.26696157455444336
