bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,555,298,0.14771632850170135,0.17374494671821594
jupyterlab__jupyterlab-3481,65ee3711ef3c884c1a42173e8f1e09537ef483cd,846,156,690,0.1498335301876068,0.32252514362335205
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,68,-39,0.3430691063404083,0.2986104488372803
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,1,19,0.3963467478752136,0.5204746723175049
jupyterlab__jupyterlab-13907,4cb2de4ae8fb1d264c7acd2f224c4548808a7d26,331,56,275,0.3059731125831604,0.46437424421310425
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,217,354,0.2693433165550232,0.34082740545272827
jupyterlab__jupyterlab-6585,bc852a6d8af6b3c1e5acb759602258b9bcfee7b5,504,33,471,0.30889901518821716,0.4738504886627197
jupyterlab__jupyterlab-6585,41bee80e4ea13988ef20f0e6b591b59d7742a3e6,1404,43,1361,0.17738132178783417,0.4636194109916687
jupyterlab__jupyterlab-5723,f4b83a68524ef4d27b02b90a677ec5775e4e6b9e,694,18,676,0.29599735140800476,0.47266241908073425
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,5,496,0.3198380172252655,0.5229981541633606
jupyterlab__jupyterlab-2488,75621dd2531c5564c97ccbc23cc9aad069754212,386,62,324,0.2981371581554413,0.38348445296287537
jupyterlab__jupyterlab-8913,69b8409fb893411f1e1c3fabefdaf71e3cd0e601,448,1385,-937,0.3191163241863251,0.18594422936439514
jupyterlab__jupyterlab-8913,9b6f7bccd8304a127cdbb1c13c2173f64a3cf9f2,321,9,312,0.3477058410644531,0.46377450227737427
jupyterlab__jupyterlab-8913,c8c43413d0145252eea4816776451196addefd50,315,24,291,0.3482683598995209,0.4255870580673218
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,1541,-344,0.2673693299293518,0.1282297968864441
jupyterlab__jupyterlab-8956,9ba75956ab2a7501c887d939c04d251aff4cb03e,201,33,168,0.41504907608032227,0.43408912420272827
jupyterlab__jupyterlab-8956,e09c615464b116cee90935976a40c11d06a6f654,921,1631,-710,0.29622334241867065,-0.002502711955457926
jupyterlab__jupyterlab-8956,3607df493ccf6e38f7a5165c18b38d4880b9e5ee,1486,211,1275,0.21884359419345856,0.3655027747154236
jupyterlab__jupyterlab-8956,0dbd7642f36013f31d6d0d7e98cfd4acad94cde1,1313,391,922,0.2495490461587906,0.31028807163238525
jupyterlab__jupyterlab-8956,ad93fdba23baed1a9ca8b81626b587a8401d55db,1354,324,1030,0.24312837421894073,0.33190417289733887
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,278,160,118,0.20784813165664673,0.2867334485054016
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,130,24,106,0.2667600214481354,0.42777949571609497
jupyterlab__jupyterlab-2410,228bd6096f930734c9351c1fa408995b32673a0c,486,26,460,0.1845189779996872,0.4115651845932007
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,606,21,585,0.10914197564125061,0.4174204170703888
jupyterlab__jupyterlab-9232,02db2fddc8e6c88b13fae7d5a4d8c4936eeacbcc,75,5,70,0.4034442603588104,0.49058347940444946
jupyterlab__jupyterlab-8780,4dc1224b3270d340fe37c1534139090d43070535,1235,80,1155,0.22650566697120667,0.37442725896835327
jupyterlab__jupyterlab-2841,860333919415e9d5ade3fb435d90c376710b18f1,320,222,98,0.29319193959236145,0.24132728576660156
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,463,40,423,0.2399817407131195,0.41600295901298523
jupyterlab__jupyterlab-9390,4a1295698dc5c88a1716604b0f94c66298de5ad8,310,78,232,0.294444739818573,0.4490135908126831
jupyterlab__jupyterlab-9390,2b832a1977dfa6766af5626a61fcef5d0f99fd49,1144,19,1125,0.22484806180000305,0.5220434665679932
jupyterlab__jupyterlab-9021,d1cda444f2275ccbec870133de0211bfa86c3df0,452,9,443,0.2889544367790222,0.4601922035217285
jupyterlab__jupyterlab-2069,1a265a9700643315f1e1ea1413c6a8992e778648,565,10,555,0.1793801337480545,0.41079282760620117
jupyterlab__jupyterlab-2069,583c88f291818bf0d8816bf1d671ed6c86b6d3a0,615,1,614,0.12090250849723816,0.45484960079193115
jupyterlab__jupyterlab-2069,7665a2c70b6c9f7a8b505387f48aeaaf601e4c38,471,253,218,0.23881220817565918,0.2394731491804123
jupyterlab__jupyterlab-2069,c3776466d481378a3655136b0f4e0effaba2e5a2,601,2,599,0.15087415277957916,0.4534430503845215
jupyterlab__jupyterlab-7805,5e5be9e48b463183bc0d202581e2b4f16cb122fc,912,443,469,0.4174186885356903,0.29708826541900635
jupyterlab__jupyterlab-7805,bf657418129087dd6cb1e6db6cd40e77c7add148,78,850,-772,0.5403804779052734,0.20076994597911835
jupyterlab__jupyterlab-3107,656fc38fefabcc786ca041756d0c8b5dd8141f3e,856,31,825,0.11372494697570801,0.4138845205307007
jupyterlab__jupyterlab-2466,674c72e0b9aaeeb8d8b72a834c88a9be9d2850c7,490,78,412,0.1912335604429245,0.31031477451324463
jupyterlab__jupyterlab-6445,f10cec18f09ea7787cc404e1b4bcea21a4990e39,705,276,429,0.23299922049045563,0.2774397134780884
jupyterlab__jupyterlab-7723,0de688edaac853a931d3b76baba72ce0097d5b62,345,1,344,0.37769225239753723,0.5190912485122681
jupyterlab__jupyterlab-2409,6b0ced67b0e8d97f587e6bf3d6fe98c10af50820,630,9,621,0.09562452137470245,0.4634779691696167
jupyterlab__jupyterlab-2409,eaa3946e8231b0b2369e448a690bc87413151a43,622,19,603,0.12217827141284943,0.4331654906272888
jupyterlab__jupyterlab-2409,a8d74ed2fc3b15586a0102aecd79458a038cad30,626,16,610,0.11436685919761658,0.44245442748069763
jupyterlab__jupyterlab-2215,eb5079b6741359e9ebda17d938d09c52e50ef63e,476,138,338,0.24792373180389404,0.35336509346961975
jupyterlab__jupyterlab-3127,0cf5ecbfafbeb2b77335e555c9117bb6ca0a4f97,69,4,65,0.315201997756958,0.40942779183387756
jupyterlab__jupyterlab-2441,e555bc72b6cd5de9da14f5512f4e94822c5613ef,123,1,122,0.33927983045578003,0.5530839562416077
jupyterlab__jupyterlab-6451,7c039d1ced2896f8c23e1810640547517941ea98,349,609,-260,0.3327690064907074,0.15479455888271332
jupyterlab__jupyterlab-6451,6044127f84d5ccf60cec1869a526c823962b830d,111,194,-83,0.419683039188385,0.3230990767478943
jupyterlab__jupyterlab-7016,c040ae41a02fdbc817b01ff3714f9c76c5634b06,419,245,174,0.29452043771743774,0.3386339843273163
jupyterlab__jupyterlab-11003,e2a44b817cbfe2f5b1ec2d0363281bc44fa48a3d,340,134,206,0.3617798686027527,0.3666756749153137
jupyterlab__jupyterlab-12680,eaf0186e7226d297b89b49e41a4ca223eba94f4a,1207,2135,-928,0.3954278230667114,0.16422155499458313
jupyterlab__jupyterlab-12680,2f543d15e32f57214c3413ebab74ff89bb52810e,1202,1742,-540,0.3959032893180847,0.22779850661754608
jupyterlab__jupyterlab-12680,feada920714403b5d69d05611ed631992a8fc291,2050,876,1174,0.27284908294677734,0.294563353061676
jupyterlab__jupyterlab-12680,e41ae2729ac56ab2d0acf58409366efa052a6c92,883,2169,-1286,0.4369847774505615,0.14336861670017242
jupyterlab__jupyterlab-12680,3acf0ad4cfffb1f8dfba9134e379a26015e23e8e,1350,1616,-266,0.38084810972213745,0.2353181540966034
jupyterlab__jupyterlab-12680,eaa3a3751ccdbbe803e8b8acd13ff49647ba2d3d,1230,1591,-361,0.3928035497665405,0.2367885410785675
jupyterlab__jupyterlab-12680,160ecfa22f56b582b41f083fb0eaf3a588504a7e,1223,2154,-931,0.39394474029541016,0.15439072251319885
jupyterlab__jupyterlab-2038,cdd53bbed1449a4e1e70eeb923a7b4f5deeb071f,130,75,55,0.28238430619239807,0.3064974844455719
jupyterlab__jupyterlab-2038,d63760472a978a8e172304ee70c5000dc4b5ca6f,592,135,457,0.1398123800754547,0.2539592385292053
jupyterlab__jupyterlab-2038,57886fb63cb03404963dda3ce91054a6aaadbf84,13,6,7,0.5162858366966248,0.4693165421485901
jupyterlab__jupyterlab-2038,ab48643b3516e9aa04f94c5a5230f08720eb4a96,123,102,21,0.28727850317955017,0.2761044502258301
jupyterlab__jupyterlab-2038,c57a9eee02105f3d8e8ca55de8a096d13b536b82,36,9,27,0.4235003590583801,0.4617690443992615
jupyterlab__jupyterlab-2759,c3b154aa4d1264881331e24b33d3273d1421a56a,24,3,21,0.4332679510116577,0.513486385345459
jupyterlab__jupyterlab-2759,5e52c5e802fa0b77ee65bfbe892a08244aef58fd,565,71,494,0.18377360701560974,0.3344411849975586
jupyterlab__jupyterlab-2759,4f216705a888de6e3cf0b972fd731c4a4749c446,707,36,671,0.11360681056976318,0.401234894990921
jupyterlab__jupyterlab-7764,0e351cf4734a8b9ad0ae43bb88583ed43478c0f6,1185,274,911,0.32487952709198,0.36341792345046997
jupyterlab__jupyterlab-4920,eb730efe7fe6384333b697c975db4cafc1127c32,326,190,136,0.28346794843673706,0.29721319675445557
jupyterlab__jupyterlab-4920,e6e1722f2d1b4bc6eb81548ba9d34fef2eb9460b,828,38,790,0.2366313636302948,0.4306410551071167
jupyterlab__jupyterlab-4920,0ea7d024bb5f0fb8898ee5e7532de4ba7af50121,308,295,13,0.28752049803733826,0.23939523100852966
jupyterlab__jupyterlab-4920,acedec5a56cb617166e25b6dc6b52d63cfa7a204,771,383,388,0.24221035838127136,0.210459366440773
jupyterlab__jupyterlab-7109,fec2ca990bf4d830e994d71d81b0ef289ea99d0f,23,3,20,0.5007542967796326,0.4495329260826111
jupyterlab__jupyterlab-7136,d7ce7bbfae5f1be04f3ef8a6f082bce029cf390d,448,179,269,0.30885258316993713,0.3543868660926819
jupyterlab__jupyterlab-7136,0e7363631d572dabcfea8279abba3da77402bfcf,920,14,906,0.26417726278305054,0.50364089012146
jupyterlab__jupyterlab-8779,6d2bb1c95ef6b25f614b173ed50b65bf98b9a759,713,224,489,0.3894875645637512,0.3746669888496399
jupyterlab__jupyterlab-8779,052b0d78e4920c2002422c10b78d090d2f436cbb,1385,1414,-29,0.2693430781364441,0.20917129516601562
jupyterlab__jupyterlab-8779,47ea464e744832e0a65cb27d8ba2bc339c058cb1,1397,1511,-114,0.26748281717300415,0.188792422413826
jupyterlab__jupyterlab-8779,bc58bef36f30bcf1f3741654f2c2073b3319d5f7,1025,1478,-453,0.3412145972251892,0.19539774954319
jupyterlab__jupyterlab-8779,93594a9ab2c45124f82a851c73039fcc339011d0,1405,1028,377,0.2665119171142578,0.2614438235759735
jupyterlab__jupyterlab-8779,64da2c5dcc9ad828b182f0200cadd3e917a217b4,1074,1270,-196,0.3330323398113251,0.22975243628025055
jupyterlab__jupyterlab-8779,7316958c5241ec81fb14b34341bd893ea28e2dcb,1412,1274,138,0.2652775049209595,0.22951503098011017
jupyterlab__jupyterlab-8779,c249f008e32ec82652a3bb23f7432ae40cc32d9f,1275,1500,-225,0.29321351647377014,0.19102108478546143
jupyterlab__jupyterlab-8779,f28ad7f5300bce42d8917835db84cd90baac9f34,1147,1372,-225,0.3176821172237396,0.21468940377235413
jupyterlab__jupyterlab-8779,85e6a8c63c36a6a3262268a007ea6d1c60b9acf0,801,611,190,0.3733171224594116,0.31095030903816223
jupyterlab__jupyterlab-8779,36c47509c85eccd7e15f9ddedd68566dc577304f,1697,122,1575,0.19131362438201904,0.3907504677772522
jupyterlab__jupyterlab-8779,7e00504041a5dab0947321cf05751c1ca46cba2f,891,1289,-398,0.363098680973053,0.22703196108341217
jupyterlab__jupyterlab-8779,24532dabfb5c6bc9ae438b33fbd239408cedf76d,1001,1150,-149,0.3471105992794037,0.2461530566215515
