bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-14882,1c3b11844b45ea5660db5b77a3b02ff5a2712589,64,12,52,0.6394898891448975,0.49214574694633484
numpy__numpy-18634,bfd08e4691aa426c1a65e791d73e4f7abb08a168,743,836,-93,0.3343447744846344,0.15213719010353088
numpy__numpy-18634,83f06fde8581ac56880e358156fd5d7c48b0a011,43,1163,-1120,0.5275682806968689,0.04329849034547806
numpy__numpy-13948,739ae7711d2215831e3f4bbdfa98e45f79377688,185,4,181,0.39376455545425415,0.46729952096939087
numpy__numpy-3495,eda3ef97cd73719365072e71521c2341c18707f5,2,11,-9,0.5906985402107239,0.6559581756591797
numpy__numpy-3866,8f0027616961d19cf968e7eba698893538609844,337,13,324,0.2801106572151184,0.421731173992157
numpy__numpy-3866,44cc2b1632e2c935cd9c187647c5a58710de80e1,33,2,31,0.4050058424472809,0.5087611675262451
numpy__numpy-9817,130817e7a150d31da2b5a5c119584c58f46e50e6,381,1,380,0.3241639733314514,0.8263014554977417
numpy__numpy-5398,db491e6f5d74ca863a1b30818f46d0253f2563f9,394,60,334,0.27658602595329285,0.35668709874153137
numpy__numpy-5398,c14d2e3575ee953b15008ea439710c1222fe6d9e,51,3,48,0.4577304720878601,0.6444870233535767
numpy__numpy-5398,9ca9136dd9221f46b4e0cab88d6d04f1ab239d9e,84,4,80,0.42173025012016296,0.6428700089454651
numpy__numpy-19613,813063adb6de06481992e6ce3247d21bf5af0274,217,14,203,0.41118741035461426,0.47698211669921875
numpy__numpy-16022,93eb74be31a8c15f417176d7ac09e246c3acbd5f,4,1,3,0.6903221607208252,0.8102015852928162
numpy__numpy-16022,d2986012b7ace617e407eeaa62d7b87e4167489a,62,2,60,0.5965926051139832,0.7678583860397339
numpy__numpy-22519,8830b814743c35ba471ae96012c54600aca9f280,334,2,332,0.34000203013420105,0.6279008984565735
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,161,15,146,0.44937413930892944,0.546625018119812
numpy__numpy-6453,c5b5b5a8f0ea8024638f923618d173a000d1ea29,262,32,230,0.39913955330848694,0.42996764183044434
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,334,2,332,0.3572928309440613,0.5626260042190552
numpy__numpy-16627,a9ee74a5be2560ac73649476bd973d8ffb349ac0,405,33,372,0.34616515040397644,0.47373050451278687
numpy__numpy-16627,412d9fe6a13a754ae8613d7c8a642cbba468a19d,328,23,305,0.3590431809425354,0.5000752210617065
numpy__numpy-9976,8f2e45fa53cad636a00af3ebb456d54536b97baa,74,1,73,0.43368715047836304,0.5980823040008545
numpy__numpy-8646,3bbee0258bfc1a9739ab24fb3a259cb471a5f6da,237,18,219,0.20039066672325134,0.4168925881385803
numpy__numpy-23010,138f2e9a051ada4461aaf218eb32d50458294a27,372,51,321,0.38223302364349365,0.4662635326385498
numpy__numpy-23010,b64f8ab173cb080e8624c4ea9bc499748a85f502,1302,477,825,0.28867679834365845,0.27328065037727356
numpy__numpy-23010,a94ba1139168a84bbdd949dc9c9db8373f9c63c6,1318,204,1114,0.2855338752269745,0.3714647889137268
numpy__numpy-23010,2e35f5bb9e1d10fbba672495ec82e16b11f05c4b,1355,447,908,0.2845021188259125,0.280967116355896
numpy__numpy-23010,587fab3435735cb7f7b790fc4cf73d7f75d37388,1866,542,1324,0.13881376385688782,0.251936674118042
numpy__numpy-23010,ca07bd180c0ea0c3f22282e10ba0ddde6cbba65a,939,249,690,0.3255554437637329,0.349529504776001
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,187,1,186,0.3959144353866577,0.7281455993652344
numpy__numpy-12488,0379ecb1ada2ab9b39f1100515a3ac51b343e458,118,3,115,0.4220801591873169,0.5784008502960205
numpy__numpy-18070,c22ceaa5e42fb2ab389bfd078276c52aaa3968bb,668,34,634,0.4099513292312622,0.39686089754104614
numpy__numpy-18070,6c6c1ff809ce5315f1fa9eb204e0b546af8925c0,147,8,139,0.5275897979736328,0.4871525168418884
numpy__numpy-3753,6873a4785d984b1b19127994fafe48dc1c8587f5,107,1,106,0.39953646063804626,0.672885537147522
numpy__numpy-13306,a1997ef6b90017dba07de1f65ead1d84ab79eaeb,433,90,343,0.2822223901748657,0.3320770859718323
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,176,118,58,0.3479723036289215,0.369104266166687
numpy__numpy-21151,1394710841feea44c27572c44967c68e1a64f315,582,1343,-761,0.3597261309623718,0.05264870449900627
numpy__numpy-21151,3765a0d34e18d7faee5dbb682c7fdc49aa7d021e,578,124,454,0.36034709215164185,0.4780745208263397
numpy__numpy-5548,d32f593904ae797c5ec29f23f8515f5e205b2019,129,15,114,0.36734360456466675,0.44821804761886597
numpy__numpy-10732,11b1acb074fe217a647f0f4a2b7c28898b8f2565,210,74,136,0.28158560395240784,0.5932297706604004
numpy__numpy-10732,3f3b773a49b19915cbe3ea54b1b7b4e0992c3420,535,38,497,0.1979876607656479,0.6498182415962219
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,685,17,668,0.16178598999977112,0.6876879930496216
numpy__numpy-10732,26161f330938797fd062464148351d2e5de664f0,345,126,219,0.23984664678573608,0.5060338973999023
numpy__numpy-10732,8c383cecec7b8a3985e75380340c6e614b7017d3,288,139,149,0.2537495493888855,0.48626509308815
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,340,172,168,0.24108175933361053,0.44522392749786377
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,333,143,190,0.24177685379981995,0.4822777509689331
numpy__numpy-10732,4ccdaeea5e94830655424f4a5c642f8aea9e2f95,381,104,277,0.22930464148521423,0.5366003513336182
numpy__numpy-10732,a75c95e911e21004367db06536643c68e87bc8d8,318,91,227,0.24490149319171906,0.5565253496170044
numpy__numpy-10732,66c07c9e1e48b8f1f4949b111214abed2fe75007,556,97,459,0.19474101066589355,0.544662356376648
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,290,138,152,0.25333237648010254,0.4866750240325928
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,241,147,94,0.2689283788204193,0.47677087783813477
numpy__numpy-10732,4ff870e1938576491f785b625fac752c1e9694eb,316,144,172,0.24521489441394806,0.48031488060951233
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,92,1,91,0.3880201280117035,0.8004659414291382
numpy__numpy-10732,5a0f977d93425d2bc97b0460764b1cbcb3257b36,523,76,447,0.20077216625213623,0.5814028382301331
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,420,124,296,0.22152678668498993,0.5088289976119995
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,451,53,398,0.2150825560092926,0.6253080368041992
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,81,2,79,0.585721492767334,0.6041178703308105
numpy__numpy-17636,dcf60ada9297180308729db7ccc23c416f86f0f9,774,11,763,0.23956072330474854,0.6174941062927246
numpy__numpy-4463,7182bf4ae3d014ddebc3b0fd9391edaeb3e1e400,59,1,58,0.47195926308631897,0.8351269364356995
numpy__numpy-15685,12320ae4795a88b03e5d52992d7d61d4d6a65998,233,37,196,0.39167320728302,0.5518499612808228
numpy__numpy-11813,d31d8a9398b518012e3517bc4240844732b16cf2,215,63,152,0.3841315507888794,0.3521879017353058
numpy__numpy-23335,9584e56d2add3cc50b450bddad892314cabe44af,196,1,195,0.4981764256954193,0.8101540803909302
numpy__numpy-18911,e1f15d465e7b3d5d828e598de3bed8ff021bf9cc,529,5,524,0.3953229784965515,0.7148810029029846
numpy__numpy-18911,ca29ad4c0c19dc7daa35f95a88e6027a31647e52,139,10,129,0.4716552495956421,0.6906036734580994
numpy__numpy-18911,aea9835c78e2653460204fe33503d3011a746d1e,13,1,12,0.5509213209152222,0.7697364687919617
numpy__numpy-14074,bf6abcf0293197bad92c54f012c999deab9fc597,576,21,555,0.2436019629240036,0.7408739328384399
numpy__numpy-19775,0a35db477494b6dd19da7cfb085082cf7cd89d5e,664,222,442,0.26156121492385864,0.36608263850212097
numpy__numpy-19775,fe0d4a52bd160064d792c5a9493a4f07b54cdea1,601,787,-186,0.27233636379241943,0.1902671456336975
numpy__numpy-19775,c6115070e4cc9943d5e2d368342f98491a6e0291,458,812,-354,0.3035305142402649,0.1832529604434967
numpy__numpy-19775,fd229dbef8f92d18d7627ce53a69f3fb97335e83,726,384,342,0.25048428773880005,0.3023120164871216
numpy__numpy-19775,2e267cc6c5f2c1dd7ab4fdf2dd629445cca1dc79,654,290,364,0.2630976140499115,0.3371780514717102
numpy__numpy-19775,5250fea84031373dd3cf6afdd6ef5dbde2639c57,961,662,299,0.21666526794433594,0.22104614973068237
numpy__numpy-19775,c3ec792e3b283455d803c7ed035ea45c109bbf43,628,471,157,0.26740485429763794,0.272212952375412
numpy__numpy-9054,01741cd1afb6b2f27e92f70294d561c1af465fe6,176,10,166,0.33351635932922363,0.5109308958053589
numpy__numpy-10542,f9f210532634622872bd26c502ab43157fdaa27b,521,491,30,0.21651169657707214,0.2163429856300354
numpy__numpy-5490,0891e7c8df8536e50f21d35dca98f2bc45b8b512,128,25,103,0.3411465287208557,0.45985502004623413
numpy__numpy-5490,677400367b00b39ca159be6b9843065104e88ffb,214,10,204,0.2958775758743286,0.56999671459198
numpy__numpy-5490,11a2688e5dcf08bab79d856f3527281339d6bd04,60,5,55,0.4385220408439636,0.603266716003418
numpy__numpy-5490,35a6deaffece59c977d581190ccefa9a11f242ac,95,2,93,0.378726601600647,0.6382366418838501
