bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
PrefectHQ__prefect-1525,5f8007ac4c9c6cc515d62768e75aa793cf04107f,93,19,74,0.3821421265602112,0.4956649839878082
PrefectHQ__prefect-1525,dc18e97fcfedda802d07970715b01027b9cc9992,466,147,319,0.22965514659881592,0.43153220415115356
PrefectHQ__prefect-2560,7932a54ce4907edeeaa5b855fab2c1b8d6b9fd3b,873,165,708,0.21454477310180664,0.4506852626800537
PrefectHQ__prefect-2867,04adc57028611e7ac8ec02120639e190ed97c358,1232,502,730,0.15938183665275574,0.36496680974960327
PrefectHQ__prefect-2867,0816e6de2e2719b4b2b576fb21fecda947147ad8,615,831,-216,0.24547597765922546,0.30161726474761963
PrefectHQ__prefect-2867,4383a13326ecc8ab356bff5cef822e457c638083,350,98,252,0.29104888439178467,0.4762301445007324
PrefectHQ__prefect-2867,c4713b22b80d0f7960f7882818532c5b152db99d,377,127,250,0.28644952178001404,0.4630633294582367
PrefectHQ__prefect-2867,47f1db5b4a11c7952ff995f68ca836df650cffe1,592,107,485,0.2488650679588318,0.47116395831108093
PrefectHQ__prefect-1239,110bf9775ceeee29380630cb77bf3c1422448645,450,273,177,0.266595721244812,0.40036916732788086
PrefectHQ__prefect-134,45a64b879d0a4d6936128f56ee9f4b2693b231c2,55,29,26,0.18243643641471863,0.399109423160553
PrefectHQ__prefect-1579,2cdd48a1f4b46bbbfbf7b24b2de599fdd80dfb37,734,138,596,0.23888161778450012,0.43560081720352173
PrefectHQ__prefect-2031,bb2692f0a5b976db136fa87772f2a20abb76b785,172,11,161,0.41719290614128113,0.4837239980697632
PrefectHQ__prefect-578,6324e8280460e370a3cc972b903288f5744be300,146,3,143,0.1828909069299698,0.5059032440185547
PrefectHQ__prefect-2727,b115326ee64043ca3e9a743f3aa3ad1f8f81599d,182,427,-245,0.35388439893722534,0.421394407749176
PrefectHQ__prefect-2898,f8d2846ff4081a1590ca9ee108b79e202117a040,396,80,316,0.37883487343788147,0.4801807105541229
PrefectHQ__prefect-2898,bbcba68c7ad9abe6e312944061c21efd6ea9380b,891,268,623,0.3040500581264496,0.4199799597263336
