bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-3481,65ee3711ef3c884c1a42173e8f1e09537ef483cd,846,452,394,0.1498335301876068,0.06388296186923981
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,36,817,0.14771632850170135,0.23808026313781738
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,49,-20,0.3430691063404083,0.06135569512844086
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,1,19,0.3963467478752136,0.3270522356033325
jupyterlab__jupyterlab-13907,4cb2de4ae8fb1d264c7acd2f224c4548808a7d26,331,45,286,0.3059731125831604,0.3450472950935364
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,899,-328,0.2693433165550232,0.09333950281143188
jupyterlab__jupyterlab-6585,bc852a6d8af6b3c1e5acb759602258b9bcfee7b5,504,3,501,0.30889901518821716,0.4254082441329956
jupyterlab__jupyterlab-6585,41bee80e4ea13988ef20f0e6b591b59d7742a3e6,1404,42,1362,0.17738132178783417,0.34772977232933044
jupyterlab__jupyterlab-5723,f4b83a68524ef4d27b02b90a677ec5775e4e6b9e,694,5,689,0.29599735140800476,0.2787216305732727
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,2,499,0.3198380172252655,0.39802032709121704
jupyterlab__jupyterlab-2488,75621dd2531c5564c97ccbc23cc9aad069754212,386,565,-179,0.2981371581554413,0.0599590539932251
jupyterlab__jupyterlab-8913,9b6f7bccd8304a127cdbb1c13c2173f64a3cf9f2,321,4,317,0.3477058410644531,0.3085464537143707
jupyterlab__jupyterlab-8913,c8c43413d0145252eea4816776451196addefd50,315,5,310,0.3482683598995209,0.2891615033149719
jupyterlab__jupyterlab-8913,69b8409fb893411f1e1c3fabefdaf71e3cd0e601,448,281,167,0.3191163241863251,0.11086455732584
jupyterlab__jupyterlab-8956,e09c615464b116cee90935976a40c11d06a6f654,921,1604,-683,0.29622334241867065,-0.14037537574768066
jupyterlab__jupyterlab-8956,3607df493ccf6e38f7a5165c18b38d4880b9e5ee,1486,623,863,0.21884359419345856,0.13053148984909058
jupyterlab__jupyterlab-8956,0dbd7642f36013f31d6d0d7e98cfd4acad94cde1,1313,73,1240,0.2495490461587906,0.2777356207370758
jupyterlab__jupyterlab-8956,9ba75956ab2a7501c887d939c04d251aff4cb03e,201,6,195,0.41504907608032227,0.37117937207221985
jupyterlab__jupyterlab-8956,ad93fdba23baed1a9ca8b81626b587a8401d55db,1354,52,1302,0.24312837421894073,0.28864648938179016
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,1631,-434,0.2673693299293518,-0.2851405143737793
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,130,11,119,0.2667600214481354,0.25099772214889526
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,278,399,-121,0.20784813165664673,-0.1725461483001709
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,606,3,603,0.10914197564125061,0.321321964263916
jupyterlab__jupyterlab-2410,228bd6096f930734c9351c1fa408995b32673a0c,486,5,481,0.1845189779996872,0.2699705958366394
jupyterlab__jupyterlab-9232,02db2fddc8e6c88b13fae7d5a4d8c4936eeacbcc,75,1,74,0.4034442603588104,0.46354758739471436
jupyterlab__jupyterlab-8780,4dc1224b3270d340fe37c1534139090d43070535,1235,1,1234,0.22650566697120667,0.3488354980945587
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,463,1,462,0.2399817407131195,0.541251003742218
jupyterlab__jupyterlab-2841,860333919415e9d5ade3fb435d90c376710b18f1,320,252,68,0.29319193959236145,0.10090211778879166
