bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,126,727,0.14771632850170135,0.3265739679336548
jupyterlab__jupyterlab-3481,65ee3711ef3c884c1a42173e8f1e09537ef483cd,846,357,489,0.1498335301876068,0.26511090993881226
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,50,-21,0.3430691063404083,0.27806293964385986
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,1,19,0.3963467478752136,0.4833064377307892
jupyterlab__jupyterlab-13907,4cb2de4ae8fb1d264c7acd2f224c4548808a7d26,331,260,71,0.3059731125831604,0.2853204607963562
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,583,-12,0.2693433165550232,0.26620739698410034
jupyterlab__jupyterlab-6585,bc852a6d8af6b3c1e5acb759602258b9bcfee7b5,504,28,476,0.30889901518821716,0.4787524938583374
jupyterlab__jupyterlab-6585,41bee80e4ea13988ef20f0e6b591b59d7742a3e6,1404,14,1390,0.17738132178783417,0.4901987910270691
jupyterlab__jupyterlab-5723,f4b83a68524ef4d27b02b90a677ec5775e4e6b9e,694,11,683,0.29599735140800476,0.39210888743400574
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,4,497,0.3198380172252655,0.4170061945915222
jupyterlab__jupyterlab-2488,75621dd2531c5564c97ccbc23cc9aad069754212,386,76,310,0.2981371581554413,0.41115325689315796
jupyterlab__jupyterlab-8913,69b8409fb893411f1e1c3fabefdaf71e3cd0e601,448,135,313,0.3191163241863251,0.36084461212158203
jupyterlab__jupyterlab-8913,9b6f7bccd8304a127cdbb1c13c2173f64a3cf9f2,321,97,224,0.3477058410644531,0.36948615312576294
jupyterlab__jupyterlab-8913,c8c43413d0145252eea4816776451196addefd50,315,46,269,0.3482683598995209,0.39100927114486694
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,387,810,0.2673693299293518,0.2543800473213196
jupyterlab__jupyterlab-8956,9ba75956ab2a7501c887d939c04d251aff4cb03e,201,190,11,0.41504907608032227,0.2891821265220642
jupyterlab__jupyterlab-8956,e09c615464b116cee90935976a40c11d06a6f654,921,629,292,0.29622334241867065,0.22113880515098572
jupyterlab__jupyterlab-8956,3607df493ccf6e38f7a5165c18b38d4880b9e5ee,1486,130,1356,0.21884359419345856,0.2965625524520874
jupyterlab__jupyterlab-8956,0dbd7642f36013f31d6d0d7e98cfd4acad94cde1,1313,442,871,0.2495490461587906,0.24716626107692719
jupyterlab__jupyterlab-8956,ad93fdba23baed1a9ca8b81626b587a8401d55db,1354,117,1237,0.24312837421894073,0.2989245057106018
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,278,113,165,0.20784813165664673,0.30584338307380676
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,130,13,117,0.2667600214481354,0.3905097246170044
jupyterlab__jupyterlab-2410,228bd6096f930734c9351c1fa408995b32673a0c,486,23,463,0.1845189779996872,0.3137150704860687
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,606,57,549,0.10914197564125061,0.28259962797164917
jupyterlab__jupyterlab-9232,02db2fddc8e6c88b13fae7d5a4d8c4936eeacbcc,75,17,58,0.4034442603588104,0.42118799686431885
jupyterlab__jupyterlab-8780,4dc1224b3270d340fe37c1534139090d43070535,1235,55,1180,0.22650566697120667,0.4441103935241699
jupyterlab__jupyterlab-2841,860333919415e9d5ade3fb435d90c376710b18f1,320,72,248,0.29319193959236145,0.39927804470062256
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,463,16,447,0.2399817407131195,0.4862329363822937
