model_name,source_project,target_project,MRR,MAP,top-1,top-10,tgt_LoC,tgt_n_bugs,src_LoC,src_n_bugs,viable,mrr_wps,delta_vs_wps,tgt_LoC_q,src_n_bugs_q
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,0.2841,0.1992,0.16,0.5333,51387,366,39372,197,True,0.3351,-0.05099999999999999,"Q1
(smallest)",Q1
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,0.0739,0.0578,0.025,0.175,39372,197,51387,366,False,0.1241,-0.05020000000000001,"Q1
(smallest)",Q2
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,0.172,0.1485,0.0732,0.378,107073,404,39372,197,False,0.2778,-0.1058,Q2,Q1
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,0.1349,0.1087,0.1,0.225,39372,197,107073,404,False,0.0185,0.11639999999999999,"Q1
(smallest)",Q2
BLAZE,jupyterlab/jupyterlab,pydata/xarray,0.2064,0.1606,0.12,0.48,142044,110,39372,197,True,0.1523,0.05410000000000001,Q3,Q1
BLAZE,pydata/xarray,jupyterlab/jupyterlab,0.1647,0.1427,0.1,0.275,39372,197,142044,110,False,0.0268,0.13790000000000002,"Q1
(smallest)",Q1
BLAZE,jupyterlab/jupyterlab,numpy/numpy,0.3199,0.3005,0.2112,0.5093,276548,789,39372,197,True,0.3388,-0.018899999999999972,Q3,Q1
BLAZE,numpy/numpy,jupyterlab/jupyterlab,0.1142,0.1059,0.05,0.225,39372,197,276548,789,False,0.0172,0.097,"Q1
(smallest)",Q4
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,0.1034,0.1022,0.0435,0.2391,376169,228,39372,197,False,0.1536,-0.05019999999999998,"Q4
(largest)",Q1
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,0.135,0.1124,0.1,0.2,39372,197,376169,228,False,0.1048,0.030200000000000005,"Q1
(smallest)",Q2
BLAZE,lightning-ai/lightning,prefecthq/prefect,0.2131,0.1908,0.1341,0.4146,107073,404,51387,366,True,0.2457,-0.03259999999999999,Q2,Q2
BLAZE,prefecthq/prefect,lightning-ai/lightning,0.4029,0.3105,0.2,0.76,51387,366,107073,404,True,0.351,0.0519,"Q1
(smallest)",Q2
BLAZE,lightning-ai/lightning,pydata/xarray,0.3844,0.3166,0.24,0.64,142044,110,51387,366,True,0.1993,0.18510000000000001,Q3,Q2
BLAZE,pydata/xarray,lightning-ai/lightning,0.4028,0.305,0.28,0.6,51387,366,142044,110,True,0.3294,0.07339999999999997,"Q1
(smallest)",Q1
BLAZE,lightning-ai/lightning,numpy/numpy,0.353,0.3296,0.2671,0.559,276548,789,51387,366,True,0.3399,0.0131,Q3,Q2
BLAZE,numpy/numpy,lightning-ai/lightning,0.3734,0.2756,0.2533,0.6267,51387,366,276548,789,True,0.331,0.04239999999999999,"Q1
(smallest)",Q4
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,0.2386,0.2243,0.1304,0.4565,376169,228,51387,366,True,0.1896,0.049000000000000016,"Q4
(largest)",Q2
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,0.3337,0.2767,0.1733,0.6933,51387,366,376169,228,True,0.3512,-0.017500000000000016,"Q1
(smallest)",Q2
BLAZE,prefecthq/prefect,pydata/xarray,0.3424,0.3173,0.2,0.56,142044,110,107073,404,True,0.2257,0.11669999999999997,Q3,Q2
BLAZE,pydata/xarray,prefecthq/prefect,0.1878,0.1709,0.0976,0.3902,107073,404,142044,110,False,0.1928,-0.0050000000000000044,Q2,Q1
BLAZE,prefecthq/prefect,numpy/numpy,0.273,0.2506,0.1739,0.4596,276548,789,107073,404,True,0.3656,-0.09259999999999996,Q3,Q2
BLAZE,numpy/numpy,prefecthq/prefect,0.1366,0.1326,0.0488,0.2805,107073,404,276548,789,False,0.2796,-0.14300000000000002,Q2,Q4
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,0.2367,0.2339,0.1522,0.4565,376169,228,107073,404,True,0.1748,0.06189999999999998,"Q4
(largest)",Q2
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,0.258,0.2288,0.1341,0.4878,107073,404,376169,228,True,0.2516,0.006400000000000017,Q2,Q2
BLAZE,pydata/xarray,numpy/numpy,0.2634,0.2474,0.1739,0.4658,276548,789,142044,110,True,0.3477,-0.08429999999999999,Q3,Q1
BLAZE,numpy/numpy,pydata/xarray,0.396,0.3089,0.2,0.68,142044,110,276548,789,True,0.1926,0.20340000000000003,Q3,Q4
BLAZE,pydata/xarray,scikit-learn/scikit-learn,0.2425,0.2346,0.1739,0.3913,376169,228,142044,110,True,0.1788,0.0637,"Q4
(largest)",Q1
BLAZE,scikit-learn/scikit-learn,pydata/xarray,0.2803,0.236,0.12,0.56,142044,110,376169,228,True,0.1829,0.09739999999999999,Q3,Q2
BLAZE,numpy/numpy,scikit-learn/scikit-learn,0.3111,0.3073,0.2174,0.5,376169,228,276548,789,True,0.2023,0.10879999999999998,"Q4
(largest)",Q4
COOBA,jupyterlab/jupyterlab,pydata/xarray,0.008,0.0096,0.0,0.0,142044,110,39372,197,False,0.1664,-0.15839999999999999,Q3,Q1
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,0.0398,0.0343,0.0,0.0533333333333333,51387,366,39372,197,False,0.3062,-0.2664,"Q1
(smallest)",Q1
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,0.015,0.0122,0.0,0.0365853658536585,107073,404,39372,197,False,0.1603,-0.14529999999999998,Q2,Q1
COOBA,pydata/xarray,jupyterlab/jupyterlab,0.011,0.0112,0.0,0.025,39372,197,142044,110,False,0.1379,-0.12689999999999999,"Q1
(smallest)",Q1
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,0.0131,0.0138,0.0,0.0,39372,197,51387,366,False,0.2932,-0.2801,"Q1
(smallest)",Q2
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,0.0051,0.0042,0.0,0.0,39372,197,107073,404,False,0.0798,-0.07469999999999999,"Q1
(smallest)",Q2
COOBA,jupyterlab/jupyterlab,ipython/ipython,0.0049,0.0053,0.0,0.0059171597633136,77778,832,39372,197,False,0.0619,-0.056999999999999995,Q2,Q1
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,0.0049,0.0053,0.0,0.0,376169,228,39372,197,False,0.0156,-0.0107,"Q4
(largest)",Q1
COOBA,jupyterlab/jupyterlab,numpy/numpy,0.0088,0.0093,0.0,0.0062111801242236,276548,789,39372,197,False,0.0698,-0.061,Q3,Q1
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,0.0583,0.0473,0.05,0.05,39372,197,376169,228,False,0.191,-0.1327,"Q1
(smallest)",Q2
COOBA,ipython/ipython,jupyterlab/jupyterlab,0.0165,0.0184,0.0,0.05,39372,197,77778,832,False,0.2419,-0.2254,"Q1
(smallest)",Q4
COOBA,numpy/numpy,jupyterlab/jupyterlab,0.0662,0.0654,0.025,0.2,39372,197,276548,789,False,0.1615,-0.09530000000000001,"Q1
(smallest)",Q4
