bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,76,157,-81,0.2497703731060028,-2.8925743103027344
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,68,191,-123,0.25714945793151855,-3.0519213676452637
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,164,189,-25,0.27002716064453125,-2.9174325466156006
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,17,116,-99,0.4810100793838501,-2.230119228363037
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,11,188,-177,0.573320746421814,-2.6338415145874023
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,14,51,-37,0.3605991005897522,-2.585355758666992
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,15,55,-40,0.3589259386062622,-2.671140193939209
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,70,160,-90,0.3204334080219269,-2.4815516471862793
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,93,149,-56,0.28023844957351685,-2.296739101409912
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,32,215,-183,0.32973164319992065,-2.5428130626678467
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,122,156,-34,0.25943443179130554,-2.3369927406311035
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,115,241,-126,0.36720705032348633,-3.3548669815063477
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,59,184,-125,0.3636322021484375,-2.322152614593506
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,6,204,-198,0.6334232091903687,-2.771129608154297
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,69,121,-52,0.4187467098236084,-2.1177921295166016
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,14,132,-118,0.37676578760147095,-2.966787099838257
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,111,215,-104,0.22763945162296295,-3.217038869857788
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,30,236,-206,0.49343669414520264,-2.433499574661255
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,18,56,-38,0.3015347719192505,-2.7197909355163574
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,27,61,-34,0.2595125436782837,-2.8788552284240723
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,14,185,-171,0.44513440132141113,-2.118497133255005
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,6,201,-195,0.5782101154327393,-2.348362922668457
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,3,210,-207,0.6056296229362488,-2.398149251937866
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,41,260,-219,0.4992513656616211,-2.5641608238220215
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,113,179,-66,0.38072168827056885,-2.2852389812469482
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,13,181,-168,0.5578809976577759,-2.2976858615875244
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,7,81,-74,0.4226217269897461,-3.1541051864624023
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,2,83,-81,0.4491106867790222,-3.1600890159606934
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,32,194,-162,0.48188328742980957,-3.170621871948242
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,118,243,-125,0.3043360114097595,-3.2995102405548096
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,53,195,-142,0.49532902240753174,-2.575793743133545
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,52,204,-152,0.4750838279724121,-2.668287992477417
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,132,145,-13,0.20182877779006958,-2.879657030105591
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,142,194,-52,0.3234510123729706,-3.0471949577331543
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,18,208,-190,0.5899532437324524,-2.4375531673431396
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,20,238,-218,0.4839382767677307,-3.1560239791870117
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,16,139,-123,0.5734025239944458,-2.7657647132873535
