bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,76,23,53,0.2497703731060028,-0.6603301763534546
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,68,17,51,0.25714945793151855,-0.6412743330001831
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,164,30,134,0.27002716064453125,-0.6753522753715515
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,17,26,-9,0.4810100793838501,-0.6805449724197388
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,11,13,-2,0.573320746421814,-0.614632785320282
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,14,13,1,0.3605991005897522,-0.7200754880905151
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,15,26,-11,0.3589259386062622,-3.6314287185668945
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,70,24,46,0.3204334080219269,-0.6301716566085815
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,93,43,50,0.28023844957351685,-0.7391247749328613
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,32,12,20,0.32973164319992065,-0.6389372944831848
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,122,4,118,0.25943443179130554,-0.6080187559127808
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,115,35,80,0.36720705032348633,-0.6908904314041138
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,59,18,41,0.3636322021484375,-0.6032325029373169
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,6,27,-21,0.6334232091903687,-0.6974462866783142
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,69,56,13,0.4187467098236084,-0.8161958456039429
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,14,20,-6,0.37676578760147095,-0.6761109828948975
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,111,68,43,0.22763945162296295,-1.5115468502044678
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,30,19,11,0.49343669414520264,-0.5688189268112183
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,18,7,11,0.3015347719192505,-0.5898720026016235
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,27,25,2,0.2595125436782837,-3.493366241455078
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,14,13,1,0.44513440132141113,-0.6321614384651184
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,6,14,-8,0.5782101154327393,-0.5726337432861328
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,3,20,-17,0.6056296229362488,-0.5947304964065552
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,41,6,35,0.4992513656616211,-0.5589814186096191
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,113,27,86,0.38072168827056885,-0.6159532070159912
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,13,9,4,0.5578809976577759,-0.5666523575782776
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,7,26,-19,0.4226217269897461,-0.5951155424118042
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,2,36,-34,0.4491106867790222,-2.8643364906311035
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,32,17,15,0.48188328742980957,-0.6412543058395386
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,118,154,-36,0.3043360114097595,-3.772826671600342
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,53,22,31,0.49532902240753174,-0.6624833345413208
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,52,31,21,0.4750838279724121,-0.6321786642074585
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,132,24,108,0.20182877779006958,-0.6228841543197632
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,142,24,118,0.3234510123729706,-0.6580029726028442
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,18,17,1,0.5899532437324524,-0.594558835029602
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,20,6,14,0.4839382767677307,-0.6112987399101257
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,16,24,-8,0.5734025239944458,-0.6786503791809082
