bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-5398,c14d2e3575ee953b15008ea439710c1222fe6d9e,51,231,-180,0.4577304720878601,-2.0530011653900146
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,161,214,-53,0.44937413930892944,-0.9003345966339111
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,334,287,47,0.3572928309440613,-1.941323161125183
numpy__numpy-8646,3bbee0258bfc1a9739ab24fb3a259cb471a5f6da,237,262,-25,0.20039066672325134,-1.702223300933838
numpy__numpy-23010,ca07bd180c0ea0c3f22282e10ba0ddde6cbba65a,939,227,712,0.3255554735660553,-0.8847613334655762
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,187,264,-77,0.3959144353866577,-1.0324413776397705
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,176,255,-79,0.3479723334312439,-1.5144879817962646
numpy__numpy-21187,5bc9113af1be4393edfb2c93ffc4361e438a89de,170,264,-94,0.4889765679836273,-1.0976955890655518
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,290,286,4,0.25333237648010254,-2.1927998065948486
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,685,173,512,0.16178598999977112,-0.4219866991043091
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,241,215,26,0.2689283788204193,-1.03447687625885
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,92,238,-146,0.3880200982093811,-1.2162384986877441
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,333,284,49,0.24177685379981995,-2.149624824523926
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,451,264,187,0.2150825560092926,-1.56068754196167
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,340,285,55,0.24108175933361053,-2.152862548828125
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,420,271,149,0.22152678668498993,-1.6896182298660278
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,81,242,-161,0.5857214331626892,-1.357816457748413
numpy__numpy-17636,dcf60ada9297180308729db7ccc23c416f86f0f9,774,264,510,0.23956072330474854,-1.1002843379974365
numpy__numpy-11813,d31d8a9398b518012e3517bc4240844732b16cf2,215,261,-46,0.3841315805912018,-1.4682023525238037
numpy__numpy-18911,aea9835c78e2653460204fe33503d3011a746d1e,13,260,-247,0.5509213209152222,-2.1442418098449707
numpy__numpy-19775,fd229dbef8f92d18d7627ce53a69f3fb97335e83,726,243,483,0.25048428773880005,-0.348754346370697
numpy__numpy-9054,01741cd1afb6b2f27e92f70294d561c1af465fe6,176,273,-97,0.33351635932922363,-1.4478752613067627
numpy__numpy-5490,1b3d75db6e3ecd88d0dbaa0705ae21088334c8af,173,204,-31,0.3148643672466278,-0.8995577096939087
numpy__numpy-11358,630767dc5347df4ba4b191ae2a7bfea8d7d8ab58,142,250,-108,0.4064846634864807,-1.2423505783081055
numpy__numpy-11427,b7d9c4406709e5069ca573ccd10384e2475b4a15,147,222,-75,0.41295453906059265,-1.583981990814209
numpy__numpy-6660,a6e4a8dac3b03d75c01de8fa208bbe2c7bb128e8,193,207,-14,0.24245381355285645,-1.044909954071045
numpy__numpy-6660,d95a362ca6bc0b2ee6cff3ba8870b621118da6e1,398,178,220,0.19482223689556122,-0.7064429521560669
numpy__numpy-13242,6dd6982dfe6a93d2319ea3f5a342e432d26a528a,127,220,-93,0.3919360935688019,-1.016145944595337
numpy__numpy-5489,bedd0e941f2fa7b9df550240f3eaa828db370241,224,213,11,0.32121604681015015,-0.9256725311279297
numpy__numpy-4677,fe3c037890d1c2fdee67546f02de334e5742dab9,35,176,-141,0.5623547434806824,-0.7584086656570435
numpy__numpy-3281,a76401ac92a75756a6ffc8dbc6bfef47f91c3ba7,776,242,534,0.12693403661251068,-1.467564344406128
numpy__numpy-3281,5811be876962a5a288d02ed4a568d7af0db197e3,709,237,472,0.15115411579608917,-1.4027574062347412
numpy__numpy-3281,6e0cfcddb79d1dd7c26a88fbfa80f1af5665cb2f,440,239,201,0.23072083294391632,-1.4462330341339111
numpy__numpy-3281,4c5b7e9fc970efb333b1145b036cb70451db2b25,87,181,-94,0.3683512806892395,-0.981968879699707
numpy__numpy-3281,a16a07d591f201872817a7f40298270b979571e0,692,221,471,0.15656974911689758,-1.2138545513153076
numpy__numpy-3281,98f58e33326d024e026bba40fee5a5dfa4458254,720,194,526,0.14840170741081238,-1.0826597213745117
numpy__numpy-3281,d1084b75eeb7fd54f4b21ecc8eac0dc6e4c849bb,148,141,7,0.31506073474884033,-0.43967556953430176
numpy__numpy-3281,ba89637eb50e3fd665f6152701c482d1ad05f981,186,198,-12,0.29150283336639404,-1.0962209701538086
numpy__numpy-3281,b68a79b642a394ff71130c3ebd66492892749d15,578,187,391,0.19236832857131958,-1.0229963064193726
numpy__numpy-3281,57ab3ce78348a00021169a1c3ce77225aa706c79,388,243,145,0.2406921088695526,-1.476754903793335
numpy__numpy-3281,4e00b1cbc551ffed6b7512da17fce3c9cc3243cb,694,220,474,0.15563654899597168,-1.2085449695587158
numpy__numpy-3281,5d6bea3ca9aae493aa6b9496e067141954209fd9,447,193,254,0.22957786917686462,-1.0822219848632812
numpy__numpy-3281,de8606167e11e7fd925819906f988194789714e7,289,241,48,0.2629426121711731,-1.4637596607208252
numpy__numpy-3281,775929fa177787047e25ea3da9eeaf5cb3d7f184,613,265,348,0.1818132847547531,-1.6951608657836914
numpy__numpy-3281,4e4d94cd68a6f024a8e92d1ec051ee563f0a3e6b,696,159,537,0.15529532730579376,-0.7466185092926025
numpy__numpy-3281,af59d687eb82f7f07ee1c53ad80ce7d1cc124c9b,607,143,464,0.18449461460113525,-0.5464809536933899
numpy__numpy-3281,3f91046d2fda754fdecce9277098acc2e7bbd38c,225,176,49,0.279278039932251,-0.9355610013008118
numpy__numpy-7260,f3d30d15c44122411d6f3da50249c7af221b64f3,230,182,48,0.43813952803611755,-0.725110650062561
numpy__numpy-8988,4a07815e84acb8e0e44ebecaecc3982f1555eca9,125,224,-99,0.40889865159988403,-1.0604504346847534
numpy__numpy-4344,5cd535703690b83b761b35f77f5e39afdfda1be6,169,266,-97,0.3319604694843292,-1.6827785968780518
numpy__numpy-8388,a59fe3cc4e327cb73d419401707cc2e638f11835,111,247,-136,0.3470325767993927,-1.795236587524414
numpy__numpy-5518,0b18bc6c62fa4476d6eb21b7167c5a96282ece96,227,245,-18,0.3325395882129669,-1.378859519958496
numpy__numpy-12807,8750ed0b3d19e9052733af6e6ba01ad1f4455885,578,243,335,0.29208412766456604,-2.0035650730133057
numpy__numpy-16300,4e320576bdb34e507caf98665a9365e962e0818e,54,231,-177,0.6028050780296326,-1.133062481880188
numpy__numpy-16300,613bcb550dfd1bc3386862c8f014cc8bc818b0a3,59,195,-136,0.5999025702476501,-0.7439736127853394
numpy__numpy-12358,1ef3dca47ec5aea6b41a0a676e52d4686684f43d,39,250,-211,0.6326984167098999,-1.2834694385528564
numpy__numpy-3772,1c8cea4f7e4a49c52c24ef3712149d79bf5decbe,2,179,-177,0.6033061146736145,-0.9276219010353088
numpy__numpy-9552,d0d384a62d8241bfe79a89000ef24e79738eaa1f,185,290,-105,0.3239790201187134,-2.9441800117492676
numpy__numpy-10629,65c3ed00dbd308146709b7e8a7086c613b8818f4,126,198,-72,0.48694875836372375,-0.9683200120925903
numpy__numpy-5468,2a527a4a483bdb56ec5e0727710b3d3596bb5b67,78,219,-141,0.45020073652267456,-1.037390112876892
numpy__numpy-8816,1fd530f330eaf5299e65d29d982d190d92e3691b,95,217,-122,0.4716532230377197,-1.0017119646072388
numpy__numpy-7667,3533a59fcafd7a37ea7814105d34c4e13c0a9af5,87,214,-127,0.4866592586040497,-0.8443504571914673
numpy__numpy-23097,e70a1fddca74757f3cd7899c25450a58c0e17781,616,284,332,0.33414584398269653,-1.1133174896240234
numpy__numpy-23097,6f203e87271109763f2f947b711bd4124cd1138a,763,295,468,0.32188668847084045,-2.114373207092285
numpy__numpy-23097,1fe7a6f4d816274b65d27dd44cbcc6296ff09255,106,289,-183,0.41884300112724304,-1.2475861310958862
numpy__numpy-11717,163f125c28a51dac5205769e0344300339ad372a,18,282,-264,0.5452642440795898,-1.9051487445831299
numpy__numpy-11805,d84455a8f269d45fc5df179d12d83801a5ad208f,76,249,-173,0.3861764073371887,-1.4466547966003418
numpy__numpy-8148,25cc5355c45c2e1ebdb51b135b26db3808018066,561,193,368,0.25892066955566406,-0.6595034003257751
numpy__numpy-3266,61f6ba751834926d842843a96b3a55292fe5f9ae,348,279,69,0.24262936413288116,-2.1344075202941895
numpy__numpy-3266,3fb69a705d69dd1cb049a4b4470b49cf2696a198,356,259,97,0.24041280150413513,-1.6083271503448486
numpy__numpy-3266,23a945fce996c0015597d806fe6582eead0bf39d,360,267,93,0.2390897274017334,-1.7019224166870117
numpy__numpy-3266,5b3454b3a76d457703f3dc73c04f64a21c36b1d4,291,177,114,0.2533286213874817,-0.9199867248535156
numpy__numpy-3266,0e3a9627e44def956c529a4942dbb724e8e4b16c,526,284,242,0.2044423222541809,-2.276289701461792
numpy__numpy-3266,917623bba12fdea349d9182ae9b86f0d22b5fd2c,444,172,272,0.22363035380840302,-0.8525440692901611
numpy__numpy-3266,494343b289d87a09bd7243e52aadafd71827d97a,207,188,19,0.27922338247299194,-1.050969123840332
numpy__numpy-3266,ffa5140bc2daed38e5379dc39187f66359a9e74d,252,168,84,0.2620514929294586,-0.8327065706253052
numpy__numpy-3266,fe122d4db9ebf0e759636cfbaf354219ff210442,389,266,123,0.23499679565429688,-1.698940634727478
numpy__numpy-3266,2175628d663f9b48fb0459ce894397f3e9c127e9,204,258,-54,0.2795850336551666,-1.605688452720642
numpy__numpy-3266,5c9574917e88e300f1030d02155e60c733eeafbe,268,263,5,0.25730082392692566,-1.670526146888733
numpy__numpy-3266,4e4630eb01d7e9104a01626ec60e283d0b76c3f2,541,171,370,0.20112328231334686,-0.8520939946174622
numpy__numpy-3266,a75c95e911e21004367db06536643c68e87bc8d8,209,206,3,0.27901917695999146,-1.126505970954895
numpy__numpy-3266,361ccb18332e6d89889c8cb531a5a0a2b4b380bf,412,264,148,0.23075968027114868,-1.6797168254852295
numpy__numpy-3121,c22aacb9ab06349c16eec82bc4f3d6de212483ad,399,199,200,0.21575592458248138,-0.9014749526977539
numpy__numpy-3121,8c43f97c0343a51b53ced565e2ab120661051946,576,197,379,0.17625531554222107,-0.8824900984764099
numpy__numpy-3121,1bb7a0a27132290d6008e88e8d43fd8952fda200,417,214,203,0.21171250939369202,-1.0939204692840576
numpy__numpy-3121,552b086d5cedabab6907ef492c6b14e227c16a42,526,88,438,0.18742820620536804,-0.27019473910331726
numpy__numpy-3121,48f1eb8dc6df34863ba4f163e1a73369da374a86,377,143,234,0.21971134841442108,-0.27019473910331726
numpy__numpy-3121,70093e037082fdda699937dcde8f5174f7663e8f,693,206,487,0.13769230246543884,-0.9943106174468994
numpy__numpy-3121,be7a6cce85175977b05aed63ff6e356714c540b7,443,216,227,0.20578327775001526,-1.113598346710205
numpy__numpy-6199,86d75763013663fe07a1a0804ddf3de47d11fa70,69,209,-140,0.4983736276626587,-0.9323037266731262
numpy__numpy-6199,44bd48df7201a70fa2a1376f9e2042efac2ac716,420,214,206,0.36127206683158875,-0.9834156632423401
numpy__numpy-3097,e45f9950e8a20260e470eb99b9d642bb24980b6f,662,12,650,0.22596827149391174,-0.2614259123802185
numpy__numpy-5638,536a576dd101a2c712847b248b82879cc3562382,490,203,287,0.21089892089366913,-0.8096979856491089
numpy__numpy-8905,3ce44caf7e23f59fd59097130426dce0576272b7,19,199,-180,0.4066675901412964,-0.9584584832191467
numpy__numpy-7218,690655b361b8d6fbd3e28a86383e193cc6e7cdaf,79,192,-113,0.5502750873565674,-0.8300501108169556
numpy__numpy-11774,5880ea1544d4b0931e9544dbaf309dd80344f528,97,247,-150,0.3673987090587616,-1.4734857082366943
numpy__numpy-3185,e111fdb83e78c8a5a6c266d384d13226669b2a4e,424,209,215,0.3513381779193878,-1.7991015911102295
numpy__numpy-15928,7eeed7825bddd659b4bfc593c17bd733964fd079,52,227,-175,0.4066094756126404,-1.0960686206817627
numpy__numpy-3059,3a9eb3b137d267ef7abf5dde9ff4dab0ae05f9a7,20,210,-190,0.4081553816795349,-0.9600868821144104
numpy__numpy-3059,612d1e1477532d04f42c515a9e773845406fcc53,498,143,355,0.24891343712806702,-0.26374244689941406
numpy__numpy-3059,ed9801ceb1a9d9794d646d3511d16ccf1d620f0d,47,222,-175,0.3822321593761444,-1.1286180019378662
numpy__numpy-15938,40d632ec55ef8bd20ad9c751e17902022e05a58c,932,278,654,0.25207534432411194,-1.7183759212493896
numpy__numpy-21654,5a3addf4cd3d426e4221b26e7f69607b66384f8c,431,293,138,0.2807013988494873,-2.345609426498413
numpy__numpy-21654,6382732dcd499bc01b0eb30d4ca733ea977276f6,309,282,27,0.29781824350357056,-1.3293650150299072
numpy__numpy-21654,b4741355f2364b2ececb57a8dab085c17967ee36,9,266,-257,0.3875911831855774,-1.1741619110107422
numpy__numpy-8555,49888ee09f42df01c0b752460284c2aa67b951dd,78,245,-167,0.41220933198928833,-1.2909631729125977
numpy__numpy-7152,dad1f47649d04d41786d34b9066db58f32f972c3,134,236,-102,0.3080880641937256,-1.1418617963790894
numpy__numpy-4400,59e8777506f018e55062c56d0d5937a6170b76e8,78,260,-182,0.44423016905784607,-1.9549235105514526
