bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
scikit-learn__scikit-learn-10881,289064718bf65d42de11a6f6e2d57e5332b1c35a,172,16,156,0.42453551292419434,-1.5187265872955322
scikit-learn__scikit-learn-10881,26eaeaa029f10923048167d9edc3b71e426051fd,57,9,48,0.48735618591308594,-1.396289587020874
scikit-learn__scikit-learn-14450,94c517992e06144b3ae647d064e650f22a9470f4,82,17,65,0.45275139808654785,-0.8035049438476562
scikit-learn__scikit-learn-13864,c89de13c8ff7943f405273286d0ac5095ba8002c,126,24,102,0.3661954700946808,-1.5589532852172852
scikit-learn__scikit-learn-10687,32de16e2f8f27769468d8e8a1c5f7dc107134176,13,7,6,0.5180132389068604,-1.3210629224777222
scikit-learn__scikit-learn-10982,d9e7d3166b8ff1c6b73508ae3828ff265fe6639a,128,15,113,0.39613640308380127,-0.8662208318710327
scikit-learn__scikit-learn-13467,7715551fb05d80db5c506b07d7e6a10cd79a9b71,131,14,117,0.371929407119751,-1.4291908740997314
scikit-learn__scikit-learn-13828,1ee5213e0fefb3bab6df78f0cb2f1fe67f4229f1,196,37,159,0.40584859251976013,-1.7614870071411133
scikit-learn__scikit-learn-14458,da6a01b3ce2f63987f301918964f144a4826bc35,19,30,-11,0.5939521193504333,-1.555286169052124
scikit-learn__scikit-learn-14458,f528168519500f9129c3ad17d4cb7bc5a3c1ce56,82,46,36,0.5342444181442261,-1.7863178253173828
scikit-learn__scikit-learn-13877,29263157ebd9efb12f8890861d473dd9f83c095d,5,31,-26,0.49571776390075684,-1.5428451299667358
scikit-learn__scikit-learn-14806,71f3a961020f543b775cef306e67dc5e4130f810,150,8,142,0.39598312973976135,-1.300400972366333
scikit-learn__scikit-learn-13628,fad416a7fc0ffb07a22a11bd7fe006b88c3216c8,686,5,681,0.26345887780189514,-1.3316665887832642
scikit-learn__scikit-learn-13628,434d30a557540419ca5ddb259e60c8e5642f4dea,842,9,833,0.24547477066516876,-1.6166105270385742
scikit-learn__scikit-learn-12860,c36e48cbcacb0a5f0f84218be1618cd65f95b9d9,78,8,70,0.5258562564849854,-1.28812575340271
scikit-learn__scikit-learn-13536,d1d03656d2a629225d0b76db0377f45a6f54c5c2,151,8,143,0.30402320623397827,-1.2741096019744873
