bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
79006,73d5a8a51c7d3a356474e32bb27987df5eb3f58b,557,157,400,0.2420581877231598,-2.02313232421875
79006,efcadb229ccf1a5791184c2f02d8e69daedee64c,3037,241,2796,0.17213477194309235,-2.02313232421875
79006,3731351774dc2cc9947a8dd55a9ce1f516c70c18,40,52,-12,0.3427630364894867,-2.023132085800171
75275,1b4e980e5bb539b0dc26db03cbe599d0c7e5e282,1485,211,1274,0.267151415348053,-3.623819351196289
70413,f0df17fc3040d6b79862ac2d9d051f3be1b2daad,181,31,150,0.40264856815338135,-0.9709898829460144
70413,b78b9c4ee16d33d3df97e36141d5d65ea04b9615,50,48,2,0.4418236017227173,-3.5599358081817627
79432,dc95e8e095766aebcb0ad4e44f65aaec4c3d02e5,4,84,-80,0.5114098787307739,-3.5782532691955566
80863,190e84099c19e02aac510548fe245192848fda05,210,13,197,0.3874402642250061,-0.3497051000595093
65325,1b2d9206dae2041f054917985a841c09a59f2aa4,1209,153,1056,0.3801232576370239,-3.2917323112487793
69561,18ac8137b25f06f1070d6b0685feb140a1b3ae60,2122,26,2096,0.31160351634025574,-1.527524709701538
66225,74a8aed46b978b92b598135fc04b15c6cc7a4edd,236,118,118,0.460619181394577,-1.9921083450317383
79862,c7a36fad264222d2a5e65cfe9cd61c29f372b157,172,2,170,0.4247751832008362,-0.24524812400341034
70638,a40d219ef2eb00fc3cb837e341fc84161c5944d9,154,31,123,0.4941946268081665,-1.7945256233215332
73983,953c78dce213862fceff87c9a4b5d6cf85126d61,3167,222,2945,0.3067437410354614,-3.6236560344696045
82179,93355b5fceff674d3d33220f99d5370667cae99a,1238,170,1068,0.27190810441970825,-2.2498226165771484
81188,d17704d31bd1caf0b038ed46238aee068aaa459b,233,5,228,0.4331151843070984,-0.3804819583892822
58282,857d950f28c905da85cb17be01e26684d71df6e4,3305,2,3303,0.150495707988739,-0.6719704866409302
59351,ec74b1b6ed944e883b58aa684be3e282485fd99a,4,164,-160,0.40592971444129944,-2.1167078018188477
