bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
79006,73d5a8a51c7d3a356474e32bb27987df5eb3f58b,557,117,440,0.2420581877231598,-3.612520217895508
79006,efcadb229ccf1a5791184c2f02d8e69daedee64c,3037,254,2783,0.17213477194309235,-3.612520217895508
79006,3731351774dc2cc9947a8dd55a9ce1f516c70c18,40,146,-106,0.3427630364894867,-3.612520217895508
75275,1b4e980e5bb539b0dc26db03cbe599d0c7e5e282,1485,283,1202,0.267151415348053,-3.8529505729675293
70413,f0df17fc3040d6b79862ac2d9d051f3be1b2daad,181,33,148,0.40264856815338135,-0.8217659592628479
70413,b78b9c4ee16d33d3df97e36141d5d65ea04b9615,50,110,-60,0.4418236017227173,-3.820927619934082
79432,dc95e8e095766aebcb0ad4e44f65aaec4c3d02e5,4,123,-119,0.5114098787307739,-3.840360403060913
80863,190e84099c19e02aac510548fe245192848fda05,210,19,191,0.3874402642250061,-0.6485633850097656
65325,1b2d9206dae2041f054917985a841c09a59f2aa4,1209,155,1054,0.3801232576370239,-3.091534376144409
69561,18ac8137b25f06f1070d6b0685feb140a1b3ae60,2122,22,2100,0.31160351634025574,-0.5400443077087402
66225,74a8aed46b978b92b598135fc04b15c6cc7a4edd,236,215,21,0.460619181394577,-3.627230644226074
79862,c7a36fad264222d2a5e65cfe9cd61c29f372b157,172,2,170,0.4247751832008362,-0.36807993054389954
70638,a40d219ef2eb00fc3cb837e341fc84161c5944d9,154,72,82,0.4941946268081665,-3.796670913696289
73983,953c78dce213862fceff87c9a4b5d6cf85126d61,3167,228,2939,0.3067437410354614,-3.3438916206359863
82179,93355b5fceff674d3d33220f99d5370667cae99a,1238,255,983,0.27190810441970825,-3.8306310176849365
81188,d17704d31bd1caf0b038ed46238aee068aaa459b,233,13,220,0.4331151843070984,-0.37226033210754395
58282,857d950f28c905da85cb17be01e26684d71df6e4,3305,7,3298,0.150495707988739,-0.3845064640045166
59351,ec74b1b6ed944e883b58aa684be3e282485fd99a,4,136,-132,0.40592971444129944,-2.9931588172912598
