bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-5398,c14d2e3575ee953b15008ea439710c1222fe6d9e,51,2,49,0.4577304720878601,-0.7463930249214172
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,161,34,127,0.44937413930892944,-1.1082038879394531
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,334,4,330,0.3572928309440613,-0.668405294418335
numpy__numpy-8646,3bbee0258bfc1a9739ab24fb3a259cb471a5f6da,237,33,204,0.20039066672325134,-1.5231107473373413
numpy__numpy-23010,ca07bd180c0ea0c3f22282e10ba0ddde6cbba65a,939,83,856,0.3255554735660553,-2.461336851119995
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,187,1,186,0.3959144353866577,-1.6067290306091309
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,176,42,134,0.3479723334312439,-2.4876279830932617
numpy__numpy-21187,5bc9113af1be4393edfb2c93ffc4361e438a89de,170,21,149,0.4889765679836273,-2.4046316146850586
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,290,3,287,0.25333237648010254,-1.526203989982605
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,685,17,668,0.16178598999977112,-1.8320977687835693
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,241,11,230,0.2689283788204193,-1.7724273204803467
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,92,23,69,0.3880200982093811,-1.9935591220855713
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,333,6,327,0.24177685379981995,-1.6007399559020996
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,451,8,443,0.2150825560092926,-1.6583325862884521
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,340,5,335,0.24108175933361053,-1.5948230028152466
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,420,4,416,0.22152678668498993,-1.5489537715911865
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,81,26,55,0.5857214331626892,-2.0888144969940186
numpy__numpy-17636,dcf60ada9297180308729db7ccc23c416f86f0f9,774,27,747,0.23956072330474854,-2.6401500701904297
numpy__numpy-11813,d31d8a9398b518012e3517bc4240844732b16cf2,215,26,189,0.3841315805912018,-1.0477807521820068
numpy__numpy-18911,aea9835c78e2653460204fe33503d3011a746d1e,13,7,6,0.5509213209152222,-0.5756558775901794
numpy__numpy-19775,fd229dbef8f92d18d7627ce53a69f3fb97335e83,726,21,705,0.25048428773880005,-2.864626884460449
numpy__numpy-9054,01741cd1afb6b2f27e92f70294d561c1af465fe6,176,13,163,0.33351635932922363,-1.0307772159576416
numpy__numpy-5490,1b3d75db6e3ecd88d0dbaa0705ae21088334c8af,173,16,157,0.3148643672466278,-1.0399894714355469
numpy__numpy-11358,630767dc5347df4ba4b191ae2a7bfea8d7d8ab58,142,7,135,0.4064846634864807,-1.6536678075790405
numpy__numpy-11427,b7d9c4406709e5069ca573ccd10384e2475b4a15,147,20,127,0.41295453906059265,-1.94619882106781
numpy__numpy-6660,a6e4a8dac3b03d75c01de8fa208bbe2c7bb128e8,193,10,183,0.24245381355285645,-0.9037903547286987
numpy__numpy-6660,d95a362ca6bc0b2ee6cff3ba8870b621118da6e1,398,11,387,0.19482223689556122,-0.9522073268890381
numpy__numpy-13242,6dd6982dfe6a93d2319ea3f5a342e432d26a528a,127,22,105,0.3919360935688019,-0.809388279914856
numpy__numpy-5489,bedd0e941f2fa7b9df550240f3eaa828db370241,224,8,216,0.32121604681015015,-0.9210752248764038
numpy__numpy-4677,fe3c037890d1c2fdee67546f02de334e5742dab9,35,19,16,0.5623547434806824,-1.932828664779663
numpy__numpy-3281,a76401ac92a75756a6ffc8dbc6bfef47f91c3ba7,776,12,764,0.12693403661251068,-1.0549063682556152
numpy__numpy-3281,5811be876962a5a288d02ed4a568d7af0db197e3,709,52,657,0.15115411579608917,-1.5495810508728027
numpy__numpy-3281,6e0cfcddb79d1dd7c26a88fbfa80f1af5665cb2f,440,46,394,0.23072083294391632,-1.4736745357513428
numpy__numpy-3281,4c5b7e9fc970efb333b1145b036cb70451db2b25,87,72,15,0.3683512806892395,-1.798387050628662
numpy__numpy-3281,a16a07d591f201872817a7f40298270b979571e0,692,105,587,0.15656974911689758,-2.220120429992676
numpy__numpy-3281,98f58e33326d024e026bba40fee5a5dfa4458254,720,40,680,0.14840170741081238,-1.4356162548065186
numpy__numpy-3281,d1084b75eeb7fd54f4b21ecc8eac0dc6e4c849bb,148,43,105,0.31506073474884033,-1.4582815170288086
numpy__numpy-3281,ba89637eb50e3fd665f6152701c482d1ad05f981,186,2,184,0.29150283336639404,-0.6851697564125061
numpy__numpy-3281,b68a79b642a394ff71130c3ebd66492892749d15,578,80,498,0.19236832857131958,-1.8858857154846191
numpy__numpy-3281,57ab3ce78348a00021169a1c3ce77225aa706c79,388,44,344,0.2406921088695526,-1.4623749256134033
numpy__numpy-3281,4e00b1cbc551ffed6b7512da17fce3c9cc3243cb,694,13,681,0.15563654899597168,-1.0698611736297607
numpy__numpy-3281,5d6bea3ca9aae493aa6b9496e067141954209fd9,447,81,366,0.22957786917686462,-1.892308235168457
