bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
PrefectHQ__prefect-1525,dc18e97fcfedda802d07970715b01027b9cc9992,466,6,460,0.22965513169765472,-0.531373143196106
PrefectHQ__prefect-134,45a64b879d0a4d6936128f56ee9f4b2693b231c2,55,7,48,0.18243643641471863,-0.36929845809936523
PrefectHQ__prefect-2031,bb2692f0a5b976db136fa87772f2a20abb76b785,172,20,152,0.41719287633895874,-1.4016234874725342
PrefectHQ__prefect-578,6324e8280460e370a3cc972b903288f5744be300,146,24,122,0.18289092183113098,-1.2851269245147705
PrefectHQ__prefect-746,cc936393d42bfed98dfe595635664d2e4fc464d8,252,73,179,0.1492641717195511,-2.14384126663208
PrefectHQ__prefect-746,ea900763cf93d948753aeace014bc5509a31ccdf,263,104,159,0.1443740278482437,-2.7654480934143066
PrefectHQ__prefect-746,6084f00c0ac8545c6a79803907d7afb200271b70,264,28,236,0.14366436004638672,-1.0843108892440796
PrefectHQ__prefect-746,29664b85ddc06e9ea2bd2aaaa488b66307efb06f,117,30,87,0.2644937038421631,-1.1531741619110107
PrefectHQ__prefect-746,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,188,19,169,0.20110675692558289,-0.6627023220062256
PrefectHQ__prefect-158,5b49bc6cd8dfb8332e8ae401c3bb866c136e8f8d,56,27,29,0.3474847674369812,-1.4508113861083984
PrefectHQ__prefect-158,682fb497b5386ea42d1e00acde4b9a2949489b16,40,12,28,0.37851208448410034,-0.7110942602157593
PrefectHQ__prefect-158,62c6d4c28e7ba25ebcab26d73f0b3e99fa0a1120,74,1,73,0.308354914188385,-0.3274695873260498
PrefectHQ__prefect-158,8cbc80eb56cfaf9beb898088ef1edc1075015f78,75,15,60,0.30684006214141846,-1.0191590785980225
PrefectHQ__prefect-158,07450a943cdaf82a572fbf08df51182ff374d4f1,106,7,99,0.21556700766086578,-0.5023313760757446
PrefectHQ__prefect-312,c26165341c2b86efd5ea8fb91c1a07e465ae0387,19,9,10,0.43733131885528564,-0.43403586745262146
PrefectHQ__prefect-312,a275962f7b88f81f7ccb6e421ef28457c23014d4,22,3,19,0.4251761734485626,-0.07794242352247238
PrefectHQ__prefect-907,7ee889cd9e7cef7944bbc9ee9e7fad21bb7a921b,225,4,221,0.3482271432876587,-0.5526714324951172
PrefectHQ__prefect-907,17c63a13fc06f1d639b3d169fac29877bdd90632,436,16,420,0.20624873042106628,-1.5649099349975586
PrefectHQ__prefect-907,b191fc4ce77b269be5657ba55b50f4d4f4a57c8a,359,3,356,0.2873828709125519,-0.16337227821350098
PrefectHQ__prefect-907,6fdf88bfdeb6e571e11ba037d9a41d724da496af,364,5,359,0.28514787554740906,-0.6422621011734009
PrefectHQ__prefect-1037,c7d058e3dbf19b6eb3898cb0d04715de059d2cc2,1,8,-7,0.5952086448669434,-0.9906162023544312
PrefectHQ__prefect-1420,19ce7ad51d7e98058db68f5a827627c17e078a02,89,26,63,0.3919696807861328,-1.8872491121292114
PrefectHQ__prefect-2666,1c7d915b9846a524595691f9d05df1c2e01d0484,91,22,69,0.4556068181991577,-1.597588062286377
PrefectHQ__prefect-714,93e878e96a0fa862dd65458628dbd85cd046056c,28,7,21,0.3906579911708832,-0.28237098455429077
PrefectHQ__prefect-170,97b03ecf3b448b5686ca29f79a34bc730b8f8065,42,16,26,0.2987786829471588,-1.1286871433258057
PrefectHQ__prefect-170,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,91,10,81,0.21447046101093292,-0.6548675298690796
PrefectHQ__prefect-856,13428741eba6a347137527603e1604ea1a0ca27a,120,15,105,0.2755918502807617,-0.19563442468643188
PrefectHQ__prefect-545,54cc6c08ff71d75d416601bd2b90bd1e76caf910,35,8,27,0.30697381496429443,-0.054241329431533813
PrefectHQ__prefect-545,6ac1f22f7259509120a6265507da0ef343bc3d49,25,4,21,0.35653531551361084,-0.03770333528518677
PrefectHQ__prefect-406,47afbe726f1970e0e3f1e1b9de3dd0305a03352e,35,7,28,0.37901780009269714,-0.33745500445365906
PrefectHQ__prefect-406,62cb6d6d3526ee81ab5305aa4c5839ff186cacd5,118,22,96,0.2060215324163437,-1.0369408130645752
PrefectHQ__prefect-406,f832e4bedcfa9b80ff16b245b670110c1f1cd257,22,11,11,0.40035831928253174,-0.47977110743522644
PrefectHQ__prefect-509,10f43a0bdbfdfd975f49442c52155969a861a61b,100,24,76,0.21141773462295532,-1.416020154953003
PrefectHQ__prefect-205,955ead2d0e9e54aa50e772820d3931dc31b91c38,22,7,15,0.3283247649669647,-0.7148054838180542
PrefectHQ__prefect-205,0168d1de54168057eac1646ccd368d5372e5573b,7,12,-5,0.4372260272502899,-1.054568886756897
PrefectHQ__prefect-187,622ecbe48bb62b5f30de6476a7f6f45316038147,123,8,115,0.15064063668251038,-0.37197262048721313
PrefectHQ__prefect-187,dd6385891c04c0973a18e1bb691539c8bb18b35a,140,43,97,0.09981844574213028,-1.8697915077209473
PrefectHQ__prefect-187,154ec54dcf07578a68a23565525270b666fc29a9,139,51,88,0.10591034591197968,-2.1554408073425293
PrefectHQ__prefect-1729,04ca6ad102fdc43ed40d48d8ec7cc52beb0ee406,497,3,494,0.24187228083610535,-0.19047459959983826
PrefectHQ__prefect-466,f1d69d3ba2d9d1aa6f893a606b63fd2ef31af660,31,20,11,0.41697603464126587,-1.0099077224731445
PrefectHQ__prefect-76,db40474ff765e82807cf3d0977711580eb842b5a,14,9,5,0.3869372606277466,-0.6273806691169739
PrefectHQ__prefect-76,74c137def3bdc6d6b9a00a851722fe72aa4a981d,89,31,58,0.22741469740867615,-1.865837812423706
PrefectHQ__prefect-76,8b0f0666707c19643e301e18af4c08e61a442856,77,20,57,0.259901762008667,-1.5426135063171387
PrefectHQ__prefect-227,abc54fa2ff65be15916b320aa0f502af54e8bafb,53,12,41,0.2337723672389984,-0.9929747581481934
PrefectHQ__prefect-2089,da4fad4a5376224ba153aa4f358860932f411c77,288,8,280,0.31106409430503845,-0.5270602703094482
PrefectHQ__prefect-1118,09db18f401d6fdd29d6c5a5cc56e438f6da23d45,640,12,628,0.15283964574337006,-1.438826322555542
PrefectHQ__prefect-1375,536af5cc776265eb0c9a1221d94986c57856809d,257,1,256,0.2897810935974121,-0.13860172033309937
PrefectHQ__prefect-94,b24b7b38e6d5cae7647e6d0f447832143df9969f,60,2,58,0.3009767234325409,-0.22464509308338165
PrefectHQ__prefect-94,b705f343b9e7be37a38b38a6c73a06a4d8bba9c6,81,10,71,0.2358669936656952,-0.3390170931816101
PrefectHQ__prefect-94,c1bcb2001d83452667a06e530e87bfe0f3ecdfec,22,14,8,0.38679319620132446,-0.604994535446167
PrefectHQ__prefect-94,3154cdbfe648e32c7b7e004619837fc1e3a38c37,38,8,30,0.33188164234161377,-0.30749934911727905
PrefectHQ__prefect-94,d06ce69e798b193ebca3ea0d35d8b24a8e741988,43,21,22,0.31402885913848877,-0.7944447994232178
PrefectHQ__prefect-94,9983604338a325f2ff94e0ce8c29d493ad1a3edc,58,1,57,0.304922878742218,-0.22342167794704437
PrefectHQ__prefect-94,144546cf5181d60c6d8f9f1032ac7ccba13f9304,30,16,14,0.35999447107315063,-0.6848675608634949
PrefectHQ__prefect-94,fc11017ce36f58cee096a906539dfcac980dd9d6,78,31,47,0.23911890387535095,-1.0570356845855713
PrefectHQ__prefect-94,f374c5b2daa155d489d2d3ef158e56d885b8a550,9,5,4,0.4613342881202698,-0.24454385042190552
PrefectHQ__prefect-94,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,42,9,33,0.3150053024291992,-0.3092800974845886
PrefectHQ__prefect-94,7c073dd683f614388d5d1fd0898b8db3aadbf85d,7,7,0,0.4999799132347107,-0.29357314109802246
PrefectHQ__prefect-94,8bc9b8298f9ea273e095a1f3a12b26344e04cb18,53,3,50,0.3099105656147003,-0.23992937803268433
PrefectHQ__prefect-887,ba279341be346b66d0297a463de57aafa6878db3,175,2,173,0.29603663086891174,-0.011717000976204872
PrefectHQ__prefect-1319,0425c6296179aa1dd4a027900acd27adaef74fa2,533,7,526,0.22321689128875732,-0.6818471550941467
PrefectHQ__prefect-1319,f036ea548624f7e6f522e0a2d6697b97308955d3,40,5,35,0.4159841537475586,-0.6204067468643188
PrefectHQ__prefect-1319,b338c5dd3d575d81b9e1bfb06477af2dca3d26d1,303,40,263,0.27712786197662354,-2.3696846961975098
PrefectHQ__prefect-1431,8a0d0de576d815ae9a0b0361e5816296ba3a280a,485,28,457,0.16738241910934448,-1.5328510999679565
PrefectHQ__prefect-215,2a387f2c3b76cbe97144a23bd891570f5e663b93,50,12,38,0.21332526206970215,-1.0444709062576294
PrefectHQ__prefect-583,29ac0d158205848020eb8c4f1f093024b6286a51,208,23,185,0.11994161456823349,-0.8718414306640625
PrefectHQ__prefect-583,1a7e7ff0534d0123c38566a1ba445854f9b72618,220,4,216,0.10586786270141602,-0.08407747000455856
PrefectHQ__prefect-583,9202ab44cf7de6a465a4b0aa41affa56bc2a9d4d,141,16,125,0.18767650425434113,-0.5368001461029053
PrefectHQ__prefect-583,65f54f4d96f5eb2e1bde4f2d5f2e22c8300f5066,100,66,34,0.2354852557182312,-2.0011000633239746
PrefectHQ__prefect-583,194386448ec5b3e9774a248dbf78c87f2f3fdc38,102,42,60,0.2300846427679062,-1.4833707809448242
PrefectHQ__prefect-583,ffdae7bc8e13b941a153bde8682ceecce0614cfe,118,48,70,0.20672544836997986,-1.5954943895339966
PrefectHQ__prefect-583,fccffc11634eb528484d6b08059d761a3d8c6b34,98,18,80,0.23770341277122498,-0.5927752256393433
PrefectHQ__prefect-583,8cee485308ccba24b799178fad31d88860542ff5,94,29,65,0.2446689009666443,-1.0979652404785156
PrefectHQ__prefect-177,852938b0af0463fea4b7aaf30ccc24a075c3c22b,106,19,87,0.2058904767036438,-0.6019123792648315
PrefectHQ__prefect-177,97ac677cef1b6148cf6e90c3a828d38049dfb3cc,11,11,0,0.40105748176574707,-0.17332834005355835
PrefectHQ__prefect-2609,0ec3a15778d73ea8cc18a033f90cf14c6dd595cc,929,26,903,0.16382980346679688,-2.690713405609131
PrefectHQ__prefect-598,385bde2cec1530ea05af961c05532d5881fd6ed1,19,8,11,0.414156436920166,-0.39994096755981445
PrefectHQ__prefect-598,36f63090a347fcb8ca8b3ec7438c90e8fcfd3e68,61,3,58,0.31276896595954895,-0.1633080393075943
PrefectHQ__prefect-598,cb34acc7547d20b6c26a0619ca709e6a354145b7,194,4,190,0.16024163365364075,-0.23794952034950256
PrefectHQ__prefect-598,940446a9135fa5a7927ce83cf629659273bf048e,104,31,73,0.23674964904785156,-1.5688917636871338
PrefectHQ__prefect-598,2dac0cd38548492f6cb254aacf9e0b4f87d06b3f,131,5,126,0.21662050485610962,-0.2981571853160858
PrefectHQ__prefect-2054,a7526b578546f008e6bbbcf63ea603c51dd07c00,187,30,157,0.41355574131011963,-1.879109263420105
PrefectHQ__prefect-2054,0fb1a1d1de3977205cd1b8cc23e2f39ddc1e0659,303,27,276,0.3654651641845703,-1.825339436531067
PrefectHQ__prefect-2054,503ced0a3cfa8c5a1b661693475df44706fea927,451,25,426,0.30330342054367065,-1.754843831062317
PrefectHQ__prefect-2054,0bb8cd9a314bea254662f8e2d399dcd75681f610,698,22,676,0.1791674792766571,-1.6105479001998901
PrefectHQ__prefect-2054,58b82357e381699b874405c02ac856bec999df5b,327,7,320,0.35685741901397705,-0.2947487235069275
PrefectHQ__prefect-2054,ff94934d5485ef797bcf4a5264d9578eaeb75aa7,240,11,229,0.3945905864238739,-0.8958038091659546
PrefectHQ__prefect-2054,094c055bb6e62681838e1263beb87ef1cabf3e40,372,10,362,0.33495327830314636,-0.553244411945343
PrefectHQ__prefect-2054,b67ca42c21496fd8c6ff76392e34f4209aad328a,621,8,613,0.2112921178340912,-0.4725632071495056
PrefectHQ__prefect-2054,474c138e198005a6617ad082a9d8664dc668dcff,321,28,293,0.3582959771156311,-1.8374468088150024
