bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,68,6,62,0.25714945793151855,-1.170337438583374
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,76,2,74,0.2497703731060028,-1.0646731853485107
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,164,35,129,0.27002716064453125,-1.470268964767456
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,17,20,-3,0.4810100793838501,-1.328615665435791
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,11,9,2,0.573320746421814,-0.9160475730895996
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,14,5,9,0.3605991005897522,-1.1840873956680298
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,15,22,-7,0.3589259386062622,-2.107149124145508
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,70,16,54,0.3204334080219269,-1.285590410232544
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,93,32,61,0.28023844957351685,-1.5397439002990723
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,122,1,121,0.25943443179130554,-1.0492792129516602
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,32,2,30,0.32973164319992065,-1.051313877105713
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,115,20,95,0.36720705032348633,-1.0911638736724854
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,59,1,58,0.3636322021484375,-1.1049697399139404
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,6,4,2,0.6334232091903687,-1.1175719499588013
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,69,32,37,0.4187467098236084,-1.4646985530853271
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,111,47,64,0.22763945162296295,-1.9249157905578613
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,14,15,-1,0.37676578760147095,-1.4343302249908447
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,30,13,17,0.49343669414520264,-1.294449806213379
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,27,17,10,0.2595125436782837,-2.0794901847839355
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,18,1,17,0.3015347719192505,-1.338214635848999
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,14,9,5,0.44513440132141113,-1.2083966732025146
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,6,1,5,0.5782101154327393,-1.00286865234375
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,13,9,4,0.5578809976577759,-1.076614260673523
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,113,15,98,0.38072168827056885,-1.191392421722412
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,3,3,0,0.6056296229362488,-1.0185455083847046
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,41,7,34,0.4992513656616211,-1.0621417760849
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,7,17,-10,0.4226217269897461,-0.6621209979057312
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,2,26,-24,0.4491106867790222,-0.8804376721382141
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,32,10,22,0.48188328742980957,-1.1262181997299194
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,118,92,26,0.3043360114097595,-2.605379819869995
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,53,8,45,0.49532902240753174,-1.1662061214447021
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,52,14,38,0.4750838279724121,-1.1455588340759277
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,132,15,117,0.20182877779006958,-1.3268647193908691
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,142,38,104,0.3234510123729706,-1.7166026830673218
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,18,3,15,0.5899532437324524,-1.1133230924606323
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,20,6,14,0.4839382767677307,-1.2548120021820068
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,16,15,1,0.5734025239944458,-1.2513065338134766
