bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
Qiskit__qiskit-636,02acaa22c51010e623b93ff4843498e388bb3e5e,130,133,-3,0.18594202399253845,-3.339797019958496
Qiskit__qiskit-636,68017e0b9bae0217e3c307dfbf1e55429cab2621,39,2,37,0.2770654559135437,-1.7045927047729492
Qiskit__qiskit-2781,4e907d522414432a4a714b580b912086a234ac19,6,20,-14,0.46213042736053467,-2.298562526702881
Qiskit__qiskit-2781,b7744e6f6e08e6ea4abc66709b741b2799998987,22,5,17,0.42979297041893005,-1.8066476583480835
Qiskit__qiskit-2781,378053e6f08234908688b29a3f47829bac93a850,13,2,11,0.4431241750717163,-1.3782167434692383
Qiskit__qiskit-688,5e7693161dc87f4d0859ecaeab5a981fbc302689,240,26,214,0.290422260761261,-2.561859607696533
Qiskit__qiskit-688,6fad3fcd0a4f40b337e0100ec28fe8d637d83abd,227,15,212,0.2955029010772705,-2.4370081424713135
Qiskit__qiskit-3042,c4abde54f2fa4b282bd46d41ce8aaa3cd86f0f83,92,13,79,0.39617955684661865,-1.9697353839874268
Qiskit__qiskit-3708,a09950f1cf1f8782d0a71cd639b762a87beb93a2,395,49,346,0.21955005824565887,-2.8493001461029053
Qiskit__qiskit-4049,8866416541c315b11e088be8b1f9f28be874f143,505,47,458,0.28717583417892456,-2.4939327239990234
Qiskit__qiskit-877,8a6926a49840438bd3c9b0b4c6d3026d671c0e53,154,25,129,0.20321163535118103,-2.4693007469177246
Qiskit__qiskit-877,02abeaacdcf0e1c87334ab56d8bf1d4d71c70e06,49,3,46,0.28848379850387573,-1.9478203058242798
Qiskit__qiskit-2723,eca1fa7707043ae37edb9275dbd0dbd977ef78fe,97,20,77,0.3921229839324951,-2.1242923736572266
Qiskit__qiskit-4513,7a1cfb6e7adedefcb13a7798ae967755ee54a22e,417,14,403,0.23640157282352448,-2.0891013145446777
Qiskit__qiskit-609,657d0eeadbbe2dec7eafab4cf45671224bea9c21,84,12,72,0.19688650965690613,-1.2177457809448242
Qiskit__qiskit-609,886099544412367b5f6bfee73fa4a0b401b33c13,61,64,-3,0.21714326739311218,-1.8888795375823975
Qiskit__qiskit-609,c4e91147e4a676bdb1bc959115187ebf4efdb279,39,5,34,0.25935518741607666,-0.9365955591201782
Qiskit__qiskit-609,97d50823c94153eb92a3ae7fb012b9679323a585,176,11,165,0.14428991079330444,-1.2171716690063477
Qiskit__qiskit-435,ed8621627c1becf6a930b4b6e72fbc01f7eb3568,224,127,97,0.151773601770401,-3.104872703552246
Qiskit__qiskit-435,adb3f5d811e54dbb3b9f54f95e59fbc20251112c,59,109,-50,0.34717991948127747,-2.993326187133789
Qiskit__qiskit-435,aef20dfbfecbaa6b317e46e56de6b58bdd059724,264,88,176,0.10420305281877518,-2.8444461822509766
Qiskit__qiskit-435,78205378eaac067bb36d68ea7727b68da06264eb,94,24,70,0.28612586855888367,-2.4198484420776367
Qiskit__qiskit-435,98dc55e58957849c0b3ba1b152b33b3269128d12,13,14,-1,0.4552735984325409,-2.2286858558654785
Qiskit__qiskit-435,d63f9954bee6a082fa51b3a5036870ef8e209fd3,249,98,151,0.1250089555978775,-2.923314094543457
Qiskit__qiskit-435,46bdba154d5c00e7bb2546a0e9ebf52e0ecfbdcc,111,43,68,0.2578745484352112,-2.634310722351074
Qiskit__qiskit-435,3e3689565a88d9b75ab957de6f3dd7939e688726,236,89,147,0.14048084616661072,-2.851905345916748
Qiskit__qiskit-435,6a6ea3bc8ae64254c360d6f6e7d096b7879c809f,246,100,146,0.12896966934204102,-2.9409072399139404
