bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
scikit-learn__scikit-learn-10881,289064718bf65d42de11a6f6e2d57e5332b1c35a,172,51,121,0.42453551292419434,-0.7993381023406982
scikit-learn__scikit-learn-10881,26eaeaa029f10923048167d9edc3b71e426051fd,57,84,-27,0.48735618591308594,-0.9410183429718018
scikit-learn__scikit-learn-14450,94c517992e06144b3ae647d064e650f22a9470f4,82,42,40,0.45275139808654785,-0.9044232368469238
scikit-learn__scikit-learn-13864,c89de13c8ff7943f405273286d0ac5095ba8002c,126,18,108,0.3661954700946808,-0.5141398906707764
scikit-learn__scikit-learn-10687,32de16e2f8f27769468d8e8a1c5f7dc107134176,13,16,-3,0.5180132389068604,-0.42249226570129395
scikit-learn__scikit-learn-10982,d9e7d3166b8ff1c6b73508ae3828ff265fe6639a,128,33,95,0.39613640308380127,-0.6276915669441223
scikit-learn__scikit-learn-13467,7715551fb05d80db5c506b07d7e6a10cd79a9b71,131,75,56,0.371929407119751,-0.8173350095748901
scikit-learn__scikit-learn-13828,1ee5213e0fefb3bab6df78f0cb2f1fe67f4229f1,196,29,167,0.40584859251976013,-0.729315996170044
scikit-learn__scikit-learn-14458,da6a01b3ce2f63987f301918964f144a4826bc35,19,53,-34,0.5939521193504333,-0.6034616231918335
scikit-learn__scikit-learn-14458,f528168519500f9129c3ad17d4cb7bc5a3c1ce56,82,51,31,0.5342444181442261,-0.5986615419387817
scikit-learn__scikit-learn-13877,29263157ebd9efb12f8890861d473dd9f83c095d,5,24,-19,0.49571776390075684,-0.6432522535324097
scikit-learn__scikit-learn-14806,71f3a961020f543b775cef306e67dc5e4130f810,150,123,27,0.39598312973976135,-1.3027725219726562
scikit-learn__scikit-learn-13628,fad416a7fc0ffb07a22a11bd7fe006b88c3216c8,686,102,584,0.26345887780189514,-1.2818748950958252
scikit-learn__scikit-learn-13628,434d30a557540419ca5ddb259e60c8e5642f4dea,842,65,777,0.24547477066516876,-0.9336889982223511
scikit-learn__scikit-learn-12860,c36e48cbcacb0a5f0f84218be1618cd65f95b9d9,78,57,21,0.5258562564849854,-0.7642836570739746
scikit-learn__scikit-learn-13536,d1d03656d2a629225d0b76db0377f45a6f54c5c2,151,41,110,0.30402320623397827,-0.6558997631072998
