bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
Qiskit__qiskit-636,02acaa22c51010e623b93ff4843498e388bb3e5e,130,137,-7,0.18594202399253845,-2.207376003265381
Qiskit__qiskit-636,68017e0b9bae0217e3c307dfbf1e55429cab2621,39,1,38,0.2770654559135437,-0.1669004261493683
Qiskit__qiskit-2781,4e907d522414432a4a714b580b912086a234ac19,6,8,-2,0.46213042736053467,-0.8985655903816223
Qiskit__qiskit-2781,b7744e6f6e08e6ea4abc66709b741b2799998987,22,7,15,0.42979297041893005,-0.8340392708778381
Qiskit__qiskit-2781,378053e6f08234908688b29a3f47829bac93a850,13,1,12,0.4431241750717163,-0.6784849166870117
Qiskit__qiskit-688,5e7693161dc87f4d0859ecaeab5a981fbc302689,240,24,216,0.290422260761261,-1.0197367668151855
Qiskit__qiskit-688,6fad3fcd0a4f40b337e0100ec28fe8d637d83abd,227,17,210,0.2955029010772705,-0.8782161474227905
Qiskit__qiskit-3042,c4abde54f2fa4b282bd46d41ce8aaa3cd86f0f83,92,5,87,0.39617955684661865,-0.8202260732650757
Qiskit__qiskit-3708,a09950f1cf1f8782d0a71cd639b762a87beb93a2,395,47,348,0.21955005824565887,-1.407308578491211
Qiskit__qiskit-4049,8866416541c315b11e088be8b1f9f28be874f143,505,39,466,0.28717583417892456,-0.6680566072463989
Qiskit__qiskit-877,8a6926a49840438bd3c9b0b4c6d3026d671c0e53,154,87,67,0.20321163535118103,-1.4579042196273804
Qiskit__qiskit-877,02abeaacdcf0e1c87334ab56d8bf1d4d71c70e06,49,16,33,0.28848379850387573,-0.3150401711463928
Qiskit__qiskit-2723,eca1fa7707043ae37edb9275dbd0dbd977ef78fe,97,19,78,0.3921229839324951,-0.9370652437210083
Qiskit__qiskit-4513,7a1cfb6e7adedefcb13a7798ae967755ee54a22e,417,17,400,0.23640157282352448,-0.6597198247909546
Qiskit__qiskit-609,657d0eeadbbe2dec7eafab4cf45671224bea9c21,84,24,60,0.19688650965690613,-0.6523420810699463
Qiskit__qiskit-609,886099544412367b5f6bfee73fa4a0b401b33c13,61,81,-20,0.21714326739311218,-1.5736548900604248
Qiskit__qiskit-609,c4e91147e4a676bdb1bc959115187ebf4efdb279,39,4,35,0.25935518741607666,-0.3656041622161865
Qiskit__qiskit-609,97d50823c94153eb92a3ae7fb012b9679323a585,176,20,156,0.14428991079330444,-0.5577670931816101
Qiskit__qiskit-435,ed8621627c1becf6a930b4b6e72fbc01f7eb3568,224,151,73,0.151773601770401,-2.5855345726013184
Qiskit__qiskit-435,adb3f5d811e54dbb3b9f54f95e59fbc20251112c,59,77,-18,0.34717991948127747,-1.5595273971557617
Qiskit__qiskit-435,aef20dfbfecbaa6b317e46e56de6b58bdd059724,264,68,196,0.10420305281877518,-1.3875731229782104
Qiskit__qiskit-435,78205378eaac067bb36d68ea7727b68da06264eb,94,26,68,0.28612586855888367,-0.7736567258834839
Qiskit__qiskit-435,98dc55e58957849c0b3ba1b152b33b3269128d12,13,13,0,0.4552735984325409,-0.6229010224342346
Qiskit__qiskit-435,d63f9954bee6a082fa51b3a5036870ef8e209fd3,249,137,112,0.1250089555978775,-2.5066025257110596
Qiskit__qiskit-435,46bdba154d5c00e7bb2546a0e9ebf52e0ecfbdcc,111,32,79,0.2578745484352112,-0.8522675037384033
Qiskit__qiskit-435,3e3689565a88d9b75ab957de6f3dd7939e688726,236,131,105,0.14048084616661072,-2.4540815353393555
Qiskit__qiskit-435,6a6ea3bc8ae64254c360d6f6e7d096b7879c809f,246,146,100,0.12896966934204102,-2.5598459243774414
Qiskit__qiskit-435,2fe10c061dbc46aeaac31161f0f3ab0db1baa386,89,22,67,0.2960522770881653,-0.7388017177581787
Qiskit__qiskit-435,90b238fd5aa64ed175899ff0f9e948f0d6ee6516,67,112,-45,0.32453453540802,-2.161388397216797
Qiskit__qiskit-435,60e9d9aea985db3a3f280c87b3229f7ec8736b26,166,64,102,0.19228984415531158,-1.3727500438690186
Qiskit__qiskit-435,01b1ebb9fee7dc9dae1deab2f92cd26cf3a55eeb,228,95,133,0.14900067448616028,-1.7618740797042847
Qiskit__qiskit-435,d38715b392652a153dc9231046342b2d8407556b,76,19,57,0.308668851852417,-0.6902762651443481
Qiskit__qiskit-435,872361fdea9338aa38559cb8573b2fcf9ba3ca5f,25,76,-51,0.4170587658882141,-1.5498381853103638
Qiskit__qiskit-435,ddc0a5cbba1d00dfcccae18fdff5f2cf55086736,12,3,9,0.465322345495224,-0.4989579916000366
Qiskit__qiskit-435,6b8992d52252c133d7c6c775ee89f63b4e932b6c,55,2,53,0.3560895025730133,-0.48022162914276123
Qiskit__qiskit-435,4634d812e548df30ec80f1e5212eb75d332dbbca,185,27,158,0.17823083698749542,-0.7843503952026367
Qiskit__qiskit-435,6caf12556cb6861a2e37473fad63cdcc6c83748b,305,69,236,0.06004787236452103,-1.3876959085464478
Qiskit__qiskit-435,22c9c0f2cdbb76f89c6b791446ff4eef28b06bae,275,59,216,0.09453961253166199,-1.313922643661499
Qiskit__qiskit-435,f5281d223543150bfae3a0564bb4ced61563ce93,145,110,35,0.21009638905525208,-2.1334285736083984
Qiskit__qiskit-435,622f595e8c5a38562b5c957fa688306097798660,18,65,-47,0.4434596300125122,-1.3765608072280884
Qiskit__qiskit-435,9dba1f56a7df853d80cd121a3319da52cfb512c8,20,7,13,0.42999374866485596,-0.5647563338279724
Qiskit__qiskit-435,b26806c97f6ed75c73f8ff4082b0c2f47f92f43c,106,90,16,0.2642406225204468,-1.6748065948486328
Qiskit__qiskit-435,89d96f912a1d6c05c97cbce86c7818d887412ea9,74,63,11,0.31540703773498535,-1.3608016967773438
Qiskit__qiskit-435,3388c6707801f8f88bbf951aa62a693df93bf7e5,271,67,204,0.10066774487495422,-1.3875418901443481
Qiskit__qiskit-435,dcefd6ff9af3788389d1fd6b252e45586fc112ec,39,16,23,0.38822948932647705,-0.6545019149780273
Qiskit__qiskit-435,d07488f333a0ad312487b6329a15cfbec13beed1,43,1,42,0.38114550709724426,-0.4610774517059326
Qiskit__qiskit-435,c403951fc60814e6d17aae5f0a7a4f61b86dd16e,33,4,29,0.39404162764549255,-0.5244726538658142
Qiskit__qiskit-435,967894387f758d873a82a4dea5458f012acbc99d,186,29,157,0.17768093943595886,-0.8206036686897278
Qiskit__qiskit-435,07b5ee686043072029d362efbe730a0a7eaafe0c,48,41,7,0.3701477348804474,-1.0177035331726074
Qiskit__qiskit-435,1b41b4d622493f3b41fbf69a266fc7d69af63a9d,28,6,22,0.4121006727218628,-0.5583447217941284
Qiskit__qiskit-435,1136091513bf8af437a6da6ebfa61b77fee7fd0b,60,9,51,0.34619784355163574,-0.5878879427909851
Qiskit__qiskit-435,c51acebdb88a94a28272fbfaeefc50191bab2f3b,163,108,55,0.19493165612220764,-2.0916011333465576
Qiskit__qiskit-435,661e81c1d91b98a6628a67cfa320b4818a85120e,107,96,11,0.26346254348754883,-1.779794692993164
Qiskit__qiskit-418,699df09452ac57bcfafdca7c21bb1b00ca4dd878,68,21,47,0.2644649147987366,-0.5995996594429016
Qiskit__qiskit-1281,643e7b0d93d6b44be19b31f3132fcbfbf4947e67,167,30,137,0.26535657048225403,-0.8057233095169067
Qiskit__qiskit-1281,e15de5fbf631968e840d2e629ed845d57f6565f7,185,3,182,0.2562863230705261,-0.18298457562923431
Qiskit__qiskit-1281,a3ca4eb457862ba180f7f5278251e12828eea65f,51,4,47,0.3451923727989197,-0.21085715293884277
