bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
79006,efcadb229ccf1a5791184c2f02d8e69daedee64c,3037,83,2954,0.17213477194309235,-2.126788377761841
79006,73d5a8a51c7d3a356474e32bb27987df5eb3f58b,557,36,521,0.2420581877231598,-2.126788377761841
79006,3731351774dc2cc9947a8dd55a9ce1f516c70c18,40,160,-120,0.3427630364894867,-2.126788377761841
75275,1b4e980e5bb539b0dc26db03cbe599d0c7e5e282,1485,252,1233,0.267151415348053,-2.3956356048583984
70413,f0df17fc3040d6b79862ac2d9d051f3be1b2daad,181,214,-33,0.40264856815338135,-1.8076072931289673
70413,b78b9c4ee16d33d3df97e36141d5d65ea04b9615,50,107,-57,0.4418236017227173,-1.7622613906860352
79432,dc95e8e095766aebcb0ad4e44f65aaec4c3d02e5,4,101,-97,0.5114098787307739,-2.012699604034424
80863,190e84099c19e02aac510548fe245192848fda05,210,13,197,0.3874402642250061,-0.13035979866981506
65325,1b2d9206dae2041f054917985a841c09a59f2aa4,1209,43,1166,0.3801232576370239,-2.179837703704834
69561,18ac8137b25f06f1070d6b0685feb140a1b3ae60,2122,29,2093,0.31160351634025574,-0.892012357711792
66225,74a8aed46b978b92b598135fc04b15c6cc7a4edd,236,73,163,0.460619181394577,-2.0210893154144287
79862,c7a36fad264222d2a5e65cfe9cd61c29f372b157,172,2,170,0.4247751832008362,-0.045215263962745667
70638,a40d219ef2eb00fc3cb837e341fc84161c5944d9,154,34,120,0.4941946268081665,-2.1715829372406006
73983,953c78dce213862fceff87c9a4b5d6cf85126d61,3167,225,2942,0.3067437410354614,-2.977003574371338
82179,93355b5fceff674d3d33220f99d5370667cae99a,1238,39,1199,0.27190810441970825,-1.5793536901474
81188,d17704d31bd1caf0b038ed46238aee068aaa459b,233,33,200,0.4331151843070984,-0.13101859390735626
58282,857d950f28c905da85cb17be01e26684d71df6e4,3305,2,3303,0.150495707988739,-0.09207795560359955
59351,ec74b1b6ed944e883b58aa684be3e282485fd99a,4,223,-219,0.40592971444129944,-3.456442356109619
