bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
docker__compose-5234,1a18c66549d42657635a3e2f01dc424eacb349c3,205,64,141,0.1659640371799469,-1.4813621044158936
docker__compose-5250,1a18c66549d42657635a3e2f01dc424eacb349c3,63,56,7,0.343593955039978,-1.3568894863128662
docker__compose-5250,c8b57edd209f7e2d403ce7a9f45c0e5ec4ea10cd,18,46,-28,0.391231507062912,-0.9899798631668091
docker__compose-5250,d455711ddc98bfad89c0fabef17629ee7d112f2d,40,13,27,0.3675023019313812,-0.5444886684417725
docker__compose-5593,7cea91a2da2a2a69b0ce0c0c95671cf04cc5d5af,189,63,126,0.2562497556209564,-1.4873464107513428
docker__compose-5593,44c7ad91d8ffdf7e00c9f02c089cbc73364e8cad,67,64,3,0.36625152826309204,-1.4939409494400024
docker__compose-2239,1a3b30accc4365f244a1230001799ecda8bf7875,91,27,64,0.2934653162956238,-0.7275448441505432
docker__compose-5566,95e2bf60e5fd029e10f243d7d65ec2fc1e528d2d,195,38,157,0.19899243116378784,-0.9795987606048584
docker__compose-5566,420eb3f09935d19f6c23e2d879d8ab3952730538,22,72,-50,0.3707965314388275,-1.699368953704834
docker__compose-4339,b2654dcfd911aba5b6ae254e28b7e1c2d6d76f76,142,14,128,0.28357404470443726,-0.5574489235877991
docker__compose-5237,face38e6d3311de8d0807752d437ab97856c2880,80,17,63,0.3603493571281433,-0.640884280204773
docker__compose-2361,f0478203bb122696e329e0199ac1cc8647cbdf3c,133,42,91,0.20864742994308472,-1.323012113571167
docker__compose-2361,11aeac38c20f0dedb43b57fc91e4b2041ab92e8b,68,9,59,0.32886677980422974,-0.514691948890686
docker__compose-2361,f286195406737100a0be88a67a4e60e57ccf5c19,113,51,62,0.23994378745555878,-1.7895965576171875
docker__compose-2360,11aeac38c20f0dedb43b57fc91e4b2041ab92e8b,35,37,-2,0.3085033893585205,-1.1587320566177368
docker__compose-6342,a7f2aa05720d50bfc3eef62d5fd95a51975735fc,250,60,190,0.09627947211265564,-1.3281246423721313
docker__compose-2527,853157ee89f2b8c3644d21a63aea67dd9e022db3,73,31,42,0.2776445150375366,-0.9043229222297668
docker__compose-6388,22dafdb223cb2f65db8ffd1cd7052a00c8265e98,77,1,76,0.3446723520755768,-0.3797752261161804
docker__compose-7027,1fa8a17a23339aa3d7200e5eae9c1f6a6de79cd2,213,33,180,0.13624201714992523,-0.7842625975608826
docker__compose-2000,dc630adf279618d7c886a03965beab10020f7a12,66,50,16,0.2888575792312622,-1.6903687715530396
docker__compose-4528,023efa274838ab14ecb722d5ae594f955dadb3d9,133,60,73,0.2899485230445862,-1.488405704498291
docker__compose-3052,850af31c90ea9451477fd4386b9cd8ba7cd67e9d,202,20,182,0.11280059814453125,-0.6321280598640442
docker__compose-5699,fd7f92a81f7bd306fcf1f9c18781da06492f716a,73,19,54,0.3433549702167511,-0.7496501803398132
docker__compose-5634,a581ae67285b7e32f3a92144326a7c8fb16b8df4,128,62,66,0.193630188703537,-1.473694920539856
docker__compose-4635,020354283f6fab5bde277498ca980ccfe0a34e52,93,64,29,0.3346630334854126,-1.4579691886901855
docker__compose-4635,7cf71eb98bd7f428329082794f2487724156e1df,201,35,166,0.14728794991970062,-0.9235081076622009
docker__compose-4635,3f23f0a7aea84689b007a8444510d17448717730,148,67,81,0.26369956135749817,-1.6139616966247559
docker__compose-4635,51ba36a094bcb68300639eb0675980f172aa8414,34,27,7,0.4046371877193451,-0.7591190934181213
docker__compose-4635,854cc79954d252e9cb18bf44df54db7cca1db04c,200,40,160,0.1479789763689041,-0.9780049324035645
docker__compose-4635,4c9cf423bb44435d7ad7a434aa812a57ea98306b,111,21,90,0.3166879415512085,-0.6592566967010498
docker__compose-4635,d98f68d2fb7ae75484c2a33a978b300874028e41,94,17,77,0.33390551805496216,-0.6335830688476562
docker__compose-4635,0330ab80f20aa86cb70c767550815b1aa4fe843d,60,52,8,0.3721192181110382,-1.1769658327102661
docker__compose-4635,68a0598e12820642f5307fbaebedf80c431b834e,132,53,79,0.2842710018157959,-1.1968159675598145
docker__compose-4635,580bd1b073df19fb9026a751c62bb89e15587f06,175,60,115,0.22084291279315948,-1.3725634813308716
docker__compose-4635,9f2fc68b43c0c3bd20db7890a46ad6fe1ffeb7d1,136,69,67,0.28073424100875854,-1.7961673736572266
docker__compose-4635,5f580645910e578e0c341d419f53c1a2455734c0,129,18,111,0.2882646322250366,-0.647337019443512
docker__compose-4635,299ddea465caeb1db98691102bb76bc167613526,204,20,184,0.11429764330387115,-0.6551740169525146
docker__compose-4635,e694dbdae53e85fa1109e47b8249b3a1694ee5db,174,55,119,0.22089356184005737,-1.2311491966247559
docker__compose-4635,46d283f080cbeda2b33a66a184fb9b43cc50b8d3,207,43,164,0.10900908708572388,-1.0462100505828857
docker__compose-4635,5b97709556866b7e6508ae5ad874354e8f36c50f,133,48,85,0.2834171652793884,-1.0875794887542725
docker__compose-4635,e495410cff8886f8bdf37b8f5e082b431f2bbf47,105,11,94,0.325885534286499,-0.5059844851493835
docker__compose-4635,16ed01b861400459da9301212e6f698c96e047c9,124,5,119,0.2990992069244385,-0.41226470470428467
docker__compose-4635,811e6c1fc37000d929a13e3401966f0ea164141c,205,28,177,0.11120069026947021,-0.7816848754882812
docker__compose-4635,a66471983ecebd6954d9117bdc0ae4f1dc24fb97,45,4,41,0.3909507989883423,-0.4122583866119385
docker__compose-2348,c8fddc5f162cf326472f7416ab52b4414843121c,64,157,-93,0.2217136025428772,-1.961350917816162
docker__compose-7787,55e8c2757db41c61cfaf767f5f2cc0c36df95ac0,197,45,152,0.1902092546224594,-1.0279614925384521
docker__compose-7787,2d9493a0362ea5c6cec01be41b4c838eff0d3c96,239,33,206,0.14183345437049866,-0.8717879056930542
docker__compose-3006,2713fd32bf25a0db975d9593a68129c5e5a0c1eb,189,6,183,0.1157212182879448,-0.34728527069091797
docker__compose-3006,deb1e9121cdd11f7dab583854dd760d56e05df83,27,36,-9,0.39987629652023315,-0.855599045753479
docker__compose-3006,82a78f3b53ad97a2b1fea71f00deee64da604630,181,23,158,0.1317964643239975,-0.6417975425720215
docker__compose-3006,e1c781fec67ea0fcf486822c77c3080e4ef4e3b1,202,9,193,0.073208287358284,-0.43982863426208496
docker__compose-3006,0e307835ca973e5d7671175a0cd33a02e63a4632,175,51,124,0.14123716950416565,-1.195375680923462
