bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
9408,1309b8da3bda7689ebfb531aec6f4e1c6c07fcd0,607,53,554,0.35441040992736816,-2.319387435913086
4227,06df9c9b071f0673ad2192905554cdf4cb4dece2,48,104,-56,0.3141869306564331,-2.0852608680725098
4227,85cdd65c9978599269aedf76f19ee704d8fc49b5,9,42,-33,0.3690893054008484,-1.2486329078674316
5048,53daa8dc3bc9485782cdc31d93c5d135295d0327,426,43,383,0.18759077787399292,-1.4568755626678467
5048,da48ca1f237a861f39bc94fac99b74ce4c7c4f21,408,214,194,0.2029809206724167,-3.5240304470062256
5048,11a96dece538c91e4b11ebf1740d207964211e94,168,81,87,0.32361501455307007,-2.0988845825195312
1877,e12dafda2ef3ed81c6865eb35578d5d43c6fd3ca,46,7,39,0.31176242232322693,-0.9283793568611145
1877,90069aa6f833e92972bc3f3a2f3f7c7bc8ef52f9,41,10,31,0.3299582898616791,-0.9502893686294556
5604,e9c966d567e6fafb99fa9e4d5ccbab1370de0ea6,495,117,378,0.21722345054149628,-1.995030403137207
5604,660132e43c955caccc2a4681f5780f1d561d35c6,509,8,501,0.21092155575752258,-1.9474077224731445
8183,351735b7dbfdeb60752146e7745060c637b2bbea,48,2,46,0.3842071294784546,-0.5086479783058167
2285,298f56fce77ed465b65fd0eb979ae3edb3abb6aa,15,11,4,0.43972888588905334,-0.8682459592819214
2285,5a73766b0f1927dad2fa697a080cf6ecaf33b674,5,139,-134,0.49406638741493225,-3.428020477294922
2285,bd8f0adccb72173d51cad153367cb14cc256e171,12,1,11,0.4521717429161072,-0.7254549264907837
2285,a99a0a93fe3654ef8a615cbf389e47446e6038ca,54,7,47,0.3780694603919983,-0.829339861869812
1066,9e31f99797988e098b0f89d72ddbc84d90d42c01,79,101,-22,0.3003959655761719,-3.686433792114258
1066,85dfc43b9c7052eee4a5f24e83fda32de7ae3238,168,41,127,0.1496860384941101,-2.195923328399658
1066,392a0e16a3ad7a36e19af38103e0f36289e866a3,4,86,-82,0.47001388669013977,-3.686433792114258
1066,1eb59a51f9092e4c00313c8642301922655acd2c,185,6,179,0.10040503740310669,-0.8808696269989014
1066,56dc16a97192a1ffedc9935f35c1aa8fcc37e1d9,139,82,57,0.1950349360704422,-3.6864335536956787
1066,e1a07cdcbf4f82c61f1cd644db65cd4f281c593e,6,83,-77,0.4428783655166626,-3.6864335536956787
1066,fef365f9fbf955b365ff8bc15f9de9631720a4c0,5,165,-160,0.46769967675209045,-3.686434030532837
1066,6f887a30ca51b1b9c3224dc75409bf02dbcf5866,1,77,-76,0.6237590312957764,-3.6864335536956787
1066,64665a874d38ff6e17d394d38cc26e03e0201f44,144,9,135,0.18998831510543823,-1.0336410999298096
1066,4e4c0c847e972f21251c6e5c284e43b5d3a71904,120,43,77,0.2319931834936142,-2.2229151725769043
1066,d07675afef0882cb958c96b81af6f15724c24ca5,47,114,-67,0.3416762053966522,-3.686433792114258
1066,7169a1b4f95d7e47ec4d0fdc56c80f17bf5fdb6a,105,50,55,0.256318062543869,-2.7693593502044678
1066,ff63d01fdc1edd0624a2f0e8e30800c495f9556f,161,7,154,0.1575174182653427,-0.9476983547210693
1215,1518a5ecb0fb04a7d4411b550ea9cdcf0cfd6859,204,49,155,0.08488467335700989,-2.2590160369873047
1215,ae8ece62a7aac37e21cdf4adc1564823171b6f9e,113,2,111,0.18574893474578857,-0.8130391836166382
1215,01c98d109bc239187ae66072d71a6c9914cf68e0,40,17,23,0.31705600023269653,-1.3304945230484009
7993,0ec2558d05bee7246d8e728bb8d1d231689b305f,610,3,607,0.28391313552856445,-0.6856027245521545
1417,61879a83fed58135ef9b15ae3fa8c7cd71d9694c,147,2,145,0.15552851557731628,-1.812106966972351
