bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
mesonbuild__meson-1028,2861bb6c99de8e22704a256255b569fafdc9a7fa,34,273,-239,0.3673328161239624,-2.5662224292755127
mesonbuild__meson-4623,f21e73a31c93b97cf2cec906e90c608ea705bd8e,2223,286,1937,0.11402510106563568,-2.646481990814209
mesonbuild__meson-6398,669c8ffeaf1bcbce6f005890fc9e96e447c86ddf,30,270,-240,0.48917317390441895,-2.647697925567627
mesonbuild__meson-7791,4b48e31463d92f6b3a32d537d45ae9f53d455551,160,283,-123,0.42856863141059875,-2.130793809890747
mesonbuild__meson-297,d66aa1f3288157cf53028c34c662baefebe28f60,604,284,320,0.20957541465759277,-2.948542356491089
mesonbuild__meson-2995,2032e05ee805f53c1c96a0eeeccc3b0b6da753ba,147,273,-126,0.2602950632572174,-2.4610142707824707
mesonbuild__meson-10803,ea8b849d1830a16302ec296cdeeb7b40da35f345,442,278,164,0.3657548725605011,-2.7441470623016357
mesonbuild__meson-490,4f55be444806573b58f20113d5845d8b80d123bf,92,272,-180,0.3348325490951538,-2.533405303955078
mesonbuild__meson-3499,41ede1d5e0ee35e2d86ab2eda171475f70e79c7d,890,272,618,0.3719123899936676,-2.405261278152466
mesonbuild__meson-9202,c6a699436a961674e019e29a7a4c3b37f1facae6,153,265,-112,0.34447646141052246,-2.289069175720215
mesonbuild__meson-6288,ec270d7b99fa181192ea7a720714f8aab38b3b3e,2164,279,1885,0.28251612186431885,-2.368861198425293
mesonbuild__meson-7798,a6cfd5bf259c564fca03012784848c735c2c80d9,1045,284,761,0.257763147354126,-2.6252779960632324
mesonbuild__meson-4349,8c6c60ecda47fc32ee43432cb1511bd530a946c6,88,274,-186,0.4709705114364624,-2.4612889289855957
mesonbuild__meson-4349,ee80a87b6fdb4b69a5cd75be866c6269e67a0587,68,287,-219,0.49009060859680176,-2.631711959838867
mesonbuild__meson-8611,959446063c4536545c0fc9e3e2f111c9aa04eab3,460,263,197,0.3045024275779724,-2.2195355892181396
mesonbuild__meson-11631,5718004a182829df0d1c613edb6edf0cb0c6912d,61,258,-197,0.47169333696365356,-2.4050087928771973
mesonbuild__meson-1516,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,30,125,-95,0.4269651770591736,-1.8117079734802246
mesonbuild__meson-1516,b1efc134f0bf0bd62d15ab29475f28a4a8fa38bd,125,275,-150,0.32464343309402466,-2.902008533477783
mesonbuild__meson-6139,6be2c449274d7b8fae1059e7421b787de444044d,1930,218,1712,0.15338164567947388,-1.9747658967971802
mesonbuild__meson-6139,8b19b6daf210f12e153d837ab3894cb1f7fad012,17,226,-209,0.36556702852249146,-2.156783103942871
mesonbuild__meson-6139,80cc0270023b6f7c477e3ef9f01e621cfa2f0524,362,223,139,0.2425486147403717,-2.103541374206543
mesonbuild__meson-5292,b107a25b1d95e79f5982e21b81d1dd48828548dd,25,255,-230,0.4929445683956146,-2.667844295501709
mesonbuild__meson-5292,a75c0b7c2e7457af2f1eedad2f7da00d23860c6a,163,293,-130,0.4094644784927368,-3.1852612495422363
mesonbuild__meson-5292,650d1e06c6c8f312b0cfc712c210305d7947c967,189,279,-90,0.3972483277320862,-2.891239643096924
mesonbuild__meson-5193,b5f48bd892c0ab3280e231c8bcdf9732ed29ad38,407,271,136,0.2832852303981781,-2.3279213905334473
mesonbuild__meson-5243,119c1c2b94e7c1422b89e4a4c5edc871d34ed643,1320,275,1045,0.30651038885116577,-2.876100540161133
mesonbuild__meson-5243,739f6e771484a29b262d237469d890cea1202f0b,60,245,-185,0.45160627365112305,-2.6566038131713867
mesonbuild__meson-10747,bbf31ad11cf8ce8ca9f2eac04dac118defb69ec3,182,228,-46,0.3468618094921112,-2.02492094039917
mesonbuild__meson-1039,1505807f19367ac40a1c6d067b9d5f38900b9690,1,259,-258,0.6326920986175537,-2.5670413970947266
mesonbuild__meson-2815,c16d7a84004137b19a3b6255bb1598b654f6022a,345,263,82,0.37733790278434753,-1.5729999542236328
mesonbuild__meson-11181,0c4690b4782f8dc103e9ab5eaaba9837afc8f169,25,270,-245,0.5205838680267334,-2.2590198516845703
mesonbuild__meson-3093,a65f15db6784f811d96a8aee9554a5417e58869a,17,273,-256,0.4817763566970825,-1.4250606298446655
mesonbuild__meson-3093,11fa80d31a39e1b9c1c82973f939d6c95283c43b,1573,275,1298,0.3102305233478546,-1.4519810676574707
mesonbuild__meson-934,7f7ab43ff13647def6cfbb60d524cc75cc0c178d,825,258,567,0.3028768002986908,-2.225341320037842
mesonbuild__meson-6132,a22e8d4ecdaff17d92f23e5fd74d7d88f619e9bf,25,262,-237,0.4851487874984741,-2.670665979385376
mesonbuild__meson-3894,7ed97b2bb36475ab3834b690d1f90c204db1acf5,37,285,-248,0.47874435782432556,-2.7943713665008545
mesonbuild__meson-3894,ace0693383ab637ac3c33bf3a9774f74bcb2bfa5,25,283,-258,0.5075567960739136,-2.757868528366089
mesonbuild__meson-3894,b8ae399aed57d7c2c938cf4aa30a478a99fd1757,34,270,-236,0.48284634947776794,-2.6179332733154297
mesonbuild__meson-3894,17f92400f02fb6ed815fbcb369e84e44738f9cfe,22,272,-250,0.5169621706008911,-2.640862464904785
mesonbuild__meson-3894,5648a6f46fe03f5323a7087b53c37044c90ebf99,127,276,-149,0.40008416771888733,-2.6883654594421387
mesonbuild__meson-225,9e3a782494f2e10e72b9a94d90e1ab5fba6c790c,444,285,159,0.15998739004135132,-3.067275047302246
mesonbuild__meson-225,6906d31c960b3bb14602be73132cc1a4f74cc08c,137,278,-141,0.2380983829498291,-2.896493434906006
mesonbuild__meson-225,1aea4542db9fba979e7c5a18a85cb5f2e0438724,245,252,-7,0.20054619014263153,-2.4449822902679443
mesonbuild__meson-1068,7c4fb1d94a0bd17e2fd45aa1f42b0ed7e688139c,807,257,550,0.2597580850124359,-2.4336342811584473
mesonbuild__meson-9546,ea5ab8efa44a7817e0277f37ee00c91d419a78cb,203,242,-39,0.3231913447380066,-2.3541626930236816
mesonbuild__meson-661,5201be2f63c89f6882746272a0f9eb0e482e5493,684,261,423,0.2222222536802292,-2.3935546875
mesonbuild__meson-5553,54535ff52fb151d8e049ab10d222623c732d7827,25,267,-242,0.35664841532707214,-2.519166946411133
mesonbuild__meson-8071,589945c511ff83b1014df28cd0f69d03c4af97aa,12,270,-258,0.4854612350463867,-2.675834894180298
mesonbuild__meson-8071,faac0edec515442639f086cfa5afa7da32d0265d,2,266,-264,0.521499752998352,-2.6660265922546387
mesonbuild__meson-428,70486dc6d0e021db3266ac09cfbd458d2e9e6758,212,267,-55,0.3515602946281433,-2.210385322570801
mesonbuild__meson-3573,a1dbac821131138fe1209fbb2db9217f4deadb66,506,245,261,0.308675616979599,-2.498485565185547
