bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
PrefectHQ__prefect-1525,dc18e97fcfedda802d07970715b01027b9cc9992,466,262,204,0.22965513169765472,-1.5649746656417847
PrefectHQ__prefect-134,45a64b879d0a4d6936128f56ee9f4b2693b231c2,55,33,22,0.18243643641471863,-1.3799314498901367
PrefectHQ__prefect-2031,bb2692f0a5b976db136fa87772f2a20abb76b785,172,259,-87,0.41719287633895874,-1.6473153829574585
PrefectHQ__prefect-578,6324e8280460e370a3cc972b903288f5744be300,146,227,-81,0.18289092183113098,-2.2766542434692383
PrefectHQ__prefect-746,ea900763cf93d948753aeace014bc5509a31ccdf,263,213,50,0.1443740278482437,-1.8834545612335205
PrefectHQ__prefect-746,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,188,116,72,0.20110675692558289,-0.9688004851341248
PrefectHQ__prefect-746,29664b85ddc06e9ea2bd2aaaa488b66307efb06f,117,123,-6,0.2644937038421631,-1.1737686395645142
PrefectHQ__prefect-746,6084f00c0ac8545c6a79803907d7afb200271b70,264,222,42,0.14366436004638672,-1.9148216247558594
PrefectHQ__prefect-746,cc936393d42bfed98dfe595635664d2e4fc464d8,252,208,44,0.1492641717195511,-1.8105682134628296
PrefectHQ__prefect-158,8cbc80eb56cfaf9beb898088ef1edc1075015f78,75,83,-8,0.30684006214141846,-1.3300566673278809
PrefectHQ__prefect-158,682fb497b5386ea42d1e00acde4b9a2949489b16,40,94,-54,0.37851208448410034,-1.5179473161697388
PrefectHQ__prefect-158,5b49bc6cd8dfb8332e8ae401c3bb866c136e8f8d,56,106,-50,0.3474847674369812,-1.6706016063690186
PrefectHQ__prefect-158,07450a943cdaf82a572fbf08df51182ff374d4f1,106,51,55,0.21556700766086578,-0.8928576707839966
PrefectHQ__prefect-158,62c6d4c28e7ba25ebcab26d73f0b3e99fa0a1120,74,52,22,0.308354914188385,-0.912720799446106
PrefectHQ__prefect-312,a275962f7b88f81f7ccb6e421ef28457c23014d4,22,96,-74,0.4251761734485626,-1.4016410112380981
