bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
Qiskit__qiskit-636,02acaa22c51010e623b93ff4843498e388bb3e5e,130,25,105,0.18594202399253845,-1.1742780208587646
Qiskit__qiskit-636,68017e0b9bae0217e3c307dfbf1e55429cab2621,39,44,-5,0.2770654559135437,-1.346367359161377
Qiskit__qiskit-2781,4e907d522414432a4a714b580b912086a234ac19,6,193,-187,0.46213042736053467,-1.3373222351074219
Qiskit__qiskit-2781,378053e6f08234908688b29a3f47829bac93a850,13,180,-167,0.4431241750717163,-1.273787498474121
Qiskit__qiskit-2781,b7744e6f6e08e6ea4abc66709b741b2799998987,22,213,-191,0.42979297041893005,-1.426496982574463
Qiskit__qiskit-688,5e7693161dc87f4d0859ecaeab5a981fbc302689,240,275,-35,0.290422260761261,-2.209829330444336
Qiskit__qiskit-688,6fad3fcd0a4f40b337e0100ec28fe8d637d83abd,227,178,49,0.2955029010772705,-1.5690497159957886
Qiskit__qiskit-3042,c4abde54f2fa4b282bd46d41ce8aaa3cd86f0f83,92,286,-194,0.39617955684661865,-2.217519760131836
Qiskit__qiskit-3708,a09950f1cf1f8782d0a71cd639b762a87beb93a2,395,230,165,0.21955005824565887,-1.6206923723220825
Qiskit__qiskit-4049,8866416541c315b11e088be8b1f9f28be874f143,505,4,501,0.28717583417892456,-0.8461592197418213
Qiskit__qiskit-877,02abeaacdcf0e1c87334ab56d8bf1d4d71c70e06,49,245,-196,0.28848379850387573,-1.8414671421051025
Qiskit__qiskit-877,8a6926a49840438bd3c9b0b4c6d3026d671c0e53,154,191,-37,0.20321163535118103,-1.4733842611312866
Qiskit__qiskit-2723,eca1fa7707043ae37edb9275dbd0dbd977ef78fe,97,210,-113,0.3921229839324951,-1.7690789699554443
Qiskit__qiskit-4513,7a1cfb6e7adedefcb13a7798ae967755ee54a22e,417,233,184,0.23640157282352448,-1.4940763711929321
Qiskit__qiskit-609,c4e91147e4a676bdb1bc959115187ebf4efdb279,39,146,-107,0.25935518741607666,-1.32785165309906
Qiskit__qiskit-609,886099544412367b5f6bfee73fa4a0b401b33c13,61,37,24,0.21714326739311218,-1.2211391925811768
Qiskit__qiskit-609,657d0eeadbbe2dec7eafab4cf45671224bea9c21,84,293,-209,0.19688650965690613,-2.28183650970459
Qiskit__qiskit-609,97d50823c94153eb92a3ae7fb012b9679323a585,176,18,158,0.14428991079330444,-1.0308815240859985
Qiskit__qiskit-435,60e9d9aea985db3a3f280c87b3229f7ec8736b26,166,184,-18,0.19228984415531158,-1.6707350015640259
Qiskit__qiskit-435,78205378eaac067bb36d68ea7727b68da06264eb,94,224,-130,0.28612586855888367,-1.8212398290634155
Qiskit__qiskit-435,4634d812e548df30ec80f1e5212eb75d332dbbca,185,165,20,0.17823083698749542,-1.578555703163147
Qiskit__qiskit-435,f5281d223543150bfae3a0564bb4ced61563ce93,145,133,12,0.21009638905525208,-1.412293553352356
Qiskit__qiskit-435,d63f9954bee6a082fa51b3a5036870ef8e209fd3,249,12,237,0.1250089555978775,-0.983119547367096
