bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,182,671,0.14771632850170135,-1.110893726348877
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,5,15,0.3963468670845032,-2.1286349296569824
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,4,25,0.3430691659450531,-2.0383903980255127
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,200,371,0.2693433165550232,-2.102806806564331
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,227,274,0.3198379874229431,-2.2287142276763916
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,245,952,0.2673693001270294,-1.3239736557006836
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,130,3,127,0.266759991645813,-1.0936791896820068
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,278,291,-13,0.20784816145896912,-2.157336711883545
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,606,238,368,0.10914197564125061,-3.1830191612243652
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,463,168,295,0.2399817258119583,-2.583399772644043
jupyterlab__jupyterlab-9390,2b832a1977dfa6766af5626a61fcef5d0f99fd49,1144,204,940,0.22484806180000305,-2.580216884613037
jupyterlab__jupyterlab-3107,656fc38fefabcc786ca041756d0c8b5dd8141f3e,856,191,665,0.1137249544262886,-2.2225449085235596
jupyterlab__jupyterlab-7723,0de688edaac853a931d3b76baba72ce0097d5b62,345,233,112,0.3776922821998596,-2.546341896057129
jupyterlab__jupyterlab-2409,6b0ced67b0e8d97f587e6bf3d6fe98c10af50820,630,245,385,0.09562452137470245,-2.006817579269409
jupyterlab__jupyterlab-2215,eb5079b6741359e9ebda17d938d09c52e50ef63e,476,276,200,0.24792376160621643,-2.009150743484497
jupyterlab__jupyterlab-3127,0cf5ecbfafbeb2b77335e555c9117bb6ca0a4f97,69,214,-145,0.315201997756958,-2.550205945968628
jupyterlab__jupyterlab-6451,6044127f84d5ccf60cec1869a526c823962b830d,111,244,-133,0.419683039188385,-2.9795784950256348
jupyterlab__jupyterlab-12680,2f543d15e32f57214c3413ebab74ff89bb52810e,1202,199,1003,0.3959032893180847,-2.8242359161376953
jupyterlab__jupyterlab-2038,c57a9eee02105f3d8e8ca55de8a096d13b536b82,36,262,-226,0.4235003590583801,-2.442363977432251
jupyterlab__jupyterlab-2759,5e52c5e802fa0b77ee65bfbe892a08244aef58fd,565,218,347,0.18377362191677094,-2.6931464672088623
jupyterlab__jupyterlab-2759,4f216705a888de6e3cf0b972fd731c4a4749c446,707,271,436,0.11360681056976318,-3.2148990631103516
jupyterlab__jupyterlab-4920,0ea7d024bb5f0fb8898ee5e7532de4ba7af50121,308,198,110,0.28752046823501587,-1.9271234273910522
jupyterlab__jupyterlab-8779,7e00504041a5dab0947321cf05751c1ca46cba2f,891,1,890,0.3630986213684082,-0.9457036256790161
