bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-5398,c14d2e3575ee953b15008ea439710c1222fe6d9e,51,103,-52,0.4577304720878601,-1.6912344694137573
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,161,69,92,0.44937413930892944,-1.1969826221466064
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,334,63,271,0.3572928309440613,-2.2726759910583496
numpy__numpy-8646,3bbee0258bfc1a9739ab24fb3a259cb471a5f6da,237,243,-6,0.20039066672325134,-1.7847323417663574
numpy__numpy-23010,ca07bd180c0ea0c3f22282e10ba0ddde6cbba65a,939,85,854,0.3255554735660553,-2.0749058723449707
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,187,22,165,0.3959144353866577,-0.9289696216583252
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,176,70,106,0.3479723334312439,-1.327371597290039
numpy__numpy-21187,5bc9113af1be4393edfb2c93ffc4361e438a89de,170,57,113,0.4889765679836273,-1.8270447254180908
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,420,295,125,0.22152678668498993,-3.0110156536102295
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,333,299,34,0.24177685379981995,-3.1895031929016113
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,451,296,155,0.2150825560092926,-3.056079626083374
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,290,297,-7,0.25333237648010254,-3.1558990478515625
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,241,122,119,0.2689283788204193,-2.7446348667144775
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,685,75,610,0.16178598999977112,-1.214097261428833
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,92,64,28,0.3880200982093811,-1.0702728033065796
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,340,298,42,0.24108175933361053,-3.1695055961608887
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,81,54,27,0.5857214331626892,-0.9934167265892029
numpy__numpy-17636,dcf60ada9297180308729db7ccc23c416f86f0f9,774,31,743,0.23956072330474854,-1.1836183071136475
numpy__numpy-11813,d31d8a9398b518012e3517bc4240844732b16cf2,215,59,156,0.3841315805912018,-1.1087980270385742
