bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-5398,c14d2e3575ee953b15008ea439710c1222fe6d9e,51,2,49,0.4577304720878601,-0.6424369812011719
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,161,24,137,0.44937413930892944,-0.8041074275970459
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,334,1,333,0.3572928309440613,-0.27135106921195984
numpy__numpy-8646,3bbee0258bfc1a9739ab24fb3a259cb471a5f6da,237,22,215,0.20039066672325134,-1.2151566743850708
numpy__numpy-23010,ca07bd180c0ea0c3f22282e10ba0ddde6cbba65a,939,78,861,0.3255554735660553,-3.158473491668701
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,187,3,184,0.3959144353866577,-0.49818164110183716
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,176,32,144,0.3479723334312439,-1.187950611114502
numpy__numpy-21187,5bc9113af1be4393edfb2c93ffc4361e438a89de,170,16,154,0.4889765679836273,-1.0771994590759277
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,420,13,407,0.22152678668498993,-1.0436633825302124
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,333,19,314,0.24177685379981995,-1.1207845211029053
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,451,12,439,0.2150825560092926,-1.0193167924880981
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,290,16,274,0.25333237648010254,-1.068512201309204
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,241,15,226,0.2689283788204193,-1.0614995956420898
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,685,33,652,0.16178598999977112,-1.4575846195220947
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,92,22,70,0.3880200982093811,-1.2759063243865967
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,340,20,320,0.24108175933361053,-1.1221156120300293
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,81,25,56,0.5857214331626892,-1.0987985134124756
numpy__numpy-17636,dcf60ada9297180308729db7ccc23c416f86f0f9,774,13,761,0.23956072330474854,-0.7962192296981812
numpy__numpy-11813,d31d8a9398b518012e3517bc4240844732b16cf2,215,9,206,0.3841315805912018,-0.4124358892440796
numpy__numpy-18911,aea9835c78e2653460204fe33503d3011a746d1e,13,7,6,0.5509213209152222,-0.02645125798881054
numpy__numpy-19775,fd229dbef8f92d18d7627ce53a69f3fb97335e83,726,33,693,0.25048428773880005,-2.6261391639709473
numpy__numpy-9054,01741cd1afb6b2f27e92f70294d561c1af465fe6,176,12,164,0.33351635932922363,-0.7983536720275879
numpy__numpy-5490,1b3d75db6e3ecd88d0dbaa0705ae21088334c8af,173,7,166,0.3148643672466278,-0.6864086389541626
numpy__numpy-11358,630767dc5347df4ba4b191ae2a7bfea8d7d8ab58,142,13,129,0.4064846634864807,-0.928709864616394
numpy__numpy-11427,b7d9c4406709e5069ca573ccd10384e2475b4a15,147,32,115,0.41295453906059265,-1.2191181182861328
numpy__numpy-6660,d95a362ca6bc0b2ee6cff3ba8870b621118da6e1,398,34,364,0.19482223689556122,-1.2206707000732422
numpy__numpy-6660,a6e4a8dac3b03d75c01de8fa208bbe2c7bb128e8,193,2,191,0.24245381355285645,-0.4183429479598999
numpy__numpy-13242,6dd6982dfe6a93d2319ea3f5a342e432d26a528a,127,4,123,0.3919360935688019,-0.5587741136550903
numpy__numpy-5489,bedd0e941f2fa7b9df550240f3eaa828db370241,224,2,222,0.32121604681015015,-0.47301289439201355
numpy__numpy-4677,fe3c037890d1c2fdee67546f02de334e5742dab9,35,31,4,0.5623547434806824,-0.08439868688583374
numpy__numpy-3281,de8606167e11e7fd925819906f988194789714e7,289,6,283,0.2629426121711731,-0.10722050815820694
numpy__numpy-3281,b68a79b642a394ff71130c3ebd66492892749d15,578,90,488,0.19236832857131958,-1.338706612586975
numpy__numpy-3281,4e00b1cbc551ffed6b7512da17fce3c9cc3243cb,694,9,685,0.15563654899597168,-0.15887565910816193
numpy__numpy-3281,5811be876962a5a288d02ed4a568d7af0db197e3,709,77,632,0.15115411579608917,-1.199171543121338
numpy__numpy-3281,ba89637eb50e3fd665f6152701c482d1ad05f981,186,1,185,0.29150283336639404,-0.04484785720705986
numpy__numpy-3281,775929fa177787047e25ea3da9eeaf5cb3d7f184,613,92,521,0.1818132847547531,-1.3580710887908936
numpy__numpy-3281,4e4d94cd68a6f024a8e92d1ec051ee563f0a3e6b,696,58,638,0.15529532730579376,-0.9429800510406494
numpy__numpy-3281,57ab3ce78348a00021169a1c3ce77225aa706c79,388,51,337,0.2406921088695526,-0.8223642706871033
numpy__numpy-3281,af59d687eb82f7f07ee1c53ad80ce7d1cc124c9b,607,19,588,0.18449461460113525,-0.28870490193367004
numpy__numpy-3281,a76401ac92a75756a6ffc8dbc6bfef47f91c3ba7,776,22,754,0.12693403661251068,-0.31914767622947693
numpy__numpy-3281,a16a07d591f201872817a7f40298270b979571e0,692,39,653,0.15656974911689758,-0.6294237375259399
numpy__numpy-3281,98f58e33326d024e026bba40fee5a5dfa4458254,720,29,691,0.14840170741081238,-0.4294564127922058
numpy__numpy-3281,5d6bea3ca9aae493aa6b9496e067141954209fd9,447,54,393,0.22957786917686462,-0.855207085609436
numpy__numpy-3281,3f91046d2fda754fdecce9277098acc2e7bbd38c,225,2,223,0.279278039932251,-0.05634332448244095
numpy__numpy-3281,6e0cfcddb79d1dd7c26a88fbfa80f1af5665cb2f,440,21,419,0.23072083294391632,-0.31043922901153564
numpy__numpy-3281,d1084b75eeb7fd54f4b21ecc8eac0dc6e4c849bb,148,101,47,0.31506073474884033,-1.5387377738952637
numpy__numpy-3281,4c5b7e9fc970efb333b1145b036cb70451db2b25,87,57,30,0.3683512806892395,-0.9095092415809631
numpy__numpy-7260,f3d30d15c44122411d6f3da50249c7af221b64f3,230,1,229,0.43813952803611755,-0.013876054435968399
numpy__numpy-8988,4a07815e84acb8e0e44ebecaecc3982f1555eca9,125,3,122,0.40889865159988403,-0.6180312037467957
numpy__numpy-4344,5cd535703690b83b761b35f77f5e39afdfda1be6,169,22,147,0.3319604694843292,-0.21186673641204834
numpy__numpy-8388,a59fe3cc4e327cb73d419401707cc2e638f11835,111,39,72,0.3470325767993927,-1.3532648086547852
numpy__numpy-5518,0b18bc6c62fa4476d6eb21b7167c5a96282ece96,227,33,194,0.3325395882129669,-0.6344829797744751
numpy__numpy-12807,8750ed0b3d19e9052733af6e6ba01ad1f4455885,578,36,542,0.29208412766456604,-0.4920276701450348
numpy__numpy-16300,4e320576bdb34e507caf98665a9365e962e0818e,54,4,50,0.6028050780296326,-0.10089954733848572
numpy__numpy-16300,613bcb550dfd1bc3386862c8f014cc8bc818b0a3,59,7,52,0.5999025702476501,-0.12005796283483505
numpy__numpy-12358,1ef3dca47ec5aea6b41a0a676e52d4686684f43d,39,14,25,0.6326984167098999,-0.016916507855057716
numpy__numpy-3772,1c8cea4f7e4a49c52c24ef3712149d79bf5decbe,2,2,0,0.6033061146736145,-0.0365280956029892
numpy__numpy-9552,d0d384a62d8241bfe79a89000ef24e79738eaa1f,185,66,119,0.3239790201187134,-0.476147323846817
numpy__numpy-10629,65c3ed00dbd308146709b7e8a7086c613b8818f4,126,16,110,0.48694875836372375,-0.8164328336715698
numpy__numpy-5468,2a527a4a483bdb56ec5e0727710b3d3596bb5b67,78,3,75,0.45020073652267456,-0.6418133974075317
numpy__numpy-8816,1fd530f330eaf5299e65d29d982d190d92e3691b,95,10,85,0.4716532230377197,-0.6893268823623657
numpy__numpy-7667,3533a59fcafd7a37ea7814105d34c4e13c0a9af5,87,2,85,0.4866592586040497,-0.6627449989318848
numpy__numpy-23097,6f203e87271109763f2f947b711bd4124cd1138a,763,2,761,0.32188668847084045,-0.6285111308097839
numpy__numpy-23097,e70a1fddca74757f3cd7899c25450a58c0e17781,616,1,615,0.33414584398269653,-0.5269157290458679
numpy__numpy-23097,1fe7a6f4d816274b65d27dd44cbcc6296ff09255,106,6,100,0.41884300112724304,-0.9557532072067261
numpy__numpy-11717,163f125c28a51dac5205769e0344300339ad372a,18,9,9,0.5452642440795898,-0.5696053504943848
numpy__numpy-11805,d84455a8f269d45fc5df179d12d83801a5ad208f,76,24,52,0.3861764073371887,-0.5053379535675049
numpy__numpy-8148,25cc5355c45c2e1ebdb51b135b26db3808018066,561,24,537,0.25892066955566406,-1.1528233289718628
numpy__numpy-3266,5c9574917e88e300f1030d02155e60c733eeafbe,268,10,258,0.25730082392692566,-0.027874436229467392
numpy__numpy-3266,4e4630eb01d7e9104a01626ec60e283d0b76c3f2,541,47,494,0.20112328231334686,-0.16198062896728516
numpy__numpy-3266,494343b289d87a09bd7243e52aadafd71827d97a,207,5,202,0.27922338247299194,-0.026644350960850716
numpy__numpy-3266,23a945fce996c0015597d806fe6582eead0bf39d,360,9,351,0.2390897274017334,-0.02731780707836151
numpy__numpy-3266,361ccb18332e6d89889c8cb531a5a0a2b4b380bf,412,11,401,0.23075968027114868,-0.02804148942232132
numpy__numpy-3266,ffa5140bc2daed38e5379dc39187f66359a9e74d,252,36,216,0.2620514929294586,-0.10697963088750839
numpy__numpy-3266,fe122d4db9ebf0e759636cfbaf354219ff210442,389,13,376,0.23499679565429688,-0.0288992989808321
numpy__numpy-3266,3fb69a705d69dd1cb049a4b4470b49cf2696a198,356,8,348,0.24041280150413513,-0.02698279172182083
numpy__numpy-3266,917623bba12fdea349d9182ae9b86f0d22b5fd2c,444,23,421,0.22363035380840302,-0.055026084184646606
numpy__numpy-3266,0e3a9627e44def956c529a4942dbb724e8e4b16c,526,15,511,0.2044423222541809,-0.031502969563007355
numpy__numpy-3266,5b3454b3a76d457703f3dc73c04f64a21c36b1d4,291,62,229,0.2533286213874817,-0.2815225124359131
numpy__numpy-3266,61f6ba751834926d842843a96b3a55292fe5f9ae,348,12,336,0.24262936413288116,-0.028453458100557327
numpy__numpy-3266,a75c95e911e21004367db06536643c68e87bc8d8,209,27,182,0.27901917695999146,-0.0806141123175621
numpy__numpy-3266,2175628d663f9b48fb0459ce894397f3e9c127e9,204,14,190,0.2795850336551666,-0.030879713594913483
numpy__numpy-3121,be7a6cce85175977b05aed63ff6e356714c540b7,443,61,382,0.20578327775001526,-1.0603282451629639
numpy__numpy-3121,1bb7a0a27132290d6008e88e8d43fd8952fda200,417,55,362,0.21171250939369202,-0.8074199557304382
numpy__numpy-3121,70093e037082fdda699937dcde8f5174f7663e8f,693,26,667,0.13769230246543884,-0.23819966614246368
numpy__numpy-3121,552b086d5cedabab6907ef492c6b14e227c16a42,526,202,324,0.18742820620536804,-3.3554890155792236
numpy__numpy-3121,48f1eb8dc6df34863ba4f163e1a73369da374a86,377,262,115,0.21971134841442108,-3.3554892539978027
numpy__numpy-3121,c22aacb9ab06349c16eec82bc4f3d6de212483ad,399,17,382,0.21575592458248138,-0.20463742315769196
numpy__numpy-3121,8c43f97c0343a51b53ced565e2ab120661051946,576,2,574,0.17625531554222107,-0.031169697642326355
numpy__numpy-6199,44bd48df7201a70fa2a1376f9e2042efac2ac716,420,14,406,0.36127206683158875,-0.769018292427063
numpy__numpy-6199,86d75763013663fe07a1a0804ddf3de47d11fa70,69,2,67,0.4983736276626587,-0.4809873700141907
numpy__numpy-3097,e45f9950e8a20260e470eb99b9d642bb24980b6f,662,173,489,0.22596827149391174,-2.031327247619629
numpy__numpy-5638,536a576dd101a2c712847b248b82879cc3562382,490,10,480,0.21089892089366913,-0.26972711086273193
numpy__numpy-8905,3ce44caf7e23f59fd59097130426dce0576272b7,19,1,18,0.4066675901412964,-0.5105777382850647
numpy__numpy-7218,690655b361b8d6fbd3e28a86383e193cc6e7cdaf,79,1,78,0.5502750873565674,-0.043138276785612106
numpy__numpy-11774,5880ea1544d4b0931e9544dbaf309dd80344f528,97,21,76,0.3673987090587616,-0.32141175866127014
numpy__numpy-3185,e111fdb83e78c8a5a6c266d384d13226669b2a4e,424,9,415,0.3513381779193878,-0.17095258831977844
numpy__numpy-15928,7eeed7825bddd659b4bfc593c17bd733964fd079,52,4,48,0.4066094756126404,-0.4911806583404541
numpy__numpy-3059,3a9eb3b137d267ef7abf5dde9ff4dab0ae05f9a7,20,50,-30,0.4081553816795349,-0.18252450227737427
numpy__numpy-3059,ed9801ceb1a9d9794d646d3511d16ccf1d620f0d,47,22,25,0.3822321593761444,-0.07765254378318787
numpy__numpy-3059,612d1e1477532d04f42c515a9e773845406fcc53,498,290,208,0.24891343712806702,-2.0193142890930176
numpy__numpy-15938,40d632ec55ef8bd20ad9c751e17902022e05a58c,932,16,916,0.25207534432411194,-0.08275031298398972
numpy__numpy-21654,5a3addf4cd3d426e4221b26e7f69607b66384f8c,431,21,410,0.2807013988494873,-1.1465106010437012
numpy__numpy-21654,b4741355f2364b2ececb57a8dab085c17967ee36,9,14,-5,0.3875911831855774,-0.8178459405899048
numpy__numpy-21654,6382732dcd499bc01b0eb30d4ca733ea977276f6,309,15,294,0.29781824350357056,-0.8517179489135742
