bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-5398,c14d2e3575ee953b15008ea439710c1222fe6d9e,51,288,-237,0.4577304720878601,-3.863920211791992
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,161,236,-75,0.44937413930892944,-3.8095691204071045
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,334,287,47,0.3572928309440613,-3.8474953174591064
numpy__numpy-8646,3bbee0258bfc1a9739ab24fb3a259cb471a5f6da,237,296,-59,0.20039066672325134,-3.8677005767822266
numpy__numpy-23010,ca07bd180c0ea0c3f22282e10ba0ddde6cbba65a,939,297,642,0.3255554735660553,-3.875080108642578
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,187,287,-100,0.3959144353866577,-3.7548232078552246
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,176,284,-108,0.3479723334312439,-3.8470611572265625
numpy__numpy-21187,5bc9113af1be4393edfb2c93ffc4361e438a89de,170,273,-103,0.4889765679836273,-3.6562438011169434
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,420,232,188,0.22152678668498993,-3.632906198501587
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,333,265,68,0.24177685379981995,-3.691636562347412
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,451,261,190,0.2150825560092926,-3.6878626346588135
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,290,213,77,0.25333237648010254,-3.5818052291870117
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,241,264,-23,0.2689283788204193,-3.690915107727051
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,685,273,412,0.16178598999977112,-3.7350196838378906
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,92,205,-113,0.3880200982093811,-3.5496950149536133
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,340,266,74,0.24108175933361053,-3.6916420459747314
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,81,259,-178,0.5857214331626892,-3.6960368156433105
numpy__numpy-17636,dcf60ada9297180308729db7ccc23c416f86f0f9,774,256,518,0.23956072330474854,-3.592634439468384
numpy__numpy-11813,d31d8a9398b518012e3517bc4240844732b16cf2,215,266,-51,0.3841315805912018,-3.831047534942627
numpy__numpy-18911,aea9835c78e2653460204fe33503d3011a746d1e,13,278,-265,0.5509213209152222,-3.4137654304504395
numpy__numpy-19775,fd229dbef8f92d18d7627ce53a69f3fb97335e83,726,275,451,0.25048428773880005,-3.82527494430542
numpy__numpy-9054,01741cd1afb6b2f27e92f70294d561c1af465fe6,176,216,-40,0.33351635932922363,-3.7833642959594727
numpy__numpy-5490,1b3d75db6e3ecd88d0dbaa0705ae21088334c8af,173,256,-83,0.3148643672466278,-3.826809883117676
numpy__numpy-11358,630767dc5347df4ba4b191ae2a7bfea8d7d8ab58,142,221,-79,0.4064846634864807,-3.6172573566436768
numpy__numpy-11427,b7d9c4406709e5069ca573ccd10384e2475b4a15,147,269,-122,0.41295453906059265,-3.7350215911865234
numpy__numpy-6660,d95a362ca6bc0b2ee6cff3ba8870b621118da6e1,398,292,106,0.19482223689556122,-3.866833209991455
numpy__numpy-6660,a6e4a8dac3b03d75c01de8fa208bbe2c7bb128e8,193,269,-76,0.24245381355285645,-3.846662759780884
numpy__numpy-13242,6dd6982dfe6a93d2319ea3f5a342e432d26a528a,127,293,-166,0.3919360935688019,-3.829019784927368
numpy__numpy-5489,bedd0e941f2fa7b9df550240f3eaa828db370241,224,267,-43,0.32121604681015015,-3.8348491191864014
numpy__numpy-4677,fe3c037890d1c2fdee67546f02de334e5742dab9,35,258,-223,0.5623547434806824,-3.813755989074707
numpy__numpy-3281,de8606167e11e7fd925819906f988194789714e7,289,236,53,0.2629426121711731,-3.827077865600586
numpy__numpy-3281,b68a79b642a394ff71130c3ebd66492892749d15,578,260,318,0.19236832857131958,-3.8416366577148438
numpy__numpy-3281,4e00b1cbc551ffed6b7512da17fce3c9cc3243cb,694,194,500,0.15563654899597168,-3.7935943603515625
numpy__numpy-3281,5811be876962a5a288d02ed4a568d7af0db197e3,709,276,433,0.15115411579608917,-3.854220390319824
numpy__numpy-3281,ba89637eb50e3fd665f6152701c482d1ad05f981,186,289,-103,0.29150283336639404,-3.8633475303649902
numpy__numpy-3281,775929fa177787047e25ea3da9eeaf5cb3d7f184,613,228,385,0.1818132847547531,-3.822087526321411
numpy__numpy-3281,4e4d94cd68a6f024a8e92d1ec051ee563f0a3e6b,696,166,530,0.15529532730579376,-3.7399086952209473
numpy__numpy-3281,57ab3ce78348a00021169a1c3ce77225aa706c79,388,233,155,0.2406921088695526,-3.8269424438476562
numpy__numpy-3281,af59d687eb82f7f07ee1c53ad80ce7d1cc124c9b,607,284,323,0.18449461460113525,-3.8594346046447754
numpy__numpy-3281,a76401ac92a75756a6ffc8dbc6bfef47f91c3ba7,776,217,559,0.12693403661251068,-3.8121490478515625
numpy__numpy-3281,a16a07d591f201872817a7f40298270b979571e0,692,201,491,0.15656974911689758,-3.7990493774414062
numpy__numpy-3281,98f58e33326d024e026bba40fee5a5dfa4458254,720,259,461,0.14840170741081238,-3.840928554534912
numpy__numpy-3281,5d6bea3ca9aae493aa6b9496e067141954209fd9,447,258,189,0.22957786917686462,-3.8404154777526855
numpy__numpy-3281,3f91046d2fda754fdecce9277098acc2e7bbd38c,225,272,-47,0.279278039932251,-3.8507938385009766
numpy__numpy-3281,6e0cfcddb79d1dd7c26a88fbfa80f1af5665cb2f,440,295,145,0.23072083294391632,-3.870084762573242
numpy__numpy-3281,d1084b75eeb7fd54f4b21ecc8eac0dc6e4c849bb,148,185,-37,0.31506073474884033,-3.7850522994995117
numpy__numpy-3281,4c5b7e9fc970efb333b1145b036cb70451db2b25,87,273,-186,0.3683512806892395,-3.852461814880371
numpy__numpy-7260,f3d30d15c44122411d6f3da50249c7af221b64f3,230,261,-31,0.43813952803611755,-3.4094531536102295
