bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
Qiskit__qiskit-636,02acaa22c51010e623b93ff4843498e388bb3e5e,130,133,-3,0.18594202399253845,-3.004870891571045
Qiskit__qiskit-636,68017e0b9bae0217e3c307dfbf1e55429cab2621,39,2,37,0.2770654559135437,-0.6907995939254761
Qiskit__qiskit-2781,4e907d522414432a4a714b580b912086a234ac19,6,12,-6,0.46213042736053467,-1.1031920909881592
Qiskit__qiskit-2781,378053e6f08234908688b29a3f47829bac93a850,13,1,12,0.4431241750717163,-0.6453053951263428
Qiskit__qiskit-2781,b7744e6f6e08e6ea4abc66709b741b2799998987,22,4,18,0.42979297041893005,-0.8148646354675293
Qiskit__qiskit-688,5e7693161dc87f4d0859ecaeab5a981fbc302689,240,27,213,0.290422260761261,-1.5169963836669922
Qiskit__qiskit-688,6fad3fcd0a4f40b337e0100ec28fe8d637d83abd,227,19,208,0.2955029010772705,-1.3545069694519043
Qiskit__qiskit-3042,c4abde54f2fa4b282bd46d41ce8aaa3cd86f0f83,92,6,86,0.39617955684661865,-0.8545125722885132
Qiskit__qiskit-3708,a09950f1cf1f8782d0a71cd639b762a87beb93a2,395,55,340,0.21955005824565887,-1.8544083833694458
Qiskit__qiskit-4049,8866416541c315b11e088be8b1f9f28be874f143,505,45,460,0.28717583417892456,-1.5808254480361938
Qiskit__qiskit-877,02abeaacdcf0e1c87334ab56d8bf1d4d71c70e06,49,4,45,0.28848379850387573,-0.8768616914749146
Qiskit__qiskit-877,8a6926a49840438bd3c9b0b4c6d3026d671c0e53,154,47,107,0.20321163535118103,-1.7264628410339355
Qiskit__qiskit-2723,eca1fa7707043ae37edb9275dbd0dbd977ef78fe,97,19,78,0.3921229839324951,-1.276658296585083
Qiskit__qiskit-4513,7a1cfb6e7adedefcb13a7798ae967755ee54a22e,417,14,403,0.23640157282352448,-0.7188141345977783
Qiskit__qiskit-609,c4e91147e4a676bdb1bc959115187ebf4efdb279,39,12,27,0.25935518741607666,-0.021304655820131302
