bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
ipython__ipython-13825,fc3aea7b61194aba898e18a6d25ea1f744b45897,55,170,-115,0.3891361653804779,-0.4714828133583069
ipython__ipython-6029,8f5808867299e98523d5d7cdb79d15406005aa3c,524,105,419,0.28235164284706116,-0.8837814331054688
ipython__ipython-10863,899ff029ba255bf994070ccd150b4856941d14e5,196,210,-14,0.2669580578804016,-0.8207165002822876
ipython__ipython-1541,60ed39126916f8dc08f50a4f4ea28180832df3f3,46,205,-159,0.4457070827484131,-0.6194322109222412
ipython__ipython-9182,b522c0ec403ab7ee2222fb3c358e0afd5c26fdde,19,175,-156,0.4849950075149536,-0.6740368008613586
ipython__ipython-9186,a34e95ddc17e3cab1867c1c5160b20b46e642705,79,209,-130,0.360121488571167,-0.8264272212982178
ipython__ipython-4195,df7f5a55a062c450094c54689939ae590454bfd5,27,232,-205,0.6502853631973267,-1.0651984214782715
ipython__ipython-10479,ac0414d6e16fbb4ce72273c6ffeeee157f07ab63,102,184,-82,0.2928375005722046,-0.6977723836898804
ipython__ipython-10479,c836cc7fd8860f32046f48acb7a7b9e7c92d78af,37,155,-118,0.3804391622543335,-0.5446347594261169
ipython__ipython-13888,df4648b8914b7398641df7e2e32582021425f9c0,358,54,304,0.2127322256565094,-0.4866938889026642
ipython__ipython-13888,d04d4637ba78d7da2df7a13046191933f31a6ea1,108,262,-154,0.406779944896698,-1.1007294654846191
ipython__ipython-9711,14f2d5348f59d6f71620feae8189d533ac3784d2,101,288,-187,0.44200921058654785,-1.9537692070007324
ipython__ipython-4908,d71795a2e5dcba2082126818e14dbb901b7c0e05,226,28,198,0.2929253578186035,-0.41285425424575806
ipython__ipython-13961,471d2058f8be37b615e0b2ff59e64673016ae996,113,63,50,0.3896182179450989,-0.5199219584465027
ipython__ipython-9022,2934beef1d9940039f07be3ccd5dbdb1648080cd,197,171,26,0.39981114864349365,-0.6722715497016907
ipython__ipython-1691,d9f425115ba9e29bf3bc977dd6f261019e94cc43,695,263,432,0.1976321041584015,-1.2075791358947754
ipython__ipython-1691,04490d6078512b390623cb7c8a7080aab55776f3,247,209,38,0.3124541640281677,-0.6062318086624146
ipython__ipython-2479,5cf0b573c6c320e079d36a1f228b69d3a1568bcc,287,280,7,0.24253427982330322,-1.816192865371704
ipython__ipython-2479,dff928612e2a53122915bd858eab64790cf2faae,317,13,304,0.2364780604839325,-0.33416104316711426
ipython__ipython-13763,206ff20a0f88aafd28adc83ef20c3836d9f4bd8b,156,53,103,0.2776658833026886,-0.4922691285610199
ipython__ipython-2812,4a331cb6cf4220b4115dd9a0c539af985039a62b,873,195,678,0.17251813411712646,-0.44858741760253906
ipython__ipython-6036,a18860aa4f7c2280ce15bf03659a3f0b95eabcbe,78,159,-81,0.5052005052566528,-0.5488138794898987
ipython__ipython-11650,73039bdb394f4317fe67bdb8d0eb4f0fbb3a5da3,40,157,-117,0.5177373886108398,-0.5203818082809448
ipython__ipython-8736,4b95befdb78d1ed2ebce5352a02cdfb9cfa62f6d,166,134,32,0.36563044786453247,-0.47214218974113464
ipython__ipython-13328,26e1883fd619fb3626ca7a5786e7381487b91a6f,241,21,220,0.3216061294078827,-0.358324259519577
ipython__ipython-10548,230a2c6e8c724f1fc7b7664d653deb1ba4142abb,427,216,211,0.10414145886898041,-0.9687315225601196
ipython__ipython-9596,1b4d55b1eff1c13fab82962f1557b6f0389a6cad,104,3,101,0.3531847596168518,-0.2527961730957031
ipython__ipython-11353,ca5c3aa5b8615e70638db0008cd69f12a3f93bc4,46,56,-10,0.43803372979164124,-0.4944842755794525
ipython__ipython-9418,7db39a27b51e6a3cc3a3d04661a6d12f7b66a45f,53,199,-146,0.401502788066864,-0.8146986961364746
ipython__ipython-9419,f56ee615bd8252a6118eb06102c869469a0f1d27,49,200,-151,0.44204026460647583,-0.8453529477119446
ipython__ipython-7502,53a44e1720d878a49cf9b5e9be8b62558c1f73da,733,7,726,0.3179101347923279,-0.2830190658569336
ipython__ipython-10321,2500a07b135915b050562a91971be7924e06860a,211,26,185,0.2382943034172058,-0.38811248540878296
ipython__ipython-10321,fc0dd287fff2651efff1ca331c44abebd01df086,203,82,121,0.24226483702659607,-0.6320515871047974
ipython__ipython-10321,aaada320ae03f1c4e6fb490dbcf9775912a0906e,321,72,249,0.20085889101028442,-0.5883666276931763
ipython__ipython-10321,c9a17007ecb4f955b42695a54518ca167a9c239b,172,61,111,0.2554737627506256,-0.5527950525283813
