bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
ipython__ipython-13825,fc3aea7b61194aba898e18a6d25ea1f744b45897,55,15,40,0.3891361653804779,-0.5704200267791748
ipython__ipython-6029,8f5808867299e98523d5d7cdb79d15406005aa3c,524,10,514,0.28235164284706116,-0.5987714529037476
ipython__ipython-10863,899ff029ba255bf994070ccd150b4856941d14e5,196,26,170,0.2669580578804016,-1.1251435279846191
ipython__ipython-1541,60ed39126916f8dc08f50a4f4ea28180832df3f3,46,18,28,0.4457070827484131,-2.1578030586242676
ipython__ipython-9182,b522c0ec403ab7ee2222fb3c358e0afd5c26fdde,19,5,14,0.4849950075149536,-0.5255924463272095
ipython__ipython-9186,a34e95ddc17e3cab1867c1c5160b20b46e642705,79,21,58,0.360121488571167,-0.7431291341781616
ipython__ipython-4195,df7f5a55a062c450094c54689939ae590454bfd5,27,30,-3,0.6502853631973267,-1.8672306537628174
ipython__ipython-10479,ac0414d6e16fbb4ce72273c6ffeeee157f07ab63,102,44,58,0.2928375005722046,-1.729477882385254
ipython__ipython-10479,c836cc7fd8860f32046f48acb7a7b9e7c92d78af,37,2,35,0.3804391622543335,-0.35278835892677307
ipython__ipython-13888,df4648b8914b7398641df7e2e32582021425f9c0,358,18,340,0.2127322256565094,-0.2758181691169739
ipython__ipython-13888,d04d4637ba78d7da2df7a13046191933f31a6ea1,108,206,-98,0.406779944896698,-3.1988167762756348
ipython__ipython-9711,14f2d5348f59d6f71620feae8189d533ac3784d2,101,218,-117,0.44200921058654785,-3.579835891723633
ipython__ipython-4908,d71795a2e5dcba2082126818e14dbb901b7c0e05,226,5,221,0.2929253578186035,-0.628174901008606
ipython__ipython-13961,471d2058f8be37b615e0b2ff59e64673016ae996,113,5,108,0.3896182179450989,-0.4397280812263489
ipython__ipython-9022,2934beef1d9940039f07be3ccd5dbdb1648080cd,197,4,193,0.39981114864349365,-0.5189615488052368
ipython__ipython-1691,d9f425115ba9e29bf3bc977dd6f261019e94cc43,695,198,497,0.1976321041584015,-3.307542324066162
ipython__ipython-1691,04490d6078512b390623cb7c8a7080aab55776f3,247,7,240,0.3124541640281677,-0.7738232612609863
ipython__ipython-2479,dff928612e2a53122915bd858eab64790cf2faae,317,35,282,0.2364780604839325,-1.944521427154541
ipython__ipython-2479,5cf0b573c6c320e079d36a1f228b69d3a1568bcc,287,26,261,0.24253427982330322,-1.3812121152877808
ipython__ipython-13763,206ff20a0f88aafd28adc83ef20c3836d9f4bd8b,156,48,108,0.2776658833026886,-1.996309757232666
ipython__ipython-2812,4a331cb6cf4220b4115dd9a0c539af985039a62b,873,28,845,0.17251813411712646,-2.2171249389648438
ipython__ipython-6036,a18860aa4f7c2280ce15bf03659a3f0b95eabcbe,78,12,66,0.5052005052566528,-0.49426186084747314
ipython__ipython-11650,73039bdb394f4317fe67bdb8d0eb4f0fbb3a5da3,40,16,24,0.5177373886108398,-0.7329614162445068
ipython__ipython-8736,4b95befdb78d1ed2ebce5352a02cdfb9cfa62f6d,166,62,104,0.36563044786453247,-2.936251401901245
ipython__ipython-13328,26e1883fd619fb3626ca7a5786e7381487b91a6f,241,12,229,0.3216061294078827,-0.574317216873169
ipython__ipython-10548,230a2c6e8c724f1fc7b7664d653deb1ba4142abb,427,50,377,0.10414145886898041,-2.5839409828186035
ipython__ipython-9596,1b4d55b1eff1c13fab82962f1557b6f0389a6cad,104,35,69,0.3531847596168518,-1.6905100345611572
ipython__ipython-11353,ca5c3aa5b8615e70638db0008cd69f12a3f93bc4,46,8,38,0.43803372979164124,-0.6201786994934082
ipython__ipython-9418,7db39a27b51e6a3cc3a3d04661a6d12f7b66a45f,53,20,33,0.401502788066864,-1.017629623413086
ipython__ipython-9419,f56ee615bd8252a6118eb06102c869469a0f1d27,49,10,39,0.44204026460647583,-0.47175052762031555
ipython__ipython-7502,53a44e1720d878a49cf9b5e9be8b62558c1f73da,733,56,677,0.3179101347923279,-2.953280448913574
ipython__ipython-10321,2500a07b135915b050562a91971be7924e06860a,211,194,17,0.2382943034172058,-3.25637149810791
ipython__ipython-10321,c0a070467bccbccc84df1d4292617dd5887d2797,177,219,-42,0.2543993592262268,-3.3209500312805176
ipython__ipython-10321,49cf8b236a6b82803bdff4677c3d65be2da480b7,157,210,-53,0.26778513193130493,-3.3097894191741943
ipython__ipython-10321,c3a3e9190fce20c128bfeb2c41f90074f22da9ce,151,212,-61,0.27169564366340637,-3.311156749725342
