bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
mesonbuild__meson-1028,2861bb6c99de8e22704a256255b569fafdc9a7fa,34,4,30,0.3673328161239624,-0.35990700125694275
mesonbuild__meson-4623,f21e73a31c93b97cf2cec906e90c608ea705bd8e,2223,4,2219,0.11402510106563568,-0.4740384817123413
mesonbuild__meson-6398,669c8ffeaf1bcbce6f005890fc9e96e447c86ddf,30,11,19,0.48917317390441895,-0.38430315256118774
mesonbuild__meson-7791,4b48e31463d92f6b3a32d537d45ae9f53d455551,160,13,147,0.42856863141059875,-0.4829792082309723
mesonbuild__meson-297,d66aa1f3288157cf53028c34c662baefebe28f60,604,15,589,0.20957541465759277,-0.5072438716888428
mesonbuild__meson-2995,2032e05ee805f53c1c96a0eeeccc3b0b6da753ba,147,4,143,0.2602950632572174,-0.37768125534057617
mesonbuild__meson-10803,ea8b849d1830a16302ec296cdeeb7b40da35f345,442,13,429,0.3657548725605011,-0.46034425497055054
mesonbuild__meson-490,4f55be444806573b58f20113d5845d8b80d123bf,92,4,88,0.3348325490951538,-0.407709538936615
mesonbuild__meson-3499,41ede1d5e0ee35e2d86ab2eda171475f70e79c7d,890,1,889,0.3719123899936676,-0.4231940805912018
mesonbuild__meson-9202,c6a699436a961674e019e29a7a4c3b37f1facae6,153,7,146,0.34447646141052246,-0.39425235986709595
mesonbuild__meson-6288,ec270d7b99fa181192ea7a720714f8aab38b3b3e,2164,2,2162,0.28251612186431885,-0.3838675916194916
mesonbuild__meson-7798,a6cfd5bf259c564fca03012784848c735c2c80d9,1045,1,1044,0.257763147354126,-0.38383495807647705
mesonbuild__meson-4349,8c6c60ecda47fc32ee43432cb1511bd530a946c6,88,9,79,0.4709705114364624,-0.39163702726364136
mesonbuild__meson-4349,ee80a87b6fdb4b69a5cd75be866c6269e67a0587,68,7,61,0.49009060859680176,-0.3713938593864441
mesonbuild__meson-8611,959446063c4536545c0fc9e3e2f111c9aa04eab3,460,22,438,0.3045024275779724,-0.5293439626693726
mesonbuild__meson-11631,5718004a182829df0d1c613edb6edf0cb0c6912d,61,1,60,0.47169333696365356,-0.3529014587402344
mesonbuild__meson-1516,b1efc134f0bf0bd62d15ab29475f28a4a8fa38bd,125,2,123,0.32464343309402466,-0.39951735734939575
mesonbuild__meson-1516,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,30,115,-85,0.4269651770591736,-3.9298148155212402
mesonbuild__meson-6139,80cc0270023b6f7c477e3ef9f01e621cfa2f0524,362,45,317,0.2425486147403717,-0.5668821334838867
mesonbuild__meson-6139,6be2c449274d7b8fae1059e7421b787de444044d,1930,57,1873,0.15338164567947388,-1.6320089101791382
mesonbuild__meson-6139,8b19b6daf210f12e153d837ab3894cb1f7fad012,17,13,4,0.36556702852249146,-0.38017451763153076
mesonbuild__meson-5292,a75c0b7c2e7457af2f1eedad2f7da00d23860c6a,163,22,141,0.4094644784927368,-0.42669743299484253
mesonbuild__meson-5292,b107a25b1d95e79f5982e21b81d1dd48828548dd,25,15,10,0.4929445683956146,-0.4111868143081665
mesonbuild__meson-5292,650d1e06c6c8f312b0cfc712c210305d7947c967,189,7,182,0.3972483277320862,-0.3661067485809326
mesonbuild__meson-5193,b5f48bd892c0ab3280e231c8bcdf9732ed29ad38,407,8,399,0.2832852303981781,-0.40011489391326904
mesonbuild__meson-5243,739f6e771484a29b262d237469d890cea1202f0b,60,9,51,0.45160627365112305,-0.399610310792923
mesonbuild__meson-5243,119c1c2b94e7c1422b89e4a4c5edc871d34ed643,1320,3,1317,0.30651038885116577,-0.3495667576789856
mesonbuild__meson-10747,bbf31ad11cf8ce8ca9f2eac04dac118defb69ec3,182,37,145,0.3468618094921112,-2.344966411590576
mesonbuild__meson-1039,1505807f19367ac40a1c6d067b9d5f38900b9690,1,7,-6,0.6326920986175537,-0.4274027347564697
mesonbuild__meson-2815,c16d7a84004137b19a3b6255bb1598b654f6022a,345,2,343,0.37733790278434753,-0.591515064239502
mesonbuild__meson-11181,0c4690b4782f8dc103e9ab5eaaba9837afc8f169,25,7,18,0.5205838680267334,-0.3828672766685486
mesonbuild__meson-3093,11fa80d31a39e1b9c1c82973f939d6c95283c43b,1573,1,1572,0.3102305233478546,-0.34332165122032166
mesonbuild__meson-3093,a65f15db6784f811d96a8aee9554a5417e58869a,17,3,14,0.4817763566970825,-0.36297401785850525
mesonbuild__meson-934,7f7ab43ff13647def6cfbb60d524cc75cc0c178d,825,4,821,0.3028768002986908,-0.4604235291481018
mesonbuild__meson-6132,a22e8d4ecdaff17d92f23e5fd74d7d88f619e9bf,25,11,14,0.4851487874984741,-0.3791574239730835
mesonbuild__meson-3894,ace0693383ab637ac3c33bf3a9774f74bcb2bfa5,25,1,24,0.5075567960739136,-0.337230384349823
mesonbuild__meson-3894,5648a6f46fe03f5323a7087b53c37044c90ebf99,127,20,107,0.40008416771888733,-0.4953775703907013
mesonbuild__meson-3894,17f92400f02fb6ed815fbcb369e84e44738f9cfe,22,7,15,0.5169621706008911,-0.36659783124923706
mesonbuild__meson-3894,7ed97b2bb36475ab3834b690d1f90c204db1acf5,37,3,34,0.47874435782432556,-0.3478727340698242
mesonbuild__meson-3894,b8ae399aed57d7c2c938cf4aa30a478a99fd1757,34,18,16,0.48284634947776794,-0.4736397862434387
mesonbuild__meson-225,9e3a782494f2e10e72b9a94d90e1ab5fba6c790c,444,3,441,0.15998739004135132,-0.35116446018218994
mesonbuild__meson-225,1aea4542db9fba979e7c5a18a85cb5f2e0438724,245,1,244,0.20054619014263153,-0.3216390609741211
mesonbuild__meson-225,6906d31c960b3bb14602be73132cc1a4f74cc08c,137,13,124,0.2380983829498291,-0.4621058702468872
mesonbuild__meson-1068,7c4fb1d94a0bd17e2fd45aa1f42b0ed7e688139c,807,1,806,0.2597580850124359,-0.3405924141407013
mesonbuild__meson-9546,ea5ab8efa44a7817e0277f37ee00c91d419a78cb,203,7,196,0.3231913447380066,-0.4266641139984131
mesonbuild__meson-661,5201be2f63c89f6882746272a0f9eb0e482e5493,684,1,683,0.2222222536802292,-0.38283228874206543
mesonbuild__meson-5553,54535ff52fb151d8e049ab10d222623c732d7827,25,1,24,0.35664841532707214,-0.3383491337299347
mesonbuild__meson-8071,faac0edec515442639f086cfa5afa7da32d0265d,2,20,-18,0.521499752998352,-0.40576884150505066
mesonbuild__meson-8071,589945c511ff83b1014df28cd0f69d03c4af97aa,12,25,-13,0.4854612350463867,-0.42361557483673096
mesonbuild__meson-428,70486dc6d0e021db3266ac09cfbd458d2e9e6758,212,2,210,0.3515602946281433,-0.35239505767822266
mesonbuild__meson-3573,2b6281d7f5639c640be6d3ae4aaf41f97c469fbb,57,15,42,0.46621233224868774,-0.38208675384521484
mesonbuild__meson-3573,a1dbac821131138fe1209fbb2db9217f4deadb66,506,22,484,0.308675616979599,-0.43337249755859375
mesonbuild__meson-3573,15b37378c092646bf86c81e8ce84052b9eb1c827,62,14,48,0.46003347635269165,-0.38085609674453735
mesonbuild__meson-327,f111610614ca8b0d0804a2399ca6ea6813c52af0,585,9,576,0.19951562583446503,-0.5042564868927002
mesonbuild__meson-6412,bb62fb2d74083ca49e5508022746813de627ee13,2663,16,2647,0.21681195497512817,-0.5245847702026367
mesonbuild__meson-6412,8feb4f36e48451909d83f12200dca9e1011b504c,2793,15,2778,0.0901106745004654,-0.5214165449142456
mesonbuild__meson-6412,ff9f1d942beb1cdbe4a8d903e629a58b07ee8d76,804,10,794,0.3319186568260193,-0.44361573457717896
mesonbuild__meson-6412,051b21ccdeceaa63943828529dbb848002b62e98,291,8,283,0.37422019243240356,-0.4270370602607727
mesonbuild__meson-6412,e54809657fe6975d9ca16199384e71e664a5a00f,2402,1,2401,0.26787129044532776,-0.35440778732299805
mesonbuild__meson-6412,eb3a9644e3bc58ae1744b353ed26aabad9333a15,636,2,634,0.341943621635437,-0.37358564138412476
mesonbuild__meson-6412,cc726ce7830bf6f94a8256b9b2b6988b77d0ab8d,218,5,213,0.3890564441680908,-0.40388140082359314
mesonbuild__meson-6412,a3cdfdc7e89b6e1c96d661291eaf2afc3dd3a7e0,2760,20,2740,0.16313786804676056,-0.8643606901168823
mesonbuild__meson-6412,7a0e7847a9b9e72f2425d8f382ad5710fe5f3496,2186,7,2179,0.2836921215057373,-0.4251195788383484
mesonbuild__meson-6412,07ff3c9df3f7c813dd25214cf6daaf68419727af,2661,4,2657,0.21791228652000427,-0.39286530017852783
mesonbuild__meson-6412,3f4e5fa9236e326daeb01b58318e0070b8958fa7,2564,12,2552,0.24753299355506897,-0.46460825204849243
mesonbuild__meson-7955,0f074bb17453abd054c178d1524ce629c7b4291b,440,3,437,0.31513023376464844,-0.48556408286094666
mesonbuild__meson-5123,913f942148db7717a2560ee6197f8e966093925d,2283,5,2278,0.1854892075061798,-0.4876534640789032
mesonbuild__meson-10679,0521125eaec0d0359c36adedda7e03ae4080c45f,2194,1,2193,0.2344960868358612,-0.40597936511039734
mesonbuild__meson-11654,5743236b3898d9f873a33aa4e93fbaa13631b5e3,31,36,-5,0.44523394107818604,-0.4488510489463806
mesonbuild__meson-11654,cd4cfb1fae2f77c318c4be29f5e49f085cee78a1,1,5,-4,0.5115395188331604,-0.36832496523857117
mesonbuild__meson-318,47221c1c21714783dac27a6a0a60f1d3a6565690,588,2,586,0.1678554117679596,-0.3476942181587219
mesonbuild__meson-318,0f3c2804688a9e3819d3fccff4d7575f7c34c56e,594,1,593,0.16236332058906555,-0.3265523314476013
mesonbuild__meson-9347,e061c9e30e55780c7c3d93948310297d455fee9a,187,2,185,0.3485710024833679,-0.3830134868621826
mesonbuild__meson-5083,fba90fa369ab7be6151356013f16764bbed63987,376,8,368,0.3459610342979431,-0.39497706294059753
mesonbuild__meson-5083,4d35d223d24b25c68010e5b354e904c41266c223,120,2,118,0.4676968455314636,-0.3506789207458496
mesonbuild__meson-4308,0fc052b778d073a662fa70b229853aa42c67e740,221,15,206,0.30649396777153015,-0.4002094864845276
mesonbuild__meson-52,6a1efdffe23f329dbdee53145e16256892c4d358,423,14,409,0.17951354384422302,-2.3068318367004395
