bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
wagtail__wagtail-118,24fd0a2f1d0d2223631265eae41a26718bd7468d,32,58,-26,0.4003543555736542,-1.2565922737121582
wagtail__wagtail-1273,f938585c1fc93d48c7a0eb74c86c3aab5a389c4d,795,3,792,0.20817780494689941,-0.08869831264019012
wagtail__wagtail-9236,88cc36875a110c7c1e8a283b1a695d59998deea9,603,15,588,0.30004632472991943,-0.4229060411453247
wagtail__wagtail-356,ee68f46554f5024c443da29ed842f0ed0c3c0c2e,541,49,492,0.10375651717185974,-2.432316780090332
wagtail__wagtail-356,6b273e4b6539ca1dfd5ddf6f6ee620146fa95d6a,165,4,161,0.28654325008392334,-0.15485605597496033
wagtail__wagtail-6442,57381ec39206272784831bb77dddb9f11ba322f5,1294,2,1292,0.22675305604934692,-0.16877709329128265
wagtail__wagtail-426,f0336fec46a941eb474ee1980487f2411cb4b185,280,61,219,0.22637002170085907,-2.8352386951446533
wagtail__wagtail-426,f3c871507ae1031a399184d02404a80968fffe07,105,17,88,0.3211227059364319,-0.30449193716049194
wagtail__wagtail-426,cf33bcbfbf826da61024c9fed5ff1503d5e0e369,76,4,72,0.4068247377872467,-0.09479634463787079
wagtail__wagtail-1475,36cc6294a4b54e6a8b0c7e4939ca0a66db492661,564,5,559,0.19000115990638733,-0.3180728554725647
wagtail__wagtail-208,027d61158102d46052094b8dc22348782f70f743,400,11,389,0.23087279498577118,-0.47642672061920166
wagtail__wagtail-208,6e30381c1b30896e34b5ed761d202f95b850beff,374,13,361,0.24562592804431915,-0.5073549151420593
wagtail__wagtail-208,c144b39b937e7046bb0f4a6875959d6bdc4f22fc,553,6,547,0.12081694602966309,-0.29838985204696655
wagtail__wagtail-208,500c4920cdd66176f9c9daa64bfcf54414322b6d,418,7,411,0.22230568528175354,-0.37099313735961914
wagtail__wagtail-208,9d6b9590c2ee957f6e33d6fc6de91ec0557f3195,407,36,371,0.22864504158496857,-1.8351229429244995
wagtail__wagtail-208,04d8b0a9ebfefb65b0dea8afee6b193a564e7a40,537,5,532,0.16263246536254883,-0.2979356050491333
wagtail__wagtail-208,adc492adac433aa9bbf0afad8dba9630974b91de,492,37,455,0.19269917905330658,-1.8356239795684814
wagtail__wagtail-8006,039b36031b83c2a09405921f8c419fad74dbf52d,1258,1,1257,0.2931995391845703,-0.1625516265630722
wagtail__wagtail-2880,d6bdc14aefbd5075ad61836538ba26e351187353,285,80,205,0.31473660469055176,-3.021273612976074
wagtail__wagtail-321,69e6b7f4f43bbeedbd9f1886d8381d670f9767a9,400,10,390,0.23175600171089172,-0.3928873538970947
wagtail__wagtail-7512,92c8d8e9574318ae475c3be7c66d357ed8ef6342,1,8,-7,0.4925885796546936,-0.1830027997493744
wagtail__wagtail-1623,53dbe297a30fcc90491f1aae898549a3d9d8e814,196,1,195,0.31349340081214905,-0.13535982370376587
