bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
docker__compose-5234,1a18c66549d42657635a3e2f01dc424eacb349c3,205,3,202,0.1659640371799469,-0.818781316280365
docker__compose-5250,d455711ddc98bfad89c0fabef17629ee7d112f2d,40,14,26,0.3675023019313812,-0.5999468564987183
docker__compose-5250,1a18c66549d42657635a3e2f01dc424eacb349c3,63,3,60,0.343593955039978,-0.4381248354911804
docker__compose-5250,c8b57edd209f7e2d403ce7a9f45c0e5ec4ea10cd,18,2,16,0.391231507062912,-0.4314606785774231
docker__compose-5593,44c7ad91d8ffdf7e00c9f02c089cbc73364e8cad,67,13,54,0.36625152826309204,-1.020071268081665
docker__compose-5593,7cea91a2da2a2a69b0ce0c0c95671cf04cc5d5af,189,8,181,0.2562497556209564,-0.9269319772720337
docker__compose-2239,1a3b30accc4365f244a1230001799ecda8bf7875,91,5,86,0.2934653162956238,-0.7723807096481323
docker__compose-5566,95e2bf60e5fd029e10f243d7d65ec2fc1e528d2d,195,6,189,0.19899243116378784,-0.8671296834945679
docker__compose-5566,420eb3f09935d19f6c23e2d879d8ab3952730538,22,3,19,0.3707965314388275,-0.8250390291213989
docker__compose-4339,b2654dcfd911aba5b6ae254e28b7e1c2d6d76f76,142,13,129,0.28357404470443726,-1.0274235010147095
docker__compose-5237,face38e6d3311de8d0807752d437ab97856c2880,80,1,79,0.3603493571281433,-0.7807614803314209
docker__compose-2361,f0478203bb122696e329e0199ac1cc8647cbdf3c,133,1,132,0.20864742994308472,-0.8209388256072998
docker__compose-2361,11aeac38c20f0dedb43b57fc91e4b2041ab92e8b,68,3,65,0.32886677980422974,-0.8540948629379272
docker__compose-2361,f286195406737100a0be88a67a4e60e57ccf5c19,113,2,111,0.23994378745555878,-0.8309398889541626
docker__compose-2360,11aeac38c20f0dedb43b57fc91e4b2041ab92e8b,35,3,32,0.3085033893585205,-0.87503582239151
docker__compose-6342,a7f2aa05720d50bfc3eef62d5fd95a51975735fc,250,1,249,0.09627947211265564,-0.3542044758796692
docker__compose-2527,853157ee89f2b8c3644d21a63aea67dd9e022db3,73,5,68,0.2776445150375366,-0.565165638923645
docker__compose-6388,22dafdb223cb2f65db8ffd1cd7052a00c8265e98,77,16,61,0.3446723520755768,-0.9869459867477417
docker__compose-7027,1fa8a17a23339aa3d7200e5eae9c1f6a6de79cd2,213,7,206,0.13624201714992523,-0.9062209129333496
docker__compose-2000,dc630adf279618d7c886a03965beab10020f7a12,66,5,61,0.2888575792312622,-0.8920365571975708
docker__compose-4528,023efa274838ab14ecb722d5ae594f955dadb3d9,133,3,130,0.2899485230445862,-0.24616371095180511
docker__compose-3052,850af31c90ea9451477fd4386b9cd8ba7cd67e9d,202,3,199,0.11280059814453125,-0.8514126539230347
docker__compose-5699,fd7f92a81f7bd306fcf1f9c18781da06492f716a,73,3,70,0.3433549702167511,-0.7427597641944885
docker__compose-5634,a581ae67285b7e32f3a92144326a7c8fb16b8df4,128,11,117,0.193630188703537,-0.9394040703773499
docker__compose-4635,020354283f6fab5bde277498ca980ccfe0a34e52,93,7,86,0.3346630334854126,-0.9775807857513428
docker__compose-4635,7cf71eb98bd7f428329082794f2487724156e1df,201,44,157,0.14728794991970062,-2.495600700378418
docker__compose-4635,3f23f0a7aea84689b007a8444510d17448717730,148,5,143,0.26369956135749817,-0.8711153864860535
docker__compose-4635,46d283f080cbeda2b33a66a184fb9b43cc50b8d3,207,19,188,0.10900908708572388,-1.1385433673858643
docker__compose-4635,811e6c1fc37000d929a13e3401966f0ea164141c,205,9,196,0.11120069026947021,-0.9964921474456787
docker__compose-4635,a66471983ecebd6954d9117bdc0ae4f1dc24fb97,45,38,7,0.3909507989883423,-2.193363904953003
docker__compose-4635,16ed01b861400459da9301212e6f698c96e047c9,124,34,90,0.2990992069244385,-1.9775193929672241
docker__compose-4635,51ba36a094bcb68300639eb0675980f172aa8414,34,2,32,0.4046371877193451,-0.8370283842086792
docker__compose-4635,580bd1b073df19fb9026a751c62bb89e15587f06,175,15,160,0.22084291279315948,-1.077723741531372
docker__compose-4635,68a0598e12820642f5307fbaebedf80c431b834e,132,49,83,0.2842710018157959,-2.725816488265991
docker__compose-4635,d98f68d2fb7ae75484c2a33a978b300874028e41,94,6,88,0.33390551805496216,-0.8988187313079834
docker__compose-4635,e495410cff8886f8bdf37b8f5e082b431f2bbf47,105,14,91,0.325885534286499,-1.0478861331939697
docker__compose-4635,4c9cf423bb44435d7ad7a434aa812a57ea98306b,111,4,107,0.3166879415512085,-0.8467200994491577
docker__compose-4635,5f580645910e578e0c341d419f53c1a2455734c0,129,39,90,0.2882646322250366,-2.303091287612915
docker__compose-4635,e694dbdae53e85fa1109e47b8249b3a1694ee5db,174,42,132,0.22089356184005737,-2.425960063934326
docker__compose-4635,0330ab80f20aa86cb70c767550815b1aa4fe843d,60,1,59,0.3721192181110382,-0.8218158483505249
docker__compose-4635,299ddea465caeb1db98691102bb76bc167613526,204,17,187,0.11429764330387115,-1.1023905277252197
docker__compose-4635,9f2fc68b43c0c3bd20db7890a46ad6fe1ffeb7d1,136,3,133,0.28073424100875854,-0.8375954627990723
docker__compose-4635,5b97709556866b7e6508ae5ad874354e8f36c50f,133,22,111,0.2834171652793884,-1.2155640125274658
docker__compose-4635,854cc79954d252e9cb18bf44df54db7cca1db04c,200,12,188,0.1479789763689041,-1.0185853242874146
docker__compose-2348,c8fddc5f162cf326472f7416ab52b4414843121c,64,10,54,0.2217136025428772,-1.0680489540100098
docker__compose-7787,2d9493a0362ea5c6cec01be41b4c838eff0d3c96,239,19,220,0.14183345437049866,-1.0887149572372437
docker__compose-7787,55e8c2757db41c61cfaf767f5f2cc0c36df95ac0,197,3,194,0.1902092546224594,-0.8272622227668762
docker__compose-3006,82a78f3b53ad97a2b1fea71f00deee64da604630,181,7,174,0.1317964643239975,-1.0129868984222412
docker__compose-3006,deb1e9121cdd11f7dab583854dd760d56e05df83,27,4,23,0.39987629652023315,-0.864495038986206
docker__compose-3006,652ee7944df2e645c02b87c06128827ad861b68b,49,1,48,0.33623048663139343,-0.8472809195518494
docker__compose-3006,4f9be97f437769dd0cb38c6637cf61a76b11cd0e,109,12,97,0.23488037288188934,-1.1520752906799316
docker__compose-3006,f362f1b8081e6dccec0be2171f85007d838c8d87,87,3,84,0.2642199695110321,-0.8604263663291931
docker__compose-3006,268bb719e05bd6ed14b1c1d26e53d3b08178dcf3,81,36,45,0.27353981137275696,-2.216996192932129
docker__compose-3006,0e307835ca973e5d7671175a0cd33a02e63a4632,175,33,142,0.14123716950416565,-2.1198842525482178
docker__compose-3006,6b24013525e093c1e36573601240c4eef676f709,73,5,68,0.2829707860946655,-0.8833369016647339
docker__compose-3006,2565c8ffc38d2288ea2262e68aa07e88b1bb7fff,136,10,126,0.20789064466953278,-1.1199395656585693
docker__compose-3006,e1c781fec67ea0fcf486822c77c3080e4ef4e3b1,202,16,186,0.073208287358284,-1.2892251014709473
docker__compose-3006,29d8a695d029c438c72d58a752066fcadc51e180,201,19,182,0.0804818868637085,-1.3688702583312988
docker__compose-3006,62e1d2cd3bc63cdb2fdedd9a75dd8c239899feea,200,2,198,0.08066345751285553,-0.847309947013855
