bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
ipython__ipython-13825,fc3aea7b61194aba898e18a6d25ea1f744b45897,55,119,-64,0.3891361653804779,-2.841403007507324
ipython__ipython-6029,8f5808867299e98523d5d7cdb79d15406005aa3c,524,107,417,0.28235164284706116,-2.740546226501465
ipython__ipython-10863,899ff029ba255bf994070ccd150b4856941d14e5,196,39,157,0.2669580578804016,-2.520617961883545
ipython__ipython-1541,60ed39126916f8dc08f50a4f4ea28180832df3f3,46,92,-46,0.4457070827484131,-2.8786113262176514
ipython__ipython-9182,b522c0ec403ab7ee2222fb3c358e0afd5c26fdde,19,76,-57,0.4849950075149536,-2.1863937377929688
ipython__ipython-9186,a34e95ddc17e3cab1867c1c5160b20b46e642705,79,168,-89,0.360121488571167,-2.955528497695923
ipython__ipython-4195,df7f5a55a062c450094c54689939ae590454bfd5,27,113,-86,0.6502853631973267,-2.7978811264038086
ipython__ipython-10479,ac0414d6e16fbb4ce72273c6ffeeee157f07ab63,102,160,-58,0.2928375005722046,-2.870915412902832
ipython__ipython-10479,c836cc7fd8860f32046f48acb7a7b9e7c92d78af,37,290,-253,0.3804391622543335,-3.127924919128418
ipython__ipython-13888,df4648b8914b7398641df7e2e32582021425f9c0,358,52,306,0.2127322256565094,-2.620194911956787
ipython__ipython-13888,d04d4637ba78d7da2df7a13046191933f31a6ea1,108,63,45,0.406779944896698,-2.6540961265563965
ipython__ipython-9711,14f2d5348f59d6f71620feae8189d533ac3784d2,101,164,-63,0.44200921058654785,-2.903130054473877
ipython__ipython-4908,d71795a2e5dcba2082126818e14dbb901b7c0e05,226,35,191,0.2929253578186035,-2.4978034496307373
ipython__ipython-13961,471d2058f8be37b615e0b2ff59e64673016ae996,113,150,-37,0.3896182179450989,-2.9631571769714355
ipython__ipython-9022,2934beef1d9940039f07be3ccd5dbdb1648080cd,197,90,107,0.39981114864349365,-2.7289235591888428
ipython__ipython-1691,d9f425115ba9e29bf3bc977dd6f261019e94cc43,695,39,656,0.1976321041584015,-2.5972297191619873
ipython__ipython-1691,04490d6078512b390623cb7c8a7080aab55776f3,247,69,178,0.3124541640281677,-2.7517807483673096
ipython__ipython-2479,dff928612e2a53122915bd858eab64790cf2faae,317,119,198,0.2364780604839325,-2.999645233154297
ipython__ipython-2479,5cf0b573c6c320e079d36a1f228b69d3a1568bcc,287,287,0,0.24253427982330322,-3.157151222229004
ipython__ipython-13763,206ff20a0f88aafd28adc83ef20c3836d9f4bd8b,156,137,19,0.2776658833026886,-2.9178028106689453
ipython__ipython-2812,4a331cb6cf4220b4115dd9a0c539af985039a62b,873,22,851,0.17251813411712646,-2.570472240447998
ipython__ipython-6036,a18860aa4f7c2280ce15bf03659a3f0b95eabcbe,78,129,-51,0.5052005052566528,-2.670994520187378
ipython__ipython-11650,73039bdb394f4317fe67bdb8d0eb4f0fbb3a5da3,40,184,-144,0.5177373886108398,-2.985301971435547
ipython__ipython-8736,4b95befdb78d1ed2ebce5352a02cdfb9cfa62f6d,166,179,-13,0.36563044786453247,-2.888230800628662
ipython__ipython-13328,26e1883fd619fb3626ca7a5786e7381487b91a6f,241,173,68,0.3216061294078827,-3.038773536682129
ipython__ipython-10548,230a2c6e8c724f1fc7b7664d653deb1ba4142abb,427,108,319,0.10414145886898041,-2.7552390098571777
ipython__ipython-9596,1b4d55b1eff1c13fab82962f1557b6f0389a6cad,104,146,-42,0.3531847596168518,-2.82869291305542
ipython__ipython-11353,ca5c3aa5b8615e70638db0008cd69f12a3f93bc4,46,178,-132,0.43803372979164124,-2.815713405609131
ipython__ipython-9418,7db39a27b51e6a3cc3a3d04661a6d12f7b66a45f,53,98,-45,0.401502788066864,-2.7401299476623535
ipython__ipython-9419,f56ee615bd8252a6118eb06102c869469a0f1d27,49,156,-107,0.44204026460647583,-2.885045051574707
ipython__ipython-7502,53a44e1720d878a49cf9b5e9be8b62558c1f73da,733,138,595,0.3179101347923279,-2.908381938934326
ipython__ipython-10321,2500a07b135915b050562a91971be7924e06860a,211,39,172,0.2382943034172058,-2.6244242191314697
ipython__ipython-10321,c0a070467bccbccc84df1d4292617dd5887d2797,177,12,165,0.2543993592262268,-2.248551845550537
ipython__ipython-10321,49cf8b236a6b82803bdff4677c3d65be2da480b7,157,8,149,0.26778513193130493,-2.164030075073242
ipython__ipython-10321,c3a3e9190fce20c128bfeb2c41f90074f22da9ce,151,9,142,0.27169564366340637,-2.200805187225342
ipython__ipython-10321,aaada320ae03f1c4e6fb490dbcf9775912a0906e,321,18,303,0.20085889101028442,-2.414457321166992
ipython__ipython-10321,fc0dd287fff2651efff1ca331c44abebd01df086,203,11,192,0.24226483702659607,-2.242244005203247
ipython__ipython-10321,c9a17007ecb4f955b42695a54518ca167a9c239b,172,10,162,0.2554737627506256,-2.2178232669830322
ipython__ipython-3601,cc19ee53c30ef6bca8c42ecf298276949a7f2b0b,781,46,735,0.17765168845653534,-2.6287083625793457
ipython__ipython-1946,1291822f8848aa8af8a482bc0094aa55dc05fb7c,314,72,242,0.31343013048171997,-2.7808172702789307
ipython__ipython-11418,e2dd2d087737110b3e2054bf734cd5f641836609,140,40,100,0.3112279772758484,-2.5025243759155273
ipython__ipython-11419,9858236905db9c4e6c624fa121d73dfd0cb1c2bd,1,150,-149,0.6247069835662842,-2.8845152854919434
ipython__ipython-9833,6ce7709ab94ba000e24e2471fdd7b1bfdfb14f2b,73,289,-216,0.33799731731414795,-3.0858101844787598
ipython__ipython-4526,f90ca9831a2aa7ffdab557ba1d3cd93a72caa458,108,282,-174,0.3065325617790222,-3.1030373573303223
ipython__ipython-3319,3dc43cfcc701f14d75475783ef37cdb5dbeb8de6,41,98,-57,0.4678390622138977,-2.772063732147217
ipython__ipython-3319,6f7a19c219fb8afa5abec453b803b99c1cc4a51f,940,256,684,0.1500164270401001,-3.083937406539917
ipython__ipython-3319,786e842ce87c1fbb70fd31775e497851be9423b2,122,184,-62,0.41953274607658386,-3.083937406539917
ipython__ipython-8111,ef97162b318fd38fe8df02d5aa9c7d551a49c817,483,130,353,0.2529169023036957,-2.8230929374694824
ipython__ipython-8809,f0040bfd831bb4c3d0aa9e7458c6a4e5581bcf71,448,136,312,0.21247078478336334,-2.8378541469573975
ipython__ipython-4960,e1090d967ed2f653bfb2b1c4216ccd2260b37e57,497,87,410,0.2045893669128418,-2.661283016204834
ipython__ipython-10907,74622b584bbbf295dd66f572775e473faa000928,32,145,-113,0.44019806385040283,-2.8704380989074707
ipython__ipython-7778,f2a90cd8b8bbb2a4accd3374a0e8399f4ea7867a,388,122,266,0.3236585855484009,-2.8260343074798584
ipython__ipython-9861,cac949c011c9aeb4fc72b2251c2399d22956766b,410,181,229,0.17092838883399963,-3.007894515991211
ipython__ipython-8318,3aaa9fd58d169b4544ece8d96c9a8759b9294a34,70,151,-81,0.39604485034942627,-2.977053165435791
ipython__ipython-10699,ef9ae1b922a677bc49159b94f0daa7f4ee06e113,78,160,-82,0.4172361195087433,-2.9091861248016357
ipython__ipython-7129,c9cbe8c495c0e0f500a1e3aeda3b316820378f81,244,44,200,0.34034404158592224,-2.5769073963165283
ipython__ipython-490,8081dca0c07d56ce2a16629d172d8b4408c8b214,449,74,375,0.181372731924057,-2.752767562866211
ipython__ipython-1689,6e5f7039c26d4fee67e71577649f21b084ebfc39,130,76,54,0.35135430097579956,-2.809002637863159
ipython__ipython-13745,cffd0866f42d0496290b4fdc8c68e4ee9e3c79a0,1,113,-112,0.6562446355819702,-2.826512336730957
ipython__ipython-13745,47791d7ca6528ed475ad54df841b4ff9ec8812f0,499,87,412,0.15070515871047974,-2.748420476913452
ipython__ipython-10523,2fe9974d52d4795d1937755c4a145fd7da8edd6f,183,135,48,0.3698209226131439,-2.815774440765381
ipython__ipython-10481,f551fd4611db86e7c770fd188a24574c0e170e5c,39,290,-251,0.39283761382102966,-3.1659281253814697
ipython__ipython-10481,9ca0307b7c4c4a4d2f9ff1a93f51ff8a51841b71,344,144,200,0.19279806315898895,-2.873276710510254
ipython__ipython-6123,37be0da8a28877423a78836bc211f1a92d502c55,207,59,148,0.4196634292602539,-2.6326546669006348
ipython__ipython-815,085a271dfc2c2f300eb701bbe76d7ac1656f4833,83,82,1,0.46063417196273804,-2.7815604209899902
ipython__ipython-1229,7dbf914253317b9dc87935edfba31a7bfcca9048,98,122,-24,0.4538751542568207,-3.07369065284729
ipython__ipython-11092,8028b99eef54e106978e004d869e5dbb08a8e81c,187,24,163,0.27922186255455017,-2.5127570629119873
ipython__ipython-1121,feba34d7a4d8d4bdc1a4e114771070cfb79704e5,202,76,126,0.2891994118690491,-2.7865753173828125
ipython__ipython-4536,fd0737d3b1f5ca2a85746625793a0fe8a32a29fb,334,83,251,0.34487971663475037,-2.779531240463257
ipython__ipython-4536,8c043a12361474dcddb8d68d3320e7f8a8016d61,52,80,-28,0.5140734314918518,-2.7776942253112793
ipython__ipython-4536,b1d07a68d3b8b61d02849bc0652892516f76b7b4,1101,139,962,0.12735892832279205,-2.9291372299194336
ipython__ipython-4536,4cea749ad2b0cf033c019027e35ffd32ba633969,290,122,168,0.35889142751693726,-2.8758716583251953
ipython__ipython-4536,43da3ef9cf09565082bc02080eb887e0607d0d19,657,27,630,0.27321383357048035,-2.5325515270233154
ipython__ipython-4536,a69ad70b097c516166491f25ab44eb1004c4fa90,322,92,230,0.34785205125808716,-2.7964658737182617
ipython__ipython-4536,aca87459d6f1573fab6d2c1798810bd16297da1c,902,38,864,0.2180858552455902,-2.6000795364379883
ipython__ipython-4536,38078c3387b9aafc4e050c51b7f31e488db23fcc,268,98,170,0.37009912729263306,-2.810307741165161
ipython__ipython-4536,e60f2bf0098736ff24bc89b9c34144f7ea904ffd,384,120,264,0.3329170346260071,-2.87490177154541
ipython__ipython-4536,0f3a09d87f7cd40f735ca04f339639ded891c541,97,110,-13,0.4532023072242737,-2.8392114639282227
ipython__ipython-4536,e51a93c92693513afed21af8eeaf2eaed9e0f64c,119,84,35,0.4257442355155945,-2.7805914878845215
ipython__ipython-6662,6cd995515348b8bf4985bc6ad111b09c393b47e9,96,55,41,0.506500244140625,-2.5339150428771973
