bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
ipython__ipython-13825,fc3aea7b61194aba898e18a6d25ea1f744b45897,55,12,43,0.3891361653804779,-2.3224992752075195
ipython__ipython-6029,8f5808867299e98523d5d7cdb79d15406005aa3c,524,8,516,0.28235164284706116,-1.983115553855896
ipython__ipython-10863,899ff029ba255bf994070ccd150b4856941d14e5,196,14,182,0.2669580578804016,-1.9072201251983643
ipython__ipython-1541,60ed39126916f8dc08f50a4f4ea28180832df3f3,46,25,21,0.4457070827484131,-2.234740972518921
ipython__ipython-9182,b522c0ec403ab7ee2222fb3c358e0afd5c26fdde,19,5,14,0.4849950075149536,-2.7463839054107666
ipython__ipython-9186,a34e95ddc17e3cab1867c1c5160b20b46e642705,79,20,59,0.360121488571167,-2.049922466278076
ipython__ipython-4195,df7f5a55a062c450094c54689939ae590454bfd5,27,21,6,0.6502853631973267,-1.7891308069229126
ipython__ipython-10479,ac0414d6e16fbb4ce72273c6ffeeee157f07ab63,102,27,75,0.2928375005722046,-2.2995152473449707
ipython__ipython-10479,c836cc7fd8860f32046f48acb7a7b9e7c92d78af,37,2,35,0.3804391622543335,-2.2519383430480957
ipython__ipython-13888,df4648b8914b7398641df7e2e32582021425f9c0,358,35,323,0.2127322256565094,-2.021334409713745
ipython__ipython-13888,d04d4637ba78d7da2df7a13046191933f31a6ea1,108,73,35,0.406779944896698,-2.1727426052093506
ipython__ipython-9711,14f2d5348f59d6f71620feae8189d533ac3784d2,101,111,-10,0.44200921058654785,-2.2800562381744385
ipython__ipython-4908,d71795a2e5dcba2082126818e14dbb901b7c0e05,226,4,222,0.2929253578186035,-1.872018575668335
ipython__ipython-13961,471d2058f8be37b615e0b2ff59e64673016ae996,113,64,49,0.3896182179450989,-1.8694511651992798
ipython__ipython-9022,2934beef1d9940039f07be3ccd5dbdb1648080cd,197,6,191,0.39981114864349365,-2.0017800331115723
ipython__ipython-1691,d9f425115ba9e29bf3bc977dd6f261019e94cc43,695,55,640,0.1976321041584015,-2.041841983795166
ipython__ipython-1691,04490d6078512b390623cb7c8a7080aab55776f3,247,2,245,0.3124541640281677,-1.8090143203735352
ipython__ipython-2479,dff928612e2a53122915bd858eab64790cf2faae,317,31,286,0.2364780604839325,-1.946181297302246
ipython__ipython-2479,5cf0b573c6c320e079d36a1f228b69d3a1568bcc,287,43,244,0.24253427982330322,-1.9792894124984741
ipython__ipython-13763,206ff20a0f88aafd28adc83ef20c3836d9f4bd8b,156,46,110,0.2776658833026886,-1.8427140712738037
ipython__ipython-2812,4a331cb6cf4220b4115dd9a0c539af985039a62b,873,6,867,0.17251813411712646,-1.9104257822036743
ipython__ipython-6036,a18860aa4f7c2280ce15bf03659a3f0b95eabcbe,78,3,75,0.5052005052566528,-2.2213172912597656
ipython__ipython-11650,73039bdb394f4317fe67bdb8d0eb4f0fbb3a5da3,40,1,39,0.5177373886108398,-2.1730880737304688
ipython__ipython-8736,4b95befdb78d1ed2ebce5352a02cdfb9cfa62f6d,166,29,137,0.36563044786453247,-2.287111520767212
ipython__ipython-13328,26e1883fd619fb3626ca7a5786e7381487b91a6f,241,28,213,0.3216061294078827,-1.7809875011444092
ipython__ipython-10548,230a2c6e8c724f1fc7b7664d653deb1ba4142abb,427,44,383,0.10414145886898041,-2.555856466293335
ipython__ipython-9596,1b4d55b1eff1c13fab82962f1557b6f0389a6cad,104,19,85,0.3531847596168518,-1.9562104940414429
ipython__ipython-11353,ca5c3aa5b8615e70638db0008cd69f12a3f93bc4,46,9,37,0.43803372979164124,-1.9723920822143555
ipython__ipython-9418,7db39a27b51e6a3cc3a3d04661a6d12f7b66a45f,53,11,42,0.401502788066864,-1.991464614868164
ipython__ipython-9419,f56ee615bd8252a6118eb06102c869469a0f1d27,49,3,46,0.44204026460647583,-2.1722428798675537
ipython__ipython-7502,53a44e1720d878a49cf9b5e9be8b62558c1f73da,733,61,672,0.3179101347923279,-2.07724666595459
ipython__ipython-10321,2500a07b135915b050562a91971be7924e06860a,211,61,150,0.2382943034172058,-2.010270595550537
ipython__ipython-10321,c0a070467bccbccc84df1d4292617dd5887d2797,177,127,50,0.2543993592262268,-2.9737892150878906
ipython__ipython-10321,49cf8b236a6b82803bdff4677c3d65be2da480b7,157,116,41,0.26778513193130493,-2.622995376586914
ipython__ipython-10321,c3a3e9190fce20c128bfeb2c41f90074f22da9ce,151,128,23,0.27169564366340637,-2.98282527923584
ipython__ipython-10321,aaada320ae03f1c4e6fb490dbcf9775912a0906e,321,120,201,0.20085889101028442,-2.687882661819458
ipython__ipython-10321,fc0dd287fff2651efff1ca331c44abebd01df086,203,130,73,0.24226483702659607,-2.988506317138672
ipython__ipython-10321,c9a17007ecb4f955b42695a54518ca167a9c239b,172,131,41,0.2554737627506256,-3.023484230041504
ipython__ipython-3601,cc19ee53c30ef6bca8c42ecf298276949a7f2b0b,781,19,762,0.17765168845653534,-1.983323335647583
ipython__ipython-1946,1291822f8848aa8af8a482bc0094aa55dc05fb7c,314,10,304,0.31343013048171997,-2.0463409423828125
ipython__ipython-11418,e2dd2d087737110b3e2054bf734cd5f641836609,140,11,129,0.3112279772758484,-2.0271217823028564
ipython__ipython-11419,9858236905db9c4e6c624fa121d73dfd0cb1c2bd,1,5,-4,0.6247069835662842,-1.7978956699371338
ipython__ipython-9833,6ce7709ab94ba000e24e2471fdd7b1bfdfb14f2b,73,5,68,0.33799731731414795,-2.2221946716308594
ipython__ipython-4526,f90ca9831a2aa7ffdab557ba1d3cd93a72caa458,108,83,25,0.3065325617790222,-2.835303544998169
ipython__ipython-3319,3dc43cfcc701f14d75475783ef37cdb5dbeb8de6,41,10,31,0.4678390622138977,-2.040513038635254
ipython__ipython-3319,6f7a19c219fb8afa5abec453b803b99c1cc4a51f,940,231,709,0.1500164270401001,-3.905521869659424
ipython__ipython-3319,786e842ce87c1fbb70fd31775e497851be9423b2,122,159,-37,0.41953274607658386,-3.905521869659424
ipython__ipython-8111,ef97162b318fd38fe8df02d5aa9c7d551a49c817,483,17,466,0.2529169023036957,-1.9061859846115112
ipython__ipython-8809,f0040bfd831bb4c3d0aa9e7458c6a4e5581bcf71,448,25,423,0.21247078478336334,-1.958085298538208
ipython__ipython-4960,e1090d967ed2f653bfb2b1c4216ccd2260b37e57,497,31,466,0.2045893669128418,-2.2327284812927246
ipython__ipython-10907,74622b584bbbf295dd66f572775e473faa000928,32,21,11,0.44019806385040283,-2.147186517715454
ipython__ipython-7778,f2a90cd8b8bbb2a4accd3374a0e8399f4ea7867a,388,23,365,0.3236585855484009,-1.8725662231445312
ipython__ipython-9861,cac949c011c9aeb4fc72b2251c2399d22956766b,410,8,402,0.17092838883399963,-1.9895107746124268
ipython__ipython-8318,3aaa9fd58d169b4544ece8d96c9a8759b9294a34,70,2,68,0.39604485034942627,-2.1276960372924805
ipython__ipython-10699,ef9ae1b922a677bc49159b94f0daa7f4ee06e113,78,2,76,0.4172361195087433,-2.056973934173584
ipython__ipython-7129,c9cbe8c495c0e0f500a1e3aeda3b316820378f81,244,10,234,0.34034404158592224,-1.889263391494751
ipython__ipython-490,8081dca0c07d56ce2a16629d172d8b4408c8b214,449,28,421,0.181372731924057,-2.2240076065063477
ipython__ipython-1689,6e5f7039c26d4fee67e71577649f21b084ebfc39,130,10,120,0.35135430097579956,-1.9097719192504883
ipython__ipython-13745,cffd0866f42d0496290b4fdc8c68e4ee9e3c79a0,1,8,-7,0.6562446355819702,-1.8011730909347534
ipython__ipython-13745,47791d7ca6528ed475ad54df841b4ff9ec8812f0,499,115,384,0.15070515871047974,-2.6078226566314697
ipython__ipython-10523,2fe9974d52d4795d1937755c4a145fd7da8edd6f,183,22,161,0.3698209226131439,-1.9183560609817505
ipython__ipython-10481,f551fd4611db86e7c770fd188a24574c0e170e5c,39,5,34,0.39283761382102966,-1.8917045593261719
ipython__ipython-10481,9ca0307b7c4c4a4d2f9ff1a93f51ff8a51841b71,344,31,313,0.19279806315898895,-1.9362430572509766
ipython__ipython-6123,37be0da8a28877423a78836bc211f1a92d502c55,207,16,191,0.4196634292602539,-2.056608200073242
ipython__ipython-815,085a271dfc2c2f300eb701bbe76d7ac1656f4833,83,21,62,0.46063417196273804,-2.2728195190429688
ipython__ipython-1229,7dbf914253317b9dc87935edfba31a7bfcca9048,98,108,-10,0.4538751542568207,-3.8641281127929688
ipython__ipython-11092,8028b99eef54e106978e004d869e5dbb08a8e81c,187,26,161,0.27922186255455017,-1.9382140636444092
ipython__ipython-1121,feba34d7a4d8d4bdc1a4e114771070cfb79704e5,202,9,193,0.2891994118690491,-1.9035600423812866
ipython__ipython-4536,fd0737d3b1f5ca2a85746625793a0fe8a32a29fb,334,37,297,0.34487971663475037,-1.7875621318817139
ipython__ipython-4536,8c043a12361474dcddb8d68d3320e7f8a8016d61,52,7,45,0.5140734314918518,-1.748723030090332
ipython__ipython-4536,b1d07a68d3b8b61d02849bc0652892516f76b7b4,1101,71,1030,0.12735892832279205,-1.8950642347335815
ipython__ipython-4536,4cea749ad2b0cf033c019027e35ffd32ba633969,290,55,235,0.35889142751693726,-1.844447374343872
ipython__ipython-4536,43da3ef9cf09565082bc02080eb887e0607d0d19,657,152,505,0.27321383357048035,-3.4147558212280273
ipython__ipython-4536,a69ad70b097c516166491f25ab44eb1004c4fa90,322,19,303,0.34785205125808716,-1.7684104442596436
ipython__ipython-4536,aca87459d6f1573fab6d2c1798810bd16297da1c,902,147,755,0.2180858552455902,-3.181365966796875
ipython__ipython-4536,38078c3387b9aafc4e050c51b7f31e488db23fcc,268,24,244,0.37009912729263306,-1.7710785865783691
ipython__ipython-4536,e60f2bf0098736ff24bc89b9c34144f7ea904ffd,384,38,346,0.3329170346260071,-1.789039134979248
ipython__ipython-4536,0f3a09d87f7cd40f735ca04f339639ded891c541,97,95,2,0.4532023072242737,-2.1105360984802246
