bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
ipython__ipython-13825,fc3aea7b61194aba898e18a6d25ea1f744b45897,55,21,34,0.3891361653804779,-1.5136466026306152
ipython__ipython-6029,8f5808867299e98523d5d7cdb79d15406005aa3c,524,7,517,0.28235164284706116,-1.3954249620437622
ipython__ipython-10863,899ff029ba255bf994070ccd150b4856941d14e5,196,24,172,0.2669580578804016,-1.6319125890731812
ipython__ipython-1541,60ed39126916f8dc08f50a4f4ea28180832df3f3,46,29,17,0.4457070827484131,-2.2740347385406494
ipython__ipython-9182,b522c0ec403ab7ee2222fb3c358e0afd5c26fdde,19,10,9,0.4849950075149536,-1.4101823568344116
ipython__ipython-9186,a34e95ddc17e3cab1867c1c5160b20b46e642705,79,34,45,0.360121488571167,-1.7305586338043213
ipython__ipython-4195,df7f5a55a062c450094c54689939ae590454bfd5,27,52,-25,0.6502853631973267,-2.1964364051818848
ipython__ipython-10479,ac0414d6e16fbb4ce72273c6ffeeee157f07ab63,102,50,52,0.2928375005722046,-1.9527602195739746
ipython__ipython-10479,c836cc7fd8860f32046f48acb7a7b9e7c92d78af,37,18,19,0.3804391622543335,-1.4932266473770142
ipython__ipython-13888,df4648b8914b7398641df7e2e32582021425f9c0,358,40,318,0.2127322256565094,-1.7912293672561646
ipython__ipython-13888,d04d4637ba78d7da2df7a13046191933f31a6ea1,108,76,32,0.406779944896698,-2.7394680976867676
ipython__ipython-9711,14f2d5348f59d6f71620feae8189d533ac3784d2,101,109,-8,0.44200921058654785,-3.1307902336120605
ipython__ipython-4908,d71795a2e5dcba2082126818e14dbb901b7c0e05,226,4,222,0.2929253578186035,-1.3200156688690186
ipython__ipython-13961,471d2058f8be37b615e0b2ff59e64673016ae996,113,40,73,0.3896182179450989,-1.7094000577926636
ipython__ipython-9022,2934beef1d9940039f07be3ccd5dbdb1648080cd,197,10,187,0.39981114864349365,-1.4199843406677246
ipython__ipython-1691,d9f425115ba9e29bf3bc977dd6f261019e94cc43,695,58,637,0.1976321041584015,-3.0055618286132812
ipython__ipython-1691,04490d6078512b390623cb7c8a7080aab55776f3,247,2,245,0.3124541640281677,-1.4932262897491455
ipython__ipython-2479,dff928612e2a53122915bd858eab64790cf2faae,317,26,291,0.2364780604839325,-1.71700119972229
ipython__ipython-2479,5cf0b573c6c320e079d36a1f228b69d3a1568bcc,287,45,242,0.24253427982330322,-2.298903465270996
ipython__ipython-13763,206ff20a0f88aafd28adc83ef20c3836d9f4bd8b,156,52,104,0.2776658833026886,-2.0853166580200195
ipython__ipython-2812,4a331cb6cf4220b4115dd9a0c539af985039a62b,873,24,849,0.17251813411712646,-1.816190242767334
ipython__ipython-6036,a18860aa4f7c2280ce15bf03659a3f0b95eabcbe,78,15,63,0.5052005052566528,-1.4842495918273926
