bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-5398,c14d2e3575ee953b15008ea439710c1222fe6d9e,51,3,48,0.4577304720878601,-1.3603986501693726
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,161,28,133,0.44937413930892944,-1.9545354843139648
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,334,1,333,0.3572928309440613,-0.2536599338054657
numpy__numpy-8646,3bbee0258bfc1a9739ab24fb3a259cb471a5f6da,237,30,207,0.20039066672325134,-2.414980173110962
numpy__numpy-23010,ca07bd180c0ea0c3f22282e10ba0ddde6cbba65a,939,88,851,0.3255554735660553,-3.2225303649902344
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,187,4,183,0.3959144353866577,-1.3355247974395752
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,176,39,137,0.3479723334312439,-2.6116085052490234
numpy__numpy-21187,5bc9113af1be4393edfb2c93ffc4361e438a89de,170,21,149,0.4889765679836273,-2.2113637924194336
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,420,4,416,0.22152678668498993,-1.2093873023986816
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,340,5,335,0.24108175933361053,-1.2227351665496826
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,451,7,444,0.2150825560092926,-1.3830649852752686
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,290,2,288,0.25333237648010254,-1.1424455642700195
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,333,6,327,0.24177685379981995,-1.229580283164978
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,92,13,79,0.3880200982093811,-1.8967899084091187
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,685,26,659,0.16178598999977112,-2.2446863651275635
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,241,3,238,0.2689283788204193,-1.1847583055496216
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,81,22,59,0.5857214331626892,-2.0715866088867188
numpy__numpy-17636,dcf60ada9297180308729db7ccc23c416f86f0f9,774,15,759,0.23956072330474854,-1.7450073957443237
numpy__numpy-11813,d31d8a9398b518012e3517bc4240844732b16cf2,215,18,197,0.3841315805912018,-1.3146944046020508
numpy__numpy-18911,aea9835c78e2653460204fe33503d3011a746d1e,13,10,3,0.5509213209152222,-0.7172818183898926
numpy__numpy-19775,fd229dbef8f92d18d7627ce53a69f3fb97335e83,726,34,692,0.25048428773880005,-2.7367312908172607
numpy__numpy-9054,01741cd1afb6b2f27e92f70294d561c1af465fe6,176,18,158,0.33351635932922363,-2.0756149291992188
numpy__numpy-5490,1b3d75db6e3ecd88d0dbaa0705ae21088334c8af,173,18,155,0.3148643672466278,-2.0715556144714355
numpy__numpy-11358,630767dc5347df4ba4b191ae2a7bfea8d7d8ab58,142,10,132,0.4064846634864807,-1.681361198425293
numpy__numpy-11427,b7d9c4406709e5069ca573ccd10384e2475b4a15,147,27,120,0.41295453906059265,-2.1483254432678223
numpy__numpy-6660,a6e4a8dac3b03d75c01de8fa208bbe2c7bb128e8,193,8,185,0.24245381355285645,-0.9534357190132141
numpy__numpy-6660,d95a362ca6bc0b2ee6cff3ba8870b621118da6e1,398,23,375,0.19482223689556122,-1.7785515785217285
numpy__numpy-13242,6dd6982dfe6a93d2319ea3f5a342e432d26a528a,127,9,118,0.3919360935688019,-1.6940889358520508
numpy__numpy-5489,bedd0e941f2fa7b9df550240f3eaa828db370241,224,9,215,0.32121604681015015,-1.5953092575073242
numpy__numpy-4677,fe3c037890d1c2fdee67546f02de334e5742dab9,35,6,29,0.5623547434806824,-0.5276668071746826
numpy__numpy-3281,3f91046d2fda754fdecce9277098acc2e7bbd38c,225,8,217,0.279278039932251,-0.5004338026046753
numpy__numpy-3281,b68a79b642a394ff71130c3ebd66492892749d15,578,96,482,0.19236832857131958,-1.5128026008605957
numpy__numpy-3281,775929fa177787047e25ea3da9eeaf5cb3d7f184,613,97,516,0.1818132847547531,-1.5148223638534546
numpy__numpy-3281,4e00b1cbc551ffed6b7512da17fce3c9cc3243cb,694,22,672,0.15563654899597168,-0.901401162147522
numpy__numpy-3281,5811be876962a5a288d02ed4a568d7af0db197e3,709,68,641,0.15115411579608917,-1.3506138324737549
numpy__numpy-3281,af59d687eb82f7f07ee1c53ad80ce7d1cc124c9b,607,28,579,0.18449461460113525,-0.9842913150787354
numpy__numpy-3281,98f58e33326d024e026bba40fee5a5dfa4458254,720,36,684,0.14840170741081238,-1.091680645942688
numpy__numpy-3281,57ab3ce78348a00021169a1c3ce77225aa706c79,388,62,326,0.2406921088695526,-1.3169317245483398
numpy__numpy-3281,6e0cfcddb79d1dd7c26a88fbfa80f1af5665cb2f,440,34,406,0.23072083294391632,-1.06272292137146
numpy__numpy-3281,d1084b75eeb7fd54f4b21ecc8eac0dc6e4c849bb,148,81,67,0.31506073474884033,-1.4220786094665527
numpy__numpy-3281,a16a07d591f201872817a7f40298270b979571e0,692,35,657,0.15656974911689758,-1.0797665119171143
numpy__numpy-3281,4e4d94cd68a6f024a8e92d1ec051ee563f0a3e6b,696,91,605,0.15529532730579376,-1.4676320552825928
numpy__numpy-3281,a76401ac92a75756a6ffc8dbc6bfef47f91c3ba7,776,51,725,0.12693403661251068,-1.2626488208770752
numpy__numpy-3281,ba89637eb50e3fd665f6152701c482d1ad05f981,186,2,184,0.29150283336639404,-0.29189354181289673
numpy__numpy-3281,de8606167e11e7fd925819906f988194789714e7,289,15,274,0.2629426121711731,-0.7356072664260864
numpy__numpy-3281,4c5b7e9fc970efb333b1145b036cb70451db2b25,87,84,3,0.3683512806892395,-1.4331660270690918
numpy__numpy-3281,5d6bea3ca9aae493aa6b9496e067141954209fd9,447,66,381,0.22957786917686462,-1.339658260345459
numpy__numpy-7260,f3d30d15c44122411d6f3da50249c7af221b64f3,230,5,225,0.43813952803611755,-1.2263896465301514
numpy__numpy-8988,4a07815e84acb8e0e44ebecaecc3982f1555eca9,125,7,118,0.40889865159988403,-1.7783472537994385
numpy__numpy-4344,5cd535703690b83b761b35f77f5e39afdfda1be6,169,15,154,0.3319604694843292,-1.9773229360580444
numpy__numpy-8388,a59fe3cc4e327cb73d419401707cc2e638f11835,111,52,59,0.3470325767993927,-2.393864154815674
numpy__numpy-5518,0b18bc6c62fa4476d6eb21b7167c5a96282ece96,227,26,201,0.3325395882129669,-2.000706672668457
numpy__numpy-12807,8750ed0b3d19e9052733af6e6ba01ad1f4455885,578,42,536,0.29208412766456604,-1.9040639400482178
numpy__numpy-16300,613bcb550dfd1bc3386862c8f014cc8bc818b0a3,59,11,48,0.5999025702476501,-0.8151425719261169
numpy__numpy-16300,4e320576bdb34e507caf98665a9365e962e0818e,54,8,46,0.6028050780296326,-0.6529209613800049
numpy__numpy-12358,1ef3dca47ec5aea6b41a0a676e52d4686684f43d,39,11,28,0.6326984167098999,-1.1694912910461426
numpy__numpy-3772,1c8cea4f7e4a49c52c24ef3712149d79bf5decbe,2,2,0,0.6033061146736145,-1.0133113861083984
numpy__numpy-9552,d0d384a62d8241bfe79a89000ef24e79738eaa1f,185,54,131,0.3239790201187134,-1.8866740465164185
numpy__numpy-10629,65c3ed00dbd308146709b7e8a7086c613b8818f4,126,23,103,0.48694875836372375,-2.067842483520508
numpy__numpy-5468,2a527a4a483bdb56ec5e0727710b3d3596bb5b67,78,3,75,0.45020073652267456,-1.3309650421142578
numpy__numpy-8816,1fd530f330eaf5299e65d29d982d190d92e3691b,95,16,79,0.4716532230377197,-2.163360118865967
numpy__numpy-7667,3533a59fcafd7a37ea7814105d34c4e13c0a9af5,87,5,82,0.4866592586040497,-1.828959584236145
numpy__numpy-23097,1fe7a6f4d816274b65d27dd44cbcc6296ff09255,106,3,103,0.41884300112724304,-1.422211766242981
