bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
PrefectHQ__prefect-1525,dc18e97fcfedda802d07970715b01027b9cc9992,466,3,463,0.22965513169765472,-0.031762704253196716
PrefectHQ__prefect-134,45a64b879d0a4d6936128f56ee9f4b2693b231c2,55,1,54,0.18243643641471863,-0.03213991969823837
PrefectHQ__prefect-2031,bb2692f0a5b976db136fa87772f2a20abb76b785,172,7,165,0.41719287633895874,-0.03481563180685043
PrefectHQ__prefect-578,6324e8280460e370a3cc972b903288f5744be300,146,39,107,0.18289092183113098,-0.06277897953987122
PrefectHQ__prefect-746,cc936393d42bfed98dfe595635664d2e4fc464d8,252,120,132,0.1492641717195511,-1.7183315753936768
PrefectHQ__prefect-746,ea900763cf93d948753aeace014bc5509a31ccdf,263,135,128,0.1443740278482437,-1.7932010889053345
PrefectHQ__prefect-746,6084f00c0ac8545c6a79803907d7afb200271b70,264,35,229,0.14366436004638672,-0.04922200366854668
PrefectHQ__prefect-746,29664b85ddc06e9ea2bd2aaaa488b66307efb06f,117,66,51,0.2644937038421631,-0.3141648769378662
PrefectHQ__prefect-746,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,188,83,105,0.20110675692558289,-0.9394105672836304
PrefectHQ__prefect-158,5b49bc6cd8dfb8332e8ae401c3bb866c136e8f8d,56,27,29,0.3474847674369812,-0.19939905405044556
PrefectHQ__prefect-158,682fb497b5386ea42d1e00acde4b9a2949489b16,40,6,34,0.37851208448410034,-0.03461671620607376
PrefectHQ__prefect-158,62c6d4c28e7ba25ebcab26d73f0b3e99fa0a1120,74,2,72,0.308354914188385,-0.03130354732275009
PrefectHQ__prefect-158,8cbc80eb56cfaf9beb898088ef1edc1075015f78,75,30,45,0.30684006214141846,-0.2578769624233246
PrefectHQ__prefect-158,07450a943cdaf82a572fbf08df51182ff374d4f1,106,5,101,0.21556700766086578,-0.033462800085544586
PrefectHQ__prefect-312,c26165341c2b86efd5ea8fb91c1a07e465ae0387,19,19,0,0.43733131885528564,-0.046370044350624084
PrefectHQ__prefect-312,a275962f7b88f81f7ccb6e421ef28457c23014d4,22,1,21,0.4251761734485626,-0.03345686197280884
PrefectHQ__prefect-907,7ee889cd9e7cef7944bbc9ee9e7fad21bb7a921b,225,5,220,0.3482271432876587,-0.03268801048398018
PrefectHQ__prefect-907,17c63a13fc06f1d639b3d169fac29877bdd90632,436,26,410,0.20624873042106628,-0.25266116857528687
PrefectHQ__prefect-907,b191fc4ce77b269be5657ba55b50f4d4f4a57c8a,359,3,356,0.2873828709125519,-0.030920283868908882
PrefectHQ__prefect-907,6fdf88bfdeb6e571e11ba037d9a41d724da496af,364,6,358,0.28514787554740906,-0.03338601067662239
PrefectHQ__prefect-1037,c7d058e3dbf19b6eb3898cb0d04715de059d2cc2,1,10,-9,0.5952086448669434,-0.040236957371234894
PrefectHQ__prefect-1420,19ce7ad51d7e98058db68f5a827627c17e078a02,89,31,58,0.3919696807861328,-0.431673526763916
PrefectHQ__prefect-2666,1c7d915b9846a524595691f9d05df1c2e01d0484,91,31,60,0.4556068181991577,-0.1432090401649475
PrefectHQ__prefect-714,93e878e96a0fa862dd65458628dbd85cd046056c,28,12,16,0.3906579911708832,-0.033641792833805084
PrefectHQ__prefect-170,97b03ecf3b448b5686ca29f79a34bc730b8f8065,42,29,13,0.2987786829471588,-0.20880326628684998
PrefectHQ__prefect-170,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,91,38,53,0.21447046101093292,-0.9377113580703735
PrefectHQ__prefect-856,13428741eba6a347137527603e1604ea1a0ca27a,120,57,63,0.2755918502807617,-0.28930211067199707
PrefectHQ__prefect-545,54cc6c08ff71d75d416601bd2b90bd1e76caf910,35,12,23,0.30697381496429443,-0.033581558614969254
PrefectHQ__prefect-545,6ac1f22f7259509120a6265507da0ef343bc3d49,25,5,20,0.35653531551361084,-0.03161674365401268
PrefectHQ__prefect-406,47afbe726f1970e0e3f1e1b9de3dd0305a03352e,35,8,27,0.37901780009269714,-0.03298627585172653
PrefectHQ__prefect-406,62cb6d6d3526ee81ab5305aa4c5839ff186cacd5,118,46,72,0.2060215324163437,-0.11357015371322632
PrefectHQ__prefect-406,f832e4bedcfa9b80ff16b245b670110c1f1cd257,22,10,12,0.40035831928253174,-0.033231690526008606
PrefectHQ__prefect-509,10f43a0bdbfdfd975f49442c52155969a861a61b,100,47,53,0.21141773462295532,-0.12798531353473663
PrefectHQ__prefect-205,955ead2d0e9e54aa50e772820d3931dc31b91c38,22,5,17,0.3283247649669647,-0.033457428216934204
PrefectHQ__prefect-205,0168d1de54168057eac1646ccd368d5372e5573b,7,7,0,0.4372260272502899,-0.03531884402036667
PrefectHQ__prefect-187,622ecbe48bb62b5f30de6476a7f6f45316038147,123,1,122,0.15064063668251038,-0.032167114317417145
PrefectHQ__prefect-187,dd6385891c04c0973a18e1bb691539c8bb18b35a,140,61,79,0.09981844574213028,-1.7259429693222046
PrefectHQ__prefect-187,154ec54dcf07578a68a23565525270b666fc29a9,139,63,76,0.10591034591197968,-1.7524089813232422
PrefectHQ__prefect-1729,04ca6ad102fdc43ed40d48d8ec7cc52beb0ee406,497,1,496,0.24187228083610535,-0.031145993620157242
PrefectHQ__prefect-466,f1d69d3ba2d9d1aa6f893a606b63fd2ef31af660,31,17,14,0.41697603464126587,-0.03542453795671463
PrefectHQ__prefect-76,db40474ff765e82807cf3d0977711580eb842b5a,14,7,7,0.3869372606277466,-0.03775647282600403
PrefectHQ__prefect-76,74c137def3bdc6d6b9a00a851722fe72aa4a981d,89,47,42,0.22741469740867615,-1.707183599472046
PrefectHQ__prefect-76,8b0f0666707c19643e301e18af4c08e61a442856,77,19,58,0.259901762008667,-0.1257726103067398
PrefectHQ__prefect-227,abc54fa2ff65be15916b320aa0f502af54e8bafb,53,16,37,0.2337723672389984,-0.04666540026664734
PrefectHQ__prefect-2089,da4fad4a5376224ba153aa4f358860932f411c77,288,7,281,0.31106409430503845,-0.03676106035709381
PrefectHQ__prefect-1118,09db18f401d6fdd29d6c5a5cc56e438f6da23d45,640,15,625,0.15283964574337006,-0.062354590743780136
PrefectHQ__prefect-1375,536af5cc776265eb0c9a1221d94986c57856809d,257,1,256,0.2897810935974121,-0.030434589833021164
PrefectHQ__prefect-94,b24b7b38e6d5cae7647e6d0f447832143df9969f,60,2,58,0.3009767234325409,-0.2537124454975128
PrefectHQ__prefect-94,b705f343b9e7be37a38b38a6c73a06a4d8bba9c6,81,6,75,0.2358669936656952,-0.25571778416633606
PrefectHQ__prefect-94,c1bcb2001d83452667a06e530e87bfe0f3ecdfec,22,10,12,0.38679319620132446,-0.25667867064476013
PrefectHQ__prefect-94,3154cdbfe648e32c7b7e004619837fc1e3a38c37,38,5,33,0.33188164234161377,-0.25548771023750305
PrefectHQ__prefect-94,d06ce69e798b193ebca3ea0d35d8b24a8e741988,43,12,31,0.31402885913848877,-0.2588160037994385
PrefectHQ__prefect-94,9983604338a325f2ff94e0ce8c29d493ad1a3edc,58,7,51,0.304922878742218,-0.2559315264225006
PrefectHQ__prefect-94,144546cf5181d60c6d8f9f1032ac7ccba13f9304,30,1,29,0.35999447107315063,-0.2534002363681793
PrefectHQ__prefect-94,fc11017ce36f58cee096a906539dfcac980dd9d6,78,31,47,0.23911890387535095,-0.6226165890693665
PrefectHQ__prefect-94,f374c5b2daa155d489d2d3ef158e56d885b8a550,9,13,-4,0.4613342881202698,-0.2624078392982483
PrefectHQ__prefect-94,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,42,38,4,0.3150053024291992,-1.0226370096206665
PrefectHQ__prefect-94,7c073dd683f614388d5d1fd0898b8db3aadbf85d,7,25,-18,0.4999799132347107,-0.4324835538864136
PrefectHQ__prefect-94,8bc9b8298f9ea273e095a1f3a12b26344e04cb18,53,9,44,0.3099105656147003,-0.25638481974601746
PrefectHQ__prefect-887,ba279341be346b66d0297a463de57aafa6878db3,175,3,172,0.29603663086891174,-0.030521482229232788
PrefectHQ__prefect-1319,0425c6296179aa1dd4a027900acd27adaef74fa2,533,27,506,0.22321689128875732,-0.14015540480613708
PrefectHQ__prefect-1319,f036ea548624f7e6f522e0a2d6697b97308955d3,40,5,35,0.4159841537475586,-0.03338712453842163
PrefectHQ__prefect-1319,b338c5dd3d575d81b9e1bfb06477af2dca3d26d1,303,55,248,0.27712786197662354,-1.7954950332641602
PrefectHQ__prefect-1431,8a0d0de576d815ae9a0b0361e5816296ba3a280a,485,52,433,0.16738241910934448,-0.7514877319335938
PrefectHQ__prefect-215,2a387f2c3b76cbe97144a23bd891570f5e663b93,50,6,44,0.21332526206970215,-0.03520778566598892
PrefectHQ__prefect-583,29ac0d158205848020eb8c4f1f093024b6286a51,208,42,166,0.11994161456823349,-0.0869186520576477
PrefectHQ__prefect-583,1a7e7ff0534d0123c38566a1ba445854f9b72618,220,54,166,0.10586786270141602,-0.1883266270160675
PrefectHQ__prefect-583,9202ab44cf7de6a465a4b0aa41affa56bc2a9d4d,141,91,50,0.18767650425434113,-1.1749635934829712
PrefectHQ__prefect-583,65f54f4d96f5eb2e1bde4f2d5f2e22c8300f5066,100,108,-8,0.2354852557182312,-1.5898730754852295
PrefectHQ__prefect-583,194386448ec5b3e9774a248dbf78c87f2f3fdc38,102,53,49,0.2300846427679062,-0.1745748519897461
PrefectHQ__prefect-583,ffdae7bc8e13b941a153bde8682ceecce0614cfe,118,93,25,0.20672544836997986,-1.1935534477233887
PrefectHQ__prefect-583,fccffc11634eb528484d6b08059d761a3d8c6b34,98,81,17,0.23770341277122498,-1.0294617414474487
PrefectHQ__prefect-583,8cee485308ccba24b799178fad31d88860542ff5,94,31,63,0.2446689009666443,-0.043119508773088455
PrefectHQ__prefect-177,852938b0af0463fea4b7aaf30ccc24a075c3c22b,106,14,92,0.2058904767036438,-0.04894789308309555
PrefectHQ__prefect-177,97ac677cef1b6148cf6e90c3a828d38049dfb3cc,11,6,5,0.40105748176574707,-0.03680567070841789
PrefectHQ__prefect-2609,0ec3a15778d73ea8cc18a033f90cf14c6dd595cc,929,39,890,0.16382980346679688,-1.7477524280548096
PrefectHQ__prefect-598,385bde2cec1530ea05af961c05532d5881fd6ed1,19,33,-14,0.414156436920166,-0.04611974582076073
PrefectHQ__prefect-598,36f63090a347fcb8ca8b3ec7438c90e8fcfd3e68,61,4,57,0.31276896595954895,-0.03276166319847107
PrefectHQ__prefect-598,cb34acc7547d20b6c26a0619ca709e6a354145b7,194,48,146,0.16024163365364075,-0.14115947484970093
PrefectHQ__prefect-598,940446a9135fa5a7927ce83cf629659273bf048e,104,45,59,0.23674964904785156,-0.10259607434272766
