bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
Qiskit__qiskit-636,02acaa22c51010e623b93ff4843498e388bb3e5e,130,122,8,0.18594202399253845,-3.25227689743042
Qiskit__qiskit-636,68017e0b9bae0217e3c307dfbf1e55429cab2621,39,2,37,0.2770654559135437,-1.2080540657043457
Qiskit__qiskit-2781,4e907d522414432a4a714b580b912086a234ac19,6,33,-27,0.46213042736053467,-0.5503256320953369
Qiskit__qiskit-2781,b7744e6f6e08e6ea4abc66709b741b2799998987,22,35,-13,0.42979297041893005,-0.5524675846099854
Qiskit__qiskit-2781,378053e6f08234908688b29a3f47829bac93a850,13,7,6,0.4431241750717163,-0.435335636138916
Qiskit__qiskit-688,5e7693161dc87f4d0859ecaeab5a981fbc302689,240,17,223,0.290422260761261,-1.2891793251037598
Qiskit__qiskit-688,6fad3fcd0a4f40b337e0100ec28fe8d637d83abd,227,32,195,0.2955029010772705,-1.443189263343811
Qiskit__qiskit-3042,c4abde54f2fa4b282bd46d41ce8aaa3cd86f0f83,92,7,85,0.39617955684661865,-1.248321771621704
Qiskit__qiskit-3708,a09950f1cf1f8782d0a71cd639b762a87beb93a2,395,55,340,0.21955005824565887,-1.5202386379241943
Qiskit__qiskit-4049,8866416541c315b11e088be8b1f9f28be874f143,505,58,447,0.28717583417892456,-1.6294114589691162
Qiskit__qiskit-877,8a6926a49840438bd3c9b0b4c6d3026d671c0e53,154,16,138,0.20321163535118103,-0.3990047574043274
Qiskit__qiskit-877,02abeaacdcf0e1c87334ab56d8bf1d4d71c70e06,49,33,16,0.28848379850387573,-0.49088528752326965
Qiskit__qiskit-2723,eca1fa7707043ae37edb9275dbd0dbd977ef78fe,97,37,60,0.3921229839324951,-1.4511574506759644
Qiskit__qiskit-4513,7a1cfb6e7adedefcb13a7798ae967755ee54a22e,417,10,407,0.23640157282352448,-0.7988455295562744
Qiskit__qiskit-609,657d0eeadbbe2dec7eafab4cf45671224bea9c21,84,33,51,0.19688650965690613,-1.1347013711929321
Qiskit__qiskit-609,886099544412367b5f6bfee73fa4a0b401b33c13,61,56,5,0.21714326739311218,-1.359933614730835
Qiskit__qiskit-609,c4e91147e4a676bdb1bc959115187ebf4efdb279,39,10,29,0.25935518741607666,-0.9408450126647949
Qiskit__qiskit-609,97d50823c94153eb92a3ae7fb012b9679323a585,176,8,168,0.14428991079330444,-0.9329689145088196
Qiskit__qiskit-435,ed8621627c1becf6a930b4b6e72fbc01f7eb3568,224,111,113,0.151773601770401,-1.278343915939331
Qiskit__qiskit-435,adb3f5d811e54dbb3b9f54f95e59fbc20251112c,59,153,-94,0.34717991948127747,-2.6540443897247314
